«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,2.71,2.7,2.65,2.71,2.71,-2.21,-0.06,96360.82,35996
2026/01/12,2.71,2.75,2.7,2.71,2.71,-0.37,-0.01,113284.69,41798
2026/01/11,2.71,2.82,2.69,2.71,2.71,-0.74,-0.02,131399.48,48421
2026/01/08,2.71,2.73,2.68,2.71,2.71,-0.74,-0.02,153559.59,56683
2026/01/06,2.71,2.84,2.65,2.71,2.71,0.0,0.0,131895.81,48118
2026/01/05,2.76,2.84,2.7,2.71,2.76,-2.17,-0.06,190503.3,70150
2026/01/04,2.76,2.85,2.75,2.76,2.76,3.26,0.09,103935.69,37305
2025/12/31,2.76,2.85,2.7,2.76,2.76,3.26,0.09,105906.54,38345
2025/12/30,2.76,2.85,2.77,2.76,2.76,0.36,0.01,25832.63,9188
2025/12/29,2.81,2.88,2.76,2.76,2.81,2.14,0.06,326860.63,117658
2025/12/28,2.81,2.9,2.81,2.81,2.81,2.85,0.08,96866.55,34127
2025/05/08,2.04,2.24,2.04,2.24,2.04,9.8,0.2,1358919.5,611481
2025/05/07,2.01,2.08,1.97,2.04,2.01,1.0,0.02,522389.06,260045
2025/05/06,2.01,2.01,1.96,2.01,2.01,-1.49,-0.03,35243.55,17746
2025/05/05,2.01,2.05,1.96,2.01,2.01,-2.49,-0.05,73701.17,37131
2025/05/04,1.97,2.06,1.96,2.01,1.97,1.52,0.03,572361.5,288805
2025/04/30,1.97,1.98,1.91,1.97,1.97,0.51,0.01,106798.29,55698
2025/04/29,1.91,1.99,1.9,1.97,1.91,3.66,0.07,370474.5,190294
2025/04/28,1.89,1.93,1.91,1.91,1.89,1.06,0.02,153587.38,80218
2025/04/27,1.89,1.95,1.86,1.89,1.89,0.0,0.0,292569.0,153634
2025/04/23,1.89,1.92,1.87,1.89,1.89,0.53,0.01,99229.54,52388
2025/04/22,1.91,1.9,1.86,1.89,1.91,-0.52,-0.01,203661.59,108030
2025/04/17,1.91,1.91,1.87,1.91,1.91,0.0,0.0,51000.0,26850
2025/04/16,1.91,1.98,1.89,1.91,1.91,-0.52,-0.01,60445.73,31763
2025/04/15,1.92,1.98,1.85,1.91,1.92,1.56,0.03,309175.66,162502
2025/04/14,1.92,1.89,1.84,1.92,1.92,-1.56,-0.03,39548.2,21285
2025/04/10,1.92,1.87,1.79,1.92,1.92,-4.17,-0.08,47521.65,25827
2025/04/09,1.92,1.89,1.78,1.92,1.92,-2.6,-0.05,17435.24,9649
2025/04/08,1.92,1.87,1.87,1.92,1.92,-2.6,-0.05,7.48,4
2025/04/07,1.92,1.87,1.77,1.92,1.92,-4.17,-0.08,6194.57,3401
2025/04/06,1.92,1.88,1.78,1.92,1.92,-7.29,-0.14,83957.58,46584
2025/03/27,1.92,1.87,1.8,1.92,1.92,-5.21,-0.1,1273.68,702
