«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,3.22,3.23,3.13,3.15,3.22,-2.17,-0.07,1.8236882E7,5760768
2026/01/12,3.26,3.28,3.2,3.22,3.26,-1.23,-0.04,1.5726027E7,4872465
2026/01/11,3.21,3.27,3.22,3.26,3.21,1.56,0.05,8631066.0,2658746
2026/01/08,3.3,3.29,3.21,3.21,3.3,-2.73,-0.09,1.0966664E7,3380580
2026/01/06,3.24,3.3,3.21,3.3,3.24,1.85,0.06,8698013.0,2667391
2026/01/05,3.3,3.3,3.22,3.24,3.3,-1.82,-0.06,1.4343971E7,4423129
2026/01/04,3.33,3.34,3.27,3.3,3.33,-0.9,-0.03,1.2885269E7,3916124
2025/12/31,3.31,3.33,3.29,3.33,3.31,0.6,0.02,2.4752992E7,7474759
2025/12/30,3.3,3.34,3.3,3.31,3.3,0.3,0.01,1.3948629E7,4201215
2025/12/29,3.34,3.36,3.3,3.3,3.34,-1.2,-0.04,1.3149548E7,3956442
2025/12/28,3.32,3.34,3.28,3.34,3.32,0.6,0.02,2.716845E7,8211888
2025/12/25,3.28,3.34,3.28,3.32,3.28,1.22,0.04,3.3812316E7,10186267
2025/12/24,3.21,3.31,3.22,3.28,3.21,2.18,0.07,4.2492792E7,12969451
2025/12/23,3.16,3.21,3.14,3.21,3.16,1.58,0.05,1.8233378E7,5746725
2025/12/22,3.15,3.17,3.14,3.16,3.15,0.32,0.01,8673554.0,2748610
2025/12/21,3.16,3.18,3.15,3.15,3.16,-0.32,-0.01,1.3077402E7,4131457
2025/12/18,3.15,3.17,3.12,3.16,3.15,0.32,0.01,2.6651858E7,8450533
2025/12/17,3.17,3.19,3.15,3.15,3.17,-0.63,-0.02,4667983.0,1478086
2025/12/16,3.2,3.2,3.15,3.17,3.2,-0.94,-0.03,1.0586706E7,3334332
2025/12/15,3.17,3.21,3.18,3.2,3.17,0.95,0.03,1.3815679E7,4322131
2025/12/14,3.19,3.22,3.17,3.17,3.19,-0.63,-0.02,1.5547327E7,4877296
2025/12/11,3.17,3.24,3.18,3.19,3.17,0.63,0.02,3.319761E7,10343824
2025/12/10,3.13,3.21,3.13,3.17,3.13,1.28,0.04,3.6777784E7,11548059
2025/12/09,3.12,3.14,3.12,3.13,3.12,0.32,0.01,6892738.5,2203589
2025/12/08,3.11,3.15,3.11,3.12,3.11,0.32,0.01,1.0578575E7,3379179
2025/12/07,3.09,3.13,3.09,3.11,3.09,0.65,0.02,1.8321708E7,5902158
2025/12/04,3.17,3.17,3.08,3.09,3.17,-2.52,-0.08,2.9098886E7,9346826
2025/12/03,3.15,3.22,3.12,3.17,3.15,0.63,0.02,2.5904868E7,8156169
2025/12/02,5.45,5.52,5.48,5.52,5.45,1.21,0.07,1.394782E7,2532609
2025/12/01,5.48,5.55,5.44,5.45,5.48,-0.48,-0.03,2.0029486E7,3648249
2025/11/30,5.47,5.53,5.48,5.48,5.47,0.24,0.01,1.6922776E7,3076891
2025/11/27,5.47,5.55,5.43,5.47,5.47,0.0,0.0,2.4262122E7,4427262
2025/11/26,5.47,5.56,5.45,5.47,5.47,0.0,0.0,1.1285729E7,2050704
2025/11/25,5.51,5.53,5.45,5.47,5.51,-0.72,-0.04,8580753.0,1560692
2025/11/24,5.52,5.56,5.37,5.51,5.52,-0.24,-0.01,3.6074644E7,6590694
2025/11/23,5.53,5.6,5.52,5.52,5.53,-0.24,-0.01,1.2810876E7,2311789
2025/11/20,5.55,5.6,5.52,5.53,5.55,-0.24,-0.02,1.4277882E7,2571054
2025/11/19,5.57,5.6,5.52,5.55,5.57,-0.48,-0.02,1.5785217E7,2843513
2025/11/18,5.68,5.69,5.55,5.57,5.68,-1.86,-0.11,2.0409738E7,3636835
2025/11/17,5.51,5.69,5.53,5.68,5.51,3.13,0.17,3.852962E7,6854611
2025/11/16,5.53,5.59,5.49,5.51,5.53,-0.48,-0.02,2.3952158E7,4333878
2025/11/13,5.52,5.57,5.47,5.53,5.52,0.24,0.01,2.803055E7,5072387
2025/11/12,5.56,5.6,5.49,5.52,5.56,-0.71,-0.04,2.7588646E7,4988184
2025/11/11,5.53,5.61,5.55,5.56,5.53,0.48,0.03,2.3156474E7,4154041
2025/11/10,5.59,5.67,5.53,5.53,5.59,-0.95,-0.06,3.0898932E7,5541521
2025/11/09,5.67,5.86,5.59,5.59,5.67,-1.4,-0.08,1.26558528E8,22115872
2025/11/06,5.51,5.7,5.41,5.67,5.51,2.88,0.16,8.5312704E7,15446563
2025/11/05,5.6,5.63,5.44,5.51,5.6,-1.65,-0.09,6.729052E7,12132083
2025/11/04,5.64,5.69,5.55,5.6,5.64,-0.7,-0.04,6.4226484E7,11469872
2025/11/03,5.69,5.73,5.59,5.64,5.69,-0.93,-0.05,2.5735616E7,4557303
2025/11/02,5.74,5.76,5.61,5.69,5.74,-0.92,-0.05,1.5477348E7,2726140
2025/10/30,5.82,5.86,5.72,5.74,5.82,-1.36,-0.08,2.6747584E7,4629653
2025/10/29,5.81,5.88,5.74,5.82,5.81,0.23,0.01,1.2846406E7,2214782
2025/10/28,5.89,5.92,5.77,5.81,5.89,-1.35,-0.08,1.9077174E7,3277270
2025/10/27,5.96,6.01,5.86,5.89,5.96,-1.11,-0.07,1.9908356E7,3361005
2025/10/26,5.88,6.0,5.86,5.96,5.88,1.35,0.08,2.1029326E7,3542568
2025/10/23,5.89,5.92,5.86,5.88,5.89,-0.22,-0.01,1.0214562E7,1737348
2025/10/22,5.93,5.97,5.88,5.89,5.93,-0.67,-0.04,1.4218737E7,2400719
2025/10/21,5.93,6.02,5.86,5.93,5.93,0.0,0.0,5.3446148E7,8964539
2025/10/20,5.8,5.93,5.74,5.93,5.8,2.28,0.13,4.0606424E7,6967177
2025/10/19,5.8,5.82,5.76,5.8,5.8,0.0,0.0,1.3914483E7,2400949
2025/10/16,5.8,5.81,5.74,5.8,5.8,0.0,0.0,1.9733116E7,3410565
2025/10/15,5.78,5.81,5.72,5.8,5.78,0.23,0.02,1.1688662E7,2024951
2025/10/14,5.68,5.85,5.68,5.78,5.68,1.86,0.1,3.3488028E7,5776740
2025/10/13,5.68,5.73,5.63,5.68,5.68,0.0,0.0,1.4299615E7,2516275
2025/10/12,5.7,5.7,5.63,5.68,5.7,-0.46,-0.02,8402255.0,1481462
2025/10/08,5.69,5.73,5.64,5.7,5.69,0.23,0.01,9923452.0,1745672
2025/10/07,5.64,5.7,5.59,5.69,5.64,0.94,0.05,1.7333216E7,3066725
2025/10/06,5.67,5.7,5.59,5.64,5.67,-0.47,-0.03,1.4372703E7,2553054
2025/10/05,5.72,5.74,5.67,5.67,5.72,-0.93,-0.05,1.2819106E7,2253957
2025/10/02,5.74,5.74,5.65,5.72,5.74,-0.46,-0.02,1.6328551E7,2866833
2025/10/01,5.61,5.76,5.56,5.74,5.61,2.36,0.13,4.7564752E7,8358132
2025/09/30,5.56,5.61,5.44,5.61,5.56,0.95,0.05,3.6724392E7,6647444
2025/09/29,5.56,5.64,5.52,5.56,5.56,0.0,0.0,2.389009E7,4282401
