«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,34.15,34.55,30.72,31.88,34.15,-6.65,-2.27,1.1203421E7,335912
2026/01/12,34.94,35.46,34.01,34.15,34.94,-2.26,-0.79,1.0894405E7,316418
2026/01/11,35.09,36.55,34.66,34.94,35.09,-0.43,-0.15,1.4662254E7,412340
2026/01/08,35.9,36.44,35.0,35.09,35.9,-2.26,-0.81,1.0917181E7,306834
2026/01/06,34.29,36.27,34.1,35.9,34.29,4.7,1.61,2.1765292E7,614842
2026/01/05,35.41,35.85,33.5,34.29,35.41,-3.16,-1.12,1.128414E7,325271
2026/01/04,36.33,36.79,35.25,35.41,36.33,-2.53,-0.92,1.0967334E7,306311
2025/12/31,36.6,37.07,36.15,36.33,36.6,-0.74,-0.27,1.1049509E7,302136
2025/12/30,36.99,37.57,36.5,36.6,36.99,-1.05,-0.39,2.2804834E7,615614
2025/12/29,37.9,38.01,36.94,36.99,37.9,-2.4,-0.91,1.8865302E7,506161
2025/12/28,36.7,37.99,35.96,37.9,36.7,3.27,1.2,5.0102728E7,1353512
2025/12/25,35.21,37.57,35.4,36.7,35.21,4.23,1.49,4.0258548E7,1094438
2025/12/24,35.91,36.69,35.01,35.21,35.91,-1.95,-0.7,2.7568678E7,772972
2025/12/23,33.7,36.63,34.0,35.91,33.7,6.56,2.21,5.1784868E7,1455081
2025/12/22,33.73,34.28,32.91,33.7,33.73,-0.09,-0.03,1.8382056E7,549746
2025/12/21,31.42,34.27,31.02,33.73,31.42,7.35,2.31,7.4956552E7,2264715
2025/12/18,30.89,31.45,30.56,31.42,30.89,1.72,0.53,1.834855E7,591345
2025/12/17,30.15,31.5,30.17,30.89,30.15,2.45,0.74,3.2454038E7,1048572
2025/12/16,29.95,31.2,29.8,30.15,29.95,0.67,0.2,3.305972E7,1084793
2025/12/15,29.19,31.18,29.17,29.95,29.19,2.6,0.76,4.6467792E7,1528003
2025/12/14,29.13,29.37,29.04,29.19,29.13,0.21,0.06,6588724.5,225785
2025/12/11,29.2,29.6,29.03,29.13,29.2,-0.24,-0.07,7750068.0,265019
2025/12/10,28.99,29.66,29.0,29.2,28.99,0.72,0.21,9849552.0,336242
2025/12/09,29.06,29.4,28.9,28.99,29.06,-0.03,-0.01,9625089.0,330782
2025/12/08,29.1,29.59,29.03,29.06,29.1,-0.14,-0.04,1.2688129E7,433358
2025/12/07,29.48,30.49,29.1,29.1,29.48,-1.29,-0.38,3.1774416E7,1072677
2025/12/04,29.79,30.8,29.18,29.48,29.79,-1.04,-0.31,1.823871E7,611701
2025/12/03,30.34,30.79,29.71,29.79,30.34,-1.81,-0.55,9288617.0,307705
2025/12/02,31.26,31.69,30.17,30.34,31.26,-2.94,-0.92,1.5684568E7,508014
2025/12/01,31.49,32.39,31.0,31.26,31.49,-0.73,-0.23,4.4734072E7,1409085
2025/11/30,30.43,32.49,30.21,31.49,30.43,3.48,1.06,7.146936E7,2270160
2025/11/27,31.23,32.75,30.32,30.43,31.23,-2.56,-0.8,1.02798584E8,3225886
2025/11/26,28.76,31.5,28.62,31.23,28.76,8.59,2.47,1.06396344E8,3533387
2025/11/25,28.01,29.44,27.7,28.76,28.01,2.68,0.75,3.5824004E7,1255384
2025/11/24,28.09,28.36,27.92,28.01,28.09,-0.28,-0.08,1.7857414E7,635052
2025/11/23,28.62,29.46,28.07,28.09,28.62,-1.85,-0.53,2.839869E7,984623
2025/11/20,26.73,29.25,26.8,28.62,26.73,7.07,1.89,6.5328824E7,2299646
2025/11/19,27.21,27.33,26.61,26.73,27.21,-1.76,-0.48,5029657.5,187127
2025/11/18,26.91,27.28,26.64,27.21,26.91,1.11,0.3,9011702.0,333869
2025/11/17,27.01,27.35,26.68,26.91,27.01,-0.37,-0.1,7371054.0,273968
2025/11/16,27.01,27.78,27.0,27.01,27.01,0.0,0.0,1.3504825E7,493565
2025/11/13,26.29,27.69,26.3,27.01,26.29,2.74,0.72,2.0258966E7,744523
2025/11/12,26.35,26.69,26.23,26.29,26.35,-0.23,-0.06,7043337.5,266212
2025/11/11,26.38,26.68,26.28,26.35,26.38,-0.11,-0.03,3602981.5,136097
2025/11/10,26.69,26.92,26.31,26.38,26.69,-1.16,-0.31,4060465.0,153129
2025/11/09,26.7,27.07,26.55,26.69,26.7,-0.04,-0.01,4585523.5,171047
2025/11/06,27.26,27.8,26.65,26.7,27.26,-2.05,-0.56,1.0335054E7,379980
2025/11/05,27.69,28.29,27.19,27.26,27.69,-1.55,-0.43,4.0019492E7,1441790
