«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,3.18,3.23,3.11,3.14,3.18,-1.26,-0.04,4.5140244E7,14194334
2026/01/12,3.17,3.18,3.1,3.18,3.17,0.32,0.01,3.0092452E7,9565901
2026/01/11,3.12,3.2,3.06,3.17,3.12,1.6,0.05,5.0351572E7,16110745
2026/01/08,3.14,3.25,3.09,3.12,3.14,-0.64,-0.02,6.1069936E7,19277082
2026/01/06,3.17,3.2,3.11,3.14,3.17,-0.95,-0.03,3.9358748E7,12489110
2026/01/05,3.07,3.2,3.0,3.17,3.07,3.26,0.1,6.0161332E7,19274855
2026/01/04,2.94,3.11,2.91,3.07,2.94,4.42,0.13,8.3438024E7,27547373
2025/12/31,2.96,2.99,2.83,2.94,2.96,-0.68,-0.02,3.4382884E7,11828737
2025/12/30,2.75,2.96,2.71,2.96,2.75,7.64,0.21,1.22508688E8,42538327
2025/12/29,2.51,2.79,2.51,2.75,2.51,9.56,0.24,6.9383176E7,25970539
2025/12/28,2.51,2.54,2.5,2.51,2.51,0.0,0.0,4458630.0,1769822
2025/12/25,2.53,2.57,2.5,2.51,2.53,-0.79,-0.02,5301776.5,2105032
2025/12/24,2.55,2.59,2.52,2.53,2.55,-0.78,-0.02,5234928.0,2052881
2025/12/23,2.49,2.56,2.44,2.55,2.49,2.41,0.06,1.149151E7,4580067
2025/12/22,2.5,2.64,2.48,2.49,2.5,-0.4,-0.01,3.2945442E7,12827390
2025/12/21,2.34,2.55,2.35,2.5,2.34,6.84,0.16,3.1885796E7,12915171
2025/12/18,2.34,2.39,2.34,2.34,2.34,0.0,0.0,4928733.5,2093684
2025/12/17,2.32,2.43,2.31,2.34,2.32,0.86,0.02,1.1616623E7,4893063
2025/12/16,2.35,2.39,2.32,2.32,2.35,-1.28,-0.03,5717483.5,2438799
2025/12/15,2.38,2.44,2.35,2.35,2.38,-0.84,-0.02,8611768.0,3602873
2025/12/14,2.35,2.44,2.35,2.38,2.35,1.28,0.03,6756252.0,2814081
2025/12/11,2.37,2.41,2.33,2.35,2.37,-0.84,-0.02,3651475.75,1546551
2025/12/10,2.36,2.45,2.36,2.37,2.36,0.42,0.01,7446485.0,3105984
2025/12/09,2.4,2.45,2.36,2.36,2.4,-1.67,-0.04,9149625.0,3812253
2025/12/08,2.32,2.49,2.34,2.4,2.32,3.45,0.08,1.7750312E7,7376258
2025/12/07,2.22,2.38,2.23,2.32,2.22,4.5,0.1,1.0988295E7,4725930
2025/12/04,2.26,2.27,2.21,2.22,2.26,-1.77,-0.04,3749082.25,1677423
2025/12/03,2.25,2.27,2.24,2.26,2.25,-0.44,-0.01,2065507.5,916395
2025/12/02,2.29,2.31,2.24,2.25,2.29,-1.75,-0.04,5364286.5,2371701
2025/12/01,2.3,2.33,2.28,2.29,2.3,-0.43,-0.01,2327620.0,1009731
2025/11/30,2.29,2.32,2.28,2.3,2.29,0.87,0.02,1619158.0,704658
2025/11/27,2.27,2.3,2.26,2.29,2.27,0.88,0.02,1800432.5,787761
2025/11/26,2.31,2.34,2.27,2.27,2.31,-1.73,-0.04,2503352.0,1093731
2025/11/25,2.4,2.42,2.31,2.31,2.4,-3.75,-0.09,3920915.75,1663938
2025/11/24,2.38,2.42,2.37,2.4,2.38,0.84,0.02,1953362.13,815532
2025/11/23,2.4,2.42,2.38,2.38,2.4,0.0,0.0,2044656.88,852395
2025/11/20,2.39,2.44,2.4,2.4,2.39,0.42,0.01,2878343.5,1192604
2025/11/19,2.42,2.47,2.36,2.39,2.42,-1.24,-0.03,4678559.5,1945911
2025/11/18,2.43,2.52,2.41,2.42,2.43,-0.41,-0.01,5660130.5,2298260
2025/11/17,2.43,2.46,2.41,2.43,2.43,0.0,0.0,3503765.0,1440795
2025/11/16,2.45,2.49,2.43,2.43,2.45,-0.82,-0.02,3974879.75,1617716
2025/11/13,2.52,2.54,2.43,2.45,2.52,-2.78,-0.07,1.2112735E7,4881836
