«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,9.8,9.82,9.54,9.63,9.8,-1.02,-0.1,1731430.38,178232
2026/01/12,9.87,9.97,9.77,9.8,9.87,-0.71,-0.07,2940754.0,299231
2026/01/11,10.0,10.2,9.81,9.87,10.0,-1.3,-0.13,1801454.25,180940
2026/01/08,10.18,10.29,9.91,10.0,10.18,-2.65,-0.27,773789.69,77044
2026/01/06,9.88,10.39,9.87,10.18,9.88,4.15,0.41,1243624.13,122176
2026/01/05,10.06,10.18,9.85,9.88,10.06,-2.09,-0.21,1397598.63,140594
2026/01/04,10.24,10.31,10.01,10.06,10.24,-1.07,-0.11,1216375.75,120355
2025/12/31,10.28,10.35,10.2,10.24,10.28,-0.39,-0.04,1682368.88,164268
2025/12/30,10.54,10.59,10.24,10.28,10.54,-2.47,-0.26,2043608.25,197644
2025/12/29,10.49,10.7,10.31,10.54,10.49,0.48,0.05,1889503.75,180985
2025/12/28,10.51,10.64,10.47,10.49,10.51,-0.19,-0.02,1846553.25,175702
2025/12/25,10.58,10.7,10.5,10.51,10.58,-0.66,-0.07,1522783.88,144130
2025/12/24,10.57,10.8,10.45,10.58,10.57,1.04,0.11,6069377.0,572095
2025/12/23,10.68,10.83,10.52,10.57,10.68,-0.28,-0.03,4176394.0,391492
2025/12/22,10.55,10.75,10.42,10.68,10.55,1.9,0.2,2979703.75,282363
2025/12/21,10.22,10.8,10.08,10.55,10.22,3.23,0.33,1.1570152E7,1096227
2025/12/18,9.87,10.3,9.8,10.22,9.87,4.36,0.43,4332710.5,434511
2025/12/17,9.72,9.89,9.61,9.87,9.72,1.54,0.15,3731738.0,383009
2025/12/16,10.05,10.47,10.0,10.39,10.05,4.18,0.42,2596050.25,256525
2025/12/15,10.14,10.22,10.03,10.05,10.14,-0.89,-0.09,2108901.25,209084
