«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2025/12/04,2.11,2.53,2.53,2.11,2.11,19.91,0.42,25.3,10
2025/09/24,2.11,2.53,2.53,2.11,2.11,19.91,0.42,796.95,315
2025/06/24,2.11,2.53,2.53,2.11,2.11,19.91,0.42,253.0,100
2025/04/30,2.11,2.11,2.11,2.11,2.11,0.0,0.0,857.63,8
2025/02/24,2.11,2.53,2.53,0.0,2.11,19.91,0.42,3316.83,1311
2024/12/02,2.11,2.53,2.53,2.11,2.11,19.91,0.42,2530.0,1000
2024/11/12,2.11,2.53,2.53,2.11,2.11,19.91,0.42,260.59,103
2024/11/04,2.11,2.53,2.53,2.11,2.11,19.91,0.42,141.68,56
2024/06/26,2.11,2.48,2.48,2.11,2.11,17.540001,0.37,493.52,199
2024/05/09,2.11,2.53,2.53,2.11,2.11,19.91,0.42,5060.0,2000
2024/03/26,2.11,2.53,2.53,2.11,2.11,19.91,0.42,3316.830078,1311
2024/03/18,2.112,2.534,2.534,2.112,2.112,19.980999,0.422,4183.633984,1651
2024/03/17,1.76,2.112,2.112,2.112,1.76,20.0,0.352,6336.0,3000
2024/02/20,1.76,2.11,2.11,1.76,1.76,19.886,0.35,10.55,5
2024/02/18,1.76,2.11,2.11,1.76,1.76,19.886,0.35,10.55,5
2024/02/04,1.76,2.11,2.11,1.76,1.76,19.886,0.35,930.509961,441
2023/12/03,1.76,2.11,2.11,1.76,1.76,19.889999,0.35,211.0,100
2023/11/27,1.76,2.11,2.11,1.76,1.76,19.889999,0.35,1329.300049,630
2023/11/21,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,402.220001,91
2023/11/14,3.69,4.41,4.41,3.69,3.69,19.51,0.72,44.099998,10
2023/10/26,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,906.099976,205
2023/10/23,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,22.1,5
2023/10/22,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/10/18,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,808.859985,183
2023/10/11,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,844.219971,191
2023/08/20,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,9326.200195,2110
2023/07/12,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,119.339996,27
2023/07/04,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/26,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/25,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/22,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/21,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/20,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/19,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/18,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/15,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/14,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/13,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/12,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/11,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/08,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/07,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/06,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/05,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,70.720001,16
2023/06/04,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/06/01,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/05/31,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4.42,1
2023/03/15,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,442.0,100
2023/02/15,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,884.0,200
2023/01/30,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,53.040001,12
2023/01/19,3.69,4.42,4.41,3.69,3.69,19.780001,0.73,5804.399902,1315
2022/12/28,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,521.559998,118
2022/12/20,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,4420.0,1000
2022/12/11,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,3487.379883,789
2022/12/05,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,1600.040039,362
2022/11/29,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,495.040009,112
2022/11/27,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,3558.100098,805
2022/11/24,3.69,4.42,4.42,3.69,3.69,19.780001,0.73,2550.340088,577
2022/11/23,3.69,4.42,4.4,3.69,3.69,19.780001,0.73,2611.219971,591
2022/11/22,3.08,3.69,3.69,3.69,3.08,19.809999,0.61,45091.800781,12220
2022/10/18,3.08,3.69,3.45,3.08,3.08,19.809999,0.61,502.450012,142
2022/10/17,3.08,3.69,3.41,3.08,3.08,19.809999,0.61,587.380005,168
2022/10/03,3.08,3.69,3.69,0.0,3.08,19.809999,0.61,3690.0,1000
2022/10/02,3.08,3.69,3.69,3.08,3.08,19.809999,0.61,1107.0,300
2022/09/18,3.08,3.69,3.69,3.08,3.08,19.809999,0.61,1107.0,300
2022/09/04,3.08,3.69,3.69,3.08,3.08,19.809999,0.61,4339.439941,1176
2022/08/31,3.08,3.69,3.69,3.08,3.08,19.809999,0.61,2881.889893,781
2022/08/30,3.08,3.67,3.66,3.08,3.08,19.16,0.59,4847.569824,1321
2022/08/28,3.08,3.67,3.33,3.08,3.08,8.12,0.25,2491.77002,694
2022/08/24,3.22,3.4,3.07,3.08,3.22,-4.66,-0.15,260056.703125,84560
2022/08/15,3.2,3.22,3.22,3.22,3.2,0.62,0.02,92430.101563,28705
2022/08/14,3.2,3.37,3.2,3.2,3.2,5.31,0.17,4215.649902,1295
2022/08/10,3.05,3.22,3.2,3.2,3.05,4.92,0.15,29788.199219,9306
2022/08/09,3.05,3.4,3.2,3.05,3.05,8.2,0.25,13589.450195,4200
2022/08/08,3.05,3.66,3.64,3.05,3.05,20.0,0.61,660.289978,181
2022/08/07,3.05,3.65,3.65,3.05,3.05,19.67,0.6,284.700012,78
2022/07/24,3.2,3.77,3.6,3.2,3.2,17.809999,0.57,2031.47998,555
2022/07/21,3.2,3.21,3.2,3.2,3.2,0.0,0.0,4800.009766,1500
2022/07/20,3.2,3.2,3.2,3.2,3.2,0.0,0.0,4800.0,1500
2022/07/07,3.2,3.2,3.0,3.2,3.2,0.0,0.0,22831.199219,7135
2022/06/22,3.2,3.75,3.75,3.2,3.2,17.190001,0.55,150.0,40
2022/06/19,3.2,3.2,3.2,3.2,3.2,0.0,0.0,3200.0,1000
2022/06/16,3.2,3.2,3.2,3.2,3.2,0.0,0.0,1600.0,500
2022/06/15,3.2,3.2,3.2,3.2,3.2,0.0,0.0,3200.0,1000
2022/06/14,3.2,3.21,3.2,3.2,3.2,0.0,0.0,5607.629883,1750
2022/06/12,3.2,3.83,3.83,3.2,3.2,19.690001,0.63,38.299999,10
2022/06/08,3.2,3.2,3.2,3.2,3.2,0.0,0.0,6400.0,2000
2022/06/07,3.2,3.83,3.83,3.2,3.2,19.690001,0.63,38.299999,10
2022/06/06,3.2,3.2,3.2,3.2,3.2,0.0,0.0,4480.0,1400
2022/05/25,3.2,3.2,3.2,3.2,3.2,0.0,0.0,4800.0,1500
2022/05/22,3.2,3.2,3.2,3.2,3.2,0.0,0.0,12800.0,4000
2022/05/19,3.2,3.2,3.2,3.2,3.2,0.0,0.0,41600.0,13000
2022/05/18,3.2,3.2,3.2,3.2,3.2,0.0,0.0,11200.0,3500
2022/05/17,3.35,3.32,3.2,3.2,3.35,-4.48,-0.15,135021.234375,42185
2022/05/16,4.0,3.84,3.35,3.35,4.0,-16.25,-0.65,146882.15625,43835
2022/05/11,4.0,4.0,4.0,4.0,4.0,0.0,0.0,2000.0,500
2022/05/10,4.1,4.01,4.0,4.0,4.1,-2.44,-0.1,22008.400391,5502
2022/05/09,4.1,4.47,4.47,4.1,4.1,9.02,0.37,406.769989,91
2022/04/05,4.1,4.67,4.67,4.1,4.1,13.9,0.57,46.700001,10
2022/03/13,4.1,4.18,4.18,4.1,4.1,1.95,0.08,384.559998,92
2022/03/07,4.1,4.18,4.16,4.1,4.1,1.46,0.06,626.26001,150
2022/03/01,4.1,4.22,4.21,4.1,4.1,2.68,0.11,1054.02002,250
2022/02/20,4.1,4.16,4.16,4.1,4.1,1.46,0.06,20.799999,5
2022/02/15,4.1,4.44,4.44,4.1,4.1,8.29,0.34,2664.0,600
2022/02/14,4.1,4.24,4.24,4.1,4.1,3.41,0.14,636.0,150
2022/02/13,4.1,4.24,4.16,4.1,4.1,1.46,0.06,4398.600098,1050
2022/02/10,4.1,4.2,4.2,4.1,4.1,2.44,0.1,2310.0,550
2022/02/08,4.1,4.17,4.17,4.1,4.1,1.71,0.07,208.5,50
