«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,15.65,16.25,15.45,15.85,15.65,1.28,0.2,2.7807666E7,1749065
2026/01/12,15.77,15.95,15.6,15.65,15.77,-0.76,-0.12,1.820807E7,1151192
2026/01/11,15.21,15.86,15.13,15.77,15.21,3.68,0.56,1.5491097E7,998086
2026/01/08,15.27,15.39,15.14,15.21,15.27,-0.39,-0.06,5705378.5,373905
2026/01/06,15.11,15.39,15.1,15.27,15.11,1.06,0.16,1485687.13,97582
2026/01/05,15.3,15.39,15.1,15.11,15.3,-1.18,-0.18,1544097.38,101906
2026/01/04,15.39,15.44,15.2,15.3,15.39,-0.58,-0.09,2052977.25,134300
2025/12/31,15.3,15.44,15.2,15.39,15.3,0.59,0.09,3755838.0,245757
2025/12/30,15.28,15.47,15.16,15.3,15.28,0.13,0.02,3914896.75,255572
2025/12/29,15.32,15.4,15.21,15.28,15.32,-0.26,-0.04,2014061.38,131900
2025/12/28,15.5,15.51,15.3,15.32,15.5,-1.16,-0.18,1431456.25,93272
2025/12/25,15.25,15.5,15.22,15.5,15.25,0.98,0.15,3591676.25,233379
2025/12/24,15.13,15.49,15.2,15.25,15.13,0.79,0.12,7311366.0,478119
2025/12/23,15.27,15.55,15.1,15.13,15.27,-0.92,-0.14,3251993.0,213506
2025/12/22,15.31,15.54,15.12,15.27,15.31,-0.26,-0.04,2456477.75,159915
2025/12/21,15.2,15.5,15.0,15.31,15.2,0.72,0.11,2046727.75,134229
2025/12/18,15.38,15.5,15.19,15.2,15.38,-1.17,-0.18,6591644.0,431201
2025/12/17,15.55,15.64,15.3,15.38,15.55,-1.09,-0.17,2866178.5,185750
2025/12/16,15.68,15.8,15.47,15.55,15.68,-0.83,-0.13,5541537.0,355233
2025/12/15,15.4,15.89,15.4,15.68,15.4,1.95,0.3,8320826.0,531263
2025/12/14,15.4,15.55,15.33,15.4,15.4,0.0,0.0,5514185.5,357408
2025/12/11,15.4,15.57,15.39,15.4,15.4,0.0,0.0,6596837.5,426265
2025/12/10,15.39,15.53,15.3,15.4,15.39,0.26,0.04,2658239.0,173064
2025/12/09,15.43,15.6,15.25,15.39,15.43,-0.26,-0.04,8392175.0,548662
2025/12/08,15.54,15.65,15.36,15.43,15.54,-0.71,-0.11,4965528.5,320808
2025/12/07,15.64,15.85,15.51,15.54,15.64,-0.58,-0.09,942918.06,60373
2025/12/04,15.79,15.9,15.53,15.64,15.79,-0.95,-0.15,1.4522643E7,921973
2025/12/03,15.08,15.98,15.07,15.79,15.08,4.71,0.71,1.5509466E7,992141
2025/12/02,15.03,15.39,15.02,15.08,15.03,0.33,0.05,2547717.75,168822
2025/12/01,15.0,15.47,14.95,15.03,15.0,0.2,0.03,9391301.0,621287
2025/11/30,15.0,15.19,14.92,15.0,15.0,0.13,0.02,4812560.0,320519
2025/11/27,15.12,15.25,14.92,15.0,15.12,-0.79,-0.12,6562422.0,436669
2025/11/26,15.12,15.3,15.07,15.12,15.12,0.0,0.0,1649666.13,108843
2025/11/25,15.1,15.7,15.06,15.12,15.1,0.0,0.0,7534938.5,492186
2025/11/24,15.52,15.7,15.1,15.1,15.52,-2.71,-0.42,6737348.5,439497
2025/11/23,15.32,15.8,15.3,15.52,15.32,0.2,0.03,6389845.0,410181
2025/11/20,15.38,15.46,15.26,15.32,15.38,-0.39,-0.06,2169542.25,141546
2025/11/19,15.5,15.6,15.21,15.38,15.5,-0.65,-0.1,1.1326527E7,736638
2025/11/18,15.6,15.6,15.26,15.5,15.6,-0.64,-0.1,3081791.0,199686
2025/11/17,15.99,15.9,15.5,15.6,15.99,-2.44,-0.39,1.0998905E7,705635
2025/11/16,15.96,16.2,15.6,15.99,15.96,0.19,0.03,1.810751E7,1142572
2025/11/13,16.2,16.73,15.9,15.96,16.2,-1.48,-0.24,3.7268632E7,2299460
2025/11/12,15.81,16.3,15.57,16.2,15.81,2.47,0.39,5.320366E7,3337799
2025/11/11,14.18,15.84,14.3,15.81,14.18,11.5,1.63,1.91126416E8,12484140
2025/11/10,14.35,14.35,14.17,14.18,14.35,-1.18,-0.17,9023721.0,632876
2025/11/09,14.31,14.4,14.27,14.35,14.31,0.28,0.04,7366471.0,513898
2025/11/06,14.2,14.58,14.17,14.31,14.2,0.77,0.11,3.608946E7,2502399
2025/11/05,14.19,14.4,13.7,14.2,14.19,0.07,0.01,1.8966748E7,1336349
2025/11/04,14.25,14.3,14.11,14.19,14.25,-0.49,-0.07,9120439.0,642606
2025/11/03,14.1,14.25,13.95,14.25,14.1,1.06,0.15,3.0129914E7,2121699
2025/11/02,14.1,14.45,14.02,14.1,14.1,0.0,0.0,2.1207088E7,1488753
2025/10/30,13.96,14.33,13.95,14.1,13.96,1.0,0.14,1.477526E7,1042390
2025/10/29,13.9,14.08,13.76,13.96,13.9,0.43,0.06,7138706.0,511952
2025/10/28,14.04,14.19,13.83,13.9,14.04,-1.0,-0.14,7618988.5,546731
2025/10/27,14.01,14.99,14.0,14.04,14.01,0.14,0.02,2.6357174E7,1843388
2025/10/26,13.9,14.38,13.95,14.01,13.9,1.37,0.19,8563345.0,606693
2025/10/23,13.6,14.1,13.53,13.9,13.6,2.21,0.3,1.1716684E7,841025
2025/10/22,13.6,13.78,13.42,13.6,13.6,0.0,0.0,2710875.0,199616
2025/10/21,13.63,13.77,13.5,13.6,13.63,-0.22,-0.03,2902995.75,213844
2025/10/20,13.5,13.8,13.55,13.63,13.5,0.96,0.13,6272719.5,458047
2025/10/19,13.28,13.7,13.3,13.5,13.28,1.66,0.22,7783533.0,573814
2025/10/16,13.06,13.32,13.0,13.28,13.06,1.68,0.22,4025462.75,304070
2025/10/15,13.05,13.16,12.99,13.06,13.05,0.08,0.01,3388661.75,259262
2025/10/14,12.9,13.07,12.9,13.05,12.9,1.16,0.15,8272185.0,636791
2025/10/13,12.97,13.0,12.85,12.9,12.97,-0.54,-0.07,7555654.0,582995
2025/10/12,12.97,13.0,12.9,12.97,12.97,0.0,0.0,2034784.0,156886
2025/10/08,13.0,13.2,12.87,12.97,13.0,-0.38,-0.05,3950886.25,302840
2025/10/07,13.0,13.03,12.83,13.0,13.0,0.0,0.0,2732863.5,211129
2025/10/06,13.09,13.18,12.75,13.0,13.09,-0.69,-0.09,1.0287821E7,795284
2025/10/05,12.39,13.39,12.58,13.09,12.39,5.65,0.7,1.4585367E7,1107908
2025/10/02,12.32,12.46,12.32,12.39,12.32,0.57,0.07,926989.31,74886
2025/10/01,12.38,12.5,12.3,12.32,12.38,-0.32,-0.04,3327262.0,269006
