«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2022/10/24,22.0,0.5,0.5,0.5,22.0,-97.73,-21.5,247.5,495
2022/01/31,22.0,3.11,3.11,22.0,22.0,-85.86,-18.89,34.21,11
2021/08/09,22.0,21.9,21.9,22.0,22.0,-0.45,-0.1,219.0,10
2021/07/14,22.0,24.0,24.0,22.0,22.0,9.09,2.0,24.0,1
2021/06/16,12.0,22.0,22.0,22.0,12.0,83.33,10.0,3300.0,150
2021/05/17,12.0,25.0,25.0,12.0,12.0,108.33,13.0,250.0,10
2020/12/14,10.0,12.0,12.0,12.0,10.0,20.0,2.0,2400.0,200
2020/10/12,10.0,10.0,10.0,10.0,10.0,0.0,0.0,1000.0,100
2020/09/30,15.0,10.0,10.0,10.0,15.0,-33.33,-5.0,2000.0,200
2020/09/02,2.0,15.0,15.0,15.0,2.0,650.0,13.0,2175.0,145
2020/07/29,2.0,10.0,10.0,2.0,2.0,0.0,0.0,550.0,55
2020/06/08,2.0,2.0,2.0,2.0,2.0,0.0,0.0,800.0,400
