«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,60.5,61.0,59.5,59.85,60.5,-1.07,-0.65,4.22046E7,703154
2026/01/12,61.2,61.55,60.5,60.5,61.2,-1.14,-0.7,5739066.5,94049
2026/01/11,61.3,61.99,61.16,61.2,61.3,-0.16,-0.1,4560493.0,74184
2026/01/08,62.0,62.68,61.28,61.3,62.0,-1.13,-0.7,9005411.0,145896
2026/01/06,62.1,62.75,61.51,62.0,62.1,-0.16,-0.1,4.0294592E7,647244
2026/01/05,62.7,63.5,62.0,62.1,62.7,-0.96,-0.6,2.1163278E7,339395
2026/01/04,62.25,63.99,62.11,62.7,62.25,0.72,0.45,3.2329554E7,510419
2025/12/31,62.07,63.71,61.79,62.25,62.07,0.29,0.18,4.0225284E7,641130
2025/12/30,63.67,64.48,61.05,62.07,63.67,-2.51,-1.6,5.0534552E7,802732
2025/12/29,62.71,65.5,62.76,63.67,62.71,1.53,0.96,6.1838316E7,959414
2025/12/28,61.9,63.4,61.8,62.71,61.9,1.31,0.81,1.9544338E7,311155
2025/12/25,62.18,62.9,61.9,61.9,62.18,-0.45,-0.28,2.6598638E7,426554
2025/12/24,62.23,63.0,61.9,62.18,62.23,-0.08,-0.05,1.9721056E7,316529
2025/12/23,61.2,62.65,61.36,62.23,61.2,1.68,1.03,3.0503372E7,490138
2025/12/22,60.82,62.49,60.83,61.2,60.82,0.62,0.38,2.9443916E7,477724
2025/12/21,61.39,61.99,60.65,60.82,61.39,-0.93,-0.57,2.489202E7,407760
2025/12/18,62.0,62.48,61.3,61.39,62.0,-0.98,-0.61,1.8282952E7,296814
2025/12/17,61.93,62.98,61.55,62.0,61.93,0.11,0.07,1.4325376E7,229661
2025/12/16,62.04,63.0,61.76,61.93,62.04,-0.18,-0.11,1.0767381E7,172751
2025/12/15,62.72,63.47,62.02,62.04,62.72,-1.08,-0.68,5.7889604E7,923450
2025/12/14,62.81,64.0,62.67,62.72,62.81,-0.14,-0.09,2.642094E7,417872
2025/12/11,62.5,64.99,62.81,62.81,62.5,0.5,0.31,6.5817888E7,1027110
2025/12/10,62.26,63.5,62.4,62.5,62.26,0.39,0.24,3.9922624E7,634713
2025/12/09,61.52,62.7,61.57,62.26,61.52,1.2,0.74,2.937549E7,474395
2025/12/08,61.01,63.33,61.1,61.52,61.01,0.84,0.51,4.0957768E7,657396
2025/12/07,60.98,62.79,60.75,61.01,60.98,0.05,0.03,2.724285E7,444770
2025/12/04,61.0,62.2,60.2,60.98,61.0,-0.03,-0.02,1.4538575E7,237733
2025/12/03,60.1,64.39,60.1,61.0,60.1,1.5,0.9,6.7479208E7,1072597
2025/12/02,60.64,61.3,60.0,60.1,60.64,-0.89,-0.54,1.9694868E7,324997
2025/12/01,61.55,62.95,60.5,60.64,61.55,-1.48,-0.91,1.6680265E7,271164
2025/11/30,62.85,63.45,61.1,61.55,62.85,-2.07,-1.3,4.1830624E7,669231
2025/11/27,59.27,64.89,59.1,62.85,59.27,6.04,3.58,7.7644136E7,1229247
2025/11/26,60.79,61.5,59.04,59.27,60.79,-2.5,-1.52,4.0673456E7,668126
2025/11/25,62.0,63.79,60.66,60.79,62.0,-1.95,-1.21,3.2339932E7,523180
2025/11/24,64.0,64.6,61.5,62.0,64.0,-3.13,-2.0,2.7529896E7,436413
2025/11/23,65.3,65.87,63.85,64.0,65.3,-1.99,-1.3,2.3363468E7,360238
2025/11/20,65.6,67.85,65.2,65.3,65.6,-0.46,-0.3,4.116564E7,618434
2025/11/19,65.0,66.9,64.41,65.6,65.0,0.92,0.6,3.9309768E7,596655
2025/11/18,66.71,67.66,65.0,65.0,66.71,-2.56,-1.71,4.2272796E7,639809
2025/11/17,66.6,68.22,66.6,66.71,66.6,0.17,0.11,5.268512E7,782309
2025/11/16,69.25,70.9,66.53,66.6,69.25,-3.83,-2.65,6.5461828E7,953908
2025/11/13,72.5,75.0,69.25,69.25,72.5,-4.48,-3.25,2.54398064E8,3501737
2025/11/12,66.26,72.5,66.55,72.5,66.26,9.42,6.24,3.15078912E8,4455806
2025/11/11,66.25,67.76,65.73,66.26,66.25,0.02,0.01,4.3387628E7,653272
