«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,288.55,290.0,285.0,285.25,288.55,-1.23,-3.55,987228.75,3446
2026/01/12,288.51,290.0,288.0,288.55,288.51,0.01,0.04,546069.5,1892
2026/01/11,290.15,292.43,288.0,288.51,290.15,-0.57,-1.64,527569.38,1825
2026/01/08,290.88,292.5,289.0,290.15,290.88,-0.25,-0.73,1011934.5,3488
2026/01/06,289.6,293.98,288.4,290.88,289.6,-0.03,-0.09,501143.34,1726
2026/01/05,291.76,294.93,288.0,289.6,291.76,-1.16,-3.39,574923.56,1983
2026/01/04,293.12,297.85,290.3,291.76,293.12,-0.76,-2.23,1397992.63,4783
2025/12/31,293.37,299.49,292.19,293.12,293.37,0.21,0.63,1779686.38,6059
2025/12/30,296.11,304.39,292.0,293.37,296.11,-0.93,-2.74,1585527.13,5356
2025/12/29,300.3,310.5,295.0,296.11,300.3,-1.4,-4.19,4978248.0,16575
2025/12/28,290.76,315.99,290.99,299.29,290.76,2.92,8.53,1.0296942E7,33731
2025/12/25,295.88,306.99,288.99,290.76,295.88,-1.97,-5.85,3512575.25,11913
2025/12/24,279.87,318.99,277.14,295.88,279.87,5.7,16.01,1.616711E7,52906
2025/12/23,284.08,286.88,278.99,279.87,284.08,-1.48,-4.21,1626529.88,5771
2025/12/22,287.46,292.98,283.12,284.08,287.46,-1.17,-3.38,1513407.88,5284
2025/12/21,290.09,294.99,287.02,287.46,290.09,-0.9,-2.63,1600340.5,5514
2025/12/18,293.6,296.99,284.99,290.09,293.6,-1.19,-3.51,3683411.75,12654
2025/12/17,287.91,313.99,275.0,293.6,287.91,1.97,5.69,1.0639874E7,35256
2025/12/16,296.74,297.99,287.0,287.91,296.74,-3.27,-9.74,2371821.75,8111
2025/12/15,299.73,301.68,295.6,296.74,299.73,-0.99,-2.99,1685584.63,5659
2025/12/14,302.37,304.45,290.01,299.73,302.37,-0.87,-2.64,2180935.0,7278
2025/12/11,302.0,307.98,295.2,302.37,302.0,0.12,0.37,3125572.75,10392
2025/12/10,305.4,307.99,300.02,302.0,305.4,-1.11,-3.41,3376480.5,11046
2025/12/09,306.67,311.11,303.99,305.4,306.67,-0.41,-1.27,3594129.0,11692
2025/12/08,306.25,314.94,305.09,306.67,306.25,0.14,0.42,4519265.5,14600
2025/12/07,314.12,319.98,300.21,306.25,314.12,-2.5,-7.87,5356253.5,17189
2025/12/04,324.28,327.99,313.99,314.12,324.28,-3.12,-10.16,6889914.5,21514
2025/12/03,325.44,335.59,321.99,324.28,325.44,-0.36,-1.16,1.9370846E7,58859
2025/12/02,332.16,347.97,319.13,325.44,332.16,-2.02,-6.72,1.9261714E7,57609
2025/12/01,349.53,358.89,331.99,332.16,349.53,-4.96,-17.370001,2.7110056E7,78429
2025/11/30,328.99,360.99,329.14,349.53,328.99,6.22,20.540001,5.6333332E7,160529
2025/11/27,329.06,345.99,328.79,328.99,329.06,-0.02,-0.07,2.6449996E7,78443
2025/11/26,316.0,353.99,316.1,329.06,316.0,4.12,13.06,6.551858E7,193416
2025/11/25,298.99,335.99,290.99,316.0,298.99,5.67,17.01,9.3134872E7,293370
2025/11/24,274.01,317.99,268.99,298.99,274.01,9.08,24.98,4.379752E7,145649
2025/11/23,281.49,285.99,273.99,274.01,281.49,-2.65,-7.48,4541144.0,16328
2025/11/20,295.99,296.79,270.0,281.49,295.99,-4.88,-14.5,2.5895542E7,90220
2025/11/19,261.46,308.79,261.49,295.99,261.46,13.16,34.529999,6.563284E7,222600
2025/11/18,277.85,284.99,259.99,261.46,277.85,-5.88,-16.389999,8314496.5,30670
2025/11/17,276.7,290.94,276.79,277.85,276.7,0.41,1.15,1.7886858E7,62974
2025/11/16,276.43,293.99,274.99,276.7,276.43,0.1,0.27,1.5003253E7,52505
2025/11/13,278.96,297.99,273.04,276.43,278.96,-0.9,-2.53,4.060254E7,140844
2025/11/12,295.64,315.99,272.02,278.96,295.64,-5.62,-16.68,4.563954E7,155627
2025/11/11,246.2,295.64,240.21,295.64,246.2,20.0,49.439999,6.4644052E7,236523
2025/11/10,255.99,265.89,244.99,246.2,255.99,-3.81,-9.79,2.3096898E7,91169
2025/11/09,239.65,283.96,249.09,255.99,239.65,6.79,16.34,6.0766824E7,225108
2025/11/06,199.54,239.65,202.05,239.65,199.54,20.0,40.110001,5.31266E7,236828
2025/11/05,196.33,202.48,196.99,199.54,196.33,0.33,0.66,569329.81,2836
2025/11/04,196.88,199.99,194.99,196.33,196.88,-0.96,-1.89,381189.19,1932
2025/11/03,198.59,205.99,195.03,196.88,198.59,-1.55,-3.1,710174.81,3555
2025/11/02,196.81,203.99,196.99,198.59,196.81,0.35,0.69,1350892.75,6764
2025/10/30,196.09,211.99,194.04,196.81,196.09,-0.05,-0.1,4229246.0,20773
2025/10/29,196.09,198.89,194.04,196.09,196.09,1.41,2.78,138012.16,699
2025/10/28,196.09,198.98,195.99,196.09,196.09,1.42,2.8,79646.87,399
2025/10/27,195.81,198.99,194.04,196.09,195.81,1.62,3.18,441543.25,2243
2025/10/26,197.74,200.95,194.01,195.81,197.74,-1.88,-3.73,461565.03,2334
2025/10/23,199.37,202.49,194.1,197.74,199.37,-0.81,-1.63,478968.44,2407
2025/10/22,197.3,203.88,196.5,199.37,197.3,1.04,2.07,1215794.25,6081
2025/10/21,194.69,207.79,192.0,197.3,194.69,0.92,1.81,2847172.25,14068
2025/10/20,196.06,201.89,189.14,194.69,196.06,1.49,2.93,1104669.0,5700
2025/10/19,187.59,205.99,185.29,196.06,187.59,3.39,6.4,3360847.0,16920
2025/10/16,187.59,187.99,185.99,187.59,187.59,-0.85,-1.6,216560.7,1157
2025/10/15,187.32,188.95,185.3,187.59,187.32,0.09,0.17,339066.25,1798
2025/10/14,187.32,187.99,186.0,187.32,187.32,-0.7,-1.32,215390.48,1146
2025/10/13,187.32,188.98,185.5,187.32,187.32,0.36,0.67,111429.16,592
2025/10/12,187.32,190.99,183.99,187.32,187.32,0.0,0.0,307144.81,1634
2025/10/08,188.85,190.99,184.01,187.32,188.85,-1.77,-3.36,427631.78,2273
2025/10/07,186.33,191.99,183.99,188.85,186.33,-0.29,-0.54,388744.03,2053
2025/10/06,186.33,188.99,184.99,186.33,186.33,-0.72,-1.34,129031.45,685
2025/10/05,185.1,192.79,181.11,186.33,185.1,-0.06,-0.11,301956.34,1612
2025/10/02,182.8,187.98,180.0,185.1,182.8,1.25,2.3,1005026.5,5459
2025/10/01,180.51,202.89,180.51,182.8,180.51,1.26,2.29,4077003.0,21208
2025/09/30,183.83,183.94,177.99,180.51,183.83,-0.45,-0.84,473580.56,2616
2025/09/29,183.83,186.98,179.99,183.83,183.83,-2.08,-3.84,276265.22,1514
2025/09/28,191.45,189.69,182.99,183.83,191.45,-4.4,-8.46,358088.38,1931
2025/09/25,191.45,191.45,183.99,191.45,191.45,0.0,0.0,167584.95,893
2025/09/24,191.45,191.98,185.99,191.45,191.45,-2.32,-4.46,190344.09,1010
2025/09/23,191.45,192.69,186.99,191.45,191.45,-2.32,-4.46,69201.17,363
2025/09/22,191.45,196.59,185.99,191.45,191.45,0.28,0.54,59712.8,311
