«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,25.81,26.65,25.87,26.0,25.81,0.74,0.19,3.3360012E7,1275598
2026/01/12,26.03,26.49,25.7,25.81,26.03,-0.85,-0.22,2.031543E7,779694
2026/01/11,25.5,26.99,25.59,26.03,25.5,2.08,0.53,4.6991832E7,1778805
2026/01/08,25.39,25.89,25.03,25.5,25.39,0.43,0.11,1.1782518E7,464516
2026/01/06,24.5,25.45,24.5,25.39,24.5,3.63,0.89,8448217.0,338727
2026/01/05,24.73,24.97,24.06,24.5,24.73,-0.93,-0.23,1.5153579E7,621051
2026/01/04,25.61,25.96,24.6,24.73,25.61,-3.44,-0.88,9333723.0,366991
2025/12/31,25.99,26.3,25.54,25.61,25.99,-1.46,-0.38,1.6884766E7,651622
2025/12/30,25.68,26.3,25.68,25.99,25.68,1.21,0.31,1.4137662E7,543506
2025/12/29,26.12,26.38,25.61,25.68,26.12,-1.68,-0.44,2.3759156E7,916005
2025/12/28,25.92,26.6,25.85,26.12,25.92,0.77,0.2,4.9758424E7,1898084
2025/12/25,25.0,26.25,25.0,25.92,25.0,3.68,0.92,4.98979E7,1934133
2025/12/24,25.42,25.61,24.82,25.0,25.42,-1.65,-0.42,1.883047E7,747852
2025/12/23,25.28,26.1,24.92,25.42,25.28,0.55,0.14,7.0048408E7,2743926
2025/12/22,25.14,25.74,25.11,25.28,25.14,0.56,0.14,3.3287292E7,1309593
2025/12/21,24.63,25.36,24.54,25.14,24.63,2.07,0.51,4.0373952E7,1613371
2025/12/18,24.43,24.75,24.26,24.63,24.43,0.82,0.2,2.3922586E7,978747
2025/12/17,23.97,24.9,24.02,24.43,23.97,1.92,0.46,3.210189E7,1304594
2025/12/16,24.31,24.71,23.91,23.97,24.31,-1.4,-0.34,2.0938534E7,864393
2025/12/15,24.18,24.92,24.26,24.31,24.18,0.54,0.13,2.9042824E7,1178412
2025/12/14,24.9,25.0,24.01,24.18,24.9,-2.89,-0.72,4.3353632E7,1773692
2025/12/11,25.6,25.65,24.9,24.9,25.6,-2.73,-0.7,3.7213532E7,1477426
2025/12/10,26.67,26.9,25.35,25.6,26.67,-4.01,-1.07,6.7076976E7,2578316
2025/12/09,26.0,26.97,26.05,26.67,26.0,2.58,0.67,1.30220912E8,4904202
2025/12/08,25.03,26.0,24.9,26.0,25.03,3.88,0.97,6.8424624E7,2658318
2025/12/07,25.35,25.79,24.85,25.03,25.35,-1.26,-0.32,3.9112608E7,1547505
2025/12/04,23.97,25.65,24.21,25.35,23.97,5.76,1.38,1.1403332E8,4573961
2025/12/03,23.5,24.2,23.6,23.97,23.5,2.0,0.47,4.031576E7,1680612
2025/12/02,23.71,24.14,23.35,23.5,23.71,-0.89,-0.21,2.8479744E7,1204212
2025/12/01,24.31,24.65,23.2,23.71,24.31,-2.47,-0.6,5.8550568E7,2437295
2025/11/30,23.5,24.9,23.5,24.31,23.5,3.45,0.81,1.11836584E8,4618371
2025/11/27,23.7,24.2,23.5,23.5,23.7,-0.84,-0.2,4.3112404E7,1804946
2025/11/26,22.89,24.5,22.9,23.7,22.89,3.54,0.81,1.54767568E8,6468306
2025/11/25,22.5,23.22,22.5,22.89,22.5,1.73,0.39,6.5140592E7,2846946
