«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,163.12,166.96,150.0,150.92,163.12,-7.48,-12.2,2995177.0,19189
2026/01/12,166.06,168.84,162.0,163.12,166.06,-0.35,-0.58,643952.13,3916
2026/01/11,166.06,169.9,165.0,166.06,166.06,-0.28,-0.46,298140.34,1796
2026/01/08,169.97,172.9,165.0,166.06,169.97,-2.3,-3.91,2486709.5,14796
2026/01/06,170.1,172.99,168.31,169.97,170.1,-0.06,-0.1,822127.13,4824
2026/01/05,172.89,174.3,168.2,170.1,172.89,-1.61,-2.79,1596863.13,9360
2026/01/04,172.89,177.5,172.75,172.89,172.89,0.0,0.0,297677.84,1715
2025/12/31,174.38,176.45,172.51,172.89,174.38,-0.9,-1.57,866984.94,4984
2025/12/30,174.55,177.49,173.2,174.38,174.55,0.2,0.35,804367.0,4614
2025/12/29,178.59,181.44,173.01,174.55,178.59,-2.26,-4.04,1774677.63,10083
2025/12/28,177.76,183.9,178.01,178.59,177.76,0.47,0.83,1571361.38,8726
2025/12/25,171.7,184.8,171.89,177.76,171.7,3.24,5.56,8981471.0,49949
2025/12/24,171.05,173.39,170.51,171.7,171.05,0.38,0.65,742683.06,4332
2025/12/23,171.01,173.5,171.0,171.05,171.01,0.09,0.16,1217260.88,7101
2025/12/22,172.01,174.5,171.0,171.01,172.01,-0.58,-1.0,1449558.0,8433
2025/12/21,171.66,173.3,171.21,172.01,171.66,0.2,0.34,540500.13,3139
2025/12/18,172.73,174.24,171.1,171.66,172.73,-0.48,-0.83,986446.0,5730
2025/12/17,171.64,178.77,171.02,172.73,171.64,0.23,0.39,2855364.0,16342
2025/12/16,171.91,173.8,171.47,171.64,171.91,-0.16,-0.27,878878.13,5110
2025/12/15,174.16,175.88,171.22,171.91,174.16,-1.29,-2.25,1320581.0,7660
2025/12/14,177.41,179.95,173.0,174.16,177.41,-1.83,-3.25,2044198.13,11633
2025/12/11,177.49,180.35,176.03,177.41,177.49,0.85,1.51,1522375.13,8572
2025/12/10,179.63,181.75,177.16,177.49,179.63,-1.19,-2.14,1799482.38,10052
2025/12/09,179.9,181.75,177.1,179.63,179.9,0.06,0.1,1173660.63,6536
2025/12/08,181.01,183.6,179.03,179.9,181.01,-0.61,-1.11,1920702.75,10651
2025/12/07,184.13,186.99,181.0,181.01,184.13,-1.69,-3.12,2829069.75,15500
2025/12/04,184.58,189.0,184.0,184.13,184.58,-0.24,-0.45,1082015.25,5844
2025/12/03,188.61,194.0,183.5,184.58,188.61,-2.14,-4.03,3252827.5,17542
2025/12/02,181.66,196.99,181.5,188.61,181.66,2.99,5.44,5971493.0,31291
2025/12/01,182.84,187.0,181.0,181.66,182.84,-0.94,-1.72,3032547.75,16570
2025/11/30,183.81,188.0,182.0,182.84,183.81,-0.53,-0.97,1805784.13,9801
2025/11/27,184.91,189.0,183.0,183.81,184.91,-0.59,-1.1,1461624.38,7908
2025/11/26,185.7,192.0,183.15,184.91,185.7,0.37,0.69,1677258.88,8992
2025/11/25,192.33,195.0,183.61,185.7,192.33,-2.77,-5.33,1656557.25,8753
2025/11/24,195.57,199.0,190.0,192.33,195.57,-2.08,-4.07,3751599.25,19478
2025/11/23,198.06,205.0,194.8,195.57,198.06,-1.26,-2.49,4233171.5,21416
2025/11/20,198.39,207.0,194.5,198.06,198.39,-0.17,-0.33,7673920.0,38046
2025/11/19,193.94,204.99,186.0,198.39,193.94,2.29,4.45,6144662.0,31072
2025/11/18,197.89,202.0,193.5,193.94,197.89,-2.0,-3.95,4437723.5,22541
2025/11/17,200.07,203.0,197.55,197.89,200.07,-1.09,-2.18,3874782.0,19375
2025/11/16,201.89,208.0,199.0,200.07,201.89,-0.9,-1.82,1903667.75,9428
