«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,4656.8,4682.81,4582.86,4592.01,4656.8,-1.39,-64.790001,1.435433728E9,83478361
2026/01/12,4701.87,4716.28,4642.24,4656.8,4701.87,-0.96,-45.07,1.479805184E9,89469959
2026/01/11,4600.94,4701.87,4600.94,4701.87,4600.94,2.19,100.93,1.630905856E9,104022312
2026/01/08,4577.28,4636.94,4577.28,4600.94,4577.28,0.52,23.66,1.50539712E9,66068741
2026/01/06,4493.94,4586.21,4493.94,4577.28,4493.94,1.85,83.339996,1.109449472E9,49417356
2026/01/05,4525.54,4550.65,4429.78,4493.94,4525.54,-0.7,-31.6,1.547836544E9,87332591
2026/01/04,4597.77,4623.23,4524.93,4525.54,4597.77,-1.57,-72.230003,9.79334464E8,45334111
2025/12/31,4548.93,4597.77,4548.93,4597.77,4548.93,1.07,48.84,1.083803264E9,59772722
2025/12/30,4519.82,4554.46,4516.4,4548.93,4519.82,0.64,29.110001,1.05335008E9,62565042
2025/12/29,4503.67,4530.69,4503.67,4519.82,4503.67,0.36,16.15,8.30710208E8,43252945
2025/12/28,4445.13,4511.41,4445.13,4503.67,4445.13,1.32,58.540001,9.60880384E8,65699561
2025/12/25,4445.8,4457.59,4437.4,4445.13,4445.8,-0.02,-0.67,7.75198784E8,64116771
2025/12/24,4444.54,4472.29,4444.54,4445.8,4444.54,0.03,1.26,9.08578304E8,79541675
2025/12/23,4416.53,4450.54,4405.11,4444.54,4416.53,0.63,28.01,1.037662208E9,67078645
2025/12/22,4411.97,4432.17,4406.32,4416.53,4411.97,0.1,4.56,1.128629504E9,76037118
2025/12/21,4374.7,4417.41,4374.7,4411.97,4374.7,0.85,37.27,1.223033216E9,71908671
2025/12/18,4392.95,4424.17,4374.21,4374.7,4392.95,-0.42,-18.25,1.21442496E9,79711985
2025/12/17,4421.0,4424.13,4392.53,4392.95,4421.0,-0.63,-28.049999,9.47112832E8,66877785
2025/12/16,4479.5,4501.21,4417.35,4421.0,4479.5,-1.31,-58.5,1.343056128E9,103672555
2025/12/15,4452.84,4503.82,4452.84,4479.5,4452.84,0.6,26.66,1.525387776E9,101988545
2025/12/14,4451.77,4475.15,4444.44,4452.84,4451.77,0.02,1.07,9.43595456E8,67816641
2025/12/11,4458.52,4501.85,4446.84,4451.77,4458.52,-0.15,-6.75,1.897009152E9,118119716
2025/12/10,4426.3,4463.21,4426.3,4458.52,4426.3,0.73,32.220001,1.216458496E9,79860562
2025/12/09,4391.63,4430.4,4391.63,4426.3,4391.63,0.79,34.669998,1.290835968E9,65423983
2025/12/08,4358.85,4409.69,4357.95,4391.63,4358.85,0.75,32.779999,1.473693824E9,89277611
2025/12/07,4308.47,4367.37,4308.47,4358.85,4308.47,1.17,50.380001,1.292591616E9,94079538
2025/12/04,4315.88,4351.59,4306.99,4308.47,4315.88,-0.17,-7.41,1.213185792E9,69666051
2025/12/03,4267.02,4338.42,4266.91,4315.88,4267.02,1.15,48.860001,1.6516E9,73894727
2025/12/02,4302.39,4331.56,4261.85,4267.02,4302.39,-0.82,-35.369999,9.83355968E8,55226676
2025/12/01,4317.66,4355.05,4291.12,4302.39,4317.66,-0.35,-15.27,1.05967456E9,66073927
2025/11/30,4211.12,4317.73,4211.12,4317.66,4211.12,2.53,106.540001,1.2012E9,59422586
2025/11/27,4160.42,4222.55,4150.84,4211.12,4160.42,1.22,50.700001,1.040860736E9,67994976
2025/11/26,4197.57,4223.54,4157.69,4160.42,4197.57,-0.89,-37.150002,1.073102144E9,53470414
2025/11/25,4245.34,4266.81,4197.57,4197.57,4245.34,-1.13,-47.77,1.4484608E9,58395247
2025/11/24,4294.57,4308.14,4240.43,4245.34,4294.57,-1.15,-49.23,1.956087808E9,90312160
2025/11/23,4295.24,4348.37,4291.29,4294.57,4295.24,-0.02,-0.67,9.82551744E8,58908864
2025/11/20,4293.16,4321.09,4293.16,4295.24,4293.16,0.05,2.08,1.1002432E9,58326499
2025/11/19,4276.5,4298.51,4249.42,4293.16,4276.5,0.39,16.66,9.10582272E8,49647390
2025/11/18,4333.26,4351.58,4268.85,4276.5,4333.26,-1.31,-56.759998,1.438944E9,81462989
2025/11/17,4332.61,4377.71,4311.76,4333.26,4332.61,0.02,0.65,1.854313856E9,116608840
2025/11/16,4222.96,4339.29,4222.96,4332.61,4222.96,2.6,109.650002,1.573264896E9,83000425
2025/11/13,4159.38,4234.66,4159.38,4222.96,4159.38,1.53,63.580002,1.790005248E9,85201671
