«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,3.72,3.77,3.51,3.53,3.72,-5.11,-0.19,2.9226136E7,8082933
2026/01/12,3.64,3.85,3.66,3.72,3.64,2.2,0.08,5.7627904E7,15382564
2026/01/11,3.71,3.82,3.61,3.64,3.71,-1.89,-0.07,4.9961164E7,13496392
2026/01/08,3.98,4.03,3.68,3.71,3.98,-6.78,-0.27,6.484952E7,17123560
2026/01/06,3.93,4.15,3.95,3.98,3.93,1.27,0.05,5.9104232E7,14653418
2026/01/05,4.08,4.39,3.9,3.93,4.08,-3.68,-0.15,1.43360352E8,34512076
2026/01/04,3.72,4.09,3.54,4.08,3.72,9.68,0.36,9.6646544E7,25039549
2025/12/31,3.7,4.18,3.68,3.72,3.7,0.54,0.02,1.6242664E8,41365001
2025/12/30,3.09,3.7,3.15,3.7,3.09,19.74,0.61,2.19954704E8,62947308
2025/12/29,2.85,3.1,2.88,3.09,2.85,8.42,0.24,4.4163304E7,14728767
2025/12/28,2.84,2.88,2.84,2.85,2.84,0.35,0.01,3167357.0,1108162
2025/12/25,2.87,2.89,2.83,2.84,2.87,-1.05,-0.03,4184174.25,1466071
2025/12/24,2.86,2.9,2.83,2.87,2.86,0.35,0.01,9566190.0,3336094
2025/12/23,2.79,2.97,2.82,2.86,2.79,2.51,0.07,2.2152798E7,7646452
2025/12/22,2.77,2.82,2.76,2.79,2.77,0.72,0.02,4864636.0,1743908
2025/12/21,2.78,2.82,2.76,2.77,2.78,0.0,0.0,3889018.75,1399171
2025/12/18,2.82,2.83,2.78,2.78,2.82,-0.35,-0.01,4269216.0,1524184
2025/12/17,2.84,2.87,2.8,2.82,2.84,-0.7,-0.02,5699812.0,2019167
2025/12/16,2.88,2.9,2.82,2.84,2.88,-1.39,-0.04,8053541.5,2827793
2025/12/15,2.91,2.94,2.87,2.88,2.91,-1.03,-0.03,4627233.5,1597743
2025/12/14,2.92,2.97,2.91,2.91,2.92,-0.34,-0.01,7477970.5,2546879
2025/12/11,2.88,2.98,2.89,2.92,2.88,1.39,0.04,1.8780722E7,6371544
2025/12/10,2.85,2.92,2.85,2.88,2.85,1.05,0.03,5861343.5,2028262
2025/12/09,2.83,2.87,2.81,2.85,2.83,0.71,0.02,3787229.25,1338294
2025/12/08,2.85,2.89,2.82,2.83,2.85,-0.7,-0.02,4092897.25,1440547
2025/12/07,2.88,2.92,2.85,2.85,2.88,-1.04,-0.03,3742144.25,1303546
2025/12/04,2.86,2.93,2.87,2.88,2.86,0.7,0.02,8171295.5,2816327
2025/12/03,2.78,2.91,2.79,2.86,2.78,2.88,0.08,1.0562948E7,3701250
2025/12/02,2.76,2.79,2.76,2.78,2.76,0.72,0.02,2610752.25,940620
2025/12/01,2.78,2.82,2.75,2.76,2.78,-0.72,-0.02,3269678.75,1174847
2025/11/30,2.75,2.81,2.75,2.78,2.75,1.09,0.03,3633571.25,1305708
2025/11/27,2.75,2.78,2.71,2.75,2.75,0.0,0.0,2609079.25,949841
2025/11/26,2.81,2.84,2.75,2.75,2.81,-2.14,-0.06,3539081.75,1273494
2025/11/25,2.85,2.9,2.79,2.81,2.85,-1.4,-0.04,6490877.0,2280498
2025/11/24,2.9,2.95,2.85,2.85,2.9,-1.72,-0.05,9489478.0,3304729
2025/11/23,2.79,2.98,2.8,2.9,2.79,3.94,0.11,1.5323643E7,5248654
2025/11/20,2.66,2.88,2.64,2.79,2.66,4.89,0.13,1.7644732E7,6308215
2025/11/19,2.67,2.68,2.62,2.66,2.67,-0.37,-0.01,4303488.0,1625930
2025/11/18,2.68,2.71,2.66,2.67,2.68,-0.37,-0.01,3626253.25,1357058
2025/11/17,2.74,2.76,2.66,2.68,2.74,-2.19,-0.06,7539652.0,2801649
2025/11/16,2.76,2.79,2.71,2.74,2.76,-0.72,-0.02,5719535.5,2080517
2025/11/13,2.78,2.81,2.73,2.76,2.78,-0.72,-0.02,7130276.5,2578058
2025/11/12,2.78,2.83,2.75,2.78,2.78,0.0,0.0,7949588.5,2858347
2025/11/11,2.82,2.84,2.78,2.78,2.82,-1.42,-0.04,3233197.0,1150151
2025/11/10,2.83,2.84,2.8,2.82,2.83,-0.35,-0.01,4950583.5,1755746
2025/11/09,2.8,2.91,2.79,2.83,2.8,1.07,0.03,5150397.0,1811272
2025/11/06,2.86,2.89,2.79,2.8,2.86,-2.1,-0.06,6639197.0,2358856
2025/11/05,2.91,2.94,2.84,2.86,2.91,-1.72,-0.05,6670869.5,2309782
2025/11/04,2.97,2.99,2.91,2.91,2.97,-2.02,-0.06,7567462.5,2567436
2025/11/03,3.02,3.02,2.96,2.97,3.02,-1.66,-0.05,5814564.5,1954902
