«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,15.28,15.36,14.8,14.86,15.28,-2.75,-0.42,3.476476E7,2317688
2026/01/12,15.42,15.55,15.08,15.28,15.42,-0.91,-0.14,2.1748366E7,1417374
2026/01/11,19.24,19.4,19.14,19.28,19.24,0.21,0.04,3.3297532E7,1728578
2026/01/08,19.4,19.45,19.2,19.24,19.4,-0.82,-0.16,2.6194484E7,1360424
2026/01/06,19.33,19.47,19.31,19.4,19.33,0.36,0.07,1.9475614E7,1005212
2026/01/05,19.55,19.65,19.25,19.33,19.55,-1.13,-0.22,1.8156922E7,935020
2026/01/04,19.6,19.72,19.45,19.55,19.6,-0.26,-0.05,1.2372724E7,633328
2025/12/31,19.5,19.8,19.47,19.6,19.5,0.51,0.1,2.565236E7,1310659
2025/12/30,19.57,19.7,19.5,19.5,19.57,-0.36,-0.07,9233122.0,471379
2025/12/29,19.73,19.78,19.4,19.57,19.73,-0.81,-0.16,1.2603088E7,643178
2025/12/28,19.65,19.8,19.65,19.73,19.65,0.25,0.05,6249177.0,316796
2025/12/25,19.7,19.79,19.63,19.65,19.7,-0.25,-0.05,6636341.5,337191
2025/12/24,19.8,19.91,19.6,19.7,19.8,-0.51,-0.1,1.3906123E7,705160
2025/12/23,19.79,19.95,19.57,19.8,19.79,0.05,0.01,2.8391374E7,1434554
2025/12/22,19.38,19.79,19.49,19.79,19.38,2.12,0.41,3.323077E7,1688833
2025/12/21,19.38,19.57,19.38,19.38,19.38,0.0,0.0,1.3716425E7,704992
2025/12/18,19.2,19.7,19.3,19.38,19.2,0.94,0.18,3.6886884E7,1887487
2025/12/17,19.11,19.25,19.15,19.2,19.11,0.47,0.09,1.1864958E7,618192
2025/12/16,19.08,19.23,19.09,19.11,19.08,0.16,0.03,1.0205707E7,532695
2025/12/15,19.15,19.22,19.06,19.08,19.15,-0.37,-0.07,7495793.0,391556
2025/12/14,19.16,19.37,19.0,19.15,19.16,-0.05,-0.01,2.094892E7,1095972
2025/12/11,19.3,19.42,19.1,19.16,19.3,-0.73,-0.14,1.4949578E7,775784
2025/12/10,19.02,19.31,19.03,19.3,19.02,1.47,0.28,1.1692884E7,608303
2025/12/09,19.04,19.08,18.95,19.02,19.04,-0.11,-0.02,9822217.0,516582
2025/12/08,18.83,19.09,18.88,19.04,18.83,1.12,0.21,1.5688294E7,825495
2025/12/07,18.83,18.99,18.8,18.83,18.83,0.0,0.0,8478500.0,449622
2025/12/04,18.89,19.05,18.83,18.83,18.89,-0.32,-0.06,8521398.0,450498
2025/12/03,18.8,19.0,18.8,18.89,18.8,0.48,0.09,8468414.0,448410
