«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,190.08,190.88,187.56,190.08,190.08,-1.33,-2.52,197337.78,1045
2026/01/12,191.72,191.96,190.0,190.08,191.72,-0.86,-1.64,351558.03,1849
2026/01/11,191.72,192.06,190.22,191.72,191.72,-0.78,-1.5,210268.3,1100
2026/01/08,190.89,191.85,188.25,191.72,190.89,0.43,0.83,945484.94,4945
2026/01/06,190.11,191.67,186.65,190.89,190.11,0.82,1.56,431640.41,2265
2026/01/05,191.08,191.0,190.0,190.11,191.08,-0.57,-1.08,586557.19,3081
2026/01/04,191.25,191.9,190.7,191.08,191.25,-0.13,-0.25,767572.38,4013
2025/12/31,191.59,192.84,191.0,191.25,191.59,0.14,0.26,361636.44,1891
2025/12/30,191.53,192.9,191.03,191.59,191.53,-0.07,-0.13,400181.88,2089
2025/12/29,191.1,192.99,191.0,191.53,191.1,-0.02,-0.04,612067.94,3190
2025/12/28,192.23,192.99,191.0,191.1,192.23,-0.63,-1.22,642020.81,3351
2025/12/25,191.25,193.0,191.15,192.23,191.25,0.2,0.39,628585.25,3268
2025/12/24,191.03,193.0,190.56,191.25,191.03,0.12,0.22,646158.88,3379
2025/12/23,190.99,192.01,190.4,191.03,190.99,-0.25,-0.47,941246.0,4925
2025/12/22,192.01,193.4,190.25,190.99,192.01,-0.37,-0.71,826116.25,4311
2025/12/21,192.14,197.0,191.5,192.01,192.14,-0.33,-0.64,918763.44,4765
2025/12/18,190.5,205.0,191.99,192.14,190.5,0.86,1.64,9983317.0,50308
2025/12/17,191.76,193.75,190.12,190.5,191.76,-0.76,-1.46,1167816.0,6124
2025/12/16,192.61,193.85,191.5,191.76,192.61,0.44,0.85,411554.88,2144
2025/12/15,193.49,194.29,192.12,192.61,193.49,-0.69,-1.34,357689.06,1857
2025/12/14,193.4,195.49,193.0,193.49,193.4,-0.1,-0.19,311441.75,1609
2025/12/11,193.4,195.7,193.01,193.4,193.4,1.08,2.09,272260.38,1405
2025/12/10,193.65,195.8,193.06,193.4,193.65,-0.24,-0.46,449220.41,2323
2025/12/09,192.05,198.98,192.65,193.65,192.05,0.76,1.46,717548.81,3705
2025/12/08,190.75,200.0,190.4,192.05,190.75,0.18,0.35,3177838.5,16338
2025/12/07,190.21,195.0,190.22,190.75,190.21,0.17,0.33,965634.88,5042
2025/12/04,191.38,194.0,190.0,190.21,191.38,-0.61,-1.17,2166146.5,11346
2025/12/03,195.15,199.5,191.17,191.38,195.15,-1.93,-3.77,2858223.25,14759
2025/12/02,197.46,204.0,194.0,195.15,197.46,-1.75,-3.46,1646668.38,8297
2025/12/01,190.19,208.99,190.07,197.46,190.19,3.82,7.27,1.2646121E7,61963
