«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,128.5,134.99,128.0,128.5,128.5,-0.39,-0.5,4675.96,36
2026/01/05,150.0,148.0,127.11,150.0,150.0,-14.33,-21.5,4941.2,37
2025/12/31,138.0,150.0,125.0,150.0,138.0,8.7,12.0,16627.08,126
2025/12/29,150.0,148.0,138.0,150.0,150.0,-8.0,-12.0,3678.0,25
2025/12/24,150.0,150.0,120.21,150.0,150.0,0.0,0.0,1865.42,13
2025/12/22,160.0,160.0,150.0,160.0,160.0,-6.25,-10.0,4450.16,29
2025/12/17,163.0,163.0,155.0,163.0,163.0,-1.84,-3.0,12228.0,78
2025/12/15,181.0,180.0,107.01,163.0,181.0,-9.94,-18.0,19601.02,117
2025/12/10,185.0,239.0,180.0,181.0,185.0,-2.16,-4.0,75696.1,402
2025/12/08,291.01,400.0,180.0,185.0,291.01,-36.43,-106.010002,94616.64,452
2025/12/03,200.0,420.0,240.0,291.01,200.0,45.509998,91.010002,51677.37,152
2025/12/01,85.0,473.04,99.0,200.0,85.0,135.289993,115.0,1.02745528E8,217994
2025/11/26,80.0,85.0,80.0,80.0,80.0,6.25,5.0,3495.0,43
2025/11/24,79.0,85.0,80.0,79.0,79.0,1.27,1.0,4314.0,52
2025/11/17,99.99,99.99,79.0,99.99,99.99,-20.99,-20.99,2078.65,21
2025/11/12,81.17,99.99,75.11,81.17,81.17,23.190001,18.82,6713.98,83
2025/11/10,80.24,87.4,81.17,80.24,80.24,1.16,0.93,4339.39,53
2025/11/03,97.1,98.0,80.24,80.24,97.1,-17.360001,-16.860001,15509.78,183
2025/10/29,97.1,112.1,97.1,97.1,97.1,0.0,0.0,13290.59,135
2025/10/27,118.99,143.3,97.1,97.1,118.99,-18.4,-21.889999,25198.45,197
2025/10/22,118.99,118.99,118.99,118.99,118.99,0.0,0.0,118.99,1
2025/10/20,116.96,118.99,110.0,116.96,116.96,1.74,2.03,1034.95,9
2025/10/15,97.1,116.98,116.95,97.1,97.1,20.450001,19.860001,1520.48,13
2025/10/13,112.0,98.0,97.1,112.0,112.0,-13.3,-14.9,4799.3,49
2025/10/08,118.97,118.99,112.0,118.97,118.97,-5.86,-6.97,1756.91,15
2025/10/06,110.0,118.99,80.0,110.0,110.0,8.15,8.97,4170.77,38
2025/10/01,107.98,113.99,79.0,110.0,107.98,1.87,2.02,14228.05,141
2025/09/29,108.0,107.98,107.98,108.0,108.0,-0.02,-0.02,971.82,9
2025/09/22,108.89,109.0,79.0,108.89,108.89,-0.82,-0.89,6720.3,65
2025/09/17,117.0,108.89,108.89,117.0,117.0,-6.93,-8.11,217.78,2
2025/09/15,87.1,118.68,117.0,87.1,87.1,34.330002,29.9,235.68,2
2025/09/10,77.17,87.1,87.1,77.17,77.17,12.87,9.93,87.1,1
2025/09/08,99.1,100.0,77.17,99.1,99.1,-22.129999,-21.93,4503.72,51
2025/09/03,75.0,119.0,99.1,75.0,75.0,32.130001,24.1,4345.38,38
2025/09/01,75.0,75.0,75.0,75.0,75.0,0.0,0.0,600.0,8
2025/08/27,70.0,75.0,75.0,70.0,70.0,7.14,5.0,225.0,3
2025/08/25,64.0,89.8,67.0,64.0,64.0,9.38,6.0,884.0,11
2025/08/20,115.0,120.0,64.0,64.0,115.0,-44.349998,-51.0,27278.81,328
2025/08/18,115.0,115.0,85.0,115.0,115.0,0.0,0.0,645.0,6
2025/08/13,85.0,115.0,115.0,85.0,85.0,35.290001,30.0,230.0,2
2025/08/11,108.0,108.0,85.0,108.0,108.0,-21.299999,-23.0,8585.0,93
2025/08/06,108.0,119.0,108.0,108.0,108.0,0.0,0.0,4018.0,37
2025/08/04,85.0,109.0,108.0,85.0,85.0,27.059999,23.0,871.0,8
2025/07/23,93.6,93.6,85.0,93.6,93.6,-9.19,-8.6,705.8,8
2025/06/30,100.0,93.6,70.0,100.0,100.0,-6.4,-6.4,574.3,7
2025/06/25,110.0,100.0,99.0,100.0,110.0,-9.09,-10.0,10818.95,109
2025/06/11,110.0,110.0,104.0,110.0,110.0,0.0,0.0,1290.0,12
2025/06/04,90.0,110.0,72.06,110.0,90.0,22.219999,20.0,10442.06,102
2025/06/02,72.02,90.0,90.0,72.02,72.02,24.969999,17.98,450.0,5
2025/05/21,72.03,72.06,72.02,72.03,72.03,-0.01,-0.01,1800.68,25
2025/05/19,72.02,90.0,72.03,72.02,72.02,0.01,0.01,972.03,11
2025/05/14,90.0,72.02,72.02,90.0,90.0,-19.98,-17.98,72.02,1
2025/05/07,70.07,90.0,89.99,90.0,70.07,28.44,19.93,68579.96,762
2025/04/28,60.13,70.07,68.37,70.07,60.13,16.53,9.94,769.07,11
2025/04/23,86.78,90.0,60.13,60.13,86.78,-30.71,-26.65,2880.49,37
2025/04/16,59.01,86.78,86.78,86.78,59.01,47.06,27.77,86.78,1
2025/04/09,100.0,100.0,59.01,59.01,100.0,-40.99,-40.99,1118.02,12
2025/04/07,90.0,100.0,100.0,100.0,90.0,11.11,10.0,1000.0,10
2025/03/26,89.0,90.0,89.0,90.0,89.0,1.12,1.0,10838.0,121
2025/03/24,89.0,89.0,89.0,89.0,89.0,0.0,0.0,267.0,3
2025/03/19,90.0,89.0,89.0,90.0,90.0,-1.11,-1.0,267.0,3
2025/03/10,89.72,90.0,90.0,89.72,89.72,0.31,0.28,720.0,8
2025/03/05,88.5,89.72,89.0,88.5,88.5,1.38,1.22,1159.16,13
2025/02/24,88.5,88.5,88.5,88.5,88.5,0.0,0.0,4425.0,50
2025/02/19,88.99,89.0,56.47,88.99,88.99,-0.55,-0.49,2509.08,29
2025/02/17,79.37,88.99,75.0,79.37,79.37,12.12,9.62,1278.08,15
2025/02/12,89.18,79.37,79.37,89.18,89.18,-11.0,-9.81,238.11,3
2025/02/10,56.35,89.18,89.18,56.35,56.35,58.259998,32.830002,89.18,1
2025/02/03,85.0,56.35,56.35,85.0,85.0,-33.709999,-28.65,56.35,1
2025/01/22,90.0,85.0,85.0,90.0,90.0,-5.56,-5.0,85.0,1
2025/01/06,69.69,90.0,69.69,69.69,69.69,29.139999,20.309999,3946.98,50
2024/12/30,90.0,69.69,69.69,69.69,90.0,-22.57,-20.309999,20907.0,300
2024/12/11,90.0,90.0,90.0,90.0,90.0,0.0,0.0,90.0,1
2024/12/04,90.0,90.0,90.0,90.0,90.0,0.0,0.0,180.0,2
2024/11/27,50.0,98.8,90.0,50.0,50.0,80.0,40.0,467.6,5
2024/11/20,60.06,60.31,50.0,50.0,60.06,-16.75,-10.06,148009.31,2948
2024/11/04,59.0,60.06,60.06,59.0,59.0,1.8,1.06,600.6,10
2024/10/28,56.33,59.0,59.0,56.33,56.33,4.74,2.67,590.0,10
2024/10/16,56.01,60.0,56.33,56.01,56.01,0.57,0.32,2035.22,36
2024/09/11,35.16,56.01,56.01,35.16,35.16,59.299999,20.85,448.08,8
2024/07/10,103.0,35.16,35.16,103.0,103.0,-65.860001,-67.839996,35.16,1
2024/06/12,105.0,103.0,103.0,105.0,105.0,-1.9,-2.0,1854.0,18
2024/06/10,105.0,105.0,105.0,105.0,105.0,0.0,0.0,105.0,1
2024/05/29,105.0,105.0,105.0,105.0,105.0,0.0,0.0,2625.0,25
2024/05/27,50.0,105.0,104.99,50.0,50.0,110.0,55.0,2309.87,22
2024/05/08,105.0,105.0,50.0,105.0,105.0,-52.380001,-55.0,155.0,2
2024/05/01,42.369999,105.0,92.099998,42.369999,42.369999,147.820007,62.630001,657.599976,7
2024/04/24,92.099998,42.419998,42.369999,92.099998,92.099998,-54.0,-49.73,3520.709961,83
2024/03/04,92.019997,92.099998,92.099998,92.019997,92.019997,0.09,0.08,644.700012,7
2024/02/28,108.0,92.019997,92.019997,108.0,108.0,-14.8,-15.98,1472.319946,16
2024/02/26,90.050003,108.0,92.010002,90.050003,90.050003,19.93,17.950001,1028.099976,11
2024/02/14,108.0,90.050003,90.050003,108.0,108.0,-16.620001,-17.950001,900.5,10
2024/02/05,110.0,108.0,108.0,110.0,110.0,-1.82,-2.0,432.0,4
2024/01/31,101.0,110.0,101.0,101.0,101.0,8.91,9.0,1845.0,18
2024/01/29,100.0,101.0,101.0,100.0,100.0,1.0,1.0,3030.0,30
2024/01/22,103.0,103.0,100.0,100.0,103.0,-2.91,-3.0,24679.0,240
2024/01/15,93.06,103.0,103.0,103.0,93.06,10.68,9.94,206.0,2
2024/01/03,90.0,93.059998,93.059998,90.0,90.0,3.4,3.06,279.179993,3
2023/12/25,102.0,120.0,102.010002,102.0,102.0,0.01,0.01,3371.860107,32
2023/12/20,105.269997,105.0,102.0,105.269997,105.269997,-3.11,-3.27,1761.0,17
2023/12/13,96.0,105.269997,105.269997,96.0,96.0,9.66,9.27,526.349976,5
2023/12/06,105.269997,105.269997,96.0,105.269997,105.269997,-8.81,-9.27,718.349976,7
2023/11/29,106.0,106.0,105.269997,106.0,106.0,-0.69,-0.73,4528.580078,43
2023/11/27,105.269997,106.110001,105.300003,105.269997,105.269997,0.69,0.73,2861.219971,27
2023/11/08,102.18,105.120003,105.059998,102.18,102.18,2.88,2.94,1786.209961,17
2023/11/06,96.0,170.0,101.620003,96.0,96.0,6.44,6.18,1867.219971,17
2023/11/01,175.0,175.0,96.0,175.0,175.0,-45.139999,-79.0,9218.169922,85
2023/10/30,119.0,178.0,96.0,175.0,119.0,47.060001,56.0,45553.429688,311
2023/10/23,120.0,119.0,100.07,120.0,120.0,-0.83,-1.0,5476.839844,52
2023/10/18,100.059998,120.0,119.989998,100.059998,100.059998,19.93,19.940001,2759.889893,23
2023/10/16,121.0,120.0,100.059998,121.0,121.0,-17.309999,-20.940001,1600.23999,14
2023/10/11,120.0,121.0,120.0,120.0,120.0,0.83,1.0,5881.0,49
2023/10/09,124.0,121.0,100.059998,124.0,124.0,-3.23,-4.0,1280.359985,12
2023/10/02,106.010002,124.0,122.0,106.010002,106.010002,16.969999,17.99,494.0,4
2023/09/27,115.0,124.0,106.010002,115.0,115.0,-7.82,-8.99,1714.050049,15
2023/09/25,115.0,115.0,115.0,115.0,115.0,0.0,0.0,1150.0,10
2023/09/18,110.010002,115.0,115.0,110.010002,110.010002,4.54,4.99,345.0,3
2023/09/13,110.0,110.010002,110.010002,110.0,110.0,0.01,0.01,330.029999,3
2023/09/11,135.0,110.599998,110.0,110.0,135.0,-18.52,-25.0,23039.400391,209
2023/09/06,110.519997,140.0,135.0,110.519997,110.519997,22.15,24.48,6215.0,46
2023/09/04,110.5,140.0,110.519997,110.5,110.5,0.02,0.02,4365.649902,34
2023/08/30,125.0,125.0,108.019997,125.0,125.0,-11.6,-14.5,4359.680176,37
2023/08/28,140.0,135.0,125.0,140.0,140.0,-10.71,-15.0,8200.0,63
2023/08/23,106.0,145.0,139.0,106.0,106.0,32.080002,34.0,3820.73999,27
2023/08/21,106.0,150.0,106.0,106.0,106.0,0.0,0.0,1792.0,14
2023/08/16,105.300003,106.029999,106.0,105.300003,105.300003,0.66,0.7,5300.450195,50
2023/08/14,95.0,117.0,105.300003,95.0,95.0,10.84,10.3,1208.599976,11
2023/08/09,117.0,195.800003,95.0,95.0,117.0,-18.799999,-22.0,53265.910156,467
2023/08/07,178.0,176.0,115.0,178.0,178.0,-34.27,-61.0,8703.200195,62
2023/08/02,115.0,178.0,115.0,178.0,115.0,54.779999,63.0,72113.0,441
2023/07/31,178.0,116.0,115.0,178.0,178.0,-35.389999,-63.0,3003.0,26
2023/07/24,178.0,178.0,178.0,178.0,178.0,0.0,0.0,890.0,5
2023/07/19,178.0,178.0,36.0,178.0,178.0,0.0,0.0,33197.199219,385
2023/07/17,176.0,178.0,100.0,178.0,176.0,1.14,2.0,17754.599609,102
2023/07/12,177.0,176.0,90.0,177.0,177.0,-0.56,-1.0,3365.0,34
2023/07/10,178.0,177.0,90.050003,178.0,178.0,-0.56,-1.0,3087.25,32
2023/07/05,130.0,178.0,130.0,178.0,130.0,36.919998,48.0,67088.0,417
2023/06/26,139.0,134.5,92.0,139.0,139.0,-6.47,-9.0,621.0,5
2023/06/21,90.0,139.0,90.0,90.0,90.0,54.439999,49.0,679.0,7
2023/06/19,82.0,140.0,90.0,82.0,82.0,9.76,8.0,2088.0,17
2023/06/14,80.0,140.0,81.0,80.0,80.0,2.5,2.0,7410.029785,59
2023/06/12,135.0,81.0,80.0,135.0,135.0,-40.740002,-55.0,1366.0,17
2023/06/07,144.0,135.0,135.0,144.0,144.0,-6.25,-9.0,135.0,1
2023/06/05,120.0,145.0,71.0,120.0,120.0,20.0,24.0,8533.799805,73
2023/05/31,128.0,120.0,70.0,128.0,128.0,-6.25,-8.0,6854.549805,60
2023/05/29,130.0,144.800003,56.0,130.0,130.0,-1.54,-2.0,2233.0,20
2023/05/24,36.099998,152.0,50.0,36.099998,36.099998,260.109985,93.900002,6024.060059,46
2023/05/22,23.0,158.0,34.060001,23.0,23.0,56.959999,13.1,2382.600098,31
2023/05/17,173.800003,164.0,20.02,173.800003,173.800003,-86.769997,-150.800003,1799.390015,40
2023/05/15,175.0,173.800003,20.51,175.0,175.0,-0.69,-1.2,214.820007,3
2023/05/10,177.0,177.0,175.0,177.0,177.0,-1.13,-2.0,6529.0,37
2023/05/08,10.01,177.0,177.0,10.01,10.01,1668.22998,166.990005,1062.0,6
2023/05/03,10.01,15.0,10.05,10.01,10.01,49.849998,4.99,145.649994,14
2023/04/12,10.01,180.0,180.0,10.01,10.01,1698.199951,169.990005,360.0,2
2023/04/10,10.01,180.0,180.0,10.01,10.01,1698.199951,169.990005,5040.0,28
2023/04/05,10.01,180.0,180.0,10.01,10.01,1698.199951,169.990005,180.0,1
2023/03/06,10.01,10.0,10.0,10.01,10.01,-0.1,-0.01,40.0,4
2023/02/13,10.01,10.0,10.0,10.01,10.01,-0.1,-0.01,100.0,10
2023/01/18,10.0,10.01,10.01,10.01,10.0,0.1,0.01,2942.939941,294
2023/01/04,8.0,10.0,10.0,10.0,8.0,25.0,2.0,2940.0,294
2023/01/02,8.0,8.0,8.0,8.0,8.0,0.0,0.0,8.0,1
2022/12/28,10.0,8.0,8.0,8.0,10.0,-20.0,-2.0,2352.0,294
2022/05/30,10.0,1.26,1.26,10.0,10.0,-87.400002,-8.74,1.26,1
2021/11/28,72.0,75.599998,75.599998,72.0,72.0,5.0,3.6,75.599998,1
2021/11/15,72.0,66.010002,66.010002,72.0,72.0,-8.32,-5.99,132.020004,2
2021/11/11,72.0,66.010002,66.010002,72.0,72.0,-8.32,-5.99,198.029999,3
2021/10/20,72.0,73.110001,73.110001,72.0,72.0,1.54,1.11,2558.850098,35
2021/10/19,72.0,73.110001,73.110001,72.0,72.0,1.54,1.11,73.110001,1
2021/10/18,72.0,74.0,73.0,72.0,72.0,2.08,1.5,87737.96875,1186
2021/10/17,72.0,72.050003,72.050003,72.0,72.0,0.07,0.05,10807.5,150
2021/10/14,72.0,72.0,72.0,72.0,72.0,0.0,0.0,63936.0,888
2021/10/13,72.040001,72.050003,72.0,72.0,72.040001,-0.06,-0.04,3528662.0,49005
2021/10/12,72.040001,72.099998,72.099998,72.040001,72.040001,0.08,0.06,360.5,5
2021/10/10,72.040001,72.0,72.0,72.040001,72.040001,-0.06,-0.04,36000.0,500
2021/10/05,72.040001,73.489998,73.489998,72.040001,72.040001,2.01,1.45,293.959991,4
2021/10/03,72.040001,72.110001,72.110001,72.040001,72.040001,0.1,0.07,288.440002,4
2021/09/30,72.5,72.5,72.0,72.040001,72.5,-0.69,-0.5,360223.5,5000
