«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,10.0,11.12,10.21,10.79,10.0,7.9,0.79,197387.8,18107
2026/01/05,10.28,10.93,9.61,10.0,10.28,-2.72,-0.28,84706.23,8363
2025/12/31,9.67,10.34,8.21,10.28,9.67,6.31,0.61,193338.59,19453
2025/12/29,8.7,9.67,8.77,9.67,8.7,11.15,0.97,272414.34,29920
2025/12/24,8.22,8.74,8.43,8.7,8.22,5.84,0.48,204539.45,23668
2025/12/22,8.0,8.49,7.9,8.22,8.0,2.75,0.22,29898.28,3640
2025/12/17,8.39,8.39,7.69,8.0,8.39,-4.65,-0.39,67799.65,8471
2025/12/15,7.66,8.6,7.55,8.39,7.66,9.53,0.73,275033.41,35350
2025/12/10,8.09,8.15,7.66,7.66,8.09,-5.32,-0.43,3165.56,410
2025/12/08,7.99,8.1,7.65,8.09,7.99,1.25,0.1,9352.75,1161
2025/12/03,7.86,8.38,7.6,7.99,7.86,1.65,0.13,385771.41,50020
2025/12/01,7.9,8.0,7.86,7.86,7.9,-0.51,-0.04,166259.91,21103
2025/11/26,8.38,7.9,7.74,7.9,8.38,-5.73,-0.48,21212.5,2696
2025/11/24,7.8,8.38,8.38,7.8,7.8,7.44,0.58,83.8,10
2025/11/19,8.03,8.06,7.8,7.8,8.03,-2.86,-0.23,88926.44,11210
2025/11/17,8.48,8.37,8.03,8.03,8.48,-5.31,-0.45,45918.19,5670
2025/11/12,8.3,8.55,8.04,8.48,8.3,2.17,0.18,27498.68,3407
2025/11/10,8.13,8.58,8.3,8.3,8.13,2.09,0.17,48755.15,5860
2025/11/05,8.18,8.75,8.13,8.13,8.18,-0.61,-0.05,2281.0,270
2025/11/03,8.7,8.72,8.18,8.18,8.7,-5.98,-0.52,39500.52,4714
2025/10/29,8.2,9.4,8.03,8.7,8.2,6.1,0.5,65576.27,8017
2025/10/27,9.0,9.1,8.2,8.2,9.0,-8.89,-0.8,135507.41,16004
2025/10/22,8.99,9.0,8.99,9.0,8.99,0.11,0.01,13495.01,1500
2025/10/20,8.42,8.99,8.34,8.99,8.42,6.77,0.57,150652.06,17425
2025/10/15,8.2,8.43,7.91,8.42,8.2,2.68,0.22,55802.5,6687
2025/10/13,7.85,8.43,7.61,8.2,7.85,4.46,0.35,42404.78,5419
2025/10/08,7.84,8.0,7.85,7.85,7.84,0.13,0.01,109071.28,13736
2025/10/06,7.87,7.94,7.7,7.84,7.87,-0.38,-0.03,80075.1,10249
2025/10/01,7.87,7.91,7.5,7.87,7.87,0.0,0.0,33832.8,4424
2025/09/29,7.93,7.93,7.52,7.87,7.93,-0.76,-0.06,16950.44,2242
2025/09/24,7.94,7.97,7.3,7.93,7.94,-0.13,-0.01,7595.5,1035
2025/09/22,7.99,7.99,7.65,7.94,7.99,-0.63,-0.05,4226.21,550
2025/09/17,8.05,7.99,7.66,7.99,8.05,-0.75,-0.06,11738.14,1489
2025/09/15,8.0,8.05,7.98,8.05,8.0,0.63,0.05,9992.7,1250
2025/09/10,7.65,8.0,7.66,8.0,7.65,4.58,0.35,49590.0,6410
2025/09/08,8.32,7.95,7.65,7.65,8.32,-8.05,-0.67,45698.84,5875
2025/09/03,7.99,8.33,7.95,8.32,7.99,4.13,0.33,59159.0,7300
2025/09/01,7.9,7.99,7.59,7.99,7.9,1.14,0.09,89137.0,11720
2025/08/27,8.0,8.17,7.9,7.9,8.0,-1.25,-0.1,136896.8,17014
2025/08/25,7.21,8.17,7.5,8.0,7.21,10.96,0.79,342471.59,43371
2025/08/20,7.3,7.55,7.2,7.21,7.3,-1.23,-0.09,174402.91,24132
2025/08/18,7.35,7.4,7.3,7.3,7.35,-0.68,-0.05,27124.95,3703
2025/08/13,7.0,7.49,7.2,7.35,7.0,5.0,0.35,156470.0,21460
2025/08/11,7.55,7.55,6.8,7.0,7.55,-7.28,-0.55,79471.3,11300
2025/08/06,7.57,7.6,7.55,7.55,7.57,-0.26,-0.02,2043.8,270
2025/08/04,7.28,7.6,7.08,7.57,7.28,3.98,0.29,92052.09,12570
2025/07/30,7.5,7.5,7.01,7.28,7.5,0.0,-0.22,44684.01,6265
2025/07/28,7.57,7.7,7.24,7.5,7.57,-0.92,-0.07,113929.34,15297
2025/07/23,7.64,7.64,7.57,7.57,7.64,-0.92,-0.07,4099.32,538
2025/07/21,7.6,7.64,7.0,7.64,7.6,0.53,0.04,48509.2,6510
2025/07/16,7.3,7.6,7.6,7.3,7.3,4.11,0.3,570.0,75
2025/07/14,7.28,7.9,7.15,7.3,7.28,0.27,0.02,65340.8,8805
2025/07/07,7.43,7.2,7.15,7.15,7.43,-3.77,-0.28,7915.0,1100
2025/07/02,6.8,7.43,6.8,7.43,6.8,9.26,0.63,64680.0,8994
2025/06/30,6.85,7.0,6.75,6.8,6.85,-0.73,-0.05,151941.34,21834
2025/06/25,6.6,7.0,6.7,6.85,6.6,3.79,0.25,130115.0,18990
2025/06/23,6.6,6.6,6.5,6.6,6.6,0.0,0.0,174009.63,26523
2025/06/18,6.54,6.6,6.53,6.6,6.54,0.92,0.06,31294.61,4771
2025/06/16,6.52,6.65,6.5,6.54,6.52,0.31,0.02,157334.73,23916
2025/06/11,6.4,6.8,6.28,6.52,6.4,1.87,0.12,110503.95,17024
2025/06/04,6.43,6.44,6.4,6.4,6.43,-0.47,-0.03,103967.89,16225
2025/06/02,6.5,6.73,6.42,6.43,6.5,-1.08,-0.07,192516.09,29733
2025/05/28,6.45,6.75,6.28,6.5,6.45,0.78,0.05,189948.14,29102
2025/05/26,6.4,6.5,6.14,6.45,6.4,0.78,0.05,82003.85,12675
2025/05/21,6.42,6.5,6.2,6.4,6.42,-0.31,-0.02,101098.5,15830
2025/05/19,6.45,6.5,6.42,6.42,6.45,-0.47,-0.03,105685.9,16368
2025/05/14,6.5,6.6,6.45,6.45,6.5,-0.77,-0.05,107145.45,16541
2025/05/07,6.5,6.84,6.7,6.7,6.5,3.08,0.2,202.5,30
2025/05/05,6.53,6.88,6.33,6.5,6.53,-0.46,-0.03,63983.91,9930
2025/04/30,6.47,6.94,6.4,6.53,6.47,0.93,0.06,69281.26,10543
2025/04/28,6.06,6.47,6.01,6.47,6.06,6.77,0.41,184155.06,29134
2025/04/23,6.13,6.13,6.06,6.06,6.13,-1.14,-0.07,4732.2,775
2025/04/16,6.25,6.43,6.07,6.13,6.25,-1.92,-0.12,63278.91,10270
2025/04/14,6.03,6.31,6.19,6.25,6.03,3.65,0.22,54859.63,8774
2025/04/09,6.05,6.04,6.0,6.03,6.05,-0.33,-0.02,21733.0,3602
2025/04/07,6.0,6.93,5.55,6.05,6.0,0.83,0.05,85530.35,14391
2025/03/26,5.9,6.0,5.81,6.0,5.9,1.69,0.1,98610.29,16477
2025/03/24,5.96,5.9,5.9,5.9,5.96,-1.01,-0.06,590.0,100
2025/03/19,5.7,5.96,5.8,5.96,5.7,4.56,0.26,9057.6,1560
2025/03/17,6.0,6.0,5.53,5.7,6.0,-5.0,-0.3,162410.56,29119
