«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2025/12/10,1.91,1.53,1.53,1.91,1.91,-19.9,-0.38,41.31,27
2025/09/22,3.07,3.01,3.01,3.07,3.07,-1.96,0.0,7.5,2
2025/09/18,3.07,3.01,3.01,3.07,3.07,-1.96,0.0,2.5,0
2025/09/17,3.07,3.01,3.01,3.07,3.07,-1.96,0.0,20.0,5
2025/07/27,3.07,3.07,3.07,3.07,3.07,0.0,0.0,2550.0,747
2025/05/19,3.07,3.07,3.07,3.07,3.07,0.0,0.0,127.5,37
2024/12/02,2.55,2.55,2.55,2.55,2.55,0.0,0.0,12199.2,4784
2024/12/01,2.55,2.55,2.55,2.55,2.55,0.0,0.0,5100.0,2000
2024/11/28,2.55,2.55,2.55,2.55,2.55,0.0,0.0,5100.0,2000
2024/11/27,2.55,2.55,2.55,2.55,2.55,0.0,0.0,5100.0,2000
2024/11/26,2.55,2.55,2.55,2.55,2.55,0.0,0.0,5100.0,2000
2024/08/29,2.55,2.55,2.55,2.55,2.55,0.0,0.0,357.0,140
2024/08/20,2.55,2.55,2.55,2.55,2.55,0.0,0.0,1555.5,610
2024/02/07,2.55,2.55,2.55,2.55,2.55,0.0,0.0,1147.5,450
2023/09/10,2.55,2.55,2.55,2.55,2.55,0.0,0.0,127.5,50
2023/08/09,2.55,2.04,2.04,2.55,2.55,-20.0,-0.51,306.0,150
2023/05/24,2.55,2.55,2.54,2.55,2.55,-0.39,-0.01,27.950001,11
2023/03/16,2.55,2.55,2.55,2.55,2.55,0.0,0.0,204.0,80
2022/12/15,2.55,2.04,2.04,2.55,2.55,-20.0,-0.51,6.12,3
2022/11/17,2.55,2.04,2.04,2.55,2.55,-20.0,-0.51,8.16,4
2022/08/15,2.55,2.54,2.54,2.55,2.55,-0.39,-0.01,190.5,75
2021/05/26,2.55,2.55,2.55,2.55,2.55,0.0,0.0,382.5,150
2021/02/16,2.55,2.55,2.55,2.55,2.55,0.0,0.0,2550.0,1000
2020/12/10,2.55,2.8,2.8,2.55,2.55,9.8,0.25,2.8,1
2020/10/21,2.69,2.55,2.55,2.55,2.69,-5.2,-0.14,2534.699951,994
2020/06/02,2.71,2.7,2.6,2.69,2.71,-4.06,-0.11,31676.900391,11791
2020/02/27,2.71,2.44,2.44,2.71,2.71,-9.96,-0.27,122.0,50
