«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,12.15,12.49,11.53,12.0,12.15,-1.23,-0.15,4.8005508E7,3974407
2026/01/12,10.36,12.3,10.4,12.15,10.36,17.280001,1.79,8.9540408E7,7694707
2026/01/11,10.17,10.5,10.15,10.36,10.17,1.87,0.19,3421059.75,330972
2026/01/08,10.13,10.27,10.11,10.17,10.13,0.39,0.04,6485876.0,634022
2026/01/06,10.16,10.19,10.02,10.13,10.16,-0.3,-0.03,1.6665566E7,1642127
2026/01/05,10.1,10.3,9.97,10.16,10.1,0.59,0.06,6557272.5,646387
2026/01/04,9.99,10.22,9.96,10.1,9.99,1.1,0.11,1013127.31,100694
2025/12/31,10.02,10.3,9.87,9.99,10.02,-0.3,-0.03,3024128.0,299863
2025/12/30,10.12,10.46,10.0,10.02,10.12,-0.99,-0.1,2.8159192E7,2745768
2025/12/29,10.16,10.35,10.1,10.12,10.16,-0.39,-0.04,821363.75,80851
2025/12/28,10.3,10.49,10.05,10.16,10.3,-1.36,-0.14,1.2471834E7,1228073
2025/12/25,10.3,10.4,10.15,10.3,10.3,0.0,0.0,2203569.0,214018
2025/12/24,10.0,10.47,10.0,10.3,10.0,3.0,0.3,5510817.5,534240
2025/12/23,10.27,10.46,9.96,10.0,10.27,-2.63,-0.27,4378946.0,434924
2025/12/22,10.12,10.47,10.21,10.27,10.12,1.48,0.15,2203757.0,213596
2025/12/21,9.7,10.58,9.55,10.12,9.7,4.33,0.42,6939070.5,681751
2025/12/18,9.75,9.89,9.69,9.7,9.75,-0.51,-0.05,3031204.25,309169
2025/12/17,10.0,10.1,9.55,9.75,10.0,-2.5,-0.25,1141581.25,116914
2025/12/16,10.0,10.13,9.92,10.0,10.0,0.0,0.0,256725.48,25625
2025/12/15,9.99,10.15,9.9,10.0,9.99,0.1,0.01,627959.25,62730
2025/12/14,10.01,10.09,9.95,9.99,10.01,0.4,0.04,432788.84,43300
2025/12/11,10.04,10.15,9.97,10.01,10.04,-0.4,-0.04,1006720.94,100571
2025/12/10,10.14,10.17,10.03,10.04,10.14,-1.08,-0.11,482707.06,48051
2025/12/09,10.03,10.2,10.02,10.14,10.03,0.2,0.02,461406.78,45604
2025/12/08,10.07,10.2,10.02,10.03,10.07,-0.5,-0.05,3.0364788E7,3027218
2025/12/07,10.06,10.28,10.01,10.07,10.06,0.1,0.01,1539545.75,152432
2025/12/04,9.8,10.37,9.8,10.06,9.8,2.14,0.21,6115090.0,604770
2025/12/03,9.93,10.08,9.7,9.8,9.93,-1.31,-0.13,2335459.25,239381
2025/12/02,9.88,10.17,9.83,9.93,9.88,0.4,0.04,455294.31,45828
2025/12/01,9.86,10.0,9.83,9.88,9.86,0.51,0.05,569776.5,57522
2025/11/30,9.78,10.0,9.8,9.86,9.78,0.82,0.08,736357.94,74475
2025/11/27,9.92,9.98,9.52,9.78,9.92,0.2,0.02,1008096.31,103103
2025/11/26,10.05,10.15,9.81,9.92,10.05,-2.39,-0.24,435490.22,43793
2025/11/25,10.04,10.15,10.01,10.05,10.04,0.1,0.01,761215.81,75624
2025/11/24,10.09,10.27,10.02,10.04,10.09,-0.69,-0.07,1041968.19,103098
2025/11/23,10.09,10.3,10.05,10.09,10.09,0.0,0.0,2182966.5,216395
2025/11/20,10.12,10.3,10.07,10.09,10.12,-0.4,-0.04,716900.0,70723
2025/11/19,10.13,10.25,10.09,10.12,10.13,-0.1,-0.01,1128248.5,111509
2025/11/18,10.2,10.28,10.12,10.13,10.2,-0.69,-0.07,998952.06,98371
2025/11/17,10.37,10.48,10.19,10.2,10.37,-1.64,-0.17,2559285.25,248855
2025/11/16,10.14,11.1,10.33,10.37,10.14,2.27,0.23,2.6338184E7,2458485
2025/11/13,10.15,10.34,10.07,10.14,10.15,-0.1,-0.01,1431305.63,140534
2025/11/12,10.15,10.24,10.1,10.15,10.15,-0.49,-0.05,1.0688982E7,1052967
2025/11/11,10.12,10.28,10.08,10.15,10.12,0.3,0.03,388264.47,38267
