«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.367,0.368,0.358,0.358,0.367,-2.452,-0.009,4958614.0,13689114
2026/01/12,0.374,0.384,0.366,0.367,0.374,-1.872,-0.007,7663685.0,20462891
2026/01/11,0.371,0.379,0.367,0.374,0.371,0.809,0.003,6512833.0,17458755
2026/01/08,0.366,0.384,0.366,0.371,0.366,1.366,0.005,1.5931978E7,42385808
2026/01/06,0.365,0.369,0.364,0.366,0.365,0.274,0.001,3318744.0,9057278
2026/01/05,0.37,0.374,0.363,0.365,0.37,-1.351,-0.005,5793746.0,15807393
2026/01/04,0.373,0.377,0.366,0.37,0.373,-0.804,-0.003,8376433.0,22631754
2025/12/31,0.384,0.389,0.371,0.373,0.384,-2.865,-0.011,1.7236568E7,45369511
2025/12/30,0.369,0.397,0.366,0.384,0.369,4.065,0.015,5.8458688E7,151567318
2025/12/29,0.352,0.369,0.354,0.369,0.352,4.83,0.017,9128554.0,25252242
2025/12/28,0.348,0.354,0.348,0.352,0.348,1.724,0.006,2526035.25,7216607
2025/12/25,0.348,0.352,0.347,0.348,0.348,0.0,0.0,2192970.75,6279801
2025/12/24,0.351,0.353,0.345,0.348,0.351,-0.855,-0.003,4830159.0,13863105
2025/12/23,0.357,0.359,0.35,0.351,0.357,-1.681,-0.006,5612642.0,15894010
2025/12/22,0.358,0.36,0.357,0.357,0.358,-0.279,-0.001,2588704.0,7230459
2025/12/21,0.359,0.365,0.357,0.358,0.359,-0.279,-0.001,3028649.0,8410506
2025/12/18,0.354,0.363,0.354,0.359,0.354,1.412,0.005,4753633.5,13222084
2025/12/17,0.358,0.361,0.354,0.354,0.358,-1.117,-0.004,2824031.75,7927343
2025/12/16,0.362,0.363,0.358,0.358,0.362,-1.105,-0.004,4487999.5,12457379
2025/12/15,0.36,0.367,0.361,0.362,0.36,0.556,0.002,3139869.5,8634625
2025/12/14,0.356,0.364,0.358,0.36,0.356,1.124,0.004,2913514.0,8083435
2025/12/11,0.359,0.365,0.355,0.356,0.359,-0.836,-0.003,7268580.0,20176916
