«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,16.68,18.0,16.6,16.98,16.68,1.8,0.3,4463985.5,261315
2026/01/05,15.1,16.9,15.0,16.68,15.1,10.46,1.58,3823980.0,236504
2025/12/31,13.45,15.49,13.37,15.1,13.45,12.27,1.65,1.1556172E7,801189
2025/12/29,13.37,13.9,13.0,13.45,13.37,0.6,0.08,4537420.5,331966
2025/12/24,12.75,13.37,13.0,13.37,12.75,4.86,0.62,3870706.25,294060
2025/12/22,12.6,13.0,12.23,12.75,12.6,1.19,0.15,2599860.25,203479
2025/12/17,12.0,12.6,12.0,12.6,12.0,5.0,0.6,3124029.25,250740
2025/12/15,12.12,12.3,12.0,12.0,12.12,-0.99,-0.12,818305.5,67157
2025/12/10,12.0,12.5,12.0,12.12,12.0,1.0,0.12,662985.88,54314
2025/12/08,12.15,12.35,11.95,12.0,12.15,-1.23,-0.15,1480370.75,122386
2025/12/03,12.18,12.5,12.12,12.15,12.18,-0.25,-0.03,1266448.13,103646
2025/12/01,12.16,12.6,12.1,12.18,12.16,0.16,0.02,482088.22,39632
2025/11/26,12.71,12.71,12.16,12.16,12.71,-4.33,-0.55,1383918.88,112231
2025/11/24,12.99,12.99,12.7,12.71,12.99,-2.16,-0.28,459931.47,35952
2025/11/19,13.0,13.2,12.73,12.99,13.0,-0.08,-0.01,3583157.75,278129
2025/11/17,13.08,13.45,12.88,13.0,13.08,-0.61,-0.08,3159043.25,241754
2025/11/12,12.93,13.55,12.94,13.08,12.93,1.16,0.15,4015343.75,302984
2025/11/10,12.25,13.25,12.31,12.93,12.25,5.55,0.68,4368491.5,341479
2025/11/05,12.71,12.89,12.2,12.25,12.71,-3.62,-0.46,1947637.13,157395
2025/11/03,13.55,13.55,12.68,12.71,13.55,-6.2,-0.84,3558796.0,275316
2025/10/29,13.5,13.76,13.4,13.55,13.5,0.37,0.05,5844885.0,430904
2025/10/27,13.3,13.76,13.29,13.5,13.3,1.5,0.2,4307471.0,317332
