«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,45.96,46.24,45.71,45.75,45.96,-0.54,-0.25,4519585.0,98532
2026/01/12,46.01,46.65,45.9,45.96,46.01,0.2,0.09,4416623.5,95901
2026/01/11,46.11,46.59,45.8,46.01,46.11,-0.13,-0.06,9594801.0,208541
2026/01/08,46.6,47.28,46.0,46.11,46.6,-1.05,-0.49,6023624.5,129871
2026/01/06,46.36,46.79,46.36,46.6,46.36,0.19,0.09,3922869.5,84379
2026/01/05,46.84,46.8,46.3,46.36,46.84,-0.77,-0.36,3951267.75,85041
2026/01/04,47.19,47.34,46.5,46.84,47.19,-0.74,-0.35,5573892.0,118884
2025/12/31,47.41,47.68,47.05,47.19,47.41,-0.46,-0.22,1831161.5,38787
2025/12/30,47.21,47.74,47.0,47.41,47.21,0.42,0.2,6919872.5,146170
2025/12/29,47.16,47.43,46.95,47.21,47.16,0.23,0.11,3819910.0,81147
2025/12/28,47.19,47.68,47.03,47.16,47.19,-0.06,-0.03,2066615.0,43771
2025/12/25,47.67,47.94,47.0,47.19,47.67,-1.01,-0.48,5311083.5,112440
2025/12/24,47.78,48.05,47.61,47.67,47.78,-0.27,-0.13,4140166.25,86495
2025/12/23,47.02,47.98,47.01,47.78,47.02,1.62,0.76,9200517.0,193085
2025/12/22,47.09,47.24,46.9,47.02,47.09,-0.15,-0.07,2198447.25,46730
2025/12/21,47.3,47.6,46.9,47.09,47.3,-0.44,-0.21,6424612.5,136443
2025/12/18,47.39,47.47,47.21,47.3,47.39,-0.19,-0.09,3001593.75,63424
2025/12/17,47.61,47.74,47.2,47.39,47.61,-0.65,-0.31,5838081.5,123117
2025/12/16,47.91,47.99,47.3,47.61,47.91,-0.86,-0.41,1884184.13,39590
2025/12/15,48.14,48.38,47.71,47.91,48.14,-0.48,-0.23,2623274.5,54771
2025/12/14,47.75,48.25,47.7,48.14,47.75,1.05,0.5,6691998.5,139561
2025/12/11,47.12,47.8,47.2,47.75,47.12,1.34,0.63,6958073.5,146216
2025/12/10,46.81,47.37,46.9,47.12,46.81,0.66,0.31,4123937.25,87545
2025/12/09,46.03,46.86,46.12,46.81,46.03,1.69,0.78,7005418.0,150866
2025/12/08,45.6,46.13,45.7,46.03,45.6,0.94,0.43,3080693.0,67006
2025/12/07,45.71,45.9,45.57,45.6,45.71,-0.24,-0.11,8937619.0,195837
2025/12/04,45.88,46.2,45.52,45.71,45.88,-0.37,-0.17,4729834.0,103371
2025/12/03,46.21,46.86,45.86,45.88,46.21,-0.71,-0.33,7368369.0,159798
2025/12/02,46.66,47.0,45.94,46.21,46.66,0.0,0.0,1.0670088E7,230546
2025/12/01,47.01,47.24,46.52,46.66,47.01,-0.98,-0.46,3407597.25,72697
2025/11/30,47.24,47.41,46.9,47.01,47.24,-0.51,-0.24,2613542.5,55535
2025/11/27,46.32,47.47,46.06,47.24,46.32,1.99,0.92,3832283.5,81817
2025/11/26,46.6,46.8,46.08,46.32,46.6,-0.6,-0.28,4089886.75,88111
2025/11/25,46.98,47.19,46.6,46.6,46.98,-0.81,-0.38,6615006.5,141429
2025/11/24,47.25,47.5,46.96,46.98,47.25,-0.53,-0.25,6951453.0,147652
2025/11/23,46.99,47.5,46.98,47.25,46.99,0.64,0.3,3181635.5,67311
2025/11/20,47.48,47.92,46.9,46.99,47.48,-1.03,-0.49,9197090.0,194915
2025/11/19,47.97,48.45,47.2,47.48,47.97,-0.48,-0.23,3906684.25,82219
2025/11/18,48.86,48.99,47.91,47.97,48.86,-1.82,-0.89,1.5058906E7,312617
2025/11/17,48.54,49.25,47.99,48.86,48.54,0.66,0.32,1.5074536E7,312115
2025/11/16,48.53,48.91,48.4,48.54,48.53,0.02,0.01,3562538.0,73277
2025/11/13,48.56,49.38,48.5,48.53,48.56,-0.06,-0.03,5711017.5,117070
2025/11/12,48.13,49.49,48.5,48.56,48.13,1.31,0.63,5858634.0,119853
2025/11/11,48.63,49.15,48.0,48.13,48.63,-1.03,-0.5,1.0045269E7,207744
2025/11/10,48.62,49.4,48.45,48.63,48.62,0.02,0.01,4964387.5,102131
2025/11/09,48.99,49.7,48.6,48.62,48.99,-0.43,-0.21,9860584.0,201129
2025/11/06,48.0,49.15,47.02,48.99,48.0,2.06,0.99,1.4972358E7,309971
2025/11/05,48.66,48.8,47.98,48.0,48.66,-1.36,-0.66,1.2207242E7,253509
2025/11/04,48.65,48.99,48.5,48.66,48.65,0.02,0.01,8103213.5,166492
2025/11/03,49.22,49.47,48.5,48.65,49.22,-1.14,-0.56,1.298122E7,266012
2025/11/02,50.0,50.2,49.1,49.22,50.0,-1.02,-0.51,1.2314907E7,248366
2025/10/30,50.5,50.95,49.92,50.0,50.5,-0.99,-0.5,1.685494E7,335879
2025/10/29,53.85,50.9,49.0,50.5,53.85,-6.22,-3.35,9.3531816E7,1866487
2025/10/28,54.11,54.49,53.3,53.85,54.11,-0.48,-0.26,1.402875E7,260293
2025/10/27,53.99,54.88,54.0,54.11,53.99,0.22,0.12,2.4317316E7,446759
2025/10/26,53.31,54.75,53.55,53.99,53.31,1.28,0.68,5.792776E7,1065901
2025/10/23,52.48,53.67,52.5,53.31,52.48,1.58,0.83,2.4011238E7,450603
2025/10/22,52.38,52.92,52.12,52.48,52.38,0.19,0.1,7057530.5,134733
2025/10/21,53.0,53.0,52.16,52.38,53.0,-1.13,-0.6,6748219.0,128230
2025/10/20,53.08,53.45,52.8,53.0,53.08,-0.15,-0.08,9392486.0,177079
2025/10/19,52.96,53.8,52.96,53.08,52.96,0.23,0.12,1.1331666E7,213023
2025/10/16,51.85,53.0,51.85,52.96,51.85,2.14,1.11,8392074.0,159886
2025/10/15,51.79,52.35,51.79,51.85,51.79,0.12,0.06,5894714.0,113392
