«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,9.2,9.33,8.9,8.9,9.2,-3.26,-0.3,4.6407812E7,5093831
2026/01/12,9.05,9.27,8.94,9.2,9.05,1.66,0.15,6.559222E7,7196399
2026/01/11,9.33,9.49,8.97,9.05,9.33,-3.0,-0.28,6.973008E7,7575712
2026/01/08,9.65,9.69,9.33,9.33,9.65,-3.32,-0.32,8.9266192E7,9381856
2026/01/06,9.45,9.88,9.4,9.65,9.45,2.12,0.2,1.27631752E8,13131813
2026/01/05,9.36,9.7,9.13,9.45,9.36,0.96,0.09,2.51329168E8,26779113
2026/01/04,8.6,9.59,8.76,9.36,8.6,8.84,0.76,2.93288704E8,31609728
2025/12/31,8.42,8.98,8.42,8.6,8.42,2.14,0.18,2.06264256E8,23554070
2025/12/30,8.57,8.68,8.3,8.42,8.57,-1.75,-0.15,6.4847524E7,7668386
2025/12/29,8.51,8.93,8.48,8.57,8.51,0.71,0.06,1.34836048E8,15455076
2025/12/28,8.5,8.6,8.4,8.51,8.5,0.12,0.01,6.3423884E7,7457363
2025/12/25,8.46,8.76,8.45,8.5,8.46,0.47,0.04,1.23983904E8,14368958
2025/12/24,8.58,8.62,8.36,8.46,8.58,-1.399,-0.12,6.6884312E7,7880783
2025/12/23,8.21,8.58,8.23,8.58,8.21,4.507,0.37,1.845096E8,21884605
2025/12/22,7.82,8.33,7.84,8.21,7.82,4.987,0.39,2.03372768E8,24865515
2025/12/21,7.87,7.96,7.78,7.82,7.87,-0.635,-0.05,2.122153E7,2701244
2025/12/18,8.01,8.09,7.87,7.87,8.01,-1.748,-0.14,3.4372636E7,4321958
2025/12/17,7.87,8.15,7.81,8.01,7.87,1.779,0.14,8.1319512E7,10111910
2025/12/16,8.04,8.2,7.8,7.87,8.04,-2.114,-0.17,5.8709336E7,7351224
2025/12/15,8.01,8.24,7.95,8.04,8.01,0.375,0.03,7.3529848E7,9080165
2025/12/14,8.33,8.44,8.01,8.01,8.33,-3.842,-0.32,1.22119792E8,14809896
2025/12/11,7.7,8.7,7.76,8.33,7.7,8.182,0.63,4.98345728E8,60056843
2025/12/10,6.86,8.21,6.81,7.7,6.86,12.245,0.84,1.64503648E8,22245601
2025/12/09,6.67,6.95,6.64,6.86,6.67,2.849,0.19,1.8380842E7,2699417
2025/12/08,6.65,6.82,6.66,6.67,6.65,0.301,0.02,1.5671638E7,2327323
2025/12/07,6.55,6.74,6.57,6.65,6.55,1.527,0.1,1.4676185E7,2206180
2025/12/04,6.7,6.77,6.53,6.55,6.7,-2.239,-0.15,1.7268798E7,2606561
2025/12/03,6.17,7.1,6.22,6.7,6.17,8.59,0.53,1.20769072E8,17737001
2025/12/02,6.27,6.43,6.0,6.17,6.27,-1.595,-0.1,1.0036637E7,1609902
2025/12/01,6.37,6.49,6.25,6.27,6.37,-1.57,-0.1,1.4087534E7,2217560
2025/11/30,6.41,6.53,6.36,6.37,6.41,-0.624,-0.04,1.6298001E7,2540775
2025/11/27,6.31,6.69,5.6,6.41,6.31,1.585,0.1,3.6372644E7,5586648
2025/11/26,6.49,6.54,6.31,6.31,6.49,-2.773,-0.18,1.8528404E7,2905672
2025/11/25,6.6,6.7,6.46,6.49,6.6,-1.667,-0.11,2.6109628E7,3975168
2025/11/24,6.65,6.77,6.59,6.6,6.65,-0.752,-0.05,3.0746652E7,4617434
2025/11/23,6.78,6.86,6.65,6.65,6.78,-1.917,-0.13,1.6465422E7,2448663
2025/11/20,6.77,7.0,6.77,6.78,6.77,0.148,0.01,4.2094952E7,6125091
2025/11/19,6.84,6.98,6.74,6.77,6.84,-1.023,-0.07,3.14297E7,4604639
2025/11/18,7.09,7.11,6.83,6.84,7.09,-3.526,-0.25,3.1868454E7,4583520
2025/11/17,7.07,7.19,7.03,7.09,7.07,0.283,0.02,3.5215724E7,4949858
2025/11/16,7.04,7.15,7.02,7.07,7.04,0.426,0.03,3.3799168E7,4778031
2025/11/13,7.26,7.41,7.04,7.04,7.26,-3.03,-0.22,1.43021008E8,19706062
2025/11/12,7.0,7.32,7.03,7.26,7.0,3.714,0.26,1.79102864E8,24765779
2025/11/11,7.21,7.27,6.96,7.0,7.21,-2.913,-0.21,5.7446476E7,8158677
2025/11/10,7.3,7.35,7.2,7.21,7.3,-1.233,-0.09,1.5274472E7,2104865
