«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,80.65,80.8,78.4,78.51,80.65,-2.65,-2.14,1.775975E7,223587
2026/01/12,80.47,80.98,79.56,80.65,80.47,0.22,0.18,2.8235096E7,352373
2026/01/11,80.5,81.9,80.0,80.47,80.5,-0.04,-0.03,2.5959092E7,322281
2026/01/08,78.96,81.98,79.13,80.5,78.96,1.95,1.54,6.4761672E7,803940
2026/01/06,76.34,78.99,76.35,78.96,76.34,3.43,2.62,3.8833048E7,496599
2026/01/05,77.0,77.5,76.0,76.34,77.0,-0.66,-0.51,1.2951618E7,169453
2026/01/04,78.25,79.48,77.0,77.0,78.25,-1.6,-1.25,2.7599936E7,351794
2025/12/31,77.01,78.62,77.02,78.25,77.01,1.61,1.24,3.5265068E7,451471
2025/12/30,76.72,78.0,76.74,77.01,76.72,0.38,0.29,6138077.5,79444
2025/12/29,76.02,78.5,76.0,76.72,76.02,0.92,0.7,3.3213306E7,429132
2025/12/28,76.03,76.5,76.0,76.02,76.03,-0.01,-0.01,6066697.0,79715
2025/12/25,76.0,76.5,75.92,76.03,76.0,0.04,0.03,3661656.5,48070
2025/12/24,76.27,76.6,76.0,76.0,76.27,-0.35,-0.27,3981492.75,52208
2025/12/23,75.86,76.33,75.71,76.27,75.86,0.54,0.41,1.0943709E7,143904
2025/12/22,75.51,76.7,75.6,75.86,75.51,0.46,0.35,5905850.0,77712
2025/12/21,75.28,76.0,75.3,75.51,75.28,0.31,0.23,4726983.5,62570
2025/12/18,76.03,76.1,75.2,75.28,76.03,-0.99,-0.75,2.198168E7,290927
2025/12/17,76.16,76.3,75.75,76.03,76.16,-0.17,-0.13,6776490.0,89129
2025/12/16,76.16,76.9,76.0,76.16,76.16,0.0,0.0,7208484.0,94218
2025/12/15,75.78,76.29,75.5,76.16,75.78,0.5,0.38,1.3686378E7,180436
2025/12/14,75.61,76.0,75.5,75.78,75.61,0.22,0.17,7871118.5,103967
2025/12/11,75.26,75.9,75.27,75.61,75.26,0.47,0.35,3.3988124E7,450109
2025/12/10,75.31,76.2,75.01,75.26,75.31,-0.07,-0.05,1.3027045E7,172616
2025/12/09,65.52,78.62,72.0,75.31,65.52,14.94,9.79,3.340205E7,441820
2025/12/08,76.14,77.0,62.1,65.52,76.14,-13.95,-10.62,2.4275822E7,323857
2025/12/07,76.2,76.98,75.8,76.14,76.2,-0.2,-0.15,4119645.0,54092
2025/12/04,76.71,77.2,76.2,76.2,76.71,-0.66,-0.51,6899373.5,90029
2025/12/03,76.39,77.1,76.3,76.71,76.39,0.42,0.32,5488630.5,71443
2025/12/02,76.78,77.3,76.02,76.39,76.78,-0.51,-0.39,8180005.5,107126
