«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2025/04/14,2044.47,2045.38,2044.47,2045.38,2044.47,0.04,0.91,0.0,0
2025/04/13,2041.73,2044.47,2041.73,2044.47,2041.73,0.13,2.74,0.0,0
2025/04/10,2040.82,2041.73,2040.82,2041.73,2040.82,0.04,0.91,3.4941657088E9,3500000
2025/04/09,2039.91,2040.82,2039.91,2040.82,2039.91,0.04,0.91,0.0,0
2025/04/08,2039.0,2039.91,2039.0,2039.91,2039.0,0.04,0.91,0.0,0
2025/04/07,2038.09,2039.0,2038.09,2039.0,2038.09,0.04,0.91,0.0,0
2025/04/06,2035.35,2038.09,2035.35,2038.09,2035.35,0.13,2.74,0.0,0
2025/04/03,2028.97,2035.35,2028.97,2035.35,2028.97,0.31,6.38,0.0,0
2025/03/27,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/26,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/25,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/24,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/23,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/20,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/19,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/18,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/17,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/16,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/13,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/12,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/11,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/10,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/09,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/06,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/05,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/04,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/03,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/03/02,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/27,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/26,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/25,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/24,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/23,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/20,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/19,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/18,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/17,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/16,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/13,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/12,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/11,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/10,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/09,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/06,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/05,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/04,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/03,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/02/02,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/30,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/29,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/28,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/27,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/26,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/23,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/22,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/21,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/20,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/19,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/16,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/15,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/14,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/13,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/12,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/09,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/08,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/06,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/05,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2025/01/02,2028.97,2028.97,2028.97,2028.97,2028.97,0.0,0.0,0.0,0
2024/12/31,2028.03,2028.97,2028.03,2028.97,2028.03,0.05,0.94,0.0,0
2024/12/30,2027.09,2028.03,2027.09,2028.03,2027.09,0.05,0.94,0.0,0
2024/12/29,2024.28,2027.09,2024.28,2027.09,2024.28,0.14,2.81,0.0,0
2024/12/26,2023.34,2024.28,2023.34,2024.28,2023.34,0.05,0.94,0.0,0
2024/12/25,2022.4,2023.34,2022.4,2023.34,2022.4,0.05,0.94,0.0,0
2024/12/24,2021.47,2022.4,2021.47,2022.4,2021.47,0.05,0.93,0.0,0
2024/12/23,2020.53,2021.47,2020.53,2021.47,2020.53,0.05,0.94,0.0,0
2024/12/22,2017.71,2020.53,2017.71,2020.53,2017.71,0.14,2.82,0.0,0
2024/12/19,2016.78,2017.71,2016.78,2017.71,2016.78,0.05,0.93,0.0,0
2024/12/18,2015.84,2016.78,2015.84,2016.78,2015.84,0.05,0.94,0.0,0
2024/12/17,2014.9,2015.84,2014.9,2015.84,2014.9,0.05,0.94,0.0,0
2024/12/16,2013.96,2014.9,2013.96,2014.9,2013.96,0.05,0.94,0.0,0
2024/12/15,2011.15,2013.96,2011.15,2013.96,2011.15,0.14,2.81,0.0,0
2024/12/12,2010.21,2011.15,2010.21,2011.15,2010.21,0.05,0.94,0.0,0
2024/12/11,2009.27,2010.21,2009.27,2010.21,2009.27,0.05,0.94,0.0,0
2024/12/10,2008.34,2009.27,2008.34,2009.27,2008.34,0.05,0.93,0.0,0
2024/12/09,2007.4,2008.34,2007.4,2008.34,2007.4,0.05,0.94,0.0,0
2024/12/08,2004.58,2007.4,2004.58,2007.4,2004.58,0.14,2.82,0.0,0
2024/12/05,2003.65,2004.58,2003.65,2004.58,2003.65,0.05,0.93,0.0,0
2024/12/04,2002.71,2003.65,2002.71,2003.65,2002.71,0.05,0.94,0.0,0
2024/12/03,2001.77,2002.71,2001.77,2002.71,2001.77,0.05,0.94,0.0,0
2024/12/02,2000.83,2001.77,2000.83,2001.77,2000.83,0.05,0.94,0.0,0
2024/12/01,1998.02,2000.83,1998.02,2000.83,1998.02,0.14,2.81,0.0,0
2024/11/28,1997.0,1998.02,1997.0,1998.02,1997.0,0.05,1.02,0.0,0
2024/11/27,1995.97,1997.0,1995.97,1997.0,1995.97,0.05,1.03,0.0,0
2024/11/26,1994.95,1995.97,1994.95,1995.97,1994.95,0.05,1.02,0.0,0
2024/11/25,1993.93,1994.95,1993.93,1994.95,1993.93,0.05,1.02,0.0,0
2024/11/24,1990.86,1993.93,1990.86,1993.93,1990.86,0.15,3.07,0.0,0
2024/11/21,1989.84,1990.86,1989.84,1990.86,1989.84,0.05,1.02,0.0,0
2024/11/20,1988.82,1989.84,1988.82,1989.84,1988.82,0.05,1.02,0.0,0
2024/11/19,2012.1,2013.12,1972.92,1988.82,2012.1,-1.16,-23.28,0.0,0
2024/11/18,2011.07,2012.1,2011.07,2012.1,2011.07,0.05,1.03,0.0,0
2024/11/17,2008.01,2011.07,2008.01,2011.07,2008.01,0.15,3.06,0.0,0
2024/11/14,2006.99,2008.01,2006.99,2008.01,2006.99,0.05,1.02,0.0,0
2024/11/13,2005.96,2006.99,2005.96,2006.99,2005.96,0.05,1.03,0.0,0
2024/11/12,2004.94,2005.96,2004.94,2005.96,2004.94,0.05,1.02,0.0,0
2024/11/11,2003.92,2004.94,2003.92,2004.94,2003.92,0.05,1.02,0.0,0
2024/11/10,2000.85,2003.92,2000.85,2003.92,2000.85,0.15,3.07,0.0,0
2024/11/07,1999.9,2000.85,1999.9,2000.85,1999.9,0.05,0.95,0.0,0
2024/11/06,1998.98,1999.9,1998.98,1999.9,1998.98,0.05,0.92,0.0,0
2024/11/05,1998.06,1998.98,1998.06,1998.98,1998.06,0.05,0.92,0.0,0
2024/11/04,1997.14,1998.06,1997.14,1998.06,1997.14,0.05,0.92,0.0,0
2024/11/03,1994.38,1997.14,1994.38,1997.14,1994.38,0.14,2.76,0.0,0
2024/10/31,2102.96,2103.89,1994.38,1994.38,2102.96,-5.16,-108.58,0.0,0
2024/10/30,1999.84,2102.96,1999.84,2102.96,1999.84,5.16,103.12,4.6030401536E10,52000000
2024/10/29,1998.91,1999.84,1998.91,1999.84,1998.91,0.05,0.93,0.0,0
2024/10/28,1997.98,1998.91,1997.98,1998.91,1997.98,0.05,0.93,0.0,0
2024/10/27,1995.19,1997.98,1995.19,1997.98,1995.19,0.14,2.79,0.0,0
2024/10/24,1994.26,1995.19,1994.26,1995.19,1994.26,0.05,0.93,0.0,0
2024/10/23,1993.33,1994.26,1993.33,1994.26,1993.33,0.05,0.93,4.313041408E8,4875000
2024/10/22,1992.4,1993.33,1992.4,1993.33,1992.4,0.05,0.93,0.0,0
2024/10/21,1991.47,1992.4,1991.47,1992.4,1991.47,0.05,0.93,0.0,0
2024/10/20,1988.69,1991.47,1988.69,1991.47,1988.69,0.14,2.78,0.0,0
2024/10/17,1987.76,1988.69,1988.69,1988.69,1987.76,0.05,0.93,0.0,0
2024/10/16,1986.83,1987.76,1986.83,1987.76,1986.83,0.05,0.93,0.0,0
2024/10/15,1888.79,1986.83,1888.79,1986.83,1888.79,5.19,98.04,0.0,0
2024/10/14,1887.86,1888.79,1887.86,1888.79,1887.86,0.05,0.93,0.0,0
2024/10/13,1885.18,1887.86,1885.18,1887.86,1885.18,0.14,2.68,0.0,0
2024/10/10,1884.28,1885.18,1884.28,1885.18,1884.28,0.05,0.9,0.0,0
2024/10/09,1883.38,1884.28,1883.38,1884.28,1883.38,0.05,0.9,0.0,0
2024/10/08,1882.49,1883.38,1882.49,1883.38,1882.49,0.05,0.89,0.0,0
2024/10/07,1878.9,1882.49,1878.9,1882.49,1878.9,0.19,3.59,0.0,0
2024/10/03,1878.01,1878.9,1878.01,1878.9,1878.01,0.05,0.89,0.0,0
2024/10/02,1877.11,1878.01,1877.11,1878.01,1877.11,0.05,0.9,0.0,0
2024/10/01,1876.22,1877.11,1876.22,1877.11,1876.22,0.05,0.89,0.0,0
2024/09/30,1875.27,1876.22,1875.27,1876.22,1875.27,0.05,0.95,0.0,0
2024/09/29,1872.44,1875.27,1872.44,1875.27,1872.44,0.15,2.83,0.0,0
2024/09/26,1735.9,1872.44,1735.9,1872.44,1735.9,7.87,136.54,0.0,0
2024/09/25,1734.96,1735.9,1734.96,1735.9,1734.96,0.05,0.94,0.0,0
2024/09/24,1734.02,1734.96,1734.02,1734.96,1734.02,0.05,0.94,0.0,0
2024/09/23,1733.07,1734.02,1733.07,1734.02,1733.07,0.05,0.95,0.0,0
2024/09/22,1730.24,1733.07,1730.24,1733.07,1730.24,0.16,2.83,0.0,0
2024/09/19,1729.3,1730.24,1729.3,1730.24,1729.3,0.05,0.94,0.0,0
2024/09/18,1728.36,1729.3,1728.36,1729.3,1728.36,0.05,0.94,0.0,0
2024/09/17,1727.42,1728.36,1727.42,1728.36,1727.42,0.05,0.94,0.0,0
2024/09/16,1723.64,1727.42,1723.64,1727.42,1723.64,0.22,3.78,0.0,0
2024/09/12,1722.7,1723.64,1722.7,1723.64,1722.7,0.05,0.94,0.0,0
2024/09/11,1721.76,1722.7,1721.76,1722.7,1721.76,0.05,0.94,0.0,0
2024/09/10,1720.82,1721.76,1720.82,1721.76,1720.82,0.05,0.94,2.52317312E7,304000
2024/09/09,1719.87,1720.82,1719.87,1720.82,1719.87,0.06,0.95,0.0,0
2024/09/08,1835.78,1838.61,1671.08,1719.87,1835.78,-6.31,-115.91,0.0,0
2024/09/05,1834.84,1835.78,1834.84,1835.78,1834.84,0.05,0.94,0.0,0
2024/09/04,1833.89,1834.84,1833.89,1834.84,1833.89,0.05,0.95,0.0,0
2024/09/03,1832.95,1833.89,1832.95,1833.89,1832.95,0.05,0.94,0.0,0
2024/09/02,1832.01,1832.95,1832.01,1832.95,1832.01,0.05,0.94,0.0,0
2024/09/01,1829.18,1832.01,1829.18,1832.01,1829.18,0.15,2.83,0.0,0
2024/08/29,1828.35,1829.18,1828.35,1829.18,1828.35,0.05,0.83,0.0,0
2024/08/28,1827.53,1828.35,1827.53,1828.35,1827.53,0.04,0.82,0.0,0
2024/08/27,1826.7,1827.53,1826.7,1827.53,1826.7,0.05,0.83,0.0,0
2024/08/26,1825.88,1826.7,1825.88,1826.7,1825.88,0.04,0.82,0.0,0
2024/08/25,1823.4,1825.88,1823.4,1825.88,1823.4,0.14,2.48,0.0,0
2024/08/22,1822.57,1823.4,1822.57,1823.4,1822.57,0.05,0.83,0.0,0
