«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2025/04/14,2485.75,2487.09,2485.75,2487.09,2485.75,0.05,1.34,0.0,0
2025/04/13,2481.7,2485.75,2481.7,2485.75,2481.7,0.16,4.05,0.0,0
2025/04/10,2480.35,2481.7,2480.35,2481.7,2480.35,0.05,1.35,0.0,0
2025/04/09,2479.01,2480.35,2479.01,2480.35,2479.01,0.05,1.34,0.0,0
2025/04/08,2477.66,2479.01,2477.66,2479.01,2477.66,0.05,1.35,0.0,0
2025/04/07,2476.31,2477.66,2476.31,2477.66,2476.31,0.05,1.35,0.0,0
2025/04/06,2472.26,2476.31,2472.26,2476.31,2472.26,0.16,4.05,0.0,0
2025/04/03,2462.83,2472.26,2462.83,2472.26,2462.83,0.38,9.43,0.0,0
2025/03/27,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/26,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/25,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/24,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/23,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/20,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/19,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/18,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/17,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/16,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/13,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/12,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/11,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/10,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/09,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/06,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/05,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/04,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/03,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/03/02,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/02/27,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/02/26,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/02/25,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/02/24,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/02/23,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/02/20,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/02/19,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/02/18,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/02/17,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/02/16,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/02/13,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/02/12,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/02/11,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/02/10,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/02/09,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
2025/02/06,2462.83,2462.83,2462.83,2462.83,2462.83,0.0,0.0,0.0,0
