«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,19973.43,20330.21,19611.65,19612.48,19973.43,-1.81,-360.950012,1.1171478E7,9933868
2026/01/12,20427.68,20463.99,19850.41,19973.43,20427.68,-2.22,-454.25,1.4779564E7,12626231
2026/01/11,20680.65,20822.14,20419.58,20427.68,20680.65,-1.22,-252.970001,7132878.5,3833862
2026/01/08,20536.72,20993.58,20407.48,20680.65,20536.72,0.7,143.929993,1.9280698E7,8128298
2026/01/06,20499.74,20557.66,20350.65,20536.72,20499.74,0.18,36.98,1.0515501E7,9675989
2026/01/05,20853.98,21011.58,20499.74,20499.74,20853.98,-1.7,-354.23999,1.2673787E7,12405707
2026/01/04,21087.55,21169.63,20829.95,20853.98,21087.55,-1.11,-233.570007,1.1984023E7,6380706
2025/12/31,20902.61,21345.99,20799.24,21087.55,20902.61,0.88,184.940002,4.1550052E7,45908886
2025/12/30,21059.23,21223.51,20856.4,20902.61,21059.23,-0.74,-156.619995,2.7170866E7,21823143
2025/12/29,21137.87,21426.95,20937.35,21059.23,21137.87,-0.37,-78.639999,1.7995272E7,18307114
2025/12/28,21686.89,21686.89,20948.39,21137.87,21686.89,-2.53,-549.02002,3.5326488E7,30506471
2025/12/25,21630.3,21956.75,21411.23,21686.89,21630.3,0.26,56.59,2.1831242E7,25525629
2025/12/24,21175.99,21630.3,20968.26,21630.3,21175.99,2.15,454.309998,1.7237376E7,19969199
2025/12/23,20958.59,21383.89,20752.69,21175.99,20958.59,1.04,217.399994,3.2238074E7,19988305
2025/12/22,22106.83,22191.38,20910.52,20958.59,22106.83,-5.19,-1148.23999,2.684209E7,21005249
2025/12/21,21388.82,22295.96,21388.82,22106.83,21388.82,3.36,718.01001,3.3598356E7,28376113
2025/12/18,21098.32,21648.87,21098.32,21388.82,21098.32,1.38,290.5,2.4616756E7,18731852
2025/12/17,21242.18,21417.78,20935.18,21098.32,21242.18,-0.68,-143.860001,3.390376E7,31928836
2025/12/16,20492.11,21333.54,20492.11,21242.18,20492.11,3.66,750.070007,3.8155104E7,40013667
2025/12/15,20031.81,20814.66,19674.15,20492.11,20031.81,2.3,460.299988,2.2454624E7,27100608
2025/12/14,20164.57,20248.95,19055.58,20031.81,20164.57,-0.66,-132.759995,2.8200348E7,38198499
2025/12/11,20405.23,20642.75,20164.57,20164.57,20405.23,-1.18,-240.660004,2.7249432E7,38096833
2025/12/10,19939.71,20441.44,19925.05,20405.23,19939.71,2.33,465.519989,3.0945784E7,36569716
2025/12/09,19874.61,19951.96,19468.48,19939.71,19874.61,0.33,65.099998,1.6578007E7,21725196
2025/12/08,19748.44,19965.47,19503.96,19874.61,19748.44,0.64,126.169998,1.1727345E7,14216135
2025/12/07,19258.69,19748.44,19109.19,19748.44,19258.69,2.54,489.75,2.6132278E7,33864880
2025/12/04,19068.81,19258.69,18932.12,19258.69,19068.81,1.0,189.880005,1.6896706E7,24102014
2025/12/03,18540.16,19068.81,18349.57,19068.81,18540.16,2.85,528.650024,2.140009E7,33196277
2025/12/02,17986.33,18585.42,17986.33,18540.16,17986.33,3.08,553.830017,2.2281338E7,37447782
2025/12/01,18566.43,18713.04,17983.08,17986.33,18566.43,-3.12,-580.099976,1.0826673E7,10968642
2025/11/30,18751.58,19058.97,18507.78,18566.43,18751.58,-0.99,-185.149994,1.7151832E7,26229756
2025/11/27,18258.1,18839.44,18242.74,18751.58,18258.1,2.7,493.480011,2.1853118E7,28255292
2025/11/26,18381.62,18542.89,18082.16,18258.1,18381.62,-0.67,-123.519997,8161996.5,12470238
2025/11/25,18284.35,18538.62,18073.47,18381.62,18284.35,0.53,97.269997,2.5143592E7,37333727
2025/11/24,18351.81,18483.06,18067.9,18284.35,18351.81,-0.37,-67.459999,1.4379365E7,15533585
2025/11/23,17914.82,18351.81,17812.19,18351.81,17914.82,2.44,436.98999,1.2672388E7,19180442
2025/11/20,17885.98,18219.66,17531.38,17914.82,17885.98,0.16,28.84,2.1662672E7,31462516
2025/11/19,17511.71,17954.38,17327.88,17885.98,17511.71,2.14,374.269989,2.5097788E7,34921077
2025/11/18,17705.09,17795.19,17353.17,17511.71,17705.09,-1.09,-193.380005,2.5477326E7,28061513
2025/11/17,17296.6,17705.09,17112.1,17705.09,17296.6,2.36,408.48999,2.1755498E7,33617960
2025/11/16,16886.91,17296.6,16878.92,17296.6,16886.91,2.43,409.690002,2.6219862E7,45749856
2025/11/13,16275.99,16963.2,16275.99,16886.91,16275.99,3.75,610.919983,4.3048508E7,74691732
2025/11/12,15533.36,16312.03,15533.36,16275.99,15533.36,4.78,742.630005,1.5260389E7,20508100
2025/11/11,15853.22,15911.86,15533.36,15533.36,15853.22,-2.02,-319.859985,6547518.5,9170565
2025/11/10,16210.98,16313.61,15818.42,15853.22,16210.98,-2.21,-357.76001,1.0202227E7,20670100
2025/11/09,16286.14,16447.42,16210.98,16210.98,16286.14,-0.46,-75.160004,1.6421258E7,35506819
2025/11/06,16245.0,16391.61,16090.86,16286.14,16245.0,0.25,41.139999,2.051433E7,46395024
2025/11/05,15970.53,16407.88,15970.53,16245.0,15970.53,1.72,274.470001,4.696738E7,108380757
2025/11/04,15450.18,16029.18,15450.18,15970.53,15450.18,3.37,520.349976,1.6308763E7,37857058
2025/11/03,15657.23,15671.89,15411.1,15450.18,15657.23,-1.32,-207.050003,5056388.5,9276669
2025/11/02,15499.05,15657.23,15483.0,15657.23,15499.05,1.02,158.179993,5832060.0,7142856
2025/10/30,15570.12,15570.12,15468.4,15499.05,15570.12,-0.46,-71.07,6920372.5,12655914
2025/10/29,15562.01,15627.91,15506.84,15570.12,15562.01,0.05,8.11,4397405.0,7378621
2025/10/28,15832.84,15832.84,15424.04,15562.01,15832.84,-1.71,-270.829987,9640578.0,14109561
2025/10/27,15871.31,15947.96,15765.02,15832.84,15871.31,-0.24,-38.470001,9401233.0,10659629
2025/10/26,15978.11,16008.76,15871.31,15871.31,15978.11,-0.67,-106.800003,5980586.0,8152883
2025/10/23,15901.5,15983.75,15867.77,15978.11,15901.5,0.48,76.610001,5942043.0,12058408
2025/10/22,15897.93,15917.85,15824.88,15901.5,15897.93,0.02,3.57,6177739.5,11861979
2025/10/21,16015.55,16101.37,15862.74,15897.93,16015.55,-0.73,-117.620003,1.0240344E7,21351237
2025/10/20,16315.3,16430.38,15892.96,16015.55,16315.3,-1.84,-299.75,2.1738168E7,46104198
2025/10/19,15985.82,16419.49,15985.82,16315.3,15985.82,2.06,329.480011,1.9197938E7,39738061
2025/10/16,15763.67,16052.75,15763.67,15985.82,15763.67,1.41,222.149994,1.2648136E7,27973137
2025/10/15,15709.64,15784.17,15634.89,15763.67,15709.64,0.34,54.029999,8773615.0,14146264
2025/10/14,15701.39,15778.01,15666.15,15709.64,15701.39,0.05,8.25,8280762.5,10462523
2025/10/13,15735.21,15868.49,15578.17,15701.39,15735.21,-0.21,-33.82,1.1546474E7,17972760
2025/10/12,16016.9,16016.9,15710.14,15735.21,16016.9,-1.76,-281.690002,9414225.0,9963743
2025/10/08,15755.96,16413.03,15755.96,16016.9,15755.96,1.66,260.940002,2.194375E7,15762366
2025/10/07,15760.36,15817.6,15645.96,15755.96,15760.36,-0.03,-4.4,1.062911E7,11127372
2025/10/06,15708.96,16010.34,15708.96,15760.36,15708.96,0.33,51.400002,1.7881534E7,17121969
2025/10/05,15742.68,15865.27,15708.96,15708.96,15742.68,-0.21,-33.720001,5742242.0,11776838
2025/10/02,15632.97,16122.44,15632.97,15742.68,15632.97,0.7,109.709999,1.9651948E7,43478781
2025/10/01,15520.53,15812.86,15319.11,15632.97,15520.53,0.72,112.440002,2.1329418E7,38361799
2025/09/30,15500.06,15745.24,15500.06,15520.53,15500.06,0.13,20.469999,7028323.0,14780695
2025/09/29,15695.27,15761.17,15495.46,15500.06,15695.27,-1.24,-195.210007,4522136.0,8506419
2025/09/28,15760.14,15845.98,15496.47,15695.27,15760.14,-0.41,-64.870003,9105303.0,17829303
2025/09/25,15890.11,16002.33,15710.28,15760.14,15890.11,-0.82,-129.970001,1.1989099E7,24824171
2025/09/24,15644.01,15993.81,15029.45,15890.11,15644.01,1.57,246.100006,4.93076E7,106466249
2025/09/23,15934.39,16157.06,15644.01,15644.01,15934.39,-1.82,-290.380005,2.3420338E7,33582784
2025/09/22,16173.99,16173.99,15591.69,15934.39,16173.99,-1.48,-239.600006,1.4695831E7,35004277
2025/09/21,17002.61,17002.61,16137.19,16173.99,17002.61,-4.87,-828.619995,1.9912904E7,43581911
2025/09/18,17724.32,17724.32,16933.03,17002.61,17724.32,-4.07,-721.710022,4416591.5,5907655
2025/09/17,17949.61,18413.89,17612.45,17724.32,17949.61,-1.26,-225.289993,1.6909144E7,29084396
2025/09/16,18286.45,18300.82,17949.61,17949.61,18286.45,-1.84,-336.839996,5643866.5,5918828
2025/09/15,18347.23,18762.5,18247.58,18286.45,18347.23,-0.33,-60.779999,1.0365696E7,13455888
2025/09/14,18696.66,18696.66,18347.23,18347.23,18696.66,-1.87,-349.429993,5901081.5,7494929
2025/09/11,18700.89,18771.3,18527.06,18696.66,18700.89,-0.02,-4.23,6530812.5,6700622
2025/09/10,18408.64,18825.09,18408.64,18700.89,18408.64,1.59,292.25,7748159.0,7833864
2025/09/09,18784.21,18998.74,18408.64,18408.64,18784.21,-2.0,-375.570007,8305698.5,9161850
2025/09/08,19028.01,19175.04,18768.33,18784.21,19028.01,-1.28,-243.800003,7616272.5,5471191
2025/09/07,20191.22,20191.22,19028.01,19028.01,20191.22,-5.76,-1163.209961,1.6935176E7,22419351
2025/09/03,19610.55,20378.19,19412.21,20191.22,19610.55,2.96,580.669983,2.7550824E7,28723174
2025/09/02,18285.04,19610.55,18262.04,19610.55,18285.04,7.25,1325.51001,2.1376866E7,17134758
2025/09/01,18593.19,18593.19,18271.24,18285.04,18593.19,-1.66,-308.149994,6451885.5,4181651
2025/08/31,18358.76,19285.96,18335.73,18593.19,18358.76,1.28,234.429993,1.7710188E7,13179988
2025/08/28,17761.93,18394.01,17761.93,18358.76,17761.93,3.36,596.830017,2.0608866E7,17330235
2025/08/27,17664.46,18076.65,17664.46,17761.93,17664.46,0.55,97.470001,1.0806104E7,16789143
2025/08/26,17492.82,17673.61,17407.99,17664.46,17492.82,0.98,171.639999,1.0705511E7,13746894
2025/08/25,17498.58,17694.19,17484.14,17492.82,17498.58,-0.03,-5.76,9371130.0,13284261
2025/08/24,17348.04,18014.82,17348.04,17498.58,17348.04,0.87,150.539993,4.007454E7,57982567
2025/08/21,17186.87,17617.77,17130.52,17348.04,17186.87,0.94,161.169998,1.4614904E7,16928090
2025/08/20,17944.52,18051.79,17110.25,17186.87,17944.52,-4.22,-757.650024,1.862162E7,29862084
2025/08/19,17457.35,18038.05,17300.38,17944.52,17457.35,2.79,487.170013,2.5915382E7,44819947
2025/08/18,17504.39,17582.59,17355.69,17457.35,17504.39,-0.27,-47.040001,9894947.0,9247696
2025/08/17,16877.48,17504.39,16877.48,17504.39,16877.48,3.71,626.909973,1.3925148E7,9451284
2025/08/14,16923.06,17120.13,16518.3,16877.48,16923.06,-0.27,-45.580002,1.1817998E7,12531969
2025/08/13,17092.31,17375.91,16819.81,16923.06,17092.31,-0.99,-169.25,1.1261749E7,9676106
2025/08/12,17189.68,17295.2,16748.42,17092.31,17189.68,-0.57,-97.370003,2.2090566E7,18841842
2025/08/11,17641.02,18081.15,17056.51,17189.68,17641.02,-2.56,-451.339996,3.959E7,63580337
2025/08/10,17695.06,18346.4,17428.96,17641.02,17695.06,-0.31,-54.040001,3.1758964E7,40147366
2025/08/07,16652.73,17754.4,16652.73,17695.06,16652.73,6.26,1042.329956,3.2220782E7,33458139
2025/08/06,16587.28,17055.9,16571.96,16652.73,16587.28,0.39,65.449997,1.4650362E7,29241217
2025/08/05,16031.36,17053.73,16031.36,16587.28,16031.36,3.47,555.919983,3.2251098E7,55398348
2025/08/04,15101.45,16031.36,15064.65,16031.36,15101.45,6.16,929.909973,1.4287804E7,27331194
2025/08/03,15280.06,15381.08,15043.93,15101.45,15280.06,-1.17,-178.610001,1.1277067E7,19619279
