«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,4.87,4.91,4.73,4.73,4.87,-2.87,-0.14,7538308.5,1568399
2026/01/12,5.0,5.09,4.85,4.87,5.0,-2.6,-0.13,9417434.0,1896333
2026/01/11,5.08,5.18,4.93,5.0,5.08,-1.57,-0.08,1.4919042E7,2970979
2026/01/08,4.85,5.19,4.9,5.08,4.85,4.74,0.23,3.9077884E7,7691172
2026/01/06,4.7,5.0,4.72,4.85,4.7,3.19,0.15,2.0570036E7,4204911
2026/01/05,4.8,4.89,4.7,4.7,4.8,-2.08,-0.1,5257728.5,1101047
2026/01/04,4.73,5.06,4.72,4.8,4.73,1.48,0.07,2.179321E7,4439438
2025/12/31,4.77,4.83,4.72,4.73,4.77,-0.84,-0.04,5694013.5,1193836
2025/12/30,4.82,4.86,4.74,4.77,4.82,-1.04,-0.05,7476296.0,1558129
2025/12/29,4.66,4.86,4.65,4.82,4.66,3.43,0.16,1.3554837E7,2829857
2025/12/28,4.77,4.82,4.63,4.66,4.77,-2.31,-0.11,6157389.5,1304526
2025/12/25,4.67,4.85,4.69,4.77,4.67,2.14,0.1,1.4064062E7,2948646
2025/12/24,4.39,4.8,4.41,4.67,4.39,6.38,0.28,2.4378376E7,5244749
2025/12/23,4.39,4.45,4.35,4.39,4.39,0.0,0.0,2051916.88,468466
2025/12/22,4.37,4.44,4.35,4.39,4.37,0.69,0.03,1861796.25,423489
2025/12/21,4.46,4.5,4.35,4.37,4.46,-2.02,-0.09,4689438.5,1062744
2025/12/18,4.45,4.51,4.45,4.46,4.45,0.22,0.01,2545214.25,567097
2025/12/17,4.43,4.51,4.43,4.45,4.43,0.45,0.02,2188285.0,489478
2025/12/16,4.46,4.57,4.39,4.43,4.46,-0.67,-0.03,5072174.0,1138291
2025/12/15,4.5,4.54,4.43,4.46,4.5,-1.56,-0.07,1789183.63,398493
2025/12/14,4.5,4.6,4.46,4.5,4.5,0.0,0.0,4262122.5,940496
2025/12/11,4.55,4.61,4.5,4.5,4.55,-1.1,-0.05,5399014.0,1186042
2025/12/10,4.31,4.58,4.31,4.55,4.31,5.57,0.24,1.5619986E7,3474600
2025/12/09,4.32,4.37,4.3,4.31,4.32,-0.23,-0.01,1790954.5,413810
2025/12/08,4.29,4.35,4.3,4.32,4.29,0.7,0.03,4102585.5,948535
2025/12/07,4.29,4.34,4.29,4.29,4.29,0.0,0.0,3111472.75,722943
2025/12/04,4.35,4.38,4.25,4.29,4.35,-1.38,-0.06,5931695.0,1380423
2025/12/03,4.42,4.47,4.33,4.35,4.42,-1.58,-0.07,8124351.5,1853749
2025/12/02,4.49,4.54,4.41,4.42,4.49,-1.56,-0.07,7504443.0,1685959
2025/12/01,4.51,4.57,4.43,4.49,4.51,-1.33,-0.06,4476559.5,998084
2025/11/30,4.54,4.58,4.47,4.51,4.54,-0.66,-0.03,5227082.0,1158552
2025/11/27,4.57,4.63,4.52,4.54,4.57,-0.66,-0.03,2573307.75,565349
2025/11/26,4.63,4.71,4.52,4.57,4.63,-1.3,-0.06,7017973.0,1531666
2025/11/25,4.73,4.75,4.61,4.63,4.73,-2.11,-0.1,4831491.5,1030302
2025/11/24,4.79,4.84,4.72,4.73,4.79,-1.25,-0.06,2095366.13,439530
2025/11/23,4.76,4.89,4.78,4.79,4.76,0.84,0.04,5744289.5,1190413
2025/11/20,4.67,4.84,4.68,4.76,4.67,1.93,0.09,5111470.0,1073511
2025/11/19,4.66,4.78,4.66,4.67,4.66,0.21,0.01,4097192.0,870530
2025/11/18,4.79,4.83,4.66,4.66,4.79,-2.71,-0.13,6890507.0,1459913
2025/11/17,4.94,4.98,4.76,4.79,4.94,-3.04,-0.15,1.0739545E7,2227832
2025/11/16,4.8,5.02,4.85,4.94,4.8,2.92,0.14,2.2447348E7,4553875
2025/11/13,4.61,4.88,4.57,4.8,4.61,4.12,0.19,1.7734534E7,3741007
2025/11/12,4.5,4.61,4.51,4.61,4.5,2.44,0.11,5026883.0,1102600
2025/11/11,4.48,4.64,4.46,4.5,4.48,0.67,0.03,5646134.0,1240785
2025/11/10,4.57,4.63,4.46,4.48,4.57,-1.97,-0.09,7928865.0,1753234
2025/11/09,4.73,4.8,4.55,4.57,4.73,-3.59,-0.17,8533929.0,1831355
2025/11/06,4.8,4.85,4.72,4.73,4.8,-1.46,-0.07,6390535.0,1331189
2025/11/05,4.88,4.96,4.8,4.8,4.88,-1.64,-0.08,1.1822347E7,2434416
2025/11/04,4.9,4.96,4.86,4.88,4.9,-0.41,-0.02,1.1763747E7,2397689
2025/11/03,4.92,5.03,4.86,4.9,4.92,-0.41,-0.02,1.8745626E7,3804848
2025/11/02,5.01,5.07,4.89,4.92,5.01,-1.8,-0.09,1.4734675E7,2963796
2025/10/30,4.83,5.04,4.83,5.01,4.83,3.73,0.18,1.8966358E7,3847675
2025/10/29,4.86,4.92,4.82,4.83,4.86,-0.62,-0.03,5126153.0,1055336
2025/10/28,4.99,5.0,4.85,4.86,4.99,-2.61,-0.13,9770553.0,1994147
2025/10/27,5.0,5.08,4.92,4.99,5.0,-0.2,-0.01,1.9435486E7,3881655
2025/10/26,4.93,5.05,4.93,5.0,4.93,1.42,0.07,1.4228071E7,2861892
2025/10/23,5.03,5.09,4.92,4.93,5.03,-1.99,-0.1,1.4679734E7,2930009
2025/10/22,4.92,5.23,4.93,5.03,4.92,2.24,0.11,5.7852496E7,11357546
2025/10/21,4.92,5.16,4.89,4.92,4.92,0.0,0.0,1.9668786E7,3948377
2025/10/20,5.0,5.07,4.88,4.92,5.0,-1.6,-0.08,1.16162E7,2346535
2025/10/19,5.08,5.12,4.99,5.0,5.08,-1.57,-0.08,1.1485478E7,2281766
2025/10/16,5.15,5.3,5.07,5.08,5.15,-1.36,-0.07,4.3404108E7,8402376
2025/10/15,4.87,5.25,4.88,5.15,4.87,5.75,0.28,4.4019644E7,8633585
2025/10/14,4.94,5.06,4.86,4.87,4.94,-1.42,-0.07,7972658.5,1615241
2025/10/13,4.87,5.08,4.88,4.94,4.87,1.44,0.07,1.773785E7,3568840
2025/10/12,4.91,4.95,4.83,4.87,4.91,-0.81,-0.04,9991613.0,2042320
2025/10/08,4.96,5.07,4.9,4.91,4.96,-1.01,-0.05,1.1299969E7,2270485
2025/10/07,5.06,5.13,4.95,4.96,5.06,-1.98,-0.1,1.2029356E7,2391351
2025/10/06,5.04,5.32,5.04,5.06,5.04,0.4,0.02,4.5381732E7,8781419
2025/10/05,4.87,5.14,4.84,5.04,4.87,3.49,0.17,3.6831356E7,7343532
2025/10/02,4.88,5.04,4.84,4.87,4.88,-0.2,-0.01,1.3779721E7,2803936
2025/10/01,5.0,5.05,4.84,4.88,5.0,-2.4,-0.12,1.6167447E7,3287554
2025/09/30,5.07,5.22,4.97,5.0,5.07,-1.38,-0.07,3.2884626E7,6441219
2025/09/29,5.22,5.34,5.06,5.07,5.22,-2.87,-0.15,4.23626E7,8149266
2025/09/28,5.21,5.56,5.17,5.22,5.21,0.19,0.01,1.07113072E8,20077503
2025/09/25,4.87,5.41,4.8,5.21,4.87,6.98,0.34,1.00957512E8,19430311
2025/09/24,4.81,5.06,4.8,4.87,4.81,1.25,0.06,2.252463E7,4591078
2025/09/23,5.0,5.02,4.79,4.81,5.0,-3.8,-0.19,2.3165574E7,4752324
2025/09/22,4.45,5.2,4.51,5.0,4.45,12.36,0.55,8.9967184E7,18387585
2025/09/21,4.3,4.68,4.36,4.45,4.3,3.49,0.15,3.447114E7,7634795
2025/09/18,4.13,4.42,4.1,4.3,4.13,4.12,0.17,2.330624E7,5438290
2025/09/17,4.12,4.17,4.07,4.13,4.12,0.24,0.01,7890427.0,1912034
2025/09/16,4.05,4.59,4.05,4.12,4.05,1.73,0.07,4.0724708E7,9554170
2025/09/15,4.04,4.17,4.01,4.05,4.04,0.25,0.01,6081586.0,1485091
2025/09/14,4.1,4.16,4.01,4.04,4.1,-1.46,-0.06,3828970.5,938121
2025/09/11,4.15,4.23,4.08,4.1,4.15,-1.2,-0.05,6913158.0,1664913
2025/09/10,4.02,4.35,3.99,4.15,4.02,3.23,0.13,1.3517489E7,3232601
2025/09/09,4.09,4.17,4.0,4.02,4.09,-1.71,-0.07,4149499.5,1015125
2025/09/08,4.11,4.23,4.06,4.09,4.11,-0.49,-0.02,7791487.5,1881763
2025/09/07,4.07,4.29,4.05,4.11,4.07,0.98,0.04,1.2243537E7,2954957
2025/09/03,4.22,4.22,4.03,4.07,4.22,-3.55,-0.15,1.4558724E7,3539693
2025/09/02,3.92,4.7,3.88,4.22,3.92,7.65,0.3,5.3566752E7,12353081
2025/09/01,3.85,4.13,3.8,3.92,3.85,1.82,0.07,1.0955608E7,2776273
2025/08/31,4.1,4.25,3.8,3.85,4.1,-6.1,-0.25,1.2317159E7,3080769
2025/08/28,4.23,4.35,4.02,4.1,4.23,-3.07,-0.13,1.1751481E7,2808960
2025/08/27,4.35,4.69,4.13,4.23,4.35,-2.76,-0.12,1.7315078E7,3992144
2025/08/26,3.63,4.35,3.62,4.35,3.63,19.83,0.72,4.0989044E7,9988355
2025/08/25,3.61,3.7,3.59,3.63,3.61,0.55,0.02,2906231.5,793865
2025/08/24,3.53,3.62,3.51,3.61,3.53,2.27,0.08,857752.63,238570
2025/08/21,3.56,3.65,3.51,3.53,3.56,-0.84,-0.03,980533.56,274954
2025/08/20,3.65,3.72,3.54,3.56,3.65,-2.47,-0.09,1873900.5,516522
2025/08/19,3.64,3.73,3.58,3.65,3.64,0.27,0.01,3044419.5,826779
2025/08/18,3.63,3.7,3.58,3.64,3.63,0.28,0.01,3133835.25,855742
2025/08/17,3.5,3.64,3.5,3.63,3.5,3.43,0.12,1800110.75,501524
2025/08/14,3.51,3.52,3.46,3.5,3.51,-0.85,-0.03,637113.94,182105
2025/08/13,3.51,3.63,3.49,3.51,3.51,0.0,0.0,4268291.5,1198537
2025/08/12,3.45,3.54,3.44,3.51,3.45,1.74,0.06,3077230.0,876150
2025/08/11,3.48,3.6,3.43,3.45,3.48,-0.86,-0.03,2194324.5,627946
2025/08/10,3.4,3.52,3.42,3.48,3.4,2.35,0.08,3425928.0,985879
2025/08/07,3.43,3.47,3.4,3.4,3.43,-0.87,-0.03,978455.0,287421
2025/08/06,3.45,3.5,3.42,3.43,3.45,-0.58,-0.02,972641.25,282461
2025/08/05,3.42,3.64,3.42,3.45,3.42,0.88,0.03,4628830.0,1314586
2025/08/04,3.39,3.46,3.39,3.42,3.39,0.29,0.01,3458299.75,1011118
2025/08/03,3.41,3.49,3.37,3.39,3.41,-0.88,-0.03,1270279.0,372786
2025/07/31,3.35,3.45,3.35,3.41,3.35,2.69,0.09,1546784.13,454117
2025/07/30,3.46,3.5,3.34,3.35,3.46,0.0,-0.11,1391019.5,408743
2025/07/29,3.46,3.53,3.43,3.46,3.46,0.0,0.0,1294897.25,372753
2025/07/28,3.54,3.58,3.45,3.46,3.54,-2.26,-0.08,1729611.13,494484
2025/07/27,3.56,3.74,3.53,3.54,3.56,-0.56,-0.02,5218468.5,1431531
2025/07/23,3.52,3.64,3.45,3.56,3.52,1.14,0.04,5378691.0,1513435
2025/07/22,3.43,3.62,3.44,3.52,3.43,2.04,0.07,4169645.75,1178812
2025/07/21,3.55,3.63,3.42,3.43,3.55,-3.38,-0.12,3667562.0,1036659
2025/07/20,3.48,3.68,3.53,3.55,3.48,2.01,0.07,5111218.0,1425261
