«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,13.1,13.24,12.92,12.99,13.1,-0.84,-0.11,1.6252265E7,1241805
2026/01/12,13.37,13.5,13.1,13.1,13.37,-2.02,-0.27,2.588325E7,1949289
2026/01/11,13.41,13.56,13.37,13.37,13.41,-0.3,-0.04,1.445647E7,1077007
2026/01/08,13.62,13.72,13.39,13.41,13.62,-1.54,-0.21,2.3155526E7,1710461
2026/01/06,13.62,13.87,13.62,13.62,13.62,0.0,0.0,4.5362624E7,3307289
2026/01/05,13.9,14.02,13.61,13.62,13.9,-2.01,-0.28,5.6483268E7,4098395
2026/01/04,14.49,14.49,13.9,13.9,14.49,-4.07,-0.59,7.4826184E7,5305473
2025/12/31,13.37,16.04,13.35,14.49,13.37,8.38,1.12,1.34028576E8,9546347
2025/12/30,13.4,13.5,13.33,13.37,13.4,-0.22,-0.03,1.6001206E7,1192671
2025/12/29,13.37,13.45,13.29,13.4,13.37,0.22,0.03,1.3555651E7,1014978
2025/12/28,13.36,13.52,13.3,13.37,13.36,0.07,0.01,3.8687704E7,2882936
2025/12/25,13.3,13.48,13.3,13.36,13.3,0.45,0.06,6.3269512E7,4718660
2025/12/24,13.28,13.4,13.25,13.3,13.28,0.15,0.02,6.6625304E7,4996976
2025/12/23,13.04,13.5,13.04,13.28,13.04,1.84,0.24,8.09478E7,6063894
2025/12/22,13.21,13.3,13.0,13.04,13.21,-1.29,-0.17,3.6528236E7,2786797
2025/12/21,13.4,13.49,13.16,13.21,13.4,-1.42,-0.19,2.4570884E7,1854297
2025/12/18,12.89,13.63,13.3,13.4,12.89,3.96,0.51,1.73936192E8,12858153
2025/12/17,12.95,13.05,12.85,12.89,12.95,-0.46,-0.06,1.8881306E7,1460381
2025/12/16,13.11,13.29,12.95,12.95,13.11,-1.22,-0.16,4.1563568E7,3168276
2025/12/15,13.15,13.24,13.1,13.11,13.15,-0.3,-0.04,1.4055056E7,1068441
2025/12/14,13.2,13.35,13.12,13.15,13.2,-0.38,-0.05,3.1391354E7,2369787
2025/12/11,13.16,13.23,13.1,13.2,13.16,0.3,0.04,1.6701502E7,1269252
2025/12/10,13.23,13.31,13.1,13.16,13.23,-0.53,-0.07,2.29373E7,1738931
2025/12/09,13.27,13.34,13.17,13.23,13.27,-0.3,-0.04,2.9225728E7,2203166
2025/12/08,13.12,13.36,13.13,13.27,13.12,1.14,0.15,4.1432344E7,3123991
2025/12/07,13.09,13.24,13.07,13.12,13.09,0.23,0.03,1.917062E7,1460888
2025/12/04,13.34,13.43,13.0,13.09,13.34,-1.87,-0.25,4.7610024E7,3614882
2025/12/03,13.25,13.55,13.25,13.34,13.25,0.68,0.09,3.5773676E7,2672218
2025/12/02,13.45,13.75,13.25,13.25,13.45,-1.49,-0.2,8.4487624E7,6255316
2025/12/01,13.02,13.76,13.06,13.45,13.02,3.3,0.43,2.00500112E8,14774156
2025/11/30,12.85,13.1,12.85,13.02,12.85,1.32,0.17,3.0125566E7,2320738
2025/11/27,12.88,12.98,12.81,12.85,12.88,-0.23,-0.03,1.0282657E7,799201
2025/11/26,13.0,13.1,12.86,12.88,13.0,-0.92,-0.12,2.425395E7,1870372
2025/11/25,13.06,13.47,12.88,13.0,13.06,-0.46,-0.06,9.8814168E7,7463636
2025/11/24,12.8,13.2,12.79,13.06,12.8,2.03,0.26,3.2184014E7,2460565
2025/11/23,12.87,12.98,12.78,12.8,12.87,-0.54,-0.07,8379699.5,652831
2025/11/20,13.0,13.04,12.76,12.87,13.0,-1.0,-0.13,1.4728391E7,1141467
2025/11/19,13.02,13.15,12.95,13.0,13.02,-0.15,-0.02,1.3104169E7,1006180
2025/11/18,13.32,13.44,13.02,13.02,13.32,-2.25,-0.3,2.4243628E7,1840629
2025/11/17,13.1,13.42,13.13,13.32,13.1,1.68,0.22,6.184546E7,4641694
2025/11/16,13.03,13.17,13.0,13.1,13.03,0.54,0.07,1.0381733E7,793366
2025/11/13,13.1,13.22,13.0,13.03,13.1,-0.53,-0.07,1.4490558E7,1106130
2025/11/12,13.03,13.28,13.04,13.1,13.03,0.54,0.07,2.06675E7,1570499
2025/11/11,13.11,13.23,12.99,13.03,13.11,-0.61,-0.08,1.3748994E7,1048321
2025/11/10,13.2,13.4,13.07,13.11,13.2,-0.68,-0.09,2.6459402E7,2001890
2025/11/09,12.87,13.3,12.82,13.2,12.87,2.56,0.33,3.7703812E7,2861494
2025/11/06,12.9,12.96,12.84,12.87,12.9,-0.23,-0.03,7001447.5,543010
2025/11/05,12.97,13.09,12.8,12.9,12.97,-0.54,-0.07,1.6377974E7,1267212
2025/11/04,12.9,13.08,12.9,12.97,12.9,0.54,0.07,9969988.0,767641
2025/11/03,12.99,13.09,12.88,12.9,12.99,-0.69,-0.09,1.2281342E7,944795
2025/11/02,12.92,13.02,12.75,12.99,12.92,0.54,0.07,1.829E7,1420986
2025/10/30,13.16,13.23,12.89,12.92,13.16,-1.82,-0.24,2.287749E7,1757971
2025/10/29,13.3,13.35,13.05,13.16,13.3,-1.05,-0.14,1.3351354E7,1011328
2025/10/28,13.38,13.69,13.24,13.3,13.38,-0.6,-0.08,5.1380488E7,3823777
2025/10/27,13.24,13.69,13.15,13.38,13.24,1.06,0.14,7.0680984E7,5252312
