«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,77.8,78.67,77.75,78.48,77.8,0.87,0.68,1.85531904E8,2374004
2026/01/12,77.99,79.0,77.62,77.8,77.99,-0.24,-0.19,1.8301752E8,2336665
2026/01/11,77.72,78.93,77.66,77.99,77.72,0.35,0.27,1.0222088E8,1305898
2026/01/08,77.85,79.0,77.53,77.72,77.85,-0.17,-0.13,1.31812656E8,1687188
2026/01/06,77.0,78.4,76.52,77.85,77.0,1.1,0.85,7.1650032E7,924776
2026/01/05,77.0,77.7,75.9,77.0,77.0,0.0,0.0,2.16236528E8,2817644
2026/01/04,80.0,80.4,76.9,77.0,80.0,-3.75,-3.0,1.8016488E8,2310278
2025/12/31,79.26,80.9,79.28,80.0,79.26,0.93,0.74,2.38304896E8,2976805
2025/12/30,77.0,79.5,76.53,79.26,77.0,2.94,2.26,3.25197312E8,4141132
2025/12/29,76.1,77.5,75.7,77.0,76.1,1.18,0.9,1.70240976E8,2218073
2025/12/28,75.0,76.8,75.0,76.1,75.0,1.47,1.1,8.0394896E7,1057527
2025/12/25,74.61,75.3,74.7,75.0,74.61,0.52,0.39,2.5236582E7,336704
2025/12/24,75.0,75.45,74.61,74.61,75.0,-0.52,-0.39,6.4797848E7,864319
2025/12/23,75.5,75.6,74.5,75.0,75.5,-0.66,-0.5,7.8813928E7,1049946
2025/12/22,74.66,75.5,74.61,75.5,74.66,1.13,0.84,1.08455608E8,1442650
2025/12/21,74.2,75.29,74.5,74.66,74.2,0.62,0.46,2.3156976E7,309231
2025/12/18,74.7,75.98,74.2,74.2,74.7,-0.67,-0.5,1.57423328E8,2099936
2025/12/17,75.55,76.0,74.53,74.7,75.55,-1.13,-0.85,7.0169672E7,936308
2025/12/16,76.01,76.88,75.38,75.55,76.01,-0.61,-0.46,5.2647044E7,693511
2025/12/15,74.18,76.1,74.26,76.01,74.18,2.47,1.83,1.44835136E8,1920440
2025/12/14,75.85,76.39,74.05,74.18,75.85,-2.2,-1.67,1.0209268E8,1360858
2025/12/11,77.05,77.7,75.45,75.85,77.05,-1.56,-1.2,1.15527576E8,1514208
2025/12/10,75.95,77.5,76.05,77.05,75.95,1.45,1.1,1.61046048E8,2093377
2025/12/09,74.1,75.95,73.9,75.95,74.1,2.5,1.85,1.16649136E8,1553418
2025/12/08,75.12,75.5,73.73,74.1,75.12,-1.36,-1.02,1.42299504E8,1908201
2025/12/07,75.11,76.6,74.21,75.12,75.11,0.01,0.01,7.3878168E7,980270
2025/12/04,77.15,77.88,75.11,75.11,77.15,-2.64,-2.04,1.98953024E8,2611695
2025/12/03,74.99,78.85,74.54,77.15,74.99,2.88,2.16,3.26059232E8,4226448
2025/12/02,75.45,76.5,73.9,74.99,75.45,-0.61,-0.46,1.82135104E8,2425200
2025/12/01,76.44,77.5,75.0,75.45,76.44,-1.3,-0.99,1.39105104E8,1821218
2025/11/30,72.0,76.5,72.12,76.44,72.0,6.17,4.44,2.09145152E8,2792621
2025/11/27,71.0,72.5,70.9,72.0,71.0,1.41,1.0,1.30603744E8,1819451
2025/11/26,71.05,72.25,70.91,71.0,71.05,-0.07,-0.05,1.01462912E8,1419701
2025/11/25,71.0,73.5,71.05,71.05,71.0,0.07,0.05,2.75200864E8,3808177
2025/11/24,72.55,75.64,71.0,71.0,72.55,-2.14,-1.55,4.40264672E8,6114335
2025/11/23,73.6,74.0,72.55,72.55,73.6,-1.43,-1.05,8.8018488E7,1200201
2025/11/20,75.19,76.5,73.6,73.6,75.19,-2.11,-1.59,1.21297696E8,1610519
2025/11/19,74.6,75.95,73.22,75.19,74.6,0.79,0.59,1.36727392E8,1825376
2025/11/18,76.7,77.49,74.51,74.6,76.7,-2.74,-2.1,2.20863216E8,2928436
2025/11/17,75.0,79.43,75.62,76.7,75.0,2.27,1.7,3.7751872E8,4878896
2025/11/16,71.6,75.0,71.3,75.0,71.6,4.75,3.4,2.3605896E8,3204663
2025/11/13,70.3,71.7,70.3,71.6,70.3,1.85,1.3,1.57932256E8,2225339
2025/11/12,70.2,72.3,70.3,70.3,70.2,0.14,0.1,1.88654016E8,2638265
2025/11/11,71.86,72.4,70.2,70.2,71.86,-2.31,-1.66,1.59103104E8,2225740
2025/11/10,71.2,73.0,71.25,71.86,71.2,0.93,0.66,3.18591936E8,4408574
2025/11/09,70.9,72.9,70.2,71.2,70.9,0.42,0.3,2.38682592E8,3312000
2025/11/06,68.68,72.25,69.0,70.9,68.68,3.23,2.22,8.67660992E8,12230207
2025/11/05,64.99,68.98,64.0,68.68,64.99,5.68,3.69,5.73124288E8,8557963
2025/11/04,62.01,64.99,62.16,64.99,62.01,4.81,2.98,4.61681536E8,7293061
2025/11/03,59.15,62.01,59.22,62.01,59.15,4.84,2.86,6.3977856E8,10541811
2025/11/02,57.51,59.58,57.9,59.15,57.51,2.85,1.64,3.90205472E8,6609344
2025/10/30,57.91,58.35,57.3,57.51,57.91,-0.69,-0.4,1.01061584E8,1749507
2025/10/29,58.1,58.6,57.88,57.91,58.1,-0.33,-0.19,8.6588144E7,1487438
2025/10/28,58.0,58.6,57.4,58.1,58.0,0.17,0.1,1.33104952E8,2292133
2025/10/27,57.08,58.2,57.11,58.0,57.08,1.61,0.92,1.30068984E8,2250337
2025/10/26,56.43,57.85,56.5,57.08,56.43,1.15,0.65,6.989372E7,1219969
2025/10/23,56.5,56.88,56.2,56.43,56.5,-0.12,-0.07,7.0048616E7,1239443
2025/10/22,57.1,57.45,56.5,56.5,57.1,-1.05,-0.6,5.9064616E7,1038594
2025/10/21,57.78,57.78,57.1,57.1,57.78,-1.18,-0.68,6.8567304E7,1195017
2025/10/20,58.0,58.4,57.57,57.78,58.0,-0.38,-0.22,5.3954156E7,933306
2025/10/19,57.27,58.4,57.25,58.0,57.27,1.27,0.73,1.24178712E8,2146813
2025/10/16,57.86,58.2,57.27,57.27,57.86,-1.02,-0.59,7.8166792E7,1356148
2025/10/15,57.8,58.0,57.5,57.86,57.8,0.1,0.06,3.6361852E7,629826
2025/10/14,58.6,59.0,57.05,57.8,58.6,-1.37,-0.8,4.922768E8,8536867
2025/10/13,58.5,58.99,58.1,58.6,58.5,0.17,0.1,1.48955168E8,2546292
2025/10/12,57.79,58.97,57.2,58.5,57.79,1.23,0.71,1.69576384E8,2905808
2025/10/08,56.24,58.01,56.01,57.79,56.24,2.76,1.55,2.51758048E8,4376961
2025/10/07,56.01,56.35,56.0,56.24,56.01,0.41,0.23,4.0322756E7,718049
2025/10/06,56.8,57.1,55.8,56.01,56.8,-1.39,-0.79,8.0264968E7,1425158
2025/10/05,57.0,57.49,56.75,56.8,57.0,-0.35,-0.2,3.990174E7,700299
2025/10/02,57.16,57.7,57.0,57.0,57.16,-0.28,-0.16,1.1346528E8,1979513
2025/10/01,56.88,57.66,56.61,57.16,56.88,0.49,0.28,1.7124328E8,2988844
2025/09/30,56.24,56.95,56.11,56.88,56.24,1.14,0.64,1.56317152E8,2757864
2025/09/29,55.61,56.35,55.12,56.24,55.61,1.13,0.63,1.42083952E8,2537634
2025/09/28,55.11,55.8,54.5,55.61,55.11,0.91,0.5,7.0581064E7,1275772
2025/09/25,55.5,55.6,55.01,55.11,55.5,-0.7,-0.39,7.6845568E7,1388631
2025/09/24,54.29,55.5,54.15,55.5,54.29,2.23,1.21,5.3638704E7,975360
2025/09/23,54.6,55.15,54.1,54.29,54.6,-0.57,-0.31,6.768876E7,1240934
2025/09/22,54.51,55.0,54.22,54.6,54.51,0.17,0.09,2.8194352E7,515501
2025/09/21,54.0,55.12,53.7,54.51,54.0,0.94,0.51,9.9417328E7,1813081
2025/09/18,53.63,54.08,53.3,54.0,53.63,0.69,0.37,6.644738E7,1232779
2025/09/17,53.7,53.96,52.91,53.63,53.7,-0.13,-0.07,1.00562568E8,1885160
2025/09/16,54.18,54.18,52.91,53.7,54.18,-0.89,-0.48,7.6229728E7,1423332
2025/09/15,53.9,54.2,53.5,54.18,53.9,0.52,0.28,7.2320408E7,1342643
2025/09/14,52.99,53.9,53.0,53.9,52.99,1.72,0.91,5.0800984E7,946602
2025/09/11,52.9,53.3,52.7,52.99,52.9,0.17,0.09,2.887938E7,545233
2025/09/10,52.35,53.18,52.25,52.9,52.35,1.05,0.55,6.5841304E7,1244581
2025/09/09,52.78,53.4,52.35,52.35,52.78,-0.81,-0.43,6.3007868E7,1198298
2025/09/08,52.61,53.48,52.62,52.78,52.61,0.32,0.17,3.8440124E7,726098
2025/09/07,53.2,53.9,52.33,52.61,53.2,-1.11,-0.59,7.265796E7,1378105
2025/09/03,54.5,54.97,52.75,53.2,54.5,-2.39,-1.3,1.07643136E8,2012563
2025/09/02,55.0,55.36,53.99,54.5,55.0,-0.91,-0.5,7.5743544E7,1390993
2025/09/01,54.72,55.0,54.52,55.0,54.72,0.51,0.28,2.9156622E7,531645
2025/08/31,55.46,55.69,54.6,54.72,55.46,-1.33,-0.74,3.1305392E7,568257
2025/08/28,55.0,55.46,54.25,55.46,55.0,0.84,0.46,7.4957624E7,1360103
2025/08/27,53.9,55.0,53.91,55.0,53.9,2.04,1.1,1.19237184E8,2197475
2025/08/26,54.77,55.2,53.5,53.9,54.77,-1.59,-0.87,1.99090368E8,3679630
2025/08/25,55.26,55.5,54.56,54.77,55.26,-0.89,-0.49,7.7152256E7,1405329
2025/08/24,55.01,55.55,54.6,55.26,55.01,0.45,0.25,4.4427768E7,806699
2025/08/21,55.05,55.48,54.77,55.01,55.05,-0.07,-0.04,5.5548304E7,1011275
2025/08/20,55.21,55.79,55.0,55.05,55.21,-0.29,-0.16,1.03165952E8,1864019
2025/08/19,55.11,55.5,55.0,55.21,55.11,0.18,0.1,4.6708036E7,844024
2025/08/18,55.85,56.4,55.0,55.11,55.85,-1.32,-0.74,1.36097472E8,2445135
2025/08/17,55.5,56.0,54.86,55.85,55.5,0.63,0.35,2.702717E7,484799
