«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,74.01,74.01,69.0,69.05,74.01,-6.7,-4.96,1319396.5,18651
2026/01/05,72.0,75.0,70.0,74.01,72.0,2.79,2.01,1672371.63,22960
2025/12/31,70.0,73.93,70.0,72.0,70.0,2.86,2.0,1661168.13,22912
2025/12/29,70.0,71.0,70.0,70.0,70.0,0.0,0.0,696309.31,9913
2025/12/24,70.0,71.0,69.61,70.0,70.0,0.0,0.0,914730.31,13048
2025/12/22,66.95,70.5,62.5,70.0,66.95,4.56,3.05,1518479.38,22017
2025/12/17,67.12,68.97,66.67,66.95,67.12,-0.25,-0.17,1017634.0,15161
2025/12/15,68.0,69.9,66.99,67.12,68.0,-1.29,-0.88,1099200.75,16351
2025/12/10,70.0,70.0,66.55,68.0,70.0,-2.86,-2.0,397725.03,5785
2025/12/08,67.9,72.65,66.5,70.0,67.9,3.09,2.1,1223708.25,17559
2025/12/03,70.74,71.0,67.9,67.9,70.74,-4.01,-2.84,1324802.63,19188
2025/12/01,69.01,71.7,69.4,70.74,69.01,2.51,1.73,1264192.63,18001
2025/11/26,73.0,71.7,68.05,69.01,73.0,-5.47,-3.99,1044333.63,14900
2025/11/24,71.0,73.1,71.2,73.0,71.0,2.82,2.0,430885.56,5909
2025/11/19,72.11,73.0,70.16,71.0,72.11,-1.54,-1.11,1213935.75,17072
2025/11/17,76.0,78.0,72.07,72.11,76.0,-5.12,-3.89,1796888.38,24068
2025/11/12,77.51,80.0,76.0,76.0,77.51,-1.95,-1.51,988837.69,12777
2025/11/10,78.0,80.0,75.0,77.51,78.0,-0.63,-0.49,1697689.13,21592
2025/11/05,82.0,82.0,76.02,78.0,82.0,-4.88,-4.0,2363586.5,30520
2025/11/03,83.5,83.5,72.0,82.0,83.5,-1.8,-1.5,5586829.0,70152
2025/10/29,98.0,98.0,81.0,83.5,98.0,-14.8,-14.5,9829067.0,106914
2025/10/27,85.8,99.0,86.0,98.0,85.8,14.22,12.2,6436295.0,67035
2025/10/22,77.0,85.8,77.0,85.8,77.0,11.43,8.8,7106781.0,86801
2025/10/20,67.77,78.85,71.99,77.0,67.77,13.62,9.23,3890403.5,50439
2025/10/15,63.5,74.0,64.0,67.77,63.5,6.72,4.27,5697646.5,84392
2025/10/13,54.4,64.95,54.54,63.5,54.4,16.73,9.1,5086629.0,83485
2025/10/08,52.1,54.53,50.05,54.4,52.1,4.41,2.3,4119409.5,78381
2025/10/06,50.05,52.9,48.02,52.1,50.05,4.1,2.05,1294251.0,24916
2025/10/01,42.95,50.05,44.9,50.05,42.95,16.530001,7.1,1969882.25,40323
2025/09/29,44.9,44.5,42.05,42.95,44.9,-4.34,-1.95,3676089.0,86331
2025/09/24,45.94,45.9,44.5,44.9,45.94,-2.26,-1.04,294812.41,6576
2025/09/22,45.99,45.99,45.0,45.94,45.99,-0.11,-0.05,623452.31,13676
2025/09/17,47.01,46.35,45.0,45.99,47.01,-2.17,-1.02,667300.5,14520
2025/09/15,44.9,48.45,45.0,47.01,44.9,4.7,2.11,998527.44,21353
2025/09/10,46.0,46.0,44.0,44.9,46.0,-2.39,-1.1,816697.25,18433
2025/09/08,46.8,46.99,46.0,46.0,46.8,-1.71,-0.8,615031.06,13242
2025/09/03,45.81,48.1,45.01,46.8,45.81,2.16,0.99,411119.25,8790
2025/09/01,44.05,47.4,45.7,45.81,44.05,4.0,1.76,1312215.38,28377
2025/08/27,46.9,47.5,44.0,44.05,46.9,-6.08,-2.85,1642890.0,36920
2025/08/25,49.03,50.0,46.0,46.9,49.03,-4.34,-2.13,4423620.5,90390
2025/08/20,47.6,51.94,47.65,49.03,47.6,3.0,1.43,1478463.13,29799
2025/08/18,47.01,65.0,47.0,47.6,47.01,1.26,0.59,5294819.0,108652
2025/08/13,48.9,49.0,47.0,47.01,48.9,-3.87,-1.89,560248.69,11693
2025/08/11,45.49,49.87,45.99,48.9,45.49,7.5,3.41,3166164.75,63964
2025/08/06,46.51,46.9,45.01,45.49,46.51,-2.19,-1.02,2736766.25,58859
2025/08/04,47.0,47.8,46.06,46.51,47.0,-1.04,-0.49,663962.19,14196
2025/07/30,46.75,47.9,47.0,47.0,46.75,0.0,0.25,3672629.75,77902
2025/07/28,47.75,47.9,46.52,46.75,47.75,-2.09,-1.0,206691.94,4425
2025/07/23,48.0,48.03,46.0,47.75,48.0,-0.52,-0.25,516905.44,10953
2025/07/21,48.0,49.96,48.0,48.0,48.0,0.0,0.0,4397982.5,90047
2025/07/16,45.0,48.79,45.0,48.0,45.0,6.67,3.0,1292159.0,27011
2025/07/14,44.0,45.49,44.5,45.0,44.0,2.27,1.0,859577.44,19086
2025/07/07,50.0,49.99,46.0,46.0,50.0,-8.0,-4.0,550462.63,11569
2025/07/02,50.02,51.55,31.59,50.0,50.02,-0.04,-0.02,817692.44,17104
2025/06/30,51.01,51.65,50.0,50.02,51.01,-1.94,-0.99,711506.0,14140
2025/06/25,50.0,52.86,50.0,51.01,50.0,2.02,1.01,1310388.88,25345
2025/06/23,47.5,50.01,46.31,50.0,47.5,5.26,2.5,1014285.19,20375
2025/06/18,50.0,50.0,46.27,47.5,50.0,-5.0,-2.5,301228.09,6307
2025/06/16,54.7,52.0,49.0,50.0,54.7,-8.59,-4.7,2030578.0,40670
2025/06/11,54.74,55.0,53.63,54.7,54.74,-0.07,-0.04,651530.31,11938
2025/06/04,53.0,54.8,53.0,54.74,53.0,3.28,1.74,627002.38,11661
2025/06/02,52.5,53.0,51.25,53.0,52.5,0.95,0.5,2412079.75,45880
2025/05/28,52.8,53.0,50.5,52.5,52.8,-0.57,-0.3,1168961.38,22475
2025/05/26,49.5,53.0,50.1,52.8,49.5,6.67,3.3,2652697.75,50970
2025/05/21,49.0,50.0,48.01,49.5,49.0,1.02,0.5,1748824.5,35373
