«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2024/08/21,0.1,0.08,0.06,0.06,0.1,-40.0,-0.04,17653.58,251993
2024/08/19,0.1,0.14,0.1,0.1,0.1,0.0,0.0,391742.406,3913384
2024/08/14,0.1,0.29,0.05,0.1,0.1,0.0,0.0,271428.188,2924892
2024/08/12,0.1,0.15,0.01,0.1,0.1,0.0,0.0,8236.92,82658
2023/02/12,0.75,0.715,0.713,0.75,0.75,-4.933,-0.037,7148.542188,10026
2023/02/09,0.75,0.713,0.713,0.75,0.75,-4.933,-0.037,25040.559375,35120
2023/02/08,0.75,0.714,0.713,0.75,0.75,-4.933,-0.037,31357.559375,43966
2023/02/07,0.75,0.76,0.713,0.75,0.75,-4.933,-0.037,1667.396094,2332
2023/02/06,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.75,1
2023/02/05,0.779,0.796,0.741,0.75,0.779,-3.081,-0.024,336385.25,442153
2023/02/02,0.779,0.741,0.741,0.779,0.779,-4.878,-0.038,16.302,22
2023/01/31,0.779,0.741,0.741,0.779,0.779,-4.878,-0.038,78.546002,106
2023/01/30,0.779,0.741,0.741,0.779,0.779,-4.878,-0.038,175.617004,237
2023/01/29,0.779,0.8,0.741,0.779,0.779,-4.878,-0.038,45080.0125,60712
2023/01/25,0.771,0.797,0.733,0.779,0.771,1.038,0.008,386672.45,519059
2023/01/24,0.772,0.81,0.734,0.771,0.772,2.202,0.017,293943.025,385560
2023/01/23,0.737,0.773,0.701,0.772,0.737,4.885,0.036,154588.325,200372
2023/01/22,0.703,0.738,0.668,0.737,0.703,4.979,0.035,159383.575,216822
2023/01/19,0.703,0.736,0.668,0.703,0.703,3.698,0.026,2113.528906,3138
2023/01/18,0.738,0.747,0.703,0.703,0.738,0.949,0.007,237580.475,336491
2023/01/17,0.738,0.736,0.702,0.738,0.738,-4.878,-0.036,94095.14375,132961
2023/01/16,0.738,0.702,0.702,0.738,0.738,-4.878,-0.036,43161.065625,61483
2023/01/15,0.776,0.74,0.738,0.738,0.776,-4.897,-0.038,245033.3,331222
2023/01/12,0.776,0.738,0.738,0.776,0.776,-4.897,-0.038,44280.0,60000
2023/01/11,0.776,0.799,0.738,0.776,0.776,0.0,0.0,53642.1,72643
2023/01/10,0.776,0.776,0.776,0.776,0.776,0.0,0.0,388.0,500
2023/01/09,0.776,0.797,0.738,0.776,0.776,-4.897,-0.038,38318.53125,51802
2023/01/05,0.78,0.8,0.741,0.776,0.78,2.564,0.02,405636.725,539739
2023/01/04,0.819,0.81,0.779,0.78,0.819,-4.884,-0.04,166141.45,212921
2023/01/03,0.806,0.842,0.766,0.819,0.806,2.978,0.024,463238.5,575337
2023/01/02,0.806,0.806,0.766,0.806,0.806,0.0,0.0,85140.8125,111011
2022/12/29,0.806,0.806,0.766,0.806,0.806,0.0,0.0,84009.68125,108494
2022/12/28,0.806,0.806,0.766,0.806,0.806,0.0,0.0,77685.38125,101355
2022/12/27,0.806,0.806,0.766,0.806,0.806,0.0,0.0,84820.5375,110360
2022/12/26,0.802,0.832,0.792,0.806,0.802,-1.247,-0.01,173657.175,212397
2022/12/25,0.802,0.842,0.763,0.802,0.802,0.0,0.0,361948.65,452455
2022/12/22,0.791,0.83,0.755,0.802,0.791,1.391,0.011,324453.0,406850
2022/12/21,0.791,0.791,0.753,0.791,0.791,0.0,0.0,79286.05625,105026
2022/12/20,0.762,0.798,0.73,0.791,0.762,4.724,0.036,156275.225,201500
2022/12/19,0.78,0.818,0.75,0.762,0.78,-2.308,-0.018,386349.15,495819
2022/12/18,0.78,0.819,0.76,0.78,0.78,0.0,0.0,281926.775,357266
2022/12/15,0.745,0.782,0.731,0.78,0.745,4.698,0.035,946166.9,1242928
2022/12/14,0.714,0.749,0.692,0.745,0.714,4.902,0.035,796352.25,1089902
2022/12/13,0.693,0.72,0.707,0.714,0.693,3.752,0.026,168458.0,236000
2022/12/12,0.666,0.696,0.66,0.693,0.666,4.505,0.03,403953.5,596487
2022/12/11,0.666,0.685,0.633,0.666,0.666,2.553,0.017,326865.45,504432
2022/12/08,0.701,0.677,0.666,0.666,0.701,-4.993,-0.035,152605.3,228594
2022/12/07,0.701,0.7,0.688,0.701,0.701,-1.854,-0.013,46390.0,67000
2022/12/06,0.701,0.72,0.691,0.701,0.701,1.997,0.014,105554.6375,150062
2022/12/05,0.669,0.702,0.636,0.701,0.669,4.933,0.033,891234.8,1290322
2022/12/04,0.669,0.688,0.636,0.669,0.669,0.0,0.0,128055.4875,201051
2022/12/01,0.672,0.692,0.639,0.669,0.672,2.679,0.018,769561.45,1147001
2022/11/30,0.686,0.69,0.652,0.672,0.686,-2.041,-0.014,410913.15,611409
2022/11/29,0.686,0.676,0.652,0.686,0.686,-4.956,-0.034,17665.81875,26909
2022/11/28,0.686,0.686,0.652,0.686,0.686,0.0,0.0,10556.852344,16112
2022/11/27,0.686,0.689,0.655,0.686,0.686,-3.79,-0.026,4615.928125,7000
2022/11/24,0.686,0.686,0.652,0.686,0.686,0.0,0.0,14411.6,21800
2022/11/23,0.679,0.695,0.646,0.686,0.679,1.325,0.009,1108388.9,1676165
2022/11/22,0.699,0.71,0.665,0.679,0.699,-2.861,-0.02,177416.5,265315
2022/11/21,0.693,0.726,0.667,0.699,0.693,0.866,0.006,749199.75,1063350
2022/11/20,0.669,0.702,0.642,0.693,0.669,4.933,0.033,364254.025,532007
2022/11/17,0.647,0.675,0.615,0.669,0.647,4.328,0.028,822266.55,1231100
2022/11/16,0.67,0.67,0.637,0.647,0.67,-4.776,-0.032,444686.7,686951
2022/11/15,0.67,0.67,0.637,0.67,0.67,0.0,0.0,23666.198438,37150
2022/11/14,0.705,0.67,0.67,0.67,0.705,-4.965,-0.035,314699.65,469701
2022/11/13,0.705,0.705,0.67,0.705,0.705,0.0,0.0,106035.0,158000
2022/11/10,0.705,0.67,0.67,0.705,0.705,-4.965,-0.035,886.409961,1323
2022/11/08,0.705,0.67,0.67,0.705,0.705,-4.965,-0.035,1005.0,1500
2022/11/07,0.705,0.67,0.67,0.705,0.705,-4.965,-0.035,737.0,1100
2022/11/06,0.705,0.67,0.67,0.705,0.705,-4.965,-0.035,7370.0,11000
2022/11/03,0.705,0.705,0.67,0.705,0.705,0.0,0.0,45560.128125,67739
2022/11/02,0.705,0.699,0.67,0.705,0.705,-0.851,-0.006,89931.65,133945
2022/11/01,0.705,0.705,0.67,0.705,0.705,0.0,0.0,31665.0,47000
2022/10/31,0.705,0.705,0.67,0.705,0.705,0.0,0.0,4329.0,6200
2022/10/30,0.705,0.67,0.67,0.705,0.705,-4.965,-0.035,7418.239844,11072
2022/10/27,0.705,0.705,0.67,0.705,0.705,0.0,0.0,11988.3,17700
2022/10/26,0.719,0.719,0.684,0.705,0.719,-0.139,-0.001,627016.6,890000
2022/10/25,0.719,0.719,0.719,0.719,0.719,0.0,0.0,3595.0,5000
2022/10/24,0.719,0.719,0.684,0.719,0.719,0.0,0.0,12929.864844,18620
2022/10/23,0.725,0.74,0.689,0.719,0.725,-0.828,-0.006,494200.25,690184
