«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,2.8,2.91,2.75,2.78,2.8,1.07,0.03,1466931.25,518158
2026/01/12,2.81,2.9,2.77,2.8,2.81,0.36,0.01,1437844.88,509155
2026/01/11,2.87,2.89,2.8,2.81,2.87,-2.09,-0.06,743759.5,261867
2026/01/08,2.9,2.94,2.86,2.87,2.9,-1.03,-0.03,1618747.25,559478
2026/01/06,2.89,2.96,2.84,2.9,2.89,0.35,0.01,789501.31,272555
2026/01/05,2.9,2.95,2.81,2.89,2.9,-0.34,-0.01,1086426.38,373857
2026/01/04,3.0,3.05,2.77,2.9,3.0,-2.33,-0.07,1116673.38,390897
2025/12/31,2.9,3.14,2.75,3.0,2.9,4.14,0.12,1.0308006E7,3442525
2025/12/30,2.9,2.99,2.75,2.9,2.9,0.0,0.0,2408627.0,836919
2025/12/29,2.9,2.94,2.71,2.9,2.9,0.0,0.0,1416780.88,494135
2025/12/28,2.64,2.9,2.6,2.9,2.64,9.85,0.26,7358444.0,2603469
2025/12/25,2.64,2.67,2.53,2.64,2.64,0.0,0.0,1242872.5,473780
2025/12/24,2.66,2.67,2.61,2.64,2.66,-1.13,-0.03,840030.5,319729
2025/12/23,2.66,2.68,2.63,2.66,2.66,0.0,0.0,672611.56,254206
2025/12/22,2.68,2.69,2.61,2.66,2.68,-0.37,-0.01,1354639.63,512797
2025/12/21,2.68,2.75,2.65,2.68,2.68,0.37,0.01,1012316.63,377031
2025/12/18,2.68,2.73,2.66,2.68,2.68,0.0,0.0,1561549.25,581146
2025/12/17,2.73,2.79,2.65,2.68,2.73,-2.56,-0.07,2210936.0,818998
2025/12/16,2.8,2.81,2.73,2.73,2.8,-2.5,-0.07,962678.19,350367
2025/12/15,2.8,2.83,2.74,2.8,2.8,0.0,0.0,698108.63,250042
2025/12/14,2.87,2.88,2.74,2.8,2.87,-3.83,-0.11,959354.31,342505
2025/12/11,2.72,2.87,2.68,2.87,2.72,5.51,0.15,5313359.5,1892571
2025/12/10,2.71,2.75,2.65,2.72,2.71,0.0,0.0,1675863.63,617257
2025/12/09,2.71,2.8,2.68,2.71,2.71,0.0,0.0,1618330.75,597542
2025/12/08,2.79,2.84,2.68,2.71,2.79,-0.72,-0.02,1266162.88,465476
2025/12/07,2.77,2.9,2.66,2.79,2.77,0.72,0.02,3132551.25,1138931
2025/12/04,2.82,2.84,2.76,2.77,2.82,-1.77,-0.05,2259041.25,811619
2025/12/03,2.74,2.92,2.71,2.82,2.74,2.92,0.08,1525727.75,538781
2025/12/02,2.91,2.96,2.72,2.74,2.91,-5.84,-0.17,4482820.0,1610507
2025/12/01,3.02,3.07,2.8,2.91,3.02,-3.64,-0.11,5799826.0,1981065
2025/11/30,3.15,3.26,2.92,3.02,3.15,-0.95,-0.03,6771766.0,2192669
2025/11/27,2.91,3.2,2.91,3.15,2.91,8.25,0.24,9695091.0,3088812
2025/11/26,2.65,2.91,2.47,2.91,2.65,9.81,0.26,8405315.0,2976406
2025/11/25,2.89,2.85,2.62,2.65,2.89,-8.3,-0.24,5618663.5,2046174
2025/11/24,2.98,3.24,2.73,2.89,2.98,-0.67,-0.02,6247796.5,2134067
2025/11/23,3.3,3.63,2.97,2.98,3.3,-9.7,-0.32,1.8319608E7,5613538
2025/11/20,3.0,3.3,3.1,3.3,3.0,10.0,0.3,6226905.5,1893563
2025/11/19,2.73,3.0,2.75,3.0,2.73,9.89,0.27,6848300.0,2307541
2025/11/18,2.49,2.73,2.61,2.73,2.49,9.639,0.24,6851511.0,2521641
2025/11/17,2.27,2.49,2.34,2.49,2.27,9.691999,0.22,8107007.0,3283823
2025/11/16,2.07,2.27,2.27,2.27,2.07,9.662001,0.2,774950.75,341388
2025/11/13,1.73,2.07,1.91,2.07,1.73,19.653,0.34,1.0807784E7,5342482
