«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,0.48,0.48,0.46,0.46,0.48,-4.167,-0.02,192729.344,407421
2026/01/05,0.47,0.48,0.46,0.48,0.47,2.128,0.01,95701.523,201254
2025/12/31,0.47,0.48,0.45,0.47,0.47,0.0,0.0,510319.344,1112526
2025/12/29,0.47,0.48,0.46,0.47,0.47,0.0,0.0,187355.359,397657
2025/12/24,0.48,0.48,0.46,0.47,0.48,-2.083,-0.01,225570.094,475695
2025/12/22,0.48,0.49,0.47,0.48,0.48,0.0,0.0,74538.961,156543
2025/12/17,0.47,0.49,0.47,0.48,0.47,2.128,0.01,60840.488,126530
2025/12/15,0.5,0.51,0.47,0.47,0.5,-6.0,-0.03,1445927.25,3055158
2025/12/10,0.49,0.51,0.49,0.5,0.49,2.041,0.01,191725.297,384341
2025/12/08,0.5,0.5,0.49,0.49,0.5,-2.0,-0.01,211082.094,422810
2025/12/03,0.49,0.5,0.48,0.5,0.49,2.041,0.01,55106.871,112463
2025/12/01,0.5,0.5,0.48,0.49,0.5,-2.0,-0.01,32624.34,66666
2025/11/26,0.5,0.51,0.46,0.5,0.5,0.0,0.0,270316.938,556973
2025/11/24,0.51,0.51,0.49,0.5,0.51,-1.961,-0.01,74683.32,151549
2025/11/19,0.49,0.51,0.48,0.51,0.49,4.082,0.02,151600.297,306959
2025/11/17,0.5,0.52,0.48,0.49,0.5,-2.0,-0.01,75107.602,149576
2025/11/12,0.52,0.53,0.5,0.5,0.52,-3.846,-0.02,93373.0,186393
2025/11/10,0.51,0.54,0.51,0.52,0.51,1.961,0.01,184428.563,350506
2025/11/05,0.54,0.54,0.51,0.51,0.54,-5.556,-0.03,92479.602,178004
2025/11/03,0.56,0.56,0.52,0.54,0.56,-3.571,-0.02,383217.906,704540
2025/10/29,0.52,0.57,0.52,0.56,0.52,7.692,0.04,530790.125,974609
2025/10/27,0.44,0.54,0.46,0.52,0.44,18.182001,0.08,1016616.75,2020742
2025/10/22,0.46,0.46,0.44,0.44,0.46,-4.348,-0.02,651957.25,1430293
2025/10/20,0.48,0.48,0.46,0.46,0.48,-4.167,-0.02,338021.063,725731
2025/10/15,0.47,0.49,0.47,0.48,0.47,2.128,0.01,18156.789,37895
2025/10/13,0.47,0.49,0.45,0.47,0.47,0.0,0.0,46216.602,98657
2025/10/08,0.47,0.47,0.45,0.47,0.47,0.0,0.0,51623.16,112284
2025/10/06,0.48,0.48,0.47,0.47,0.48,-2.083,-0.01,96895.867,203731
2025/10/01,0.47,0.48,0.45,0.48,0.47,2.128,0.01,114988.219,248179
2025/09/29,0.48,0.48,0.46,0.47,0.48,-2.083,-0.01,59384.801,124176
2025/09/24,0.47,0.49,0.46,0.48,0.47,2.128,0.01,103964.641,216285
2025/09/22,0.49,0.49,0.47,0.47,0.49,-4.082,-0.02,390000.563,825522
2025/09/17,0.5,0.5,0.48,0.49,0.5,-2.0,-0.01,206347.656,426259
2025/09/15,0.5,0.5,0.49,0.5,0.5,0.0,0.0,145371.125,293823
2025/09/10,0.5,0.5,0.49,0.5,0.5,0.0,0.0,18183.609,36369
2025/09/08,0.49,0.5,0.49,0.5,0.49,2.041,0.01,117161.109,234439
2025/09/03,0.5,0.51,0.49,0.49,0.5,-2.0,-0.01,131766.5,265171
2025/09/01,0.5,0.52,0.5,0.5,0.5,0.0,0.0,156007.063,310753
2025/08/27,0.52,0.51,0.5,0.5,0.52,-3.846,-0.02,210403.547,417092
2025/08/25,0.5,0.52,0.5,0.52,0.5,4.0,0.02,189680.875,367045
2025/08/20,0.52,0.52,0.5,0.5,0.52,-3.846,-0.02,153568.594,299594
2025/08/18,0.52,0.53,0.51,0.52,0.52,0.0,0.0,40185.391,77532
2025/08/13,0.52,0.52,0.51,0.52,0.52,0.0,0.0,93478.797,179905
2025/08/11,0.53,0.53,0.51,0.52,0.53,-1.887,-0.01,172136.063,331862
2025/08/06,0.54,0.54,0.52,0.53,0.54,-1.852,-0.01,360843.875,677819
2025/08/04,0.55,0.55,0.53,0.54,0.55,-1.818,-0.01,129284.563,241761
2025/07/30,0.52,0.56,0.51,0.55,0.52,0.0,0.03,450240.969,830538
2025/07/28,0.53,0.54,0.51,0.52,0.53,-1.887,-0.01,206961.734,398677
2025/07/23,0.53,0.53,0.51,0.53,0.53,0.0,0.0,428810.281,818895
