«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,14.79,14.94,14.5,14.65,14.79,-0.95,-0.14,1325114.5,90304
2026/01/12,14.8,15.1,14.69,14.79,14.8,-0.34,-0.05,3206727.5,214938
2026/01/11,14.53,15.15,14.4,14.8,14.53,1.86,0.27,6321450.5,424947
2026/01/08,14.59,14.68,14.4,14.53,14.59,-0.41,-0.06,359757.09,24759
2026/01/06,14.46,14.67,14.3,14.59,14.46,0.9,0.13,690605.81,47579
2026/01/05,14.89,14.9,14.32,14.46,14.89,-2.89,-0.43,2050750.88,141573
2026/01/04,14.75,14.95,14.7,14.89,14.75,1.29,0.19,662813.5,44717
2025/12/31,14.86,14.88,14.71,14.75,14.86,-0.74,-0.11,792110.06,53682
2025/12/30,14.88,14.96,14.76,14.86,14.88,-0.2,-0.03,901371.69,60751
2025/12/29,14.92,14.99,14.8,14.88,14.92,-0.13,-0.02,656590.5,44179
2025/12/28,14.82,14.99,14.75,14.92,14.82,1.15,0.17,437830.97,29368
2025/12/25,14.94,14.98,12.4,14.82,14.94,-0.33,-0.05,760137.94,51279
2025/12/24,14.81,15.1,14.65,14.94,14.81,-0.07,-0.01,1702308.5,113650
2025/12/23,14.62,14.87,14.54,14.81,14.62,1.3,0.19,1632435.0,111484
2025/12/22,14.74,14.8,14.6,14.62,14.74,-0.81,-0.12,719459.06,49143
2025/12/21,14.87,14.95,14.62,14.74,14.87,-0.13,-0.02,1330817.25,90170
2025/12/18,14.9,15.0,14.83,14.87,14.9,-0.4,-0.06,875099.31,58765
2025/12/17,14.96,15.0,14.81,14.9,14.96,-0.4,-0.06,1306848.88,87774
2025/12/16,15.01,15.05,14.91,14.96,15.01,-0.33,-0.05,1070091.5,71553
2025/12/15,15.04,15.1,15.0,15.01,15.04,-0.2,-0.03,1474859.75,98113
2025/12/14,15.05,15.17,15.0,15.04,15.05,-0.07,-0.01,837507.44,55639
2025/12/11,15.05,15.14,15.0,15.05,15.05,0.0,0.0,2237469.0,148562
2025/12/10,15.11,15.2,15.02,15.05,15.11,-0.4,-0.06,1463666.88,97077
2025/12/09,15.16,15.2,14.98,15.11,15.16,-0.33,-0.05,1.0930292E7,727272
2025/12/08,15.22,15.36,15.11,15.16,15.22,-0.39,-0.06,2154165.0,141453
2025/12/07,15.18,15.3,15.05,15.22,15.18,0.26,0.04,2379797.0,157004
2025/12/04,15.15,15.36,15.16,15.18,15.15,0.2,0.03,2250989.0,147820
2025/12/03,15.04,15.49,15.0,15.15,15.04,0.73,0.11,4407314.5,290604
2025/12/02,15.41,15.45,15.0,15.04,15.41,-2.4,-0.37,8406006.0,557044
2025/12/01,17.12,18.45,15.4,15.41,17.12,-9.99,-1.71,3.2260034E7,2040596
2025/11/30,15.96,17.4,15.51,17.12,15.96,7.27,1.16,1.1120045E7,665784
2025/11/27,15.5,16.0,15.0,15.96,15.5,2.97,0.46,2777621.25,178824
2025/11/26,15.45,15.98,15.45,15.5,15.45,0.32,0.05,1336294.75,85772
2025/11/25,15.88,16.28,15.21,15.45,15.88,-2.71,-0.43,3456514.75,218272
2025/11/24,15.71,17.8,15.71,15.88,15.71,1.21,0.19,1.2731283E7,774338
2025/11/23,15.73,16.35,15.65,15.71,15.73,-0.13,-0.02,2110280.0,133211
2025/11/20,15.76,16.0,15.62,15.73,15.76,-0.19,-0.03,685549.06,43430
2025/11/19,15.71,16.0,15.51,15.76,15.71,0.32,0.05,1507275.25,96009
2025/11/18,15.93,16.39,15.7,15.71,15.93,-1.38,-0.22,6895527.0,429693
2025/11/17,15.98,16.38,15.77,15.93,15.98,-1.13,-0.18,1092125.75,68476
2025/11/16,16.83,16.91,15.96,15.98,16.83,-5.05,-0.85,7014896.0,428511
2025/11/13,17.38,17.7,16.51,16.83,17.38,-2.65,-0.46,9345292.0,543069
2025/11/12,18.14,19.08,17.2,17.38,18.14,-4.19,-0.76,1.6724977E7,944265
2025/11/11,15.12,18.14,14.88,18.14,15.12,19.969999,3.02,2.7947364E7,1555940
2025/11/10,14.6,15.25,14.45,15.12,14.6,3.77,0.55,3316079.25,223655
2025/11/09,14.29,14.69,14.11,14.6,14.29,2.59,0.37,999501.19,68857
2025/11/06,14.19,14.44,13.97,14.29,14.19,0.07,0.01,2961350.0,207423
2025/11/05,14.19,14.2,13.96,14.19,14.19,-1.2,-0.17,294065.34,20939
2025/11/04,14.18,14.2,13.95,14.19,14.18,0.14,0.02,824499.19,58383
2025/11/03,14.18,14.22,14.03,14.18,14.18,-0.07,-0.01,701923.0,49589
2025/11/02,14.18,14.34,14.03,14.18,14.18,0.0,0.0,1480546.0,104557
2025/10/30,14.14,14.2,14.0,14.18,14.14,0.28,0.04,2849652.25,201456
2025/10/29,14.07,14.18,13.94,14.14,14.07,0.5,0.07,325247.53,22998
2025/10/28,14.07,14.18,13.95,14.07,14.07,0.0,0.0,270256.94,19231
2025/10/27,14.13,14.17,13.94,14.07,14.13,-0.99,-0.14,337375.66,23989
2025/10/26,14.11,14.14,13.88,14.13,14.11,-1.13,-0.16,1310495.63,93159
2025/10/23,13.95,14.14,13.88,14.11,13.95,1.15,0.16,1387624.75,98841
2025/10/22,14.02,14.0,13.86,13.95,14.02,-0.14,-0.02,340110.72,24391
2025/10/21,13.95,14.08,13.91,14.02,13.95,0.5,0.07,396731.91,28327
2025/10/20,13.95,14.0,13.89,13.95,13.95,0.0,0.0,98287.57,7045
2025/10/19,13.95,14.0,13.88,13.95,13.95,0.36,0.05,189205.8,13536
2025/10/16,13.95,14.0,13.88,13.95,13.95,0.0,0.0,37670.91,2699
2025/10/15,13.95,14.08,13.86,13.95,13.95,-0.36,-0.05,248408.13,17701
2025/10/14,14.08,14.1,13.85,13.95,14.08,-0.92,-0.13,3769962.75,271774
2025/10/13,13.86,14.1,13.85,14.08,13.86,1.73,0.24,3081953.0,221147
2025/10/12,13.87,13.93,13.86,13.86,13.87,-0.07,-0.01,1712124.88,123518
2025/10/08,13.87,13.93,13.86,13.87,13.87,0.29,0.04,231588.52,16679
2025/10/07,13.87,13.91,13.86,13.87,13.87,0.0,0.0,2142486.5,154513
2025/10/06,13.86,13.91,13.86,13.87,13.86,0.0,0.0,995725.38,71818
2025/10/05,13.86,13.92,13.86,13.86,13.86,0.07,0.01,82407.31,5938
2025/10/02,13.92,13.94,13.85,13.86,13.92,-0.43,-0.06,860383.88,62070
2025/10/01,13.86,13.94,13.86,13.92,13.86,0.58,0.08,332854.5,23922
2025/09/30,13.95,13.95,13.86,13.86,13.95,-0.65,-0.09,2030325.25,146472
2025/09/29,13.91,13.95,13.86,13.95,13.91,0.29,0.04,6329837.0,456113
2025/09/28,13.91,13.94,13.87,13.91,13.91,-0.29,-0.04,90798.34,6545
2025/09/25,13.89,13.94,13.87,13.91,13.89,0.36,0.05,426205.88,30656
2025/09/24,13.88,13.94,13.86,13.89,13.88,0.43,0.06,509699.44,36683
2025/09/23,13.94,13.96,13.87,13.88,13.94,-0.43,-0.06,336468.06,24241
2025/09/22,14.0,13.99,13.86,13.94,14.0,-0.21,-0.03,503127.06,36166
2025/09/21,13.91,14.0,13.86,14.0,13.91,0.65,0.09,1556431.0,111727
2025/09/18,13.91,13.99,13.87,13.91,13.91,0.5,0.07,63591.01,4575
2025/09/17,13.91,13.98,13.86,13.91,13.91,-0.36,-0.05,133747.19,9598
2025/09/16,13.86,14.0,13.86,13.91,13.86,0.36,0.05,4076732.25,293271
2025/09/15,13.88,14.0,13.86,13.86,13.88,0.79,0.11,1702313.25,122810
2025/09/14,13.86,13.95,13.86,13.88,13.86,0.29,0.04,446143.13,32147
2025/09/11,14.09,14.0,13.86,13.86,14.09,-1.63,-0.23,1203857.63,86843
2025/09/10,14.09,14.0,13.87,14.09,14.09,-1.49,-0.21,55099.85,3953
2025/09/09,13.89,14.11,13.86,14.09,13.89,0.79,0.11,2758449.25,197573
2025/09/08,13.89,14.03,13.87,13.89,13.89,0.72,0.1,181284.39,12984
2025/09/07,13.89,14.05,13.83,13.89,13.89,-0.14,-0.02,134230.19,9587
2025/09/03,13.89,14.0,13.85,13.89,13.89,-0.29,-0.04,24010.53,1730
2025/09/02,13.89,14.01,13.81,13.89,13.89,0.0,0.0,127007.43,9173
2025/09/01,14.03,14.1,13.85,13.89,14.03,-0.21,-0.03,439713.81,31644
2025/08/31,14.05,14.1,13.85,14.03,14.05,-0.36,-0.05,341333.13,24350
2025/08/28,14.06,14.1,13.86,14.05,14.06,0.28,0.04,449624.66,31981
2025/08/27,14.06,14.09,13.87,14.06,14.06,-1.14,-0.16,139125.66,9943
2025/08/26,14.04,14.1,13.85,14.06,14.04,0.14,0.02,434155.59,30945
2025/08/25,14.01,14.1,13.85,14.04,14.01,-0.57,-0.08,567685.13,40503
2025/08/24,14.01,13.98,13.84,14.01,14.01,-1.07,-0.15,66771.33,4798
2025/08/21,14.01,13.9,13.84,14.01,14.01,-1.21,-0.17,284695.69,20513
2025/08/20,14.01,13.9,13.86,14.01,14.01,-0.93,-0.13,90022.9,6485
2025/08/19,14.01,13.95,13.87,14.01,14.01,-1.0,-0.14,277280.16,19954
2025/08/18,14.01,13.99,13.86,14.01,14.01,-0.93,-0.13,212655.48,15256
2025/08/17,14.01,13.91,13.86,14.01,14.01,-0.79,-0.11,260328.67,18746
2025/08/14,14.01,14.01,13.86,14.01,14.01,-1.0,-0.14,64193.88,4626
2025/08/13,13.93,14.05,13.86,14.01,13.93,0.57,0.08,924828.38,66205
2025/08/12,13.89,14.0,13.82,13.93,13.89,0.72,0.1,1190335.13,85711
2025/08/11,13.89,13.99,13.86,13.89,13.89,-0.14,-0.02,173653.66,12470
2025/08/10,13.97,13.99,13.87,13.89,13.97,-0.5,-0.07,360054.59,25917
2025/08/07,13.89,14.0,13.86,13.97,13.89,-0.14,-0.02,639273.25,45794
2025/08/06,13.96,13.98,13.84,13.89,13.96,0.07,0.01,371563.53,26756
2025/08/05,13.94,14.05,13.81,13.96,13.94,0.14,0.02,978220.06,70206
2025/08/04,13.99,14.0,13.86,13.94,13.99,0.0,0.0,1264957.0,91026
2025/08/03,13.88,14.0,13.86,13.99,13.88,0.79,0.11,606238.38,43380
2025/07/31,13.87,13.95,13.86,13.88,13.87,-0.07,-0.01,390216.97,28123
2025/07/30,13.86,13.95,13.86,13.87,13.86,0.0,0.01,678042.69,48853
2025/07/29,13.87,13.98,13.86,13.86,13.87,-0.07,-0.01,1010381.56,72888
2025/07/28,13.91,14.0,13.86,13.87,13.91,0.65,0.09,697634.13,50258
2025/07/27,13.91,13.98,13.87,13.91,13.91,-0.07,-0.01,147816.16,10591
2025/07/23,14.09,14.09,13.87,13.91,14.09,-1.56,-0.22,305075.75,21928
2025/07/22,14.02,14.1,13.93,14.09,14.02,0.57,0.08,827417.0,58882
2025/07/21,14.01,14.05,13.94,14.02,14.01,0.21,0.03,382307.97,27274
2025/07/20,14.06,14.14,13.93,14.01,14.06,-0.36,-0.05,1075894.88,76767
2025/07/17,14.01,14.14,13.94,14.06,14.01,0.0,0.0,768287.38,54777
2025/07/16,13.95,14.06,13.9,14.01,13.95,0.43,0.06,526751.69,37680
2025/07/15,14.1,14.12,13.89,13.95,14.1,-0.21,-0.03,426164.41,30551
2025/07/14,13.97,14.17,13.87,14.1,13.97,1.07,0.15,1557012.38,110699
2025/07/13,13.87,14.2,13.86,13.97,13.87,0.72,0.1,4715539.0,338093
2025/07/07,13.98,14.05,13.87,13.91,13.98,-0.72,-0.1,639987.56,46034
2025/07/06,13.97,14.03,13.9,13.98,13.97,0.21,0.03,536994.81,38444
2025/07/02,13.87,14.07,13.83,13.97,13.87,1.44,0.2,432803.94,31025
2025/07/01,13.87,14.0,13.76,13.87,13.87,0.58,0.08,2593783.25,186959
2025/06/30,14.04,14.07,13.85,13.87,14.04,-1.28,-0.18,6385824.0,460337
2025/06/29,13.92,14.05,13.82,14.04,13.92,0.86,0.12,562459.75,40162
2025/06/25,13.94,14.05,13.75,13.92,13.94,0.29,0.04,1176417.38,84438
2025/06/24,13.98,14.07,13.71,13.94,13.98,-0.29,-0.04,986162.13,70918
2025/06/23,13.94,14.04,13.75,13.98,13.94,0.43,0.06,2008301.25,144432
2025/06/22,13.71,13.99,13.27,13.94,13.71,1.39,0.19,2830817.25,205938
2025/06/19,13.75,13.78,13.56,13.71,13.75,-0.29,-0.04,1876205.63,136894
2025/06/18,13.72,13.8,13.16,13.75,13.72,0.15,0.02,1104343.5,80872
2025/06/17,13.74,13.85,13.66,13.72,13.74,-0.15,-0.02,2242219.75,163511
2025/06/16,14.02,13.86,13.65,13.74,14.02,-2.0,-0.28,4668542.0,340476
2025/06/15,14.09,14.14,13.71,14.02,14.09,-0.64,-0.09,1514735.63,108462
2025/06/12,14.32,14.35,13.99,14.09,14.32,-1.61,-0.23,6486515.0,460316
2025/06/11,14.3,14.4,14.22,14.32,14.3,0.14,0.02,2207974.5,154041
2025/06/10,14.15,14.39,14.06,14.3,14.15,1.7,0.24,1140385.25,80089
2025/06/04,14.02,14.2,13.99,14.15,14.02,0.29,0.04,1461925.0,103356
2025/06/03,14.0,14.1,13.95,14.02,14.0,0.14,0.02,763127.19,54358
2025/06/02,14.01,14.13,13.96,14.0,14.01,-0.07,-0.01,1.964857E7,1402352
2025/06/01,14.0,14.07,13.93,14.01,14.0,0.07,0.01,2335165.75,166765
2025/05/29,14.0,14.0,13.92,14.0,14.0,0.0,0.0,2019364.63,144292
2025/05/28,14.0,14.0,13.92,14.0,14.0,0.0,0.0,2099425.5,150053
2025/05/27,14.0,14.07,13.93,14.0,14.0,0.0,0.0,519943.16,37156
2025/05/26,14.04,14.02,13.91,14.0,14.04,-0.28,-0.04,876191.19,62699
2025/05/25,14.02,14.1,13.96,14.04,14.02,0.0,0.0,422496.47,30102
2025/05/22,14.03,14.09,13.94,14.02,14.03,-0.21,-0.03,325669.44,23228
2025/05/21,14.05,14.08,13.96,14.03,14.05,-0.14,-0.02,339874.13,24224
2025/05/20,14.0,14.1,13.93,14.05,14.0,0.36,0.05,365826.25,26062
2025/05/19,14.0,14.01,13.92,14.0,14.0,0.0,0.0,638401.69,45610
2025/05/18,14.06,14.02,13.88,14.0,14.06,-0.43,-0.06,2266687.0,162375
2025/05/15,14.06,14.14,13.94,14.06,14.06,0.0,0.0,624791.0,44588
2025/05/14,14.06,14.02,13.95,14.06,14.06,-0.64,-0.09,145258.39,10385
2025/05/08,14.04,14.1,13.91,14.04,14.04,0.0,0.0,7123359.0,507606
2025/05/07,14.04,14.05,13.93,14.04,14.04,0.0,0.0,2234068.75,159196
2025/05/06,13.99,14.05,13.96,14.04,13.99,0.36,0.05,744120.44,53107
2025/05/05,14.01,14.01,13.94,13.99,14.01,0.0,0.0,456284.97,32632
2025/05/04,14.03,14.04,13.92,14.01,14.03,-0.14,-0.02,1722228.25,123015
2025/04/30,14.01,14.05,13.97,14.03,14.01,-0.07,-0.01,497686.47,35490
2025/04/29,14.02,14.05,13.92,14.01,14.02,-0.14,-0.02,558965.75,39964
2025/04/28,14.02,14.08,13.96,14.02,14.02,0.0,0.0,2244051.25,160076
2025/04/27,14.03,14.08,13.95,14.02,14.03,-0.07,-0.01,465538.03,33220
2025/04/23,14.01,14.05,13.95,14.03,14.01,0.14,0.02,622060.31,44391
2025/04/22,14.03,14.08,13.93,14.01,14.03,-0.21,-0.03,411185.22,29372
2025/04/17,14.06,14.06,13.96,14.03,14.06,-0.21,-0.03,322494.63,22980
2025/04/16,14.09,14.09,13.93,14.06,14.09,-0.64,-0.09,1529765.38,109113
2025/04/15,14.07,14.14,13.92,14.09,14.07,0.5,0.07,2276008.75,162185
2025/04/14,14.03,14.1,13.9,14.07,14.03,0.5,0.07,1887221.25,134766
2025/04/13,14.03,14.1,14.0,14.03,14.03,-0.21,-0.03,504034.16,35939
2025/04/10,14.04,14.13,13.91,14.03,14.04,-0.21,-0.03,854263.31,60945
2025/04/09,14.07,14.15,14.0,14.04,14.07,0.07,0.01,782772.81,55798
2025/04/08,14.08,14.15,14.03,14.07,14.08,-0.14,-0.02,350934.56,24954
2025/04/07,14.1,14.14,13.91,14.08,14.1,-0.35,-0.05,569206.5,40585
2025/04/06,14.18,14.14,13.86,14.1,14.18,-0.56,-0.08,2080777.25,148046
2025/04/03,14.18,14.2,14.1,14.18,14.18,0.0,0.0,177509.91,12569
2025/03/27,14.18,14.2,14.1,14.18,14.18,-0.07,-0.01,438910.31,30994
2025/03/26,14.2,14.2,14.1,14.18,14.2,-0.14,-0.02,799805.31,56554
2025/03/25,14.17,14.2,14.11,14.2,14.17,0.21,0.03,969492.38,68417
2025/03/24,14.17,14.19,14.11,14.17,14.17,0.0,0.0,1299498.88,91811
2025/03/23,14.17,14.2,14.1,14.17,14.17,0.0,0.0,481429.66,33988
2025/03/20,14.21,14.21,14.1,14.17,14.21,-0.28,-0.04,1037786.25,73262
2025/03/19,14.21,14.25,14.13,14.21,14.21,0.0,0.0,1846791.75,130203
2025/03/18,14.21,14.24,14.12,14.21,14.21,0.14,0.02,579560.81,40798
2025/03/17,14.2,14.24,14.12,14.21,14.2,0.07,0.01,734232.38,51766
2025/03/16,14.2,14.22,14.1,14.2,14.2,0.0,0.0,1.4068782E7,995970
2025/03/13,14.2,14.23,14.1,14.2,14.2,0.0,0.0,1689296.75,119198
2025/03/12,14.39,14.36,14.09,14.2,14.39,-1.32,-0.19,1.1330491E7,800788
2025/03/11,14.18,14.4,14.02,14.39,14.18,1.48,0.21,4.8235848E7,3410326
2025/03/10,14.2,14.22,14.01,14.18,14.2,-0.14,-0.02,4.5302512E7,3202064
2025/03/09,14.25,14.23,14.0,14.2,14.25,-0.35,-0.05,2.301908E7,1630198
2025/03/06,14.2,14.25,14.05,14.25,14.2,0.35,0.05,1.298102E7,916388
2025/03/05,14.25,14.22,14.04,14.2,14.25,-0.35,-0.05,4349627.0,306298
2025/03/04,14.25,14.25,13.96,14.25,14.25,0.0,0.0,1.7871456E7,1267211
2025/03/03,14.21,14.25,14.08,14.25,14.21,0.28,0.04,1.0135012E7,714295
2025/03/02,14.2,14.24,14.06,14.21,14.2,0.14,0.02,886452.44,62649
2025/02/27,14.2,14.24,14.09,14.2,14.2,0.0,0.0,6361561.0,448207
2025/02/26,14.2,14.25,14.08,14.2,14.2,0.0,0.0,4796389.0,338145
