«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,464.43,469.0,460.0,460.25,464.43,-0.95,-4.43,1258022.25,2713
2026/01/12,464.15,468.8,462.51,464.43,464.15,-0.14,-0.63,600718.63,1291
2026/01/11,470.12,471.99,462.01,464.15,470.12,-0.66,-3.12,715521.75,1535
2026/01/08,478.45,477.97,462.71,470.12,478.45,-1.77,-8.45,330451.56,703
2026/01/06,478.45,479.0,462.0,478.45,478.45,-0.41,-1.95,157534.55,337
2026/01/05,478.45,480.0,465.0,478.45,478.45,-0.72,-3.46,289129.25,613
2026/01/04,478.45,489.98,475.0,478.45,478.45,-0.57,-2.75,100359.41,210
2025/12/31,472.75,491.0,470.01,478.45,472.75,1.32,6.25,670513.38,1397
2025/12/30,481.44,484.0,470.5,472.75,481.44,-2.17,-10.44,551973.31,1163
2025/12/29,477.94,493.8,477.97,481.44,477.94,0.26,1.26,953814.88,1977
2025/12/28,481.94,498.8,475.3,477.94,481.94,-0.83,-4.0,660940.31,1378
2025/12/25,487.25,510.0,480.0,481.94,487.25,0.97,4.75,4163540.0,8426
2025/12/24,461.54,500.0,466.0,487.25,461.54,4.5,20.77,6193114.5,12736
2025/12/23,461.54,468.0,460.0,461.54,461.54,0.32,1.46,188303.75,408
2025/12/22,476.48,471.0,460.0,461.54,476.48,-1.78,-8.48,598935.75,1295
2025/12/21,476.48,473.0,465.0,476.48,476.48,-1.06,-5.03,191582.55,410
2025/12/18,476.48,478.0,473.0,476.48,476.48,0.11,0.52,38464.58,81
2025/12/17,473.39,479.0,471.01,476.48,473.39,-0.23,-1.09,417197.06,876
2025/12/16,473.39,476.6,471.0,473.39,473.39,-0.5,-2.38,164553.61,347
2025/12/15,471.99,476.7,470.0,473.39,471.99,0.98,4.61,518951.25,1096
2025/12/14,474.45,479.0,465.0,471.99,474.45,0.12,0.55,324740.38,688
2025/12/11,472.71,480.0,471.0,474.45,472.71,-0.36,-1.71,593304.13,1252
2025/12/10,470.62,483.0,472.0,472.71,470.62,0.29,1.38,808902.31,1704
2025/12/09,497.21,485.0,455.11,470.62,497.21,-5.27,-26.209999,1269663.63,2690
2025/12/08,500.42,503.9,490.01,497.21,500.42,-0.64,-3.21,1044122.63,2099
2025/12/07,499.85,505.0,495.3,500.42,499.85,-0.37,-1.85,833292.13,1662
2025/12/04,500.86,504.9,494.1,499.85,500.86,0.03,0.14,330464.81,661
2025/12/03,492.68,505.0,492.31,500.86,492.68,1.49,7.32,1026014.69,2058
2025/12/02,492.68,499.7,491.0,492.68,492.68,0.06,0.32,147402.91,299
2025/12/01,500.29,500.0,490.0,492.68,500.29,-0.86,-4.29,401329.91,814
2025/11/30,489.88,503.0,480.55,500.29,489.88,0.34,1.67,307175.53,614
2025/11/27,475.23,499.5,471.0,489.88,475.23,5.11,24.27,498372.31,1026
2025/11/26,493.17,503.35,400.01,475.23,493.17,-3.84,-18.950001,2460693.5,5202
2025/11/25,496.84,510.0,490.0,493.17,496.84,-0.77,-3.84,1118116.63,2261
2025/11/24,510.44,507.0,490.01,496.84,510.44,-2.06,-10.52,491959.38,990
2025/11/23,506.55,519.9,506.0,510.44,506.55,-0.1,-0.5,852100.69,1662
2025/11/20,485.75,582.0,487.5,506.55,485.75,4.79,23.25,7689733.5,14520
2025/11/19,509.41,504.0,445.0,485.75,509.41,-4.3,-21.91,3.5266472E7,78833
2025/11/18,509.41,511.0,504.1,509.41,509.41,-0.87,-4.41,140626.61,278
2025/11/17,511.27,514.45,503.02,509.41,511.27,-0.36,-1.86,328536.34,645
2025/11/16,511.27,517.0,508.07,511.27,511.27,-0.63,-3.2,262271.97,513
2025/11/13,508.61,514.75,508.02,511.27,508.61,0.08,0.39,568328.19,1113
2025/11/12,510.72,514.89,506.01,508.61,510.72,0.05,0.28,475056.5,934
2025/11/11,512.73,520.89,508.04,510.72,512.73,-0.85,-4.35,333358.28,652
2025/11/10,509.8,524.97,509.0,512.73,509.8,0.43,2.2,553139.44,1072
2025/11/09,513.95,518.5,508.03,509.8,513.95,0.88,4.54,683848.38,1335
2025/11/06,513.05,519.0,510.5,513.95,513.05,0.09,0.45,664477.0,1292
2025/11/05,521.18,527.99,511.0,513.05,521.18,-1.38,-7.18,1343054.25,2609
2025/11/04,519.08,522.4,509.25,521.18,519.08,0.56,2.92,726224.44,1399
2025/11/03,510.4,522.98,508.0,519.08,510.4,2.27,11.58,505259.31,975
2025/11/02,516.22,523.89,505.04,510.4,516.22,-1.59,-8.21,354293.28,693
2025/10/30,516.22,524.35,504.02,516.22,516.22,-0.97,-5.01,224898.67,438
2025/10/29,503.89,524.98,504.0,516.22,503.89,3.09,15.56,466736.88,900
2025/10/28,528.74,536.0,503.1,503.89,528.74,-1.84,-9.75,684404.19,1347
2025/10/27,532.87,539.99,525.0,528.74,532.87,-0.91,-4.87,890477.94,1681
2025/10/26,532.73,546.99,530.0,532.87,532.73,-0.28,-1.48,478185.34,896
2025/10/23,547.21,554.97,502.0,532.73,547.21,-2.96,-16.209999,732562.88,1384
2025/10/22,557.37,570.0,544.0,547.21,557.37,-2.03,-11.3,2309785.25,4190
2025/10/21,549.17,568.0,544.01,557.37,549.17,-0.03,-0.17,2500180.75,4480
2025/10/20,530.08,550.0,530.0,549.17,530.08,3.76,19.92,1803316.75,3303
2025/10/19,547.5,549.0,500.0,530.08,547.5,-3.18,-17.42,1864941.13,3514
2025/10/16,537.36,549.0,535.03,547.5,537.36,2.17,11.64,997090.19,1834
2025/10/15,539.54,549.0,530.1,537.36,539.54,-1.49,-8.04,958345.0,1773
2025/10/14,520.98,540.0,521.0,539.54,520.98,3.56,18.559999,1528442.25,2876
2025/10/13,519.98,529.8,517.03,520.98,519.98,0.58,3.01,376492.09,722
2025/10/12,523.59,523.49,515.0,519.98,523.59,-0.69,-3.59,386376.19,744
2025/10/08,523.91,528.0,512.0,523.59,523.91,-0.56,-2.91,871289.13,1673
2025/10/07,525.08,532.9,515.0,523.91,525.08,0.29,1.52,600123.19,1150
2025/10/06,520.07,537.5,500.58,525.08,520.07,0.96,5.01,3980961.0,7648
2025/10/05,473.49,530.0,473.5,520.07,473.49,9.84,46.580002,9279307.0,18146
2025/10/02,468.77,477.0,468.5,473.49,468.77,1.76,8.23,1026819.0,2171
2025/10/01,472.59,475.0,467.75,468.77,472.59,-0.87,-4.09,389062.28,830
2025/09/30,467.78,481.0,467.0,472.59,467.78,0.08,0.38,1061743.88,2241
2025/09/29,469.2,478.0,467.0,467.78,469.2,-0.04,-0.2,642680.94,1372
2025/09/28,468.87,482.0,466.4,469.2,468.87,0.24,1.13,591482.0,1256
2025/09/25,476.05,478.95,465.01,468.87,476.05,-1.48,-7.05,701232.25,1495
2025/09/24,476.05,482.0,468.16,476.05,476.05,-1.47,-7.0,193197.66,410
2025/09/23,464.39,494.0,465.0,476.05,464.39,2.08,9.67,1919374.25,3967
2025/09/22,472.69,474.99,463.0,464.39,472.69,-1.84,-8.69,519252.59,1117
2025/09/21,478.46,482.0,468.0,472.69,478.46,-0.75,-3.59,532510.13,1123
2025/09/18,479.66,483.0,474.0,478.46,479.66,-0.25,-1.2,492016.75,1028
2025/09/17,475.48,485.0,465.11,479.66,475.48,0.88,4.18,996762.19,2087
2025/09/16,482.0,490.0,472.0,475.48,482.0,-1.45,-7.0,849147.94,1772
2025/09/15,486.28,499.8,481.0,482.0,486.28,-1.09,-5.28,1818352.13,3750
2025/09/14,485.07,498.99,484.06,486.28,485.07,0.25,1.21,2014426.88,4126
2025/09/11,494.55,504.95,482.03,485.07,494.55,-0.52,-2.55,1.5513975E7,31155
2025/09/10,493.16,511.0,489.0,494.55,493.16,-0.02,-0.1,8365680.0,16677
2025/09/09,504.54,513.0,488.0,493.16,504.54,-3.28,-16.540001,1409741.13,2834
2025/09/08,491.34,518.0,481.01,504.54,491.34,2.17,10.66,5341954.5,10647
2025/09/07,507.07,520.0,491.0,491.34,507.07,-3.17,-16.07,2759611.5,5523
2025/09/03,536.24,554.0,485.0,507.07,536.24,-5.45,-29.24,2.9085044E7,57529
2025/09/02,548.55,582.22,531.0,536.24,548.55,-2.11,-11.55,8142044.0,14640
2025/09/01,552.14,605.0,546.0,548.55,552.14,0.88,4.86,3.8695308E7,66816
2025/08/31,521.29,594.0,525.0,552.14,521.29,5.92,30.85,3.4297204E7,62408
2025/08/28,497.39,535.0,488.0,521.29,497.39,4.81,23.9,7092407.5,13570
2025/08/27,497.39,497.5,486.0,497.39,497.39,-1.49,-7.39,112078.72,228
2025/08/26,499.68,502.74,485.0,497.39,499.68,-0.34,-1.69,976948.88,1964
2025/08/25,516.22,532.0,482.11,499.68,516.22,-3.34,-17.219999,1840865.5,3642
2025/08/24,513.34,534.54,510.0,516.22,513.34,2.03,10.4,1538376.38,2936
2025/08/21,537.49,549.99,510.0,513.34,537.49,-2.14,-11.49,2.1838172E7,42778
2025/08/20,542.15,553.97,525.0,537.49,542.15,-3.15,-17.09,448297.84,836
2025/08/19,547.94,556.0,506.31,542.15,547.94,-1.06,-5.79,397802.31,732
2025/08/18,550.11,556.0,545.0,547.94,550.11,0.71,3.89,355576.5,648
2025/08/17,555.9,562.0,548.0,550.11,555.9,0.2,1.1,529264.81,960
2025/08/14,552.93,562.0,552.93,555.9,552.93,0.37,2.07,370878.91,667
2025/08/13,561.19,566.0,550.0,552.93,561.19,-0.57,-3.19,522075.47,941
2025/08/12,557.91,571.6,557.91,561.19,557.91,1.27,7.09,315964.63,563
2025/08/11,559.9,566.99,557.0,557.91,559.9,0.02,0.1,317491.13,569
2025/08/10,550.13,574.98,553.0,559.9,550.13,1.79,9.86,774893.19,1382
2025/08/07,565.2,579.99,546.15,550.13,565.2,-2.69,-15.2,2776773.0,5027
2025/08/06,576.17,587.0,550.0,565.2,576.17,-0.03,-0.18,650863.81,1145
2025/08/05,581.93,589.9,575.0,576.17,581.93,-0.99,-5.76,1239160.25,2144
2025/08/04,581.93,589.9,580.0,581.93,581.93,-0.16,-0.93,133802.78,228
2025/08/03,581.93,584.49,576.0,581.93,581.93,0.36,2.07,247258.91,426
2025/07/31,581.93,591.89,582.0,581.93,581.93,0.87,5.07,94027.84,161
2025/07/30,587.15,594.89,580.0,581.93,587.15,0.0,-6.15,540875.44,928
2025/07/29,581.15,597.0,575.0,587.15,581.15,2.38,13.85,916338.31,1574
2025/07/28,587.99,599.98,575.0,581.15,587.99,-0.68,-3.99,534703.81,918
2025/07/27,588.93,605.0,580.0,587.99,588.93,0.18,1.06,1472745.88,2501
2025/07/23,590.11,596.99,585.0,588.93,590.11,0.66,3.89,394020.03,669
2025/07/22,603.07,603.0,586.0,590.11,603.07,-1.85,-11.17,381662.5,646
2025/07/21,591.51,615.99,592.11,603.07,591.51,1.43,8.48,320292.81,531
2025/07/20,605.45,617.0,571.0,591.51,605.45,-2.3,-13.94,4625170.5,7865
2025/07/17,630.04,639.88,587.09,605.45,630.04,-3.9,-24.59,4658391.5,7660
2025/07/16,639.19,659.0,624.0,630.04,639.19,-1.43,-9.15,1605628.13,2530
2025/07/15,667.92,684.5,627.0,639.19,667.92,-4.3,-28.73,4819635.5,7419
2025/07/14,647.02,748.99,610.01,667.92,647.02,3.23,20.9,8775334.0,12925
2025/07/13,567.12,680.54,555.0,647.02,567.12,14.09,79.900002,3768406.25,5965
2025/07/07,539.53,619.99,521.0,578.0,539.53,7.13,38.470001,3866778.25,6664
2025/07/06,521.98,550.0,510.0,539.53,521.98,5.37,28.02,1452688.0,2748
2025/07/02,538.53,539.0,502.03,521.98,538.53,-3.07,-16.549999,741217.0,1419
2025/07/01,551.7,574.99,522.0,538.53,551.7,-2.3,-12.7,879794.25,1609
2025/06/30,494.42,584.0,467.01,551.7,494.42,11.04,54.580002,3625642.5,6708
2025/06/29,450.96,525.0,451.0,494.42,450.96,8.66,39.040001,4441126.0,9065
2025/06/25,458.42,470.0,445.11,450.96,458.42,-2.05,-9.42,300338.22,666
2025/06/24,449.35,474.95,438.33,458.42,449.35,0.37,1.66,740531.25,1642
2025/06/23,401.23,455.0,401.23,449.35,401.23,11.99,48.119999,1183764.13,2692
2025/06/22,409.61,408.0,381.0,401.23,409.61,-1.13,-4.61,373303.69,928
2025/06/19,416.17,420.0,408.01,409.61,416.17,-1.69,-7.02,370419.22,903
2025/06/18,416.17,422.99,408.0,416.17,416.17,0.2,0.83,96490.61,234
2025/06/17,418.7,436.0,411.2,416.17,418.7,-0.6,-2.53,907083.31,2158
2025/06/16,410.96,436.0,414.79,418.7,410.96,1.88,7.74,1021541.13,2431
2025/06/15,430.2,430.1,404.54,410.96,430.2,-4.47,-19.24,1150669.0,2792
2025/06/12,463.76,474.0,430.11,430.2,463.76,-7.24,-33.560001,1892412.25,4242
2025/06/11,471.95,484.7,453.72,463.76,471.95,-1.74,-8.19,1171999.13,2514
2025/06/10,482.74,494.96,467.01,471.95,482.74,-2.64,-12.74,1535623.0,3217
2025/06/04,477.25,495.0,462.31,482.74,477.25,1.15,5.49,442573.78,919
2025/06/03,516.54,514.0,460.5,477.25,516.54,-8.04,-41.540001,1567030.63,3243
2025/06/02,458.1,523.0,430.21,516.54,458.1,9.15,41.900002,3826807.0,8025
2025/06/01,395.04,469.0,377.5,458.1,395.04,15.96,63.060001,3459880.75,8020
2025/05/29,376.04,410.99,375.5,395.04,376.04,5.05,19.0,1187621.5,3016
2025/05/28,418.63,416.8,373.0,376.04,418.63,-10.39,-43.48,2024620.75,5194
2025/05/27,406.73,422.75,395.0,418.63,406.73,2.43,9.87,410651.78,981
2025/05/26,408.62,424.89,390.0,406.73,408.62,1.55,6.33,1545680.0,3801
2025/05/25,406.61,487.92,405.0,408.62,406.61,1.08,4.38,2365388.0,5653
2025/05/22,348.45,415.0,336.0,406.61,348.45,16.23,56.549999,2876143.75,7385
2025/05/21,300.7,355.89,300.7,348.45,300.7,15.88,47.75,4336977.5,13226
2025/05/20,301.09,308.0,295.11,300.7,301.09,0.63,1.91,610859.88,2030
2025/05/19,289.34,330.0,278.21,301.09,289.34,4.06,11.75,3907850.25,12845
2025/05/18,289.34,295.99,275.02,289.34,289.34,0.0,0.0,151651.11,533
2025/05/15,289.34,295.99,286.0,289.34,289.34,-0.76,-2.21,134900.59,470
2025/05/14,289.34,295.0,290.0,289.34,289.34,0.23,0.66,30674.8,105
2025/05/08,298.59,293.0,285.1,298.59,298.59,-2.93,-8.74,178814.09,622
2025/05/07,281.85,312.0,274.1,298.59,281.85,4.26,12.0,471645.22,1601
2025/05/06,276.46,285.0,263.31,281.85,276.46,1.93,5.34,483831.47,1727
2025/05/05,280.91,288.0,270.0,276.46,280.91,-3.71,-10.41,302165.63,1093
2025/05/04,280.91,294.0,277.0,280.91,280.91,-0.32,-0.91,196422.55,700
2025/04/30,288.91,318.0,277.1,280.91,288.91,-2.77,-8.0,1645800.38,5712
2025/04/29,252.85,303.42,268.87,288.91,252.85,14.26,36.06,3150565.75,10843
2025/04/28,252.85,269.0,257.0,252.85,252.85,1.72,4.36,63606.52,241
2025/04/27,252.85,265.0,255.03,252.85,252.85,4.41,11.15,2616.04,10
2025/04/23,252.85,264.8,254.11,252.85,252.85,4.41,11.15,14816.99,57
2025/04/22,252.85,265.0,248.1,252.85,252.85,4.81,12.15,93741.95,361
2025/04/17,252.85,259.0,247.01,252.85,252.85,2.43,6.15,164079.94,641
2025/04/16,252.85,255.6,247.05,252.85,252.85,-1.52,-3.85,19790.21,79
2025/04/15,252.85,256.4,246.5,252.85,252.85,-1.76,-4.45,113208.25,448
2025/04/14,252.85,255.9,246.01,252.85,252.85,-1.68,-4.25,38792.79,154
2025/04/13,252.85,252.38,245.01,252.85,252.85,-0.73,-1.85,85281.92,345
2025/04/10,252.85,252.59,244.65,252.85,252.85,-3.24,-8.2,199679.73,813
2025/04/09,252.85,256.9,245.5,252.85,252.85,-2.61,-6.6,140750.47,567
2025/04/08,252.85,257.9,250.0,252.85,252.85,-0.93,-2.35,83059.0,328
2025/04/07,252.85,253.0,243.1,252.85,252.85,-1.23,-3.1,124121.59,498
2025/04/06,264.56,259.0,247.2,252.85,264.56,-6.56,-17.36,311322.78,1231
2025/04/03,264.56,269.99,253.0,264.56,264.56,-1.72,-4.56,184497.11,711
2025/03/27,257.83,270.5,253.01,264.56,257.83,-0.45,-1.16,407500.69,1538
2025/03/26,244.5,278.0,241.15,257.83,244.5,11.04,27.0,520990.09,2013
2025/03/25,278.24,255.0,240.0,244.5,278.24,-12.13,-33.740002,563366.88,2316
2025/03/24,278.24,255.0,242.01,278.24,278.24,-12.16,-33.84,75569.11,308
2025/03/23,278.24,257.49,240.0,278.24,278.24,-10.51,-29.24,158581.81,635
2025/03/20,278.24,250.01,244.02,278.24,278.24,-10.15,-28.24,137579.55,554
2025/03/19,278.24,259.8,247.01,278.24,278.24,-8.35,-23.24,279502.0,1117
2025/03/18,278.24,266.99,255.0,278.24,278.24,-8.35,-23.24,281102.13,1088
2025/03/17,278.24,282.6,246.0,278.24,278.24,-6.2,-17.24,208959.41,782
2025/03/16,265.86,284.84,262.6,278.24,265.86,4.66,12.38,597760.88,2174
2025/03/13,255.73,272.0,260.0,265.86,255.73,2.63,6.72,400097.13,1509
2025/03/12,241.87,273.6,242.0,255.73,241.87,5.84,14.13,458671.22,1804
2025/03/11,235.51,251.0,225.61,241.87,235.51,2.7,6.36,495124.03,2067
2025/03/10,221.17,240.0,221.3,235.51,221.17,6.25,13.83,393179.13,1683
2025/03/09,221.17,227.0,221.3,221.17,221.17,0.38,0.83,141798.7,636
2025/03/06,221.17,230.0,221.2,221.17,221.17,0.96,2.13,76606.84,341
2025/03/05,218.07,234.8,215.0,221.17,218.07,7.67,16.73,351936.0,1594
2025/03/04,218.07,218.5,215.03,218.07,218.07,-0.72,-1.57,126611.05,584
2025/03/03,218.07,219.98,210.0,218.07,218.07,-1.87,-4.07,120228.07,564
2025/03/02,218.07,221.0,215.06,218.07,218.07,0.0,0.0,134530.16,618
2025/02/27,212.16,222.5,212.1,218.07,212.16,2.75,5.84,345946.78,1590
2025/02/26,212.16,216.21,210.01,212.16,212.16,1.33,2.83,72534.23,339
2025/02/25,212.16,217.5,210.01,212.16,212.16,0.0,0.0,50711.66,236
2025/02/24,212.16,218.5,208.0,0.0,212.16,1.76,3.74,82366.37,388
2025/02/23,215.34,219.99,210.0,212.16,215.34,-1.48,-3.18,422138.13,1986
2025/02/20,215.34,222.89,213.5,215.34,215.34,1.51,3.25,144759.75,670
2025/02/19,215.34,225.99,215.0,215.34,215.34,3.56,7.66,106100.22,487
2025/02/18,215.34,226.9,210.0,215.34,215.34,-0.16,-0.34,104660.25,484
2025/02/17,228.52,227.99,201.0,215.34,228.52,-0.67,-1.52,326592.44,1516
2025/02/16,228.52,227.95,211.31,228.52,228.52,-2.46,-5.62,191175.17,878
2025/02/13,228.52,235.0,216.0,228.52,228.52,-0.23,-0.53,239703.44,1063
2025/02/12,228.52,235.99,227.0,228.52,228.52,0.0,0.0,304581.31,1327
2025/02/11,228.52,236.0,228.3,0.0,228.52,-0.1,-0.22,40218.57,175
2025/02/10,228.52,237.88,227.2,228.52,228.52,0.04,0.08,37343.56,161
2025/02/09,228.52,239.99,227.05,228.52,228.52,0.0,0.0,73324.08,311
2025/02/06,228.52,241.14,227.0,228.52,228.52,2.27,5.19,47292.68,206
2025/02/05,228.52,235.95,225.41,228.52,228.52,-1.36,-3.11,56900.55,248
2025/02/04,228.52,243.79,235.0,228.52,228.52,2.84,6.48,75014.56,319
2025/02/03,228.52,268.0,225.0,228.52,228.52,2.84,6.48,291088.16,1230
2025/02/02,228.52,232.89,229.2,228.52,228.52,1.44,3.28,140614.38,612
2025/01/30,228.52,235.87,224.01,228.52,228.52,-1.54,-3.52,97369.29,429
2025/01/29,238.18,237.73,225.0,228.52,238.18,-3.02,-7.2,578064.63,2530
2025/01/28,243.84,243.85,231.0,238.18,243.84,-2.56,-6.25,309787.31,1300
2025/01/27,269.4,270.25,242.0,243.84,269.4,-9.49,-25.559999,973557.81,3933
2025/01/26,269.4,270.99,264.0,269.4,269.4,0.41,1.1,75618.26,280
2025/01/23,269.4,270.4,270.0,269.4,269.4,0.33,0.9,38921.2,144
2025/01/22,269.4,273.6,268.0,269.4,269.4,0.0,0.0,97294.01,362
2025/01/21,269.4,272.94,268.02,269.4,269.4,0.67,1.8,60098.69,222
2025/01/20,269.4,269.4,266.0,269.4,269.4,-1.24,-3.33,22082.38,83
2025/01/19,269.4,269.8,264.0,269.4,269.4,-1.11,-3.0,33715.21,126
2025/01/16,269.84,271.99,267.02,269.4,269.84,-1.05,-2.82,328286.41,1219
2025/01/15,269.84,267.96,262.0,269.84,269.84,-2.86,-7.73,61374.46,234
2025/01/14,269.84,272.97,244.52,269.84,269.84,-2.16,-5.84,68664.09,261
2025/01/13,269.84,270.88,265.12,269.84,269.84,-1.42,-3.84,64339.78,240
2025/01/12,269.84,270.06,269.0,269.84,269.84,-0.31,-0.84,29376.17,109
2025/01/09,269.84,274.88,269.0,269.84,269.84,1.87,5.04,99399.71,365
2025/01/08,269.84,287.5,271.2,269.84,269.84,1.86,5.02,64832.97,237
2025/01/06,269.84,276.33,270.35,269.84,269.84,0.19,0.51,13500.03,49
2025/01/05,269.84,288.99,276.6,269.84,269.84,3.04,8.2,79838.23,282
2025/01/02,269.84,288.98,268.12,269.84,269.84,5.06,13.66,46424.52,166
2024/12/31,269.84,289.98,261.0,269.84,269.84,7.28,19.639999,122024.2,451
2024/12/30,269.87,272.39,261.0,269.84,269.87,-2.16,-5.84,6286382.5,23297
