«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.52,1.57,1.49,1.56,1.52,2.632,0.04,6.2734728E7,40678508
2026/01/12,1.54,1.56,1.51,1.52,1.54,-1.299,-0.02,3.3359236E7,21682011
2026/01/11,1.48,1.56,1.5,1.54,1.48,4.054,0.06,3.1265414E7,20444842
2026/01/08,1.49,1.52,1.47,1.48,1.49,-0.671,-0.01,1.7412012E7,11658461
2026/01/06,1.5,1.54,1.49,1.49,1.5,-0.667,-0.01,1.8815976E7,12430802
2026/01/05,1.48,1.53,1.45,1.5,1.48,1.351,0.02,3.7200456E7,24872057
2026/01/04,1.5,1.54,1.48,1.48,1.5,-1.333,-0.02,1.2990227E7,8638641
2025/12/31,1.51,1.56,1.47,1.5,1.51,-0.662,-0.01,3.5098876E7,22937983
2025/12/30,1.55,1.56,1.51,1.51,1.55,-2.581,-0.04,3.4238456E7,22367595
2025/12/29,1.51,1.59,1.52,1.55,1.51,2.649,0.04,7.3894816E7,47308587
2025/12/28,1.5,1.53,1.49,1.51,1.5,0.667,0.01,3.600586E7,23819744
2025/12/25,1.44,1.53,1.44,1.5,1.44,4.167,0.06,5.94884E7,40027568
2025/12/24,1.41,1.49,1.41,1.44,1.41,2.128,0.03,5.4047768E7,37335894
2025/12/23,1.3,1.44,1.29,1.41,1.3,8.462,0.11,7.9030544E7,57600996
2025/12/22,1.28,1.32,1.29,1.3,1.28,1.563,0.02,2.50091E7,19164048
2025/12/21,1.25,1.29,1.25,1.28,1.25,2.4,0.03,1.6328743E7,12802703
2025/12/18,1.27,1.28,1.25,1.25,1.27,-1.575,-0.02,1.6514825E7,13072203
2025/12/17,1.29,1.31,1.27,1.27,1.29,-1.55,-0.02,1.60943E7,12541769
2025/12/16,1.26,1.31,1.24,1.29,1.26,2.381,0.03,4.1033296E7,32105119
2025/12/15,1.24,1.31,1.25,1.26,1.24,1.613,0.02,4.565922E7,35580845
2025/12/14,1.23,1.26,1.22,1.24,1.23,0.813,0.01,2.3712322E7,19087650
2025/12/11,1.25,1.26,1.22,1.23,1.25,-1.6,-0.02,1.6250613E7,13145468
2025/12/10,1.27,1.28,1.24,1.25,1.27,-1.575,-0.02,2.4940756E7,19819494
2025/12/09,1.23,1.29,1.23,1.27,1.23,3.252,0.04,4.1232956E7,32641875
2025/12/08,1.25,1.28,1.22,1.23,1.25,-1.6,-0.02,2.3774412E7,19000525
2025/12/07,1.18,1.28,1.19,1.25,1.18,5.932,0.07,5.4958992E7,44345047
2025/12/04,1.2,1.21,1.18,1.18,1.2,-1.667,-0.02,1.4093093E7,11798375
2025/12/03,1.23,1.24,1.19,1.2,1.23,-2.439,-0.03,2.0271488E7,16673934
2025/12/02,1.19,1.23,1.18,1.23,1.19,3.361,0.04,3.051151E7,25203737
2025/12/01,1.21,1.22,1.18,1.19,1.21,-1.653,-0.02,1.3666025E7,11400665
2025/11/30,1.22,1.26,1.21,1.21,1.22,-0.82,-0.01,1.879278E7,15269554
2025/11/27,1.18,1.24,1.17,1.22,1.18,3.39,0.04,2.3941864E7,19845146
2025/11/26,1.21,1.22,1.18,1.18,1.21,-2.479,-0.03,1.8897358E7,15869268
2025/11/25,1.22,1.25,1.2,1.21,1.22,-0.82,-0.01,2.0509214E7,16777245
2025/11/24,1.25,1.26,1.22,1.22,1.25,-2.4,-0.03,2.267057E7,18303858
2025/11/23,1.27,1.29,1.24,1.25,1.27,-1.575,-0.02,2.2199096E7,17605205
2025/11/20,1.29,1.33,1.27,1.27,1.29,-1.55,-0.02,4.6545124E7,35838798
2025/11/19,1.29,1.32,1.28,1.29,1.29,0.0,0.0,3.6200476E7,27829421
2025/11/18,1.35,1.38,1.28,1.29,1.35,-4.444,-0.06,8.2717544E7,61763994
2025/11/17,1.32,1.42,1.28,1.35,1.32,2.273,0.03,1.97759264E8,145698132
2025/11/16,1.23,1.32,1.22,1.32,1.23,7.317,0.09,7.2980608E7,57306441
2025/11/13,1.25,1.26,1.21,1.23,1.25,-1.6,-0.02,2.1307734E7,17269531
2025/11/12,1.24,1.28,1.24,1.25,1.24,0.806,0.01,3.1300896E7,24961059
2025/11/11,1.26,1.28,1.23,1.24,1.26,-1.587,-0.02,2.9534044E7,23592259
2025/11/10,1.29,1.31,1.25,1.26,1.29,-2.326,-0.03,2.5050204E7,19736961
2025/11/09,1.26,1.31,1.25,1.29,1.26,2.381,0.03,2.9327656E7,22803871
2025/11/06,1.27,1.28,1.24,1.26,1.27,-0.787,-0.01,1.7369622E7,13803946
2025/11/05,1.28,1.32,1.26,1.27,1.28,-0.781,-0.01,2.8546644E7,22171626
2025/11/04,1.33,1.35,1.28,1.28,1.33,-3.759,-0.05,3.3290134E7,25485838
2025/11/03,1.23,1.34,1.22,1.33,1.23,8.13,0.1,8.7888744E7,67568006
2025/11/02,1.24,1.26,1.21,1.23,1.24,-0.806,-0.01,1.3335672E7,10797664
2025/10/30,1.26,1.27,1.24,1.24,1.26,-1.587,-0.02,1.2650682E7,10100390
2025/10/29,1.24,1.29,1.23,1.26,1.24,1.613,0.02,3.2008786E7,25364772
2025/10/28,1.27,1.29,1.23,1.24,1.27,-2.362,-0.03,4.1469828E7,33052332
2025/10/27,1.28,1.3,1.25,1.27,1.28,-0.781,-0.01,3.7088568E7,29030076
2025/10/26,1.27,1.31,1.23,1.28,1.27,0.787,0.01,8.112E7,63639958
2025/10/23,1.11,1.33,1.13,1.27,1.11,14.414,0.16,2.39549232E8,188460756
2025/10/22,1.08,1.14,1.08,1.11,1.08,2.778,0.03,4.0693164E7,36567663
2025/10/21,1.09,1.11,1.07,1.08,1.09,-0.917,-0.01,2.6813582E7,24671255
2025/10/20,1.1,1.16,1.08,1.09,1.1,-0.909,-0.01,1.01370376E8,90159603
2025/10/19,1.08,1.1,1.08,1.1,1.08,1.852,0.02,1.3251854E7,12171213
2025/10/16,1.05,1.11,1.06,1.08,1.05,2.857,0.03,3.4182676E7,31509979
2025/10/15,1.06,1.07,1.04,1.05,1.06,-0.943,-0.01,3.4899244E7,33149872
2025/10/14,1.05,1.07,1.05,1.06,1.05,0.952,0.01,6802226.5,6417291
2025/10/13,1.05,1.07,1.04,1.05,1.05,0.0,0.0,5822705.5,5541692
2025/10/12,1.03,1.06,1.03,1.05,1.03,1.942,0.02,4358164.5,4163980
2025/10/08,1.03,1.05,1.03,1.03,1.03,0.0,0.0,2779126.75,2683356
2025/10/07,1.03,1.06,1.02,1.03,1.03,0.0,0.0,7479145.0,7186891
2025/10/06,1.03,1.04,1.02,1.03,1.03,0.0,0.0,4254941.5,4135323
2025/10/05,1.03,1.05,1.03,1.03,1.03,0.0,0.0,3009588.25,2904124
2025/10/02,1.02,1.03,1.01,1.03,1.02,0.98,0.01,3831853.75,3754558
2025/10/01,1.03,1.04,1.01,1.02,1.03,-0.971,-0.01,3437719.25,3360268
2025/09/30,1.04,1.05,1.03,1.03,1.04,-0.962,-0.01,4128754.25,3991928
2025/09/29,1.04,1.06,1.04,1.04,1.04,0.0,0.0,5569066.0,5311255
2025/09/28,1.04,1.06,1.03,1.04,1.04,0.0,0.0,4736421.5,4542520
2025/09/25,0.98,1.06,0.97,1.04,0.98,6.122,0.06,1.6744167E7,16514994
2025/09/24,0.98,1.0,0.97,0.98,0.98,0.0,0.0,6451159.0,6558350
2025/09/23,0.97,1.0,0.97,0.98,0.97,1.031,0.01,7138504.0,7210634
2025/09/22,1.0,1.0,0.96,0.97,1.0,-3.0,-0.03,8022830.0,8241003
2025/09/21,1.02,1.03,1.0,1.0,1.02,-1.961,-0.02,2273201.25,2251341
2025/09/18,1.03,1.04,1.02,1.02,1.03,-0.971,-0.01,1531219.625,1494493
2025/09/17,1.01,1.03,1.0,1.03,1.01,1.98,0.02,3234475.5,3201317
2025/09/16,1.03,1.04,1.0,1.01,1.03,-1.942,-0.02,3880274.75,3799117
2025/09/15,1.06,1.06,1.03,1.03,1.06,-2.83,-0.03,3747335.0,3595288
2025/09/14,1.06,1.07,1.05,1.06,1.06,0.0,0.0,3196417.0,3024464
2025/09/11,1.07,1.08,0.93,1.06,1.07,-0.935,-0.01,7536786.0,7165924
2025/09/10,1.07,1.08,1.06,1.07,1.07,0.0,0.0,3106269.75,2906516
2025/09/09,1.08,1.1,1.06,1.07,1.08,-0.926,-0.01,9157428.0,8482104
2025/09/08,1.07,1.09,1.07,1.08,1.07,0.935,0.01,4923883.5,4559789
2025/09/07,1.07,1.09,1.06,1.07,1.07,0.0,0.0,6966072.5,6478031
2025/09/03,1.07,1.08,1.06,1.07,1.07,0.0,0.0,5044436.0,4729765
2025/09/02,1.07,1.08,1.07,1.07,1.07,0.0,0.0,4452652.5,4154229
2025/09/01,1.08,1.09,1.06,1.07,1.08,-0.926,-0.01,8414653.0,7829459
2025/08/31,1.09,1.11,1.07,1.08,1.09,-0.917,-0.01,1.2999549E7,11914121
2025/08/28,1.08,1.13,1.08,1.09,1.08,0.926,0.01,2.8181208E7,25518697
2025/08/27,1.07,1.09,1.07,1.08,1.07,0.935,0.01,4787861.5,4446641
2025/08/26,1.07,1.09,1.06,1.07,1.07,0.0,0.0,1.0331159E7,9624255
2025/08/25,1.07,1.08,1.06,1.07,1.07,0.0,0.0,4151479.5,3880340
2025/08/24,1.07,1.09,1.07,1.07,1.07,0.0,0.0,6795168.5,6319044
2025/08/21,1.07,1.08,1.06,1.07,1.07,0.0,0.0,2904716.5,2712354
2025/08/20,1.07,1.1,1.06,1.07,1.07,0.0,0.0,1.146001E7,10631164
2025/08/19,1.08,1.09,1.07,1.07,1.08,-0.926,-0.01,4604098.5,4273326
2025/08/18,1.1,1.11,1.08,1.08,1.1,-1.818,-0.02,4924247.0,4511564
2025/08/17,1.07,1.13,1.06,1.1,1.07,2.804,0.03,2.3111498E7,20956853
2025/08/14,1.07,1.08,1.05,1.07,1.07,0.0,0.0,8199430.0,7694797
2025/08/13,1.09,1.1,1.07,1.07,1.09,-1.835,-0.02,5703420.0,5286806
2025/08/12,1.1,1.11,1.08,1.09,1.1,-0.909,-0.01,5751957.0,5266012
2025/08/11,1.12,1.12,1.09,1.1,1.12,-1.786,-0.02,1.0884355E7,9882201
2025/08/10,1.09,1.13,1.09,1.12,1.09,2.752,0.03,1.9335176E7,17389053
2025/08/07,1.07,1.1,1.06,1.09,1.07,1.869,0.02,1.005733E7,9283225
2025/08/06,1.08,1.09,1.07,1.07,1.08,-0.926,-0.01,8535693.0,7940398
2025/08/05,1.1,1.11,1.07,1.08,1.1,-1.818,-0.02,1.1869991E7,10856831
2025/08/04,1.07,1.1,1.07,1.1,1.07,2.804,0.03,2.3795222E7,21854732
2025/08/03,1.03,1.09,1.03,1.07,1.03,3.884,0.04,2.2457878E7,21073343
2025/07/31,1.03,1.04,1.02,1.03,1.03,0.0,0.0,2937354.25,2850909
2025/07/30,1.03,1.06,1.02,1.03,1.03,0.0,0.0,9181977.0,8844268
2025/07/29,1.06,1.07,1.03,1.03,1.06,-2.83,-0.03,1.5633206E7,14925613
2025/07/28,1.02,1.08,1.01,1.06,1.02,3.922,0.04,2.1625836E7,20673203
2025/07/27,1.03,1.04,1.02,1.02,1.03,-0.971,-0.01,4062664.75,3959168
2025/07/23,1.03,1.04,1.01,1.03,1.03,0.0,0.0,6859831.0,6734049
2025/07/22,1.04,1.05,1.02,1.03,1.04,-0.962,-0.01,3504050.0,3394884
2025/07/21,1.04,1.06,1.03,1.04,1.04,0.0,0.0,6817305.5,6557581
2025/07/20,1.03,1.05,1.03,1.04,1.03,0.971,0.01,2635002.25,2529902
2025/07/17,1.03,1.05,1.02,1.03,1.03,0.0,0.0,4775982.5,4619462
