«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2022/02/07,3.68,3.5,3.5,3.5,3.68,-4.89,-0.18,3129.0,894
2022/02/02,3.46,3.68,3.46,3.68,3.46,6.36,0.22,7816.0,2125
2021/12/13,3.7,4.01,3.02,3.46,3.7,-18.38,-0.68,23935.65,6915
2021/11/22,3.7,3.8,3.8,3.7,3.7,2.7,0.1,315.4,83
2021/10/20,3.42,3.7,3.7,3.7,3.42,8.19,0.28,555.0,150
2021/09/29,10.72,3.5,3.4,3.42,10.72,-68.0,-7.29,7183.6,2100
2021/09/15,10.72,10.79,10.79,10.72,10.72,0.65,0.07,539.5,50
2021/09/13,10.79,10.79,3.4,10.72,10.79,0.0,0.0,1136.35,106
2021/09/08,3.46,10.79,10.79,10.79,3.46,211.85,7.33,1499.81,139
2021/09/06,0.17,3.5,3.33,3.46,0.17,1858.82,3.16,394.92,114
2021/08/11,0.17,0.61,0.61,0.17,0.17,258.82,0.44,36.6,60
2021/07/14,11.0,0.2,0.11,0.17,11.0,-98.18,-10.8,29.4,174
2021/05/19,10.0,11.0,11.0,11.0,10.0,10.0,1.0,1100.0,100
2021/03/22,9.92,10.0,10.0,10.0,9.92,0.81,0.08,8.248928E7,8248928
2020/12/30,9.92,11.0,11.0,9.92,9.92,10.89,1.08,1056.0,96
2020/12/21,9.92,9.92,9.92,9.92,9.92,0.0,0.0,1011.84,102
2020/12/07,9.92,9.92,9.92,9.92,9.92,0.0,0.0,114833.92,11576
