«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2022/05/11,0.31,2.7,2.7,0.31,0.31,770.97,2.39,2.7,1
2022/04/06,0.31,2.7,2.7,0.31,0.31,770.97,2.39,2.7,1
2022/03/28,1.0,0.31,0.31,0.31,1.0,-69.0,-0.69,55.8,180
2022/02/23,1.0,8.0,8.0,1.0,1.0,700.0,7.0,8.0,1
2021/09/13,1.03,1.0,1.0,1.0,1.03,-2.91,-0.03,1129.0,1129
2021/08/02,1.03,4.5,4.5,1.03,1.03,336.89,3.47,4.5,1
2021/06/30,1.03,3.5,3.5,1.03,1.03,239.81,2.47,3.5,1
2021/06/28,1.91,1.03,1.03,1.03,1.91,-46.07,-0.88,35555.6,34520
2021/05/31,4.5,4.18,0.99,1.91,4.5,-7.11,-0.32,2967.98,1557
2021/05/10,2.6,4.5,4.5,4.5,2.6,73.08,1.9,2007.0,446
2021/04/19,2.6,3.55,3.55,2.6,2.6,36.54,0.95,3.55,1
2021/04/05,2.55,2.6,2.6,2.6,2.55,1.96,0.05,395.2,152
2021/03/31,2.75,2.55,2.55,2.55,2.75,-7.27,-0.2,78766.95,30889
2021/03/29,2.5,2.75,2.75,2.75,2.5,10.0,0.25,495.0,180
2021/03/24,2.4,2.5,2.45,2.5,2.4,4.17,0.1,52445.75,20980
2021/03/22,3.99,2.5,2.4,2.4,3.99,-37.34,-1.49,6242.5,2601
2021/03/15,3.99,2.0,2.0,3.99,3.99,-49.87,-1.99,10.0,5
2021/03/10,4.0,4.0,3.97,3.99,4.0,0.0,0.0,279286.47,70000
2021/03/03,0.27,4.0,3.96,4.0,0.27,1381.48,3.73,131072.95,32803
2021/01/11,0.27,3.99,3.99,0.27,0.27,1377.78,3.72,39.9,10
2020/07/13,0.27,1.0,1.0,0.27,0.27,0.0,0.0,1.0,1
2020/06/24,1.0,0.27,0.27,0.27,1.0,-73.0,-0.73,405.0,1500
