«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.311,0.311,0.29,0.295,0.311,-5.145,-0.016,4.8369892E7,160412466
2026/01/12,0.319,0.326,0.309,0.311,0.319,-2.508,-0.008,5.2029924E7,164700127
2026/01/11,0.308,0.323,0.314,0.319,0.308,3.571,0.011,7.0732824E7,222360515
2026/01/08,0.3,0.308,0.299,0.308,0.3,2.667,0.008,3.4426916E7,113352410
2026/01/06,0.294,0.304,0.295,0.3,0.294,2.041,0.006,2.3844724E7,79527845
2026/01/05,0.298,0.304,0.283,0.294,0.298,-1.342,-0.004,3.5781228E7,120904676
2026/01/04,0.3,0.31,0.297,0.298,0.3,-0.667,-0.002,4.3414956E7,143340093
2025/12/31,0.295,0.314,0.294,0.3,0.295,1.695,0.005,6.9130216E7,226959746
2025/12/30,0.299,0.303,0.295,0.295,0.299,-1.338,-0.004,2.4879814E7,83616872
2025/12/29,0.303,0.307,0.298,0.299,0.303,-1.32,-0.004,3.6182692E7,119932007
2025/12/28,0.28,0.307,0.283,0.303,0.28,8.214,0.023,1.3952864E8,467214818
2025/12/25,0.273,0.284,0.271,0.28,0.273,2.564,0.007,2.3108358E7,82705910
2025/12/24,0.272,0.275,0.27,0.273,0.272,0.368,0.001,6572479.5,24170997
2025/12/23,0.272,0.274,0.266,0.272,0.272,0.368,0.001,8412001.0,31117138
2025/12/22,0.276,0.277,0.271,0.272,0.276,-1.449,-0.004,1.0051871E7,36757918
2025/12/21,0.277,0.279,0.275,0.276,0.277,-0.361,-0.001,1.0518886E7,38066049
2025/12/18,0.277,0.28,0.276,0.277,0.277,0.0,0.0,8762810.0,31570714
2025/12/17,0.277,0.28,0.276,0.277,0.277,0.0,0.0,1.1586125E7,41687076
2025/12/16,0.273,0.278,0.272,0.277,0.273,1.465,0.004,1.4724002E7,53623058
2025/12/15,0.277,0.281,0.273,0.273,0.277,-1.444,-0.004,1.6650141E7,60273400
2025/12/14,0.274,0.284,0.275,0.277,0.274,1.095,0.003,1.8535648E7,66659188
2025/12/11,0.276,0.28,0.273,0.274,0.276,-0.725,-0.002,1.7323032E7,62852410
2025/12/10,0.28,0.283,0.274,0.276,0.28,-1.429,-0.004,2.35265E7,84836686
2025/12/09,0.285,0.29,0.279,0.28,0.285,-1.754,-0.005,2.627012E7,92800850
2025/12/08,0.282,0.291,0.281,0.285,0.282,1.064,0.003,5.9388292E7,207076716
2025/12/07,0.272,0.285,0.277,0.282,0.272,3.676,0.01,5.524666E7,196233444
2025/12/04,0.271,0.283,0.27,0.272,0.271,0.369,0.001,6.5317664E7,236275574
2025/12/03,0.275,0.278,0.27,0.271,0.275,-1.455,-0.004,2.9421656E7,107887975
2025/12/02,0.25,0.278,0.25,0.275,0.25,10.0,0.025,1.0193976E8,381667099
2025/12/01,0.257,0.259,0.25,0.25,0.257,-2.724,-0.007,1.6805934E7,66252067
2025/11/30,0.252,0.259,0.252,0.257,0.252,1.984,0.005,1.6092568E7,63082695
2025/11/27,0.254,0.257,0.251,0.252,0.254,-0.787,-0.002,1.0591715E7,41874101
2025/11/26,0.258,0.264,0.252,0.254,0.258,-1.55,-0.004,2.631922E7,101866753
2025/11/25,0.241,0.266,0.24,0.258,0.241,7.054,0.017,5.7086032E7,221691027
2025/11/24,0.243,0.244,0.241,0.241,0.243,-0.823,-0.002,6051201.5,24997477
2025/11/23,0.242,0.244,0.242,0.243,0.242,0.413,0.001,3560755.5,14658613
2025/11/20,0.243,0.245,0.242,0.242,0.243,-0.412,-0.001,6176608.5,25382458
2025/11/19,0.244,0.245,0.242,0.243,0.244,-0.41,-0.001,4226825.5,17372242
2025/11/18,0.244,0.247,0.243,0.244,0.244,0.0,0.0,5169224.0,21154061
2025/11/17,0.246,0.248,0.243,0.244,0.246,-0.813,-0.002,4840502.5,19804709
2025/11/16,0.244,0.248,0.243,0.246,0.244,0.82,0.002,5704762.0,23183041
2025/11/13,0.245,0.247,0.243,0.244,0.245,-0.408,-0.001,5631256.0,23013712
2025/11/12,0.246,0.248,0.244,0.245,0.246,-0.407,-0.001,2776541.0,11272276
2025/11/11,0.243,0.248,0.242,0.246,0.243,1.235,0.003,5274678.5,21537989
