«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,10.7,10.85,10.6,10.68,10.7,0.47,0.05,702338.31,65917
2026/01/12,10.7,10.93,10.6,10.7,10.7,0.0,0.0,728208.13,67968
2026/01/11,10.7,10.93,10.41,10.7,10.7,0.0,0.0,247881.63,23265
2026/01/08,10.8,10.95,10.61,10.7,10.8,-0.93,-0.1,2497385.25,233804
2026/01/06,10.96,11.13,10.67,10.8,10.96,-1.46,-0.16,1684768.63,155371
2026/01/05,10.95,11.0,10.76,10.96,10.95,0.09,0.01,1430149.75,130859
2026/01/04,10.73,11.0,10.61,10.95,10.73,2.52,0.27,927004.19,84933
2025/12/31,10.94,11.1,10.61,10.73,10.94,-2.38,-0.26,1823622.25,168478
2025/12/30,11.06,11.18,10.76,10.94,11.06,-1.08,-0.12,1734764.5,159383
2025/12/29,11.16,11.25,10.6,11.06,11.16,-0.18,-0.02,2652932.0,244465
2025/12/28,11.22,11.35,11.0,11.16,11.22,-0.98,-0.11,1708589.75,152068
2025/12/25,10.93,11.3,10.95,11.22,10.93,0.91,0.1,3157204.25,282815
2025/12/24,10.9,11.09,10.75,10.93,10.9,0.28,0.03,1861652.5,169963
2025/12/23,10.69,10.95,10.61,10.9,10.69,1.96,0.21,1363848.13,125705
2025/12/22,10.69,10.86,10.51,10.69,10.69,0.94,0.1,1383808.5,130409
2025/12/21,10.5,10.72,10.54,10.69,10.5,2.1,0.22,339107.94,31730
2025/12/18,10.88,10.98,10.29,10.5,10.88,-3.49,-0.38,1524380.88,142286
2025/12/17,11.0,11.0,10.6,10.88,11.0,-0.91,-0.1,779426.94,72199
2025/12/16,10.99,11.0,10.85,11.0,10.99,0.09,0.01,400496.63,36446
2025/12/15,11.0,11.12,10.84,10.99,11.0,0.0,0.0,3531647.0,321736
2025/12/14,11.04,11.1,10.8,11.0,11.04,-0.36,-0.04,1278038.5,116461
2025/12/11,11.04,11.14,10.94,11.04,11.04,0.54,0.06,614693.13,55726
2025/12/10,11.33,11.39,10.71,11.04,11.33,-1.15,-0.13,785137.69,70313
2025/12/09,11.04,11.39,10.91,11.33,11.04,3.17,0.35,1978962.5,176547
2025/12/08,10.81,11.2,10.6,11.04,10.81,2.13,0.23,2874192.0,262676
2025/12/07,10.55,10.89,10.49,10.81,10.55,0.47,0.05,500510.0,46617
2025/12/04,10.69,10.85,10.45,10.55,10.69,-1.31,-0.14,1599854.38,151011
2025/12/03,10.39,10.88,10.31,10.69,10.39,2.89,0.3,2129000.75,201648
2025/12/02,10.49,10.62,9.92,10.39,10.49,-0.95,-0.1,899520.69,87338
2025/12/01,10.66,10.8,10.44,10.49,10.66,-0.66,-0.07,808604.94,76890
2025/11/30,10.43,10.78,10.45,10.66,10.43,0.67,0.07,552081.19,52039
