«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,8.25,8.25,8.0,8.09,8.25,-2.67,-0.22,236281.52,29314
2026/01/12,8.1,8.25,7.33,8.25,8.1,1.85,0.15,1797563.63,221622
2026/01/11,8.04,8.13,7.67,8.1,8.04,0.75,0.06,647343.0,80459
2026/01/08,8.07,8.17,7.5,8.04,8.07,1.24,0.1,1245152.88,158347
2026/01/06,7.63,8.39,7.0,8.07,7.63,4.85,0.37,963246.69,119268
2026/01/05,7.18,7.89,7.11,7.63,7.18,9.89,0.71,788898.06,107046
2026/01/04,7.02,7.2,6.96,7.18,7.02,2.56,0.18,456509.84,64175
2025/12/31,6.87,7.12,6.88,7.02,6.87,3.49,0.24,214927.78,30655
2025/12/30,6.96,7.0,6.83,6.87,6.96,-1.15,-0.08,230904.89,33606
2025/12/29,6.96,7.0,6.87,6.96,6.96,0.29,0.02,228042.69,32850
2025/12/28,6.89,7.0,6.8,6.96,6.89,1.6,0.11,349998.34,50228
2025/12/25,6.89,7.0,6.81,6.89,6.89,-0.29,-0.02,107587.31,15691
2025/12/24,6.89,6.98,6.85,6.89,6.89,0.15,0.01,54681.13,7905
2025/12/23,6.89,6.94,6.82,6.89,6.89,-0.87,-0.06,44600.8,6526
2025/12/22,6.87,7.0,6.8,6.89,6.87,-0.58,-0.04,475892.91,68942
2025/12/21,6.96,7.09,6.71,6.87,6.96,-1.44,-0.1,345229.81,50228
2025/12/18,6.87,7.1,6.88,6.96,6.87,1.89,0.13,163359.89,23456
2025/12/17,6.91,6.9,6.6,6.87,6.91,-0.58,-0.04,488265.63,71454
2025/12/16,6.91,7.0,6.85,6.91,6.91,-0.87,-0.06,176390.09,25525
2025/12/15,6.9,7.05,6.9,6.91,6.9,1.45,0.1,298379.56,43106
2025/12/14,6.9,7.1,6.9,6.9,6.9,2.61,0.18,108283.3,15433
2025/12/11,6.95,7.06,6.9,6.9,6.95,-0.72,-0.05,219302.53,31675
2025/12/10,6.97,7.08,6.9,6.95,6.97,1.43,0.1,171303.84,24640
2025/12/09,6.97,7.13,6.8,6.97,6.97,2.3,0.16,92610.53,13193
2025/12/08,7.12,7.13,6.47,6.97,7.12,-3.09,-0.22,560948.88,82035
2025/12/07,7.18,7.17,7.02,7.12,7.18,-0.7,-0.05,204360.5,28762
2025/12/04,7.18,7.18,7.0,7.18,7.18,-0.7,-0.05,144315.17,20378
2025/12/03,7.06,7.2,7.0,7.18,7.06,0.42,0.03,200320.23,28040
2025/12/02,7.09,7.24,7.02,7.06,7.09,1.55,0.11,176342.95,24964
2025/12/01,7.31,7.25,7.0,7.09,7.31,-3.15,-0.23,163726.66,23077
2025/11/30,7.31,7.28,7.1,7.31,7.31,-0.82,-0.06,134855.89,18661
2025/11/27,7.31,7.19,7.1,7.31,7.31,-1.64,-0.12,47086.55,6580
2025/11/26,7.31,7.3,7.0,7.31,7.31,-2.33,-0.17,137533.42,19419
2025/11/25,7.31,7.38,7.0,7.31,7.31,-0.82,-0.06,107080.27,15003
2025/11/24,7.31,7.4,7.2,7.31,7.31,-0.14,-0.01,52502.58,7132
2025/11/23,7.31,7.3,7.16,7.31,7.31,-0.14,-0.01,93880.97,12958
2025/11/20,7.31,7.38,7.11,7.31,7.31,0.55,0.04,103688.75,14432
2025/11/19,7.31,7.4,7.2,7.31,7.31,-0.68,-0.05,59656.32,8119
2025/11/18,7.31,7.45,7.2,7.31,7.31,0.68,0.05,57647.67,7827
2025/11/17,7.27,7.45,7.13,7.31,7.27,2.48,0.18,184565.67,25305
2025/11/16,7.27,7.4,7.11,7.27,7.27,-1.93,-0.14,86215.73,11932
2025/11/13,7.31,7.44,7.05,7.27,7.31,1.23,0.09,253506.34,34817
2025/11/12,7.34,7.49,7.3,7.31,7.34,1.09,0.08,192898.75,26389
2025/11/11,7.49,7.49,7.27,7.34,7.49,-1.87,-0.14,200021.3,27269
2025/11/10,7.49,7.57,7.32,7.49,7.49,-2.14,-0.16,91923.41,12388
2025/11/09,7.48,7.6,7.34,7.49,7.48,-1.74,-0.13,359830.75,48131
2025/11/06,7.48,7.59,7.4,7.48,7.48,-0.8,-0.06,19733.05,2664
2025/11/05,7.48,7.69,7.31,7.48,7.48,-1.47,-0.11,228810.86,30651
2025/11/04,7.5,7.66,7.32,7.48,7.5,-0.53,-0.04,166856.31,22286
2025/11/03,7.48,7.9,7.3,7.5,7.48,2.41,0.18,510034.69,66345
2025/11/02,7.56,7.82,7.42,7.48,7.56,-1.46,-0.11,417238.91,55483
2025/10/30,7.83,7.9,7.5,7.56,7.83,-4.21,-0.33,1061547.63,139293
2025/10/29,7.83,7.99,7.75,7.83,7.83,1.02,0.08,104763.6,13326
2025/10/28,7.79,8.03,7.7,7.83,7.79,0.13,0.01,323044.72,41531
2025/10/27,7.95,8.03,7.7,7.79,7.95,-0.75,-0.06,504455.06,64636
2025/10/26,8.02,8.09,7.92,7.95,8.02,-0.25,-0.02,170201.77,21392
2025/10/23,8.02,8.1,7.8,8.02,8.02,-0.25,-0.02,100458.0,12709
2025/10/22,7.97,8.1,7.76,8.02,7.97,0.5,0.04,256378.3,31937
2025/10/21,7.92,8.09,7.9,7.97,7.92,1.64,0.13,357096.59,44941
2025/10/20,7.92,8.19,7.9,7.92,7.92,1.01,0.08,133476.45,16673
2025/10/19,7.74,8.32,7.74,7.92,7.74,2.33,0.18,442809.84,55407
2025/10/16,7.74,7.98,7.7,7.74,7.74,-0.26,-0.02,97773.5,12575
2025/10/15,7.67,7.94,7.66,7.74,7.67,1.17,0.09,233956.47,30128
2025/10/14,7.67,7.99,7.55,7.67,7.67,3.0,0.23,134049.63,17336
2025/10/13,7.82,8.0,7.6,7.67,7.82,-1.53,-0.12,610718.94,78799
2025/10/12,8.11,8.3,7.8,7.82,8.11,-3.58,-0.29,1057666.63,133362
2025/10/08,8.45,8.6,8.0,8.11,8.45,-4.02,-0.34,1409065.13,172500
2025/10/07,8.2,8.6,8.01,8.45,8.2,4.15,0.34,534485.13,64950
2025/10/06,8.69,8.75,8.0,8.2,8.69,-5.64,-0.49,699655.88,83635
2025/10/05,8.58,8.75,7.77,8.69,8.58,1.28,0.11,1254317.38,148226
2025/10/02,8.26,8.96,8.26,8.58,8.26,5.57,0.46,874803.5,100963
2025/10/01,7.51,8.26,7.21,8.26,7.51,9.99,0.75,1692799.63,206380
2025/09/30,7.27,7.55,7.1,7.51,7.27,3.85,0.28,442650.03,59758
2025/09/29,7.24,7.33,7.15,7.27,7.24,0.97,0.07,162131.97,22301
2025/09/28,7.21,7.29,7.08,7.24,7.21,0.14,0.01,165296.27,22859
2025/09/25,7.29,7.31,7.05,7.21,7.29,-1.1,-0.08,270569.25,37513
2025/09/24,6.94,7.33,7.0,7.29,6.94,5.62,0.39,275008.25,37978
2025/09/23,7.27,7.5,6.55,6.94,7.27,0.28,0.02,583289.0,85837
2025/09/22,7.2,7.55,7.05,7.27,7.2,4.86,0.35,280412.75,38876
2025/09/21,7.44,7.29,7.0,7.2,7.44,-2.82,-0.21,629538.81,88439
2025/09/18,7.44,7.27,7.09,7.44,7.44,-3.23,-0.24,142077.34,19730
2025/09/17,7.44,7.5,7.01,7.44,7.44,-4.7,-0.35,147995.88,20768
2025/09/16,7.31,7.49,7.18,7.44,7.31,1.92,0.14,320846.38,43455
2025/09/15,7.31,7.4,7.19,7.31,7.31,0.68,0.05,59017.9,8116
2025/09/14,7.42,7.38,7.3,7.31,7.42,-1.48,-0.11,170543.03,23337
2025/09/11,7.42,7.45,7.17,7.42,7.42,-1.48,-0.11,49849.62,6795
2025/09/10,7.46,7.48,7.04,7.42,7.46,-1.07,-0.08,232154.59,31445
2025/09/09,7.13,7.59,7.25,7.46,7.13,3.79,0.27,306379.06,41338
2025/09/08,7.18,7.48,6.82,7.13,7.18,2.51,0.18,287963.97,40294
2025/09/07,7.42,7.65,7.0,7.18,7.42,2.56,0.19,289167.59,39533
2025/09/03,7.5,7.48,7.15,7.42,7.5,-0.67,-0.05,275726.47,37308
2025/09/02,7.31,7.63,7.31,7.5,7.31,2.6,0.19,245281.64,32725
2025/09/01,7.54,7.82,7.17,7.31,7.54,1.46,0.11,308296.38,41960
2025/08/31,7.61,7.94,7.5,7.54,7.61,-0.92,-0.07,775843.75,101510
2025/08/28,7.76,8.28,7.02,7.61,7.76,-1.93,-0.15,808554.19,106726
2025/08/27,8.29,8.35,7.51,7.76,8.29,-4.7,-0.39,599848.25,77688
2025/08/26,7.99,8.78,7.4,8.29,7.99,3.75,0.3,2246661.75,267158
2025/08/25,7.27,7.99,7.41,7.99,7.27,9.9,0.72,1924246.0,242776
2025/08/24,6.61,7.27,6.56,7.27,6.61,9.98,0.66,2063573.38,288805
2025/08/21,6.53,6.74,6.45,6.61,6.53,2.45,0.16,344247.72,52577
2025/08/20,6.9,6.92,6.45,6.53,6.9,-5.22,-0.36,276320.22,42080
2025/08/19,6.9,6.93,6.55,6.9,6.9,-3.48,-0.24,138539.92,20612
2025/08/18,6.4,6.94,6.42,6.9,6.4,8.44,0.54,508231.03,74953
2025/08/17,6.54,6.67,6.0,6.4,6.54,0.92,0.06,353042.91,56042
2025/08/14,6.62,6.7,6.36,6.54,6.62,-3.63,-0.24,209506.81,32095
2025/08/13,6.62,6.75,6.35,6.62,6.62,-3.93,-0.26,108494.24,16935
2025/08/12,6.31,6.85,6.16,6.62,6.31,1.58,0.1,403893.31,62415
2025/08/11,6.76,6.71,6.16,6.31,6.76,-6.66,-0.45,251443.75,39485
2025/08/10,6.76,6.79,6.61,6.76,6.76,-2.07,-0.14,122393.41,18275
2025/08/07,6.8,6.8,6.65,6.76,6.8,-1.76,-0.12,246491.2,36485
2025/08/06,6.85,7.0,6.7,6.8,6.85,-0.73,-0.05,339168.5,49879
2025/08/05,6.91,7.0,6.75,6.85,6.91,-0.14,-0.01,625018.19,90627
2025/08/04,7.02,7.1,6.85,6.91,7.02,-2.42,-0.17,222831.95,32172
2025/08/03,7.03,7.4,6.8,7.02,7.03,-1.85,-0.13,235689.38,33312
2025/07/31,6.77,7.28,6.7,7.03,6.77,7.53,0.51,372140.5,53855
2025/07/30,6.92,6.9,6.7,6.77,6.92,0.0,-0.22,224648.86,33174
2025/07/29,6.92,6.94,6.72,6.92,6.92,-0.43,-0.03,58344.72,8519
2025/07/28,6.98,7.0,6.78,6.92,6.98,-2.87,-0.2,352436.75,50718
2025/07/27,6.94,7.02,6.65,6.98,6.94,0.72,0.05,324724.09,46542
2025/07/23,6.95,7.07,6.8,6.94,6.95,-0.72,-0.05,181768.95,26101
2025/07/22,6.96,7.07,6.9,6.95,6.96,-0.29,-0.02,165252.23,23774
2025/07/21,6.99,7.08,6.91,6.96,6.99,0.14,0.01,160187.77,23018
2025/07/20,7.15,7.15,6.91,6.99,7.15,-3.36,-0.24,243594.13,34790
