«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,9.01,9.14,8.98,9.02,9.01,0.89,0.08,1.1287858E7,1253043
2026/01/12,9.33,9.35,9.0,9.01,9.33,-2.57,-0.24,1.6559581E7,1811912
2026/01/11,9.27,9.35,9.17,9.33,9.27,0.86,0.08,3046965.0,327722
2026/01/08,9.27,9.4,9.16,9.27,9.27,0.11,0.01,1.7531652E7,1876622
2026/01/06,8.87,9.3,8.91,9.27,8.87,4.51,0.4,8045572.0,873320
2026/01/05,9.15,9.34,8.86,8.87,9.15,-3.06,-0.28,1.884318E7,2108517
2026/01/04,9.4,9.45,9.12,9.15,9.4,-2.66,-0.25,2975959.25,322579
2025/12/31,9.17,9.5,9.13,9.4,9.17,2.51,0.23,8195577.0,877265
2025/12/30,9.3,9.4,9.17,9.17,9.3,-1.4,-0.13,2.3844636E7,2577408
2025/12/29,9.5,9.59,9.25,9.3,9.5,-2.11,-0.2,1.3508787E7,1429651
2025/12/28,9.43,9.54,9.44,9.5,9.43,0.42,0.04,1.036405E7,1091389
2025/12/25,9.55,9.64,8.69,9.43,9.55,-1.26,-0.12,1.68596544E8,18695981
2025/12/24,9.74,9.85,9.5,9.55,9.74,-1.95,-0.19,7867129.0,815012
2025/12/23,9.57,9.75,9.52,9.74,9.57,1.88,0.18,1626144.75,168189
2025/12/22,9.8,9.88,9.55,9.57,9.8,-2.24,-0.22,4.5240772E7,4683716
2025/12/21,9.53,9.81,9.47,9.8,9.53,2.83,0.27,7043653.0,726621
2025/12/18,9.6,9.75,9.47,9.53,9.6,-0.73,-0.07,7.44444E7,7809742
2025/12/17,9.75,9.75,9.6,9.6,9.75,-1.54,-0.15,9139020.0,942300
2025/12/16,9.83,9.92,9.6,9.75,9.83,-0.81,-0.08,1.5599601E7,1603301
2025/12/15,9.81,9.95,9.75,9.83,9.81,0.2,0.02,6511658.0,659055
2025/12/14,9.99,10.1,9.7,9.81,9.99,-1.8,-0.18,4991077.0,507267
2025/12/11,10.05,10.1,9.85,9.99,10.05,-0.6,-0.06,9.72968E7,9732577
2025/12/10,9.61,10.13,9.62,10.05,9.61,4.58,0.44,1.9347978E7,1938595
2025/12/09,9.9,10.0,9.56,9.61,9.9,-2.93,-0.29,6296886.0,651367
2025/12/08,9.49,9.99,9.45,9.9,9.49,4.32,0.41,2.5210162E7,2593096
2025/12/07,9.41,9.62,9.35,9.49,9.41,0.85,0.08,3834592.0,403591
2025/12/04,9.53,9.79,9.35,9.41,9.53,-1.26,-0.12,1.1603537E7,1222425
2025/12/03,9.85,9.94,9.5,9.53,9.85,-3.25,-0.32,3.6438252E7,3809329
2025/12/02,9.19,9.85,9.14,9.85,9.19,7.18,0.66,1.1833805E7,1233501
2025/12/01,9.16,9.7,9.15,9.19,9.16,0.44,0.04,2.0990282E7,2240963
2025/11/30,9.0,9.29,8.91,9.16,9.0,1.78,0.16,1.5408804E7,1683613
2025/11/27,8.92,9.03,8.9,9.0,8.92,0.9,0.08,4981547.0,553923
2025/11/26,8.76,9.05,8.8,8.92,8.76,2.74,0.24,7682983.0,856204
2025/11/25,9.0,9.04,8.7,8.76,9.0,-2.67,-0.24,8240635.5,930580
2025/11/24,8.94,9.1,8.94,9.0,8.94,0.67,0.06,1.7346028E7,1924882
2025/11/23,9.08,9.19,8.87,8.94,9.08,-1.54,-0.14,6443449.0,716866
2025/11/20,8.94,9.1,8.8,9.08,8.94,1.57,0.14,8064991.0,902044
2025/11/19,8.9,9.0,8.75,8.94,8.9,0.45,0.04,6049289.5,683903
2025/11/18,9.19,9.3,8.85,8.9,9.19,-3.16,-0.29,8652556.0,964311
2025/11/17,9.02,9.29,8.8,9.19,9.02,1.88,0.17,1.1118736E7,1223887
2025/11/16,8.89,9.49,8.71,9.02,8.89,1.46,0.13,3.8415668E7,4229355
2025/11/13,8.61,8.89,8.5,8.89,8.61,3.25,0.28,7210970.0,835292
2025/11/12,8.53,8.83,8.55,8.61,8.53,0.82,0.07,8467734.0,981265
2025/11/11,8.85,8.9,8.5,8.53,8.85,-3.62,-0.32,9962258.0,1141786
2025/11/10,8.8,8.9,8.7,8.85,8.8,0.57,0.05,2.492838E7,2809742
2025/11/09,8.48,8.87,8.41,8.8,8.48,3.77,0.32,1.1526242E7,1325937
2025/11/06,8.55,8.8,8.44,8.48,8.55,-0.82,-0.07,1.3249163E7,1539768
2025/11/05,8.8,8.95,8.5,8.55,8.8,-2.84,-0.25,1.1291005E7,1296623
2025/11/04,8.27,8.96,8.2,8.8,8.27,6.41,0.53,7.5529064E7,8752507
2025/11/03,8.23,8.38,8.12,8.27,8.23,0.49,0.04,5744129.0,696284
2025/11/02,8.45,8.5,8.2,8.23,8.45,-2.6,-0.22,5066102.5,607874
2025/10/30,8.3,8.45,8.2,8.45,8.3,1.81,0.15,1.2582285E7,1520127
2025/10/29,8.25,8.48,8.22,8.3,8.25,0.61,0.05,8382297.5,1006890
2025/10/28,8.34,8.64,8.22,8.25,8.34,-1.08,-0.09,2095276.88,252618
2025/10/27,8.38,8.5,8.22,8.34,8.38,-0.48,-0.04,5860244.0,704003
2025/10/26,8.49,8.7,8.3,8.38,8.49,-1.3,-0.11,3.2538356E7,3804985
2025/10/23,8.45,8.59,8.32,8.49,8.45,0.47,0.04,8130306.5,959075
2025/10/22,8.17,8.6,8.01,8.45,8.17,3.43,0.28,3.2689408E7,3886927
2025/10/21,8.14,8.21,7.72,8.17,8.14,0.37,0.03,1.8465148E7,2280505
2025/10/20,7.75,8.24,7.76,8.14,7.75,5.03,0.39,6.5477256E7,8096197
2025/10/19,7.93,8.0,7.68,7.75,7.93,-2.27,-0.18,1.3169859E7,1676325
2025/10/16,7.92,7.98,7.86,7.93,7.92,0.13,0.01,2444302.0,308923
2025/10/15,7.95,8.05,7.86,7.92,7.95,-0.38,-0.03,1272741.75,160801
2025/10/14,7.96,8.19,7.91,7.95,7.96,-0.13,-0.01,1.5483371E7,1913795
2025/10/13,7.98,8.1,7.9,7.96,7.98,0.25,0.02,8902671.0,1114778
2025/10/12,8.0,8.05,7.75,7.98,8.0,-0.25,-0.02,6815332.5,860540
2025/10/08,7.99,8.17,7.99,8.0,7.99,0.13,0.01,1.685102E7,2090337
2025/10/07,7.95,8.17,7.79,7.99,7.95,0.5,0.04,2.038777E7,2547805
2025/10/06,7.64,7.95,7.6,7.95,7.64,4.06,0.31,3.3482916E7,4278282
2025/10/05,7.49,7.75,7.48,7.64,7.49,2.0,0.15,4.0267624E7,5290658
2025/10/02,7.5,7.67,7.39,7.49,7.5,-0.13,-0.01,3083269.5,412989
2025/10/01,7.62,7.73,7.5,7.5,7.62,-1.57,-0.12,3260586.5,432540
2025/09/30,7.75,7.76,7.61,7.62,7.75,-1.29,-0.1,8268832.5,1078103
2025/09/29,7.5,7.75,7.44,7.75,7.5,3.33,0.25,1.0042179E7,1310869
