«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,4.25,4.28,4.11,4.15,4.25,-2.353,-0.1,702073.438,167545
2026/01/12,4.22,4.35,4.11,4.25,4.22,0.711,0.03,2710848.5,642741
2026/01/11,4.35,4.35,4.16,4.22,4.35,-2.989,-0.13,249226.359,58845
2026/01/08,4.21,4.38,4.06,4.35,4.21,3.325,0.14,1940967.625,456449
2026/01/06,4.11,4.26,3.98,4.21,4.11,3.65,0.15,1130851.625,276984
2026/01/05,4.27,4.31,4.09,4.11,4.27,-3.747,-0.16,734990.375,177421
2026/01/04,4.26,4.34,4.2,4.27,4.26,1.408,0.06,1982905.5,468489
2025/12/31,4.39,4.43,4.2,4.26,4.39,-4.328,-0.19,836143.375,194611
2025/12/30,4.48,4.54,4.32,4.39,4.48,-2.679,-0.12,704678.75,159438
2025/12/29,4.26,4.49,4.15,4.48,4.26,5.399,0.23,4061543.5,927089
2025/12/28,4.28,4.5,4.15,4.26,4.28,-1.168,-0.05,4670516.5,1103268
2025/12/25,4.38,4.39,4.25,4.28,4.38,-2.283,-0.1,402763.906,94273
2025/12/24,4.2,4.4,4.14,4.38,4.2,4.286,0.18,1452144.125,342089
2025/12/23,4.21,4.3,4.06,4.2,4.21,1.425,0.06,1833906.375,441035
2025/12/22,4.41,4.69,4.16,4.21,4.41,-3.628,-0.16,3038631.0,711621
2025/12/21,4.02,4.42,3.94,4.41,4.02,9.701,0.39,8622166.0,2003541
2025/12/18,4.05,4.3,3.85,4.02,4.05,0.988,0.04,2409646.25,581299
2025/12/17,4.2,4.3,3.81,4.05,4.2,-2.857,-0.12,5264295.5,1325478
2025/12/16,4.16,4.47,3.9,4.2,4.16,0.962,0.04,3637074.0,861351
2025/12/15,3.79,4.16,3.6,4.16,3.79,9.763,0.37,6345911.0,1561635
2025/12/14,3.57,3.82,3.31,3.79,3.57,3.641,0.13,5297871.0,1540462
2025/12/11,3.3,3.63,3.25,3.57,3.3,7.879,0.26,2827999.0,792538
2025/12/10,3.0,3.3,2.92,3.3,3.0,10.0,0.3,4673714.5,1446209
2025/12/09,3.08,3.1,2.8,3.0,3.08,-2.597,-0.08,1813591.75,617566
2025/12/08,2.91,3.2,2.8,3.08,2.91,5.842,0.17,2012432.75,672669
2025/12/07,2.65,2.91,2.59,2.91,2.65,9.811,0.26,4892983.0,1708566
2025/12/04,2.68,2.73,2.58,2.65,2.68,1.119,0.03,384111.844,145891
2025/12/03,2.54,2.7,2.5,2.68,2.54,6.299,0.16,1071188.25,413616
2025/12/02,2.62,2.7,2.51,2.54,2.62,-0.763,-0.02,786212.5,298430
2025/12/01,2.77,2.88,2.6,2.62,2.77,-5.415,-0.15,1397701.875,523737
2025/11/30,2.84,2.97,2.7,2.77,2.84,-2.465,-0.07,1449196.375,519825
2025/11/27,2.59,2.84,2.54,2.84,2.59,9.653,0.25,3921080.75,1392242
2025/11/26,2.74,2.76,2.52,2.59,2.74,-8.029,-0.22,675956.438,257725
2025/11/25,2.63,2.8,2.38,2.74,2.63,4.943,0.13,2711430.5,1032883
2025/11/24,2.6,2.83,2.45,2.63,2.6,6.538,0.17,4560459.0,1702889
2025/11/23,2.37,2.6,2.6,2.6,2.37,9.705,0.23,925397.188,355922
2025/11/20,2.16,2.37,2.37,2.37,2.16,9.722,0.21,1588016.125,670049
