«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.681,0.684,0.674,0.674,0.681,-1.028,-0.007,66056.914,97549
2026/01/12,0.68,0.684,0.676,0.681,0.68,0.147,0.001,36999.938,54426
2026/01/11,0.685,0.685,0.67,0.68,0.685,-0.73,-0.005,465307.156,688764
2026/01/08,0.693,0.693,0.674,0.685,0.693,-1.154,-0.008,594313.188,869524
2026/01/06,0.695,0.696,0.691,0.693,0.695,-0.288,-0.002,194053.969,280004
2026/01/05,0.697,0.697,0.693,0.695,0.697,-0.287,-0.002,80758.578,116292
2026/01/04,0.699,0.7,0.696,0.697,0.699,-0.286,-0.002,41555.063,59603
2025/12/31,0.703,0.705,0.695,0.699,0.703,-0.569,-0.004,218912.297,313265
2025/12/30,0.704,0.706,0.703,0.703,0.704,-0.142,-0.001,79177.922,112454
2025/12/29,0.706,0.708,0.704,0.704,0.706,-0.283,-0.002,136206.109,193136
2025/12/28,0.705,0.71,0.705,0.706,0.705,0.142,0.001,205674.25,290276
2025/12/25,0.687,0.709,0.686,0.705,0.687,2.62,0.018,640653.063,913172
2025/12/24,0.686,0.694,0.686,0.687,0.686,0.146,0.001,215348.203,312534
