«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,23.68,23.85,23.23,23.25,23.68,-1.82,-0.43,3.8761708E7,1643005
2026/01/12,23.85,24.27,23.67,23.68,23.85,-0.71,-0.17,1.14566384E8,4784191
2026/01/11,23.7,23.92,23.7,23.85,23.7,0.63,0.15,1.6447958E7,689654
2026/01/08,23.64,23.9,23.65,23.7,23.64,0.25,0.06,2.6423456E7,1111070
2026/01/06,23.66,23.82,23.53,23.64,23.66,-0.08,-0.02,3.3288E7,1408248
2026/01/05,24.1,24.2,23.65,23.66,24.1,-1.83,-0.44,3.6381652E7,1523873
2026/01/04,24.22,24.45,24.08,24.1,24.22,-0.5,-0.12,1.4560041E7,601802
2025/12/31,24.07,24.36,24.07,24.22,24.07,0.62,0.15,3.4856152E7,1439750
2025/12/30,24.2,24.26,24.07,24.07,24.2,-0.54,-0.13,1.6275069E7,674110
2025/12/29,24.26,24.3,24.17,24.2,24.26,-0.25,-0.06,1.6012922E7,661564
2025/12/28,24.29,24.43,24.22,24.26,24.29,-0.12,-0.03,1.0978653E7,452079
2025/12/25,24.15,24.32,24.16,24.29,24.15,0.58,0.14,1.4725599E7,606787
2025/12/24,24.18,24.34,24.14,24.15,24.18,-0.12,-0.03,2.1709276E7,895860
2025/12/23,24.36,24.44,24.13,24.18,24.36,-0.74,-0.18,3.1177996E7,1283856
2025/12/22,24.41,24.54,24.35,24.36,24.41,-0.2,-0.05,1.6015008E7,655570
2025/12/21,24.5,24.62,24.4,24.41,24.5,-0.37,-0.09,1.0258904E7,418748
2025/12/18,24.43,24.68,24.45,24.5,24.43,0.29,0.07,5.0578604E7,2061663
2025/12/17,24.7,24.8,24.43,24.43,24.7,-1.09,-0.27,2.2954322E7,934519
