«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2021/07/14,155.77,149.9,101.01,119.09,155.77,-21.68,-33.77,37514.82,315
2021/07/12,155.77,165.0,164.99,155.77,155.77,5.92,9.22,989.95,6
2021/07/07,155.77,164.99,144.0,155.77,155.77,5.92,9.22,1607.92,10
2021/07/05,155.77,144.0,144.0,155.77,155.77,-7.56,-11.77,14112.0,98
2021/06/30,155.77,144.44,144.44,155.77,155.77,-7.27,-11.33,144.44,1
2021/06/21,155.77,164.88,164.88,155.77,155.77,5.85,9.11,164.88,1
2021/06/16,155.77,127.0,125.0,155.77,155.77,-19.75,-30.77,6030.3,48
2021/06/14,155.77,135.01,135.01,155.77,155.77,-13.33,-20.76,2025.15,15
2021/06/09,155.77,140.01,140.0,155.77,155.77,-10.12,-15.77,6160.1,44
2021/06/02,160.74,157.9,105.02,155.77,160.74,-1.77,-2.84,120251.54,772
2021/05/26,160.74,160.0,100.07,160.74,160.74,-12.87,-20.69,10679.85,68
2021/05/24,164.71,163.48,155.53,160.74,164.71,-0.75,-1.23,63009.48,392
2021/05/17,164.71,165.0,102.01,164.71,164.71,0.18,0.29,5451.31,46
2021/05/10,139.69,168.0,151.0,164.71,139.69,20.27,28.31,98825.92,600
2021/04/12,139.69,158.96,158.96,139.69,139.69,13.79,19.27,3179.2,20
2021/04/07,139.69,156.92,156.92,139.69,139.69,12.33,17.23,3138.4,20
2021/04/05,154.31,156.98,120.1,139.69,154.31,1.73,2.67,31290.84,224
2021/03/31,137.69,159.97,144.55,154.31,137.69,14.02,19.31,243660.31,1579
2021/03/29,121.13,142.0,133.33,137.69,121.13,13.93,16.87,27261.65,198
2021/03/22,121.13,140.0,135.0,121.13,121.13,15.58,18.87,6950.0,50
2021/03/17,121.13,120.01,120.0,121.13,121.13,-0.93,-1.13,6480.3,54
2021/03/15,146.67,121.16,121.11,121.13,146.67,-17.43,-25.56,78732.05,650
2021/03/10,136.18,155.0,140.0,146.67,136.18,9.39,12.79,49282.0,336
2021/03/08,143.51,144.0,125.0,136.18,143.51,-12.9,-18.51,34725.0,255
2021/03/03,150.0,144.44,140.0,143.51,150.0,-6.67,-10.0,27266.0,190
2021/02/24,140.76,150.0,150.0,150.0,140.76,6.56,9.24,24150.0,161
2021/02/22,140.76,150.0,140.0,140.76,140.76,-0.54,-0.76,12740.0,90
2021/02/17,162.98,170.0,121.5,140.76,162.98,-24.41,-39.78,34766.84,247
2021/02/15,173.24,163.96,162.0,162.98,173.24,-5.36,-9.28,65190.19,400
2021/02/10,161.96,173.7,173.0,173.24,161.96,7.25,11.74,43309.8,250
2021/02/08,148.64,167.9,149.89,161.96,148.64,12.25,18.21,332008.5,2050
2021/02/03,128.42,165.0,140.0,148.64,128.42,27.71,35.58,169454.92,1140
2021/02/01,130.0,149.99,125.0,128.42,130.0,15.31,19.9,293310.13,2284
2021/01/25,129.98,130.0,129.99,130.0,129.98,0.02,0.02,20669.9,159
2021/01/18,129.98,130.0,130.0,129.98,129.98,0.02,0.02,3900.0,30
2021/01/13,131.31,129.99,129.9,129.98,131.31,-1.01,-1.32,38993.31,300
2021/01/11,133.21,133.2,124.99,131.31,133.21,-0.01,-0.01,270623.63,2061
2021/01/06,133.21,110.52,110.52,133.21,133.21,-17.03,-22.69,552.6,5
2021/01/04,133.21,125.0,125.0,133.21,133.21,-6.16,-8.21,6250.0,50
2020/12/30,133.21,108.0,108.0,133.21,133.21,-18.93,-25.21,4752.0,44
2020/12/28,133.21,130.0,130.0,133.21,133.21,-2.41,-3.21,6500.0,50
2020/12/23,121.39,135.0,130.0,133.21,121.39,11.21,13.61,99105.0,744
2020/12/21,140.21,128.23,102.0,121.39,140.21,-13.42,-18.82,270810.06,2231
2020/12/16,140.21,140.0,140.0,140.21,140.21,-0.15,-0.21,1400.0,10
2020/12/14,135.01,149.99,135.0,140.21,135.01,11.1,14.98,96607.65,689
2020/12/07,135.01,127.5,127.5,135.01,135.01,-5.56,-7.51,3187.5,25
2020/12/02,135.01,140.0,140.0,135.01,135.01,3.7,4.99,7000.0,50
2020/11/25,137.32,135.01,135.0,135.01,137.32,-1.68,-2.31,54002.1,400
2020/11/04,137.32,133.0,133.0,137.32,137.32,-3.15,-4.32,2660.0,20
2020/11/02,137.32,144.75,144.5,137.32,137.32,5.41,7.43,3613.25,25
2020/10/28,153.09,146.48,135.5,137.32,153.09,-4.32,-6.61,27326.58,199
2020/10/21,153.09,149.0,149.0,153.09,153.09,-2.67,-4.09,4321.0,29
2020/10/19,153.09,150.0,150.0,153.09,153.09,-2.02,-3.09,4500.0,30
2020/10/14,153.09,150.01,150.0,153.09,153.09,-2.01,-3.08,12600.34,84
2020/10/12,153.09,164.9,164.9,153.09,153.09,7.71,11.81,1649.0,10
2020/10/07,153.09,168.99,168.99,153.09,153.09,0.0,0.0,1689.9,10
2020/10/05,150.36,179.49,150.0,153.09,150.36,1.82,2.73,49754.6,325
2020/09/30,150.36,150.37,150.0,150.36,150.36,-0.24,-0.36,9913.32,66
2020/09/28,127.05,158.9,140.0,150.36,127.05,20.43,25.95,121640.33,809
2020/09/23,151.45,146.99,125.0,127.05,151.45,-2.94,-4.46,134927.66,1062
2020/09/21,151.45,163.0,163.0,151.45,151.45,7.63,11.55,4075.0,25
2020/09/16,139.01,179.0,143.01,151.45,139.01,20.85,28.99,33168.4,219
2020/09/14,180.7,160.01,135.0,139.01,180.7,-23.63,-42.7,232280.09,1671
2020/09/07,180.7,200.0,185.0,180.7,180.7,2.38,4.3,14875.6,80
2020/09/02,175.0,200.0,180.0,180.7,175.0,8.57,15.0,394640.09,2184
2020/08/31,175.0,175.0,175.0,175.0,175.0,0.0,0.0,7175.0,41
2020/08/24,174.93,175.0,175.0,175.0,174.93,0.04,0.07,22575.0,129
2020/08/17,160.0,189.0,170.0,174.93,160.0,9.38,15.0,25365.0,145
2020/08/05,160.0,154.2,154.2,160.0,160.0,-3.63,-5.8,154.2,1
2020/07/29,147.16,160.0,160.0,160.0,147.16,8.73,12.84,18880.0,118
2020/07/27,147.16,150.0,150.0,147.16,147.16,1.93,2.84,8850.0,59
2020/07/15,161.5,150.0,142.0,147.16,161.5,-12.07,-19.5,16188.0,110
