«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,28.0,39.99,39.99,28.0,28.0,42.82,11.99,39.99,1
2026/01/05,33.0,40.0,28.0,28.0,33.0,-15.15,-5.0,11388.4,392
2025/12/31,27.06,33.1,33.0,33.0,27.06,21.950001,5.94,63063.3,1911
2025/12/29,33.0,33.0,27.06,27.06,33.0,-18.0,-5.94,3783.78,126
2025/12/24,32.0,33.0,33.0,33.0,32.0,3.13,1.0,5214.0,158
2025/12/22,27.51,33.0,32.0,32.0,27.51,16.32,4.49,3427.0,107
2025/12/17,27.04,27.51,27.51,27.04,27.04,1.74,0.47,137.55,5
2025/12/10,27.01,33.0,27.04,27.01,27.01,0.11,0.03,386.04,12
2025/12/08,33.0,27.01,27.01,33.0,33.0,-18.15,-5.99,162.06,6
2025/12/03,27.0,33.0,32.0,33.0,27.0,22.219999,6.0,9354.0,288
2025/12/01,33.0,35.0,27.0,33.0,33.0,-18.18,-6.0,259.0,9
2025/11/26,27.0,33.0,32.99,27.0,27.0,22.219999,6.0,2903.39,88
2025/11/24,33.0,33.0,26.4,27.0,33.0,-18.18,-6.0,12425.1,403
2025/11/19,21.51,33.0,33.0,21.51,21.51,53.419998,11.49,33.0,1
2025/11/17,33.0,33.0,20.0,21.51,33.0,-34.82,-11.49,6132.72,238
2025/11/12,31.2,33.0,31.51,33.0,31.2,5.77,1.8,19435.73,590
2025/11/10,31.2,31.2,31.2,31.2,31.2,0.0,0.0,12386.4,397
2025/11/05,31.2,31.2,31.2,31.2,31.2,0.0,0.0,936.0,30
2025/11/03,31.0,33.0,31.2,31.0,31.0,0.65,0.2,2497.8,80
2025/10/27,30.0,33.0,30.0,31.0,30.0,3.33,1.0,4998.0,166
2025/10/22,32.0,33.0,30.0,30.0,32.0,-6.25,-2.0,13503.9,425
2025/10/20,33.0,33.0,32.0,33.0,33.0,-3.03,-1.0,1062.0,33
2025/10/15,31.0,33.0,31.0,33.0,31.0,6.45,2.0,3793.0,121
2025/10/13,30.11,35.0,30.11,31.0,30.11,2.96,0.89,7466.44,246
2025/10/08,30.01,32.0,30.11,30.01,30.01,0.33,0.1,1545.98,50
2025/10/06,30.01,37.0,30.01,30.01,30.01,0.0,0.0,1057.46,31
2025/10/01,35.0,37.0,30.0,30.01,35.0,-14.26,-4.99,3579.08,101
2025/09/29,37.0,35.0,35.0,37.0,37.0,-5.41,-2.0,910.0,26
2025/09/24,37.0,37.0,37.0,37.0,37.0,0.0,0.0,555.0,15
2025/09/22,37.0,40.0,29.85,37.0,37.0,0.0,0.0,20243.74,570
2025/09/17,39.0,38.0,37.0,39.0,39.0,-5.13,-2.0,2595.0,70
2025/09/15,40.48,40.48,31.22,39.0,40.48,-3.66,-1.48,9512.41,244
2025/09/10,34.0,40.9,40.48,34.0,34.0,19.059999,6.48,693.2,17
2025/09/08,34.0,42.98,34.0,34.0,34.0,0.0,0.0,14221.24,382
2025/09/03,31.02,38.6,31.03,34.0,31.02,9.61,2.98,4701.15,139
2025/09/01,49.99,49.99,31.02,31.02,49.99,-37.950001,-18.969999,12682.5,302
2025/08/27,40.0,49.99,40.0,40.0,40.0,24.98,9.99,849.99,21
2025/08/25,18.01,44.99,40.0,40.0,18.01,122.099998,21.99,21908.01,528
2025/08/20,43.04,43.05,18.01,18.01,43.04,-58.16,-25.030001,57294.06,1821
2025/08/18,43.02,43.04,43.04,43.04,43.02,0.05,0.02,4347.04,101
2025/08/13,43.0,43.02,43.0,43.0,43.0,0.05,0.02,1892.8,44
2025/08/11,45.0,45.0,40.06,45.0,45.0,-4.44,-2.0,1766.14,41
2025/08/06,45.0,48.0,45.0,45.0,45.0,0.0,0.0,411.0,9
2025/08/04,45.0,45.0,43.9,45.0,45.0,0.0,0.0,2469.5,55
2025/07/30,50.0,50.0,40.05,45.0,50.0,0.0,-5.0,9204.2,205
2025/07/28,50.0,50.0,50.0,50.0,50.0,0.0,0.0,19700.0,394
2025/07/23,50.0,50.0,50.0,50.0,50.0,0.0,0.0,2950.0,59
2025/07/21,50.0,51.0,50.0,50.0,50.0,0.0,0.0,5879.0,116
2025/07/16,50.0,50.0,50.0,50.0,50.0,0.0,0.0,3000.0,60
2025/07/14,60.0,50.0,46.0,50.0,60.0,-16.67,-10.0,14009.0,299
2025/07/07,46.0,55.0,53.3,46.0,46.0,19.57,9.0,1091.5,20
2025/07/02,58.99,59.0,46.0,46.0,58.99,-22.02,-12.99,10234.3,197
2025/06/30,55.0,59.0,55.0,58.99,55.0,7.25,3.99,11648.49,202
2025/06/25,55.5,55.5,54.99,55.5,55.5,-0.9,-0.5,4675.99,85
2025/06/23,45.8,55.5,45.5,55.5,45.8,21.18,9.7,14282.49,282
2025/06/18,42.05,46.0,45.8,42.05,42.05,8.92,3.75,1331.36,29
2025/06/16,55.5,53.55,42.05,42.05,55.5,-24.23,-13.45,5568.54,122
2025/06/11,49.35,55.5,49.5,49.35,49.35,12.46,6.15,3318.5,66
2025/06/04,49.06,50.0,49.0,49.35,49.06,0.59,0.29,5550.5,113
2025/06/02,49.0,49.06,49.0,49.06,49.0,0.12,0.06,10536.8,215
2025/05/28,50.0,52.5,49.0,50.0,50.0,-2.0,-1.0,1492.5,30
2025/05/26,60.0,50.0,23.1,50.0,60.0,-16.67,-10.0,12808.5,320
2025/05/21,60.0,60.0,60.0,60.0,60.0,0.0,0.0,3000.0,50
2025/05/19,58.7,60.0,41.0,60.0,58.7,2.21,1.3,31405.6,659
2025/05/14,60.0,60.0,58.7,58.7,60.0,-2.17,-1.3,9954.8,166
2025/05/07,60.0,61.0,60.0,60.0,60.0,0.0,0.0,23174.0,380
2025/05/05,65.0,65.0,60.0,60.0,65.0,-7.69,-5.0,13772.0,222
2025/04/30,75.08,77.0,60.0,65.0,75.08,-13.43,-10.08,126848.76,2031
2025/04/28,59.38,75.08,62.0,75.08,59.38,26.44,15.7,2810.01,39
2025/04/23,86.0,89.9,6.25,59.38,86.0,-30.95,-26.62,173260.91,4246
2025/04/16,85.2,86.0,85.2,86.0,85.2,0.94,0.8,17393.9,204
2025/04/14,85.0,88.9,85.0,85.2,85.0,0.24,0.2,15422.8,180
2025/04/09,75.5,93.0,80.0,85.0,75.5,12.58,9.5,32119.0,378
2025/04/07,70.02,89.98,61.0,75.5,70.02,7.83,5.48,25982.3,349
2025/03/26,82.0,94.0,70.02,82.0,82.0,-14.61,-11.98,3120.6,41
2025/03/24,99.9,99.9,42.26,82.0,99.9,-17.92,-17.9,6708.35,100
2025/03/19,41.0,100.0,54.99,99.9,41.0,143.660004,58.900002,14513.83,193
2025/03/17,55.0,55.0,31.02,41.0,55.0,-25.450001,-14.0,20683.24,479
2025/03/12,50.0,55.0,30.0,55.0,50.0,10.0,5.0,17536.83,394
2025/03/10,39.5,50.0,39.5,50.0,39.5,26.58,10.5,50702.65,1131
2025/03/05,30.6,41.5,39.5,39.5,30.6,29.08,8.9,8997.5,222
2025/03/03,30.0,51.0,30.0,30.6,30.0,2.0,0.6,45515.26,1425
2025/02/26,45.58,51.13,30.0,30.0,45.58,-34.18,-15.58,41850.13,1266
2025/02/24,27.77,51.0,27.77,45.58,27.77,64.129997,17.809999,17014.3,389
2025/02/19,33.0,33.27,16.0,27.77,33.0,-15.85,-5.23,105952.69,3291
2025/02/17,22.3,33.0,11.67,33.0,22.3,47.98,10.7,45627.3,2193
2025/02/12,11.67,300.0,11.67,22.3,11.67,91.089996,10.63,55464.2,3770
2025/02/10,13.2,13.5,11.6,11.67,13.2,-11.59,-1.53,2415.57,187
2025/02/05,13.2,13.2,13.2,13.2,13.2,0.0,0.0,501.6,38
2025/02/03,13.08,14.8,12.5,13.2,13.08,0.92,0.12,4220.27,316
2025/01/29,14.2,14.2,13.08,14.2,14.2,-7.89,-1.12,133.04,10
2025/01/27,16.8,16.0,12.5,14.2,16.8,-15.48,-2.6,12610.94,973
2025/01/22,13.99,23.0,15.0,16.8,13.99,20.09,2.81,9290.04,515
2025/01/20,17.01,17.1,12.01,17.01,17.01,-17.75,-3.02,723.97,47
2025/01/15,11.6,17.01,12.99,17.01,11.6,46.639999,5.41,5518.93,374
2025/01/13,19.7,18.2,11.2,11.6,19.7,-41.119999,-8.1,14214.2,1145
2025/01/08,10.5,20.5,12.5,19.7,10.5,87.620003,9.2,2712.59,207
2025/01/06,12.0,13.37,10.5,10.5,12.0,-12.5,-1.5,3115.11,287
2024/12/30,24.0,15.0,10.0,12.0,24.0,-50.0,-12.0,4870.05,389
2024/12/25,9.0,24.0,24.0,9.0,9.0,166.669998,15.0,216.0,9
2024/12/23,24.0,24.0,9.0,9.0,24.0,-62.5,-15.0,38329.71,3729
2024/12/18,24.0,24.0,24.0,24.0,24.0,0.0,0.0,1608.0,67
2024/12/16,9.0,24.0,11.0,24.0,9.0,166.669998,15.0,2590.0,169
2024/12/09,6.0,9.0,6.5,9.0,6.0,50.0,3.0,24912.0,3653
2024/12/02,6.5,6.0,6.0,6.0,6.5,-7.69,-0.5,648.0,108
2024/11/27,7.5,7.5,6.5,7.5,7.5,-13.33,-1.0,191.0,27
2024/11/25,8.0,7.5,7.5,8.0,8.0,-6.25,-0.5,75.0,10
2024/11/20,8.0,8.0,8.0,8.0,8.0,0.0,0.0,392.0,49
2024/11/18,8.01,8.0,8.0,8.01,8.01,-0.12,-0.01,224.0,28
2024/11/11,8.01,8.01,8.01,8.01,8.01,0.0,0.0,80.1,10
2024/11/06,8.0,10.0,8.01,8.0,8.0,0.13,0.01,252.7,31
2024/10/28,8.0,8.0,8.0,8.0,8.0,0.0,0.0,16.0,2
2024/10/23,8.0,8.0,8.0,8.0,8.0,0.0,0.0,4272.0,534
2024/09/25,8.0,8.0,8.0,8.0,8.0,0.0,0.0,48.0,6
2024/09/23,8.0,8.0,8.0,8.0,8.0,0.0,0.0,512.0,64
2024/09/18,7.7,8.0,8.0,8.0,7.7,3.9,0.3,1200.0,150
2024/05/27,7.71,7.7,7.7,7.71,7.71,-0.13,-0.01,30.8,4
2024/05/22,8.0,7.71,7.71,8.0,8.0,-3.62,-0.29,7.71,1
2024/04/01,3.91,8.0,8.0,3.91,3.91,104.599998,4.09,8.0,1
2024/03/06,3.91,3.91,3.91,3.91,3.91,0.0,0.0,39.099998,10
2024/02/28,3.91,100.0,3.91,3.91,3.91,0.0,0.0,19208.869141,4667
2023/10/23,3.91,3.91,3.91,3.91,3.91,0.0,0.0,13685.0,3500
2023/10/04,3.91,3.91,3.91,3.91,3.91,0.0,0.0,5474.0,1400
2020/12/02,3.8,3.85,3.72,3.8,3.8,1.32,0.05,1752.25,471
2020/12/01,3.91,3.8,3.8,3.8,3.91,-2.81,-0.11,126665.398438,33333
2020/11/30,3.91,3.72,3.72,3.91,3.91,-4.86,-0.19,7.44,2
2020/11/29,3.91,3.8,3.8,3.91,3.91,-2.81,-0.11,7600.0,2000
2020/11/18,3.77,3.7,3.7,3.77,3.77,-1.86,-0.07,3237.5,875
2020/11/16,3.77,3.8,3.8,3.77,3.77,0.8,0.03,24498.599609,6447
2020/11/15,3.77,3.72,3.72,3.77,3.77,-1.33,-0.05,18228.0,4900
2020/11/12,3.77,3.89,3.89,3.77,3.77,3.18,0.12,4279.0,1100
2020/11/08,3.77,3.77,3.7,3.77,3.77,-1.86,-0.07,17580.589844,4667
2020/10/27,3.78,3.77,3.77,3.77,3.78,-0.26,-0.01,31856.5,8450
2020/10/22,3.78,3.79,3.79,3.78,3.78,0.26,0.01,12635.860352,3334
2020/10/21,3.78,3.79,3.79,3.78,3.78,0.26,0.01,6632.5,1750
2020/10/20,3.78,3.79,3.79,3.78,3.78,0.26,0.01,3790.0,1000
2020/10/19,3.78,3.79,3.79,3.78,3.78,0.26,0.01,3320.040039,876
2020/10/18,3.81,3.78,3.78,3.78,3.81,-0.79,-0.03,50961.960938,13482
2020/10/15,3.81,3.89,3.89,3.81,3.81,2.1,0.08,3.89,1
2020/10/14,3.81,3.81,3.77,3.81,3.81,-1.05,-0.04,42182.910156,11083
2020/10/13,3.78,3.81,3.8,3.81,3.78,0.79,0.03,51053.0,13400
2020/10/12,3.78,3.78,3.78,3.78,3.78,0.0,0.0,34012.441406,8998
2020/10/11,3.78,3.78,3.78,3.78,3.78,0.0,0.0,3825.360107,1012
2020/10/07,3.78,3.85,3.81,3.78,3.78,1.85,0.07,23408.609375,6081
2020/10/06,3.78,3.78,3.78,3.78,3.78,0.0,0.0,7560.0,2000
2020/10/04,3.78,3.85,3.85,3.78,3.78,1.85,0.07,3850.0,1000
2020/10/01,3.78,3.78,3.78,3.78,3.78,0.0,0.0,92610.0,24500
2020/09/30,3.78,3.77,3.77,3.78,3.78,-0.26,-0.01,22620.0,6000
2020/09/29,3.76,3.78,3.78,3.78,3.76,0.53,0.02,48599.460938,12857
2020/09/27,3.76,3.78,3.78,3.76,3.76,0.53,0.02,2993.76001,792
2020/09/24,3.76,3.76,3.76,3.76,3.76,0.0,0.0,61419.601563,16335
2020/09/23,3.76,3.9,3.9,3.76,3.76,3.72,0.14,117.0,30
2020/09/21,3.76,3.76,3.76,3.76,3.76,0.0,0.0,41672.078125,11083
2020/09/20,3.76,3.76,3.76,3.76,3.76,0.0,0.0,4651.120117,1237
2020/09/17,3.76,3.76,3.76,3.76,3.76,0.0,0.0,5264.0,1400
2020/09/16,3.76,3.76,3.76,3.76,3.76,0.0,0.0,53583.761719,14251
2020/09/13,3.76,3.76,3.76,3.76,3.76,0.0,0.0,21992.240234,5849
2020/09/10,3.59,3.76,3.76,3.76,3.59,4.74,0.17,33027.839844,8784
2020/09/09,3.42,3.59,3.59,3.59,3.42,4.97,0.17,46066.878906,12832
2020/09/08,3.42,3.59,3.59,3.42,3.42,4.97,0.17,12920.410156,3599
2020/09/07,3.42,3.5,3.5,3.42,3.42,2.34,0.08,28518.0,8148
2020/09/06,3.5,3.5,3.4,3.42,3.5,-2.86,-0.1,42350.0,12400
2020/09/03,3.5,3.5,3.5,3.5,3.5,0.0,0.0,80850.0,23100
2020/08/31,3.5,3.45,3.45,3.5,3.5,-1.43,-0.05,2877.300049,834
2020/08/30,3.5,3.5,3.5,3.5,3.5,0.0,0.0,13772.5,3935
2020/08/24,3.4,3.5,3.4,3.5,3.4,2.94,0.1,34649.800781,9900
2020/08/18,3.4,3.4,3.4,3.4,3.4,0.0,0.0,5100.0,1500
2020/08/17,3.4,3.4,3.4,3.4,3.4,0.0,0.0,2380.0,700
2020/08/12,3.5,3.4,3.4,3.4,3.5,-2.86,-0.1,36414.0,10710
2020/08/11,3.5,3.55,3.5,3.5,3.5,1.43,0.05,5304.0,1509
2020/08/09,3.5,3.55,3.55,3.5,3.5,1.43,0.05,3333.449951,939
2020/07/29,3.5,3.83,3.83,3.5,3.5,9.43,0.33,3638.5,950
2020/07/28,3.5,3.5,3.5,3.5,3.5,0.0,0.0,18896.5,5399
2020/07/21,3.5,3.5,3.5,3.5,3.5,0.0,0.0,72866.5,20819
2020/07/13,3.5,3.2,3.2,3.5,3.5,-8.57,-0.3,1920.0,600
2020/07/07,3.55,3.5,3.5,3.5,3.55,-1.41,-0.05,75806.5,21659
2020/07/06,3.55,3.5,3.5,3.55,3.55,-1.41,-0.05,3.5,1
2020/06/29,3.55,3.5,3.5,3.55,3.55,-1.41,-0.05,2394.0,684
2020/06/21,3.55,3.7,3.7,3.55,3.55,4.23,0.15,2220.0,600
2020/06/16,3.86,3.9,3.48,3.55,3.86,1.04,0.04,42600.0,12000
2020/06/02,3.86,3.88,3.86,3.86,3.86,0.0,0.0,33863.839844,8773
2020/06/01,3.87,3.86,3.86,3.86,3.87,-0.26,-0.01,94257.34375,24419
2020/05/31,3.85,3.9,3.86,3.87,3.85,0.26,0.01,148999.03125,38511
2020/05/21,3.84,3.85,3.84,3.85,3.84,0.26,0.01,46545.46875,12093
2020/05/20,3.83,3.84,3.81,3.84,3.83,0.26,0.01,408589.5,106439
2020/05/19,3.81,3.84,3.81,3.83,3.81,0.0,0.0,653632.375,170835
2020/05/18,3.82,3.81,3.81,3.81,3.82,-0.26,-0.01,79766.15625,20936
2020/05/17,3.77,3.83,3.8,3.82,3.77,1.06,0.04,1077000.625,281791
2020/05/14,3.81,3.79,3.75,3.77,3.81,-0.52,-0.02,436422.03125,115686
2020/05/13,3.72,3.85,3.77,3.81,3.72,2.15,0.08,749412.375,196624
2020/05/11,3.7,3.75,3.72,3.72,3.7,1.35,0.05,93060.0,25000
2020/05/10,3.71,3.7,3.7,3.7,3.71,-0.27,-0.01,148000.0,40000
2020/05/07,3.65,3.75,3.66,3.71,3.65,2.74,0.1,175342.0,47224
2020/05/06,3.7,3.75,3.65,3.65,3.7,1.35,0.05,9121483.0,2497918
2020/05/05,3.64,3.7,3.64,3.7,3.64,1.65,0.06,667566.1875,180635
2020/05/04,3.65,3.65,3.64,3.64,3.65,0.0,0.0,111050.84375,30481
2020/05/03,3.66,3.7,3.64,3.65,3.66,-0.55,-0.02,84297.382813,23096
2020/04/30,3.65,3.7,3.66,3.66,3.65,0.27,0.01,37151.0,10150
2020/04/29,3.61,3.75,3.62,3.65,3.61,0.55,0.02,288110.0,79000
2020/04/28,3.6,3.66,3.61,3.61,3.6,1.67,0.06,1575226.0,436100
2020/04/27,3.6,3.6,3.49,3.6,3.6,0.0,0.0,216146.578125,60042
2020/04/26,3.63,3.6,3.54,3.6,3.63,-0.83,-0.03,3222908.25,896016
2020/04/23,3.6,3.69,3.56,3.63,3.6,0.0,0.0,1394975.5,383900
