«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,478.6,480.0,473.0,478.6,478.6,-1.17,-5.6,193553.56,407
2026/01/12,478.6,484.0,476.54,478.6,478.6,-0.02,-0.1,163856.56,341
2026/01/11,478.6,483.99,476.1,478.6,478.6,0.89,4.27,132747.22,277
2026/01/08,478.6,482.98,475.51,478.6,478.6,0.71,3.4,81806.43,170
2026/01/06,478.6,484.0,475.45,478.6,478.6,-0.65,-3.09,165870.91,347
2026/01/05,480.6,484.0,475.01,478.6,480.6,0.71,3.4,446327.47,933
2026/01/04,479.81,483.0,474.0,480.6,479.81,0.25,1.19,388489.16,809
2025/12/31,481.91,484.98,471.74,479.81,481.91,0.23,1.09,758574.38,1582
2025/12/30,481.91,487.94,478.81,481.91,481.91,-0.4,-1.93,235717.94,491
2025/12/29,479.93,489.0,479.15,481.91,479.93,-0.09,-0.41,447888.0,928
2025/12/28,485.44,489.99,479.0,479.93,485.44,-1.14,-5.51,407287.41,847
2025/12/25,483.72,493.99,482.0,485.44,483.72,0.39,1.88,476353.41,982
2025/12/24,490.21,525.0,478.0,483.72,490.21,-0.17,-0.81,3036389.25,6142
2025/12/23,490.21,493.0,475.02,490.21,490.21,-1.06,-5.22,279121.06,579
2025/12/22,477.91,494.44,478.0,490.21,477.91,3.35,15.99,1193759.88,2455
2025/12/21,473.04,480.0,470.0,477.91,473.04,1.05,4.96,5260469.0,11055
2025/12/18,473.04,480.0,470.0,473.04,473.04,-0.62,-2.94,156929.69,332
2025/12/17,477.83,477.9,469.8,473.04,477.83,-1.68,-8.03,508322.97,1076
2025/12/16,477.83,480.0,470.15,477.83,477.83,-1.43,-6.83,131907.2,278
2025/12/15,482.27,494.0,470.0,477.83,482.27,0.13,0.63,661547.5,1392
2025/12/14,488.41,488.1,475.81,482.27,488.41,-1.52,-7.41,365178.13,757
2025/12/11,488.41,488.2,475.74,488.41,488.41,-0.88,-4.31,204692.7,423
2025/12/10,488.41,489.98,480.0,488.41,488.41,-1.52,-7.41,77147.97,159
2025/12/09,488.41,489.96,484.0,488.41,488.41,-0.63,-3.1,207593.88,427
2025/12/08,488.41,493.82,485.0,488.41,488.41,-0.69,-3.39,279055.09,572
2025/12/07,495.45,505.0,485.03,488.41,495.45,-1.34,-6.66,661687.88,1342
2025/12/04,489.34,510.0,475.56,495.45,489.34,1.97,9.66,1823557.63,3688
2025/12/03,487.26,493.0,474.0,489.34,487.26,1.18,5.74,840454.81,1735
2025/12/02,465.88,490.0,461.08,487.26,465.88,1.74,8.12,1911198.38,3992
2025/12/01,463.13,469.0,461.07,465.88,463.13,-0.24,-1.13,361178.47,775
2025/11/30,467.37,469.0,452.02,463.13,467.37,-0.29,-1.37,317373.31,685
2025/11/27,467.37,469.99,450.0,467.37,467.37,-0.94,-4.37,150599.58,324
2025/11/26,470.84,475.0,465.0,467.37,470.84,-0.18,-0.84,512472.16,1095
2025/11/25,471.51,473.0,470.0,470.84,471.51,-0.32,-1.51,311214.09,661
