«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,303.0,304.0,290.66,291.64,303.0,-3.75,-11.36,2133857.0,7174
2026/01/12,302.66,309.85,302.03,303.0,302.66,0.11,0.34,1490463.0,4901
2026/01/11,303.92,311.75,302.0,302.66,303.92,-0.41,-1.26,1012433.75,3337
2026/01/08,307.29,313.0,301.01,303.92,307.29,-1.1,-3.37,1802931.25,5884
2026/01/06,305.61,315.99,306.0,307.29,305.61,0.42,1.29,2256479.0,7263
2026/01/05,313.8,316.0,305.0,305.61,313.8,-2.8,-8.8,3779408.75,12240
2026/01/04,313.07,318.0,313.0,313.8,313.07,0.23,0.73,1126660.13,3582
2025/12/31,315.71,319.99,313.0,313.07,315.71,-0.84,-2.64,3077300.25,9770
2025/12/30,314.29,325.0,314.0,315.71,314.29,0.45,1.42,6627509.5,20793
2025/12/29,314.63,317.98,314.0,314.29,314.63,-0.11,-0.34,2630576.75,8355
2025/12/28,321.72,320.0,312.98,314.63,321.72,-2.2,-7.09,9732153.0,30760
2025/12/25,300.04,318.93,300.93,306.65,300.04,2.1,6.61,4.6201584E7,140949
2025/12/24,300.09,303.93,297.04,300.04,300.09,-0.05,-0.15,2667742.25,8443
2025/12/23,301.27,307.93,298.93,300.09,301.27,-0.37,-1.18,4252928.0,13471
2025/12/22,299.2,309.43,299.94,301.27,299.2,0.66,2.07,8010176.5,25128
2025/12/21,301.09,305.63,299.04,299.2,301.09,-0.6,-1.89,2053262.5,6513
2025/12/18,303.26,313.73,294.93,301.09,303.26,-0.68,-2.17,7738806.5,24325
2025/12/17,290.52,317.93,292.33,303.26,290.52,4.17,12.74,1.8998158E7,58707
2025/12/16,305.19,306.93,286.93,290.52,305.19,-4.58,-14.67,4885443.5,15592
2025/12/15,301.77,305.93,299.93,305.19,301.77,0.2,0.62,3296821.25,10369
2025/12/14,304.09,310.93,300.43,301.77,304.09,-0.36,-1.16,3904132.5,12236
2025/12/11,307.33,313.92,302.47,304.09,307.33,-1.0,-3.24,3181749.25,9889
2025/12/10,312.93,323.93,306.45,307.33,312.93,-1.79,-5.86,1.1813671E7,35663
2025/12/09,299.26,314.53,299.83,312.93,299.26,4.35,13.67,1.3956348E7,42998
2025/12/08,297.86,309.92,296.95,299.26,297.86,0.45,1.4,7271691.0,22877
2025/12/07,297.44,303.92,294.93,297.86,297.44,0.45,1.41,2185106.0,6941
2025/12/04,299.27,307.67,295.08,297.44,299.27,-0.58,-1.83,3506437.0,11126
2025/12/03,296.57,316.91,291.2,299.27,296.57,0.87,2.7,1.8472872E7,57523
2025/12/02,307.73,311.13,293.95,296.57,307.73,-3.46,-11.16,1.2583128E7,39741
2025/12/01,316.84,323.93,306.48,307.73,316.84,-2.74,-9.11,1.1484379E7,35061
2025/11/30,314.46,327.83,315.93,316.84,314.46,0.76,2.52,1.1789971E7,35012
2025/11/27,315.04,319.92,310.93,314.46,315.04,-0.18,-0.58,5814383.5,17658
2025/11/26,315.48,328.93,313.18,315.04,315.48,-0.13,-0.44,2.1179718E7,62911
2025/11/25,308.44,342.92,308.46,315.48,308.44,2.18,7.04,8.1695992E7,236924
2025/11/24,318.78,324.83,308.04,308.44,318.78,-3.1,-10.34,9877597.0,29894
2025/11/23,319.03,329.9,309.93,318.78,319.03,-0.07,-0.25,1.830657E7,54674
2025/11/20,324.98,329.93,312.94,319.03,324.98,-1.75,-5.95,2.1767694E7,65035
2025/11/19,296.18,335.93,299.93,324.98,296.18,9.25,28.799999,9.188032E7,269866
2025/11/18,310.08,316.93,296.18,296.18,310.08,-4.27,-13.9,3.9077116E7,121926
2025/11/17,267.92,320.82,268.25,310.08,267.92,14.9,42.16,1.46606128E8,461855
2025/11/16,277.35,283.82,264.93,267.92,277.35,-3.22,-9.43,1.746727E7,60403
2025/11/13,253.07,289.93,253.94,277.35,253.07,9.05,24.280001,9.8424968E7,336405
2025/11/12,256.0,261.88,252.96,253.07,256.0,-1.08,-2.93,7344482.5,27085
2025/11/11,258.93,263.93,255.93,256.0,258.93,-1.07,-2.93,9345996.0,34047
2025/11/10,251.43,269.93,253.93,258.93,251.43,2.81,7.5,2.461246E7,89200
2025/11/09,259.8,274.63,251.08,251.43,259.8,-3.05,-8.37,2.72929E7,98390
2025/11/06,248.83,269.93,252.18,259.8,248.83,4.16,10.97,2.1667086E7,78509
2025/11/05,239.92,279.93,240.93,248.83,239.92,3.49,8.91,4.0985308E7,148978
2025/11/04,252.09,261.93,237.93,239.92,252.09,-4.56,-12.17,1.6449223E7,62398
2025/11/03,259.49,294.93,238.43,252.09,259.49,-2.7,-7.4,1.16991872E8,399848
2025/11/02,213.73,259.49,210.43,259.49,213.73,20.0,45.759998,8.854716E7,346268
2025/10/30,208.59,220.73,206.93,213.73,208.59,2.3,5.14,1.0757701E7,46660
2025/10/29,208.0,213.91,207.04,208.59,208.0,0.26,0.59,1222583.5,5462
2025/10/28,208.04,215.93,206.93,208.0,208.04,-0.02,-0.04,3932123.5,17404
2025/10/27,214.95,220.92,206.96,208.04,214.95,-3.0,-6.91,6846004.5,29715
2025/10/26,215.53,218.93,214.93,214.95,215.53,-0.25,-0.57,4194211.25,18136
2025/10/23,218.53,221.92,214.98,215.53,218.53,-1.28,-3.0,4854874.0,20818
2025/10/22,217.67,225.93,217.74,218.53,217.67,0.37,0.86,1.5128066E7,63854
2025/10/21,217.27,223.93,214.43,217.67,217.27,0.17,0.4,7105400.0,30425
2025/10/20,219.43,222.93,216.93,217.27,219.43,-0.92,-2.16,5317593.5,22747
2025/10/19,217.01,227.82,217.14,219.43,217.01,1.04,2.42,9674119.0,40782
2025/10/16,218.43,222.38,216.94,217.01,218.43,-0.61,-1.42,4172305.75,17811
2025/10/15,219.25,227.92,217.93,218.43,219.25,-0.35,-0.82,1.0219619E7,43068
2025/10/14,218.56,228.93,216.93,219.25,218.56,0.3,0.69,8607957.0,36205
2025/10/13,218.81,222.13,216.31,218.56,218.81,-0.11,-0.25,3915552.5,16629
2025/10/12,219.22,222.83,214.95,218.81,219.22,-0.17,-0.41,3144927.75,13471
2025/10/08,222.25,224.92,218.44,219.22,222.25,-1.28,-3.03,2798236.0,11880
2025/10/07,222.18,228.38,221.93,222.25,222.18,0.03,0.07,4864049.5,20222
2025/10/06,224.57,228.83,216.34,222.18,224.57,-1.0,-2.39,3254089.5,13674
2025/10/05,225.03,234.93,223.03,224.57,225.03,-0.19,-0.46,1.2502536E7,51481
2025/10/02,214.93,239.93,209.94,225.03,214.93,4.39,10.1,4.2937272E7,177336
2025/10/01,224.83,228.89,205.24,214.93,224.83,-4.13,-9.9,2.0476944E7,88260
2025/09/30,241.07,283.93,220.93,224.83,241.07,-6.34,-16.24,2.2085086E7,89434
2025/09/29,234.1,249.93,231.08,241.07,234.1,2.8,6.97,8260629.0,32113
2025/09/28,234.36,237.92,225.99,234.1,234.36,-0.1,-0.26,3377812.0,13669
2025/09/25,239.79,243.77,231.03,234.36,239.79,-2.13,-5.43,4965539.5,19797
2025/09/24,242.09,251.73,238.54,239.79,242.09,-0.89,-2.3,5242161.0,20463
2025/09/23,249.2,259.93,236.13,242.09,249.2,-2.69,-7.11,1.4422915E7,54807
2025/09/22,235.94,253.82,228.93,249.2,235.94,5.28,13.26,1.6790412E7,65426
2025/09/21,223.21,244.92,224.92,235.94,223.21,5.34,12.73,1.8531742E7,73643
2025/09/18,240.92,247.92,221.53,223.21,240.92,-6.92,-17.709999,1.8489792E7,74472
2025/09/17,198.53,240.92,193.93,240.92,198.53,19.85,42.389999,4.542788E7,193918
2025/09/16,200.12,207.93,193.92,198.53,200.12,-0.74,-1.59,1.0312475E7,48071
2025/09/15,206.2,211.93,198.73,200.12,206.2,-2.75,-6.08,5629219.5,25779
2025/09/14,210.67,216.43,206.15,206.2,210.67,-1.98,-4.47,7097079.5,31600
2025/09/11,207.82,219.91,205.09,210.67,207.82,1.28,2.85,1.8058932E7,79382
2025/09/10,221.2,227.35,204.95,207.82,221.2,-5.66,-13.38,1.8470934E7,81260
2025/09/09,226.63,249.73,220.93,221.2,226.63,-2.25,-5.43,6.9972608E7,278257
2025/09/08,186.35,226.63,186.38,226.63,186.35,20.0,40.279999,6.4258732E7,276858
2025/09/07,200.18,206.93,180.24,186.35,200.18,-6.43,-13.83,1.1134733E7,53601
2025/09/03,207.63,212.93,199.93,200.18,207.63,-3.35,-7.45,1.5365495E7,70122
2025/09/02,203.93,224.92,206.2,207.63,203.93,1.69,3.7,4.0216656E7,173740
2025/09/01,221.25,236.93,198.23,203.93,221.25,-7.33,-17.32,4.7721572E7,209411
2025/08/31,276.53,330.92,218.21,221.25,276.53,-18.959999,-55.279999,1.05305296E8,380610
2025/08/28,227.93,276.53,228.03,276.53,227.93,20.0,48.599998,1.05312408E8,379534
2025/08/27,196.04,233.93,181.04,227.93,196.04,15.11,31.889999,1.26445544E8,541366
2025/08/26,192.14,203.94,176.04,196.04,192.14,1.88,3.9,6.960324E7,333475
2025/08/25,173.01,207.93,178.93,192.14,173.01,10.17,19.129999,1.06728472E8,504468
2025/08/24,141.67,173.01,141.94,173.01,141.67,19.99,31.34,4.515692E7,251249
2025/08/21,142.96,148.42,139.94,141.67,142.96,-0.82,-1.29,9246492.0,57829
2025/08/20,146.93,153.93,140.93,142.96,146.93,-2.45,-3.97,2.116843E7,129886
2025/08/19,135.16,152.93,136.93,146.93,135.16,7.83,11.77,4.7156684E7,292226
2025/08/18,135.02,142.63,134.96,135.16,135.02,0.09,0.14,1.5284387E7,99111
2025/08/17,128.38,142.93,126.93,135.02,128.38,4.63,6.64,2.1095762E7,138518
2025/08/14,128.99,132.93,127.93,128.38,128.99,-0.42,-0.61,5685725.5,39099
2025/08/13,129.16,135.92,128.93,128.99,129.16,-0.12,-0.17,8595986.0,58299
2025/08/12,124.08,129.93,123.04,129.16,124.08,3.65,5.08,7892052.5,55494
2025/08/11,124.03,125.85,123.99,124.08,124.03,0.12,0.16,1549893.0,11116
2025/08/10,124.23,126.92,123.99,124.03,124.23,-0.17,-0.24,1534259.13,11002
2025/08/07,125.65,128.53,123.96,124.23,125.65,-1.01,-1.42,2336604.0,16648
2025/08/06,122.81,130.92,124.43,125.65,122.81,2.06,2.84,8132166.0,56626
2025/08/05,123.84,126.92,122.43,122.81,123.84,-0.74,-1.03,1660419.13,11971
2025/08/04,124.83,125.93,123.29,123.84,124.83,0.04,0.05,1543605.38,11073
2025/08/03,126.3,127.91,124.38,124.83,126.3,-1.04,-1.47,882194.69,6246
2025/07/31,122.21,128.93,122.53,126.3,122.21,2.98,4.09,2756582.0,19703
2025/07/30,124.44,128.9,121.13,122.21,124.44,0.0,-2.23,2155884.0,15475
2025/07/29,120.71,131.93,119.93,124.44,120.71,3.11,4.22,7561509.0,53151
2025/07/28,123.55,124.38,119.94,120.71,123.55,-2.5,-3.47,2005583.0,14613
2025/07/27,125.1,125.43,122.95,123.55,125.1,-1.11,-1.55,1975138.0,14214
2025/07/23,124.16,127.92,123.93,125.1,124.16,0.68,0.94,2830586.0,20171
2025/07/22,126.94,129.36,123.55,124.16,126.94,-1.96,-2.78,2412868.5,17244
2025/07/21,127.67,130.93,125.93,126.94,127.67,-0.51,-0.73,4304331.5,30123
2025/07/20,128.74,130.83,124.93,127.67,128.74,-1.95,-2.81,6203019.5,43588
2025/07/17,127.96,134.83,127.93,128.74,127.96,0.55,0.78,9823235.0,67434
2025/07/16,132.99,136.27,126.93,127.96,132.99,-3.4,-5.03,7229923.0,49890
2025/07/15,133.48,140.93,130.93,132.99,133.48,-0.33,-0.49,1.0129002E7,67439
2025/07/14,138.57,139.03,132.05,133.48,138.57,-3.31,-5.09,1.2113029E7,81164
2025/07/13,139.19,150.93,137.93,138.57,139.19,-0.4,-0.62,2.4143234E7,150689
2025/07/07,131.74,139.93,124.95,126.43,131.74,-3.62,-5.31,1.0181745E7,68048
2025/07/06,123.05,139.93,123.05,131.74,123.05,6.29,8.69,2.1047824E7,141940
2025/07/02,133.92,134.68,122.99,123.05,133.92,-7.3,-10.87,1.0669535E7,75219
2025/07/01,145.11,149.43,129.43,133.92,145.11,-6.99,-11.19,1.7131482E7,112656
2025/06/30,122.53,148.91,129.93,145.11,122.53,16.41,22.58,3.7524012E7,241980
2025/06/29,99.6,122.53,101.93,122.53,99.6,20.0,22.93,2.275395E7,174751
2025/06/25,95.49,102.93,94.93,99.6,95.49,3.72,4.11,5298603.0,46427
2025/06/24,92.18,98.78,89.99,95.49,92.18,3.47,3.72,2546690.25,23064
2025/06/23,89.91,93.77,88.93,92.18,89.91,3.07,3.22,752178.44,7045
2025/06/22,88.84,95.93,84.03,89.91,88.84,0.44,0.46,929106.0,8912
2025/06/19,96.19,96.13,87.93,88.84,96.19,-7.42,-8.26,1471407.88,13867
2025/06/18,85.7,99.93,83.93,96.19,85.7,10.41,10.49,4542624.5,41811
2025/06/17,88.15,88.93,84.93,85.7,88.15,-3.12,-3.22,569211.25,5612
2025/06/16,85.49,90.43,86.93,88.15,85.49,1.96,1.97,830827.13,7990
2025/06/15,91.9,90.93,83.94,85.49,91.9,-5.56,-5.95,1519325.13,14996
2025/06/12,93.37,93.93,90.93,91.9,93.37,-2.11,-2.29,1005248.13,9349
2025/06/11,92.88,95.43,92.9,93.37,92.88,0.05,0.05,894967.94,8226
2025/06/10,93.76,94.78,91.93,92.88,93.76,-0.81,-0.88,373458.25,3455
2025/06/04,93.76,94.83,92.93,93.76,93.76,0.0,0.0,299618.84,2762
2025/06/03,92.28,96.92,93.53,93.76,92.28,1.38,1.48,1185007.63,10790
2025/06/02,89.67,97.38,89.08,92.28,89.67,2.49,2.61,3128013.0,28636
2025/06/01,87.98,90.92,87.98,89.67,87.98,1.04,1.07,495733.06,4728
2025/05/29,90.43,90.43,87.93,87.98,90.43,-2.27,-2.39,918945.94,8807
2025/05/28,91.66,91.41,90.05,90.43,91.66,-1.34,-1.43,355043.44,3366
2025/05/27,90.18,91.93,89.43,91.66,90.18,0.38,0.4,505860.53,4756
2025/05/26,89.4,92.03,89.93,90.18,89.4,0.75,0.78,869330.19,8223
2025/05/25,88.77,91.93,88.93,89.4,88.77,0.61,0.63,985069.56,9353
2025/05/22,88.83,90.53,87.94,88.77,88.83,-0.06,-0.06,1325829.25,12711
2025/05/21,91.92,91.83,87.93,88.83,91.92,-2.89,-3.09,1421879.0,13624
2025/05/20,90.71,93.93,90.73,91.92,90.71,0.21,0.22,560622.75,5226
2025/05/19,91.86,94.42,89.93,90.71,91.86,-1.34,-1.43,878156.56,8289
2025/05/18,93.82,94.93,89.93,91.86,93.82,0.1,0.11,609694.81,5653
2025/05/15,93.82,95.56,92.94,93.82,93.82,0.56,0.61,271748.84,2502
2025/05/14,95.69,96.37,93.53,93.82,95.69,-1.95,-2.16,716392.75,6568
2025/05/08,96.02,97.78,94.73,96.07,96.02,0.82,0.91,2234400.75,20161
2025/05/07,95.28,101.93,95.49,96.02,95.28,0.67,0.74,3132258.25,27613
2025/05/06,96.69,98.93,94.43,95.28,96.69,-1.26,-1.41,1685517.5,15214
2025/05/05,98.6,99.92,95.14,96.69,98.6,-1.68,-1.91,1524267.25,13596
2025/05/04,100.04,103.93,94.93,98.6,100.04,-1.25,-1.44,1791071.0,15848
2025/04/30,99.84,106.93,99.56,100.04,99.84,0.07,0.08,5166958.5,43729
2025/04/29,103.02,103.93,96.93,99.84,103.02,-2.69,-3.18,4510953.0,39339
2025/04/28,105.93,109.93,101.93,103.02,105.93,-2.98,-3.6,3809406.0,31855
2025/04/27,105.42,110.43,100.04,105.93,105.42,0.42,0.51,8244325.0,67459
2025/04/23,107.26,117.83,104.95,105.42,107.26,-1.5,-1.84,2.2301626E7,175853
2025/04/22,92.2,109.92,92.93,107.26,92.2,14.04,15.06,2.0333374E7,170933
2025/04/17,94.33,98.93,91.93,92.2,94.33,-1.95,-2.13,2278378.0,20733
2025/04/16,90.89,101.93,91.93,94.33,90.89,3.25,3.44,1.0388452E7,91506
2025/04/15,88.6,95.39,68.03,90.89,88.6,4.66,4.83,7099409.5,67631
2025/04/14,88.6,91.42,88.58,-15.07081,88.6,2.08,2.16,275504.69,2626
2025/04/13,87.48,89.93,86.44,88.6,87.48,2.39,2.45,430324.06,4146
2025/04/10,85.65,91.92,85.93,87.48,85.65,0.28,0.28,2081907.25,20223
2025/04/09,94.57,96.38,83.93,85.65,94.57,-8.14,-8.92,3812105.25,36648
2025/04/08,84.85,98.89,86.91,94.57,84.85,9.73,9.72,1.0245186E7,93435
2025/04/07,87.08,87.92,82.03,84.85,87.08,-0.54,-0.55,355487.19,3563
2025/04/06,86.55,89.93,79.94,87.08,86.55,1.34,1.36,742242.38,7343
2025/04/03,89.16,90.92,85.03,86.55,89.16,-3.09,-3.22,344300.03,3387
2025/03/27,90.15,94.93,86.93,89.16,90.15,-3.06,-3.22,784264.44,7394
2025/03/26,90.15,90.92,87.95,90.15,90.15,0.27,0.28,251723.66,2400
2025/03/25,90.04,92.91,89.24,90.15,90.04,-0.66,-0.69,775537.63,7340
2025/03/24,85.58,103.73,81.99,90.04,85.58,4.43,4.46,6341542.5,58541
2025/03/23,85.58,85.53,82.93,85.58,85.58,-2.29,-2.3,172850.48,1737
2025/03/20,86.66,86.92,82.95,85.58,86.66,-3.65,-3.71,519626.41,5156
2025/03/19,89.1,89.1,86.43,86.66,89.1,-2.08,-2.17,1632505.38,15889
2025/03/18,85.93,95.93,85.93,89.1,85.93,3.14,3.17,8114038.5,76106
2025/03/17,78.29,88.93,77.96,85.93,78.29,8.18,7.64,3447409.5,34640
2025/03/16,78.47,78.92,77.94,78.29,78.47,-0.24,-0.22,345590.94,3701
2025/03/13,78.32,79.32,77.93,78.47,78.32,-0.1,-0.09,589467.5,6299
2025/03/12,78.02,79.41,77.96,78.32,78.02,-0.06,-0.06,438022.63,4690
2025/03/11,79.1,78.93,77.93,78.02,79.1,-0.29,-0.27,640502.88,6874
2025/03/10,77.94,79.83,78.43,79.1,77.94,1.25,1.16,452581.94,4806
2025/03/09,78.02,78.93,77.78,77.94,78.02,0.98,0.91,449041.91,4830
2025/03/06,78.02,78.42,77.78,78.02,78.02,-0.26,-0.24,185232.41,1994
2025/03/05,78.02,78.67,77.81,78.02,78.02,-0.21,-0.2,236387.17,2539
2025/03/04,79.04,79.03,77.78,78.02,79.04,-1.13,-1.06,620184.81,6664
2025/03/03,79.04,78.93,77.73,79.04,79.04,-0.97,-0.91,177424.47,1906
2025/03/02,79.04,80.53,77.98,79.04,79.04,0.1,0.09,196446.66,2089
2025/02/27,78.01,81.73,77.94,79.04,78.01,1.11,1.03,2249454.75,23596
2025/02/26,78.49,79.21,77.93,78.01,78.49,-0.6,-0.56,420974.53,4511
2025/02/25,78.42,79.41,78.14,78.49,78.42,0.53,0.5,320003.13,3419
2025/02/24,78.42,78.93,78.1,-15.07081,78.42,0.49,0.46,264735.66,2828
2025/02/23,79.1,79.68,77.44,78.42,79.1,-1.19,-1.12,622750.44,6665
2025/02/20,80.02,81.43,77.97,79.1,80.02,-2.16,-2.05,693486.31,7327
2025/02/19,80.95,80.92,74.93,80.02,80.95,-1.06,-1.02,769659.75,8179
2025/02/18,79.9,82.33,79.99,80.95,79.9,0.29,0.28,485742.97,5040
2025/02/17,78.9,79.93,79.03,79.9,78.9,0.57,0.54,566766.69,5970
2025/02/16,77.26,82.72,77.96,78.9,77.26,1.78,1.64,1502144.38,15831
2025/02/13,77.26,80.88,76.15,77.26,77.26,0.73,0.67,292946.03,3166
2025/02/12,79.24,78.72,74.94,77.26,79.24,-2.76,-2.6,469201.03,5081
2025/02/11,81.18,81.83,77.08,79.24,81.18,-4.08,-3.93,558888.69,5887
2025/02/10,81.38,82.83,80.44,81.18,81.38,-0.97,-0.94,884305.25,9149
2025/02/09,81.41,82.93,80.94,81.38,81.41,-0.03,-0.03,1077143.75,11139
2025/02/06,81.8,82.42,80.48,81.41,81.8,-0.49,-0.47,338164.56,3504
2025/02/05,82.11,82.48,80.96,81.8,82.11,-0.7,-0.68,668385.25,6916
2025/02/04,81.49,82.93,81.65,82.11,81.49,0.25,0.24,382148.66,3933
2025/02/03,82.78,84.71,81.23,81.49,82.78,-1.37,-1.34,676446.94,6962
2025/02/02,81.27,85.42,81.28,82.78,81.27,0.79,0.76,1505366.0,15242
2025/01/30,81.94,84.28,80.93,81.27,81.94,-0.69,-0.67,1023465.81,10527
2025/01/29,82.06,84.92,79.97,81.94,82.06,-0.12,-0.12,2680239.0,27472
2025/01/28,82.09,84.83,81.03,82.06,82.09,-0.03,-0.03,1192444.25,12269
2025/01/27,85.09,87.88,81.93,82.09,85.09,-3.0,-3.0,1994868.75,20141
2025/01/26,84.86,89.03,84.95,85.09,84.86,0.1,0.1,1690926.38,16564
2025/01/23,86.47,89.23,83.95,84.86,86.47,-0.63,-0.64,1430122.88,14133
2025/01/22,86.17,91.93,84.93,86.47,86.17,0.3,0.3,3987497.0,38694
2025/01/21,80.45,94.93,79.04,86.17,80.45,5.99,5.72,8465033.0,83080
2025/01/20,81.83,83.43,80.23,80.45,81.83,-1.58,-1.53,2412457.5,25008
2025/01/19,83.26,84.93,81.48,81.83,83.26,-1.45,-1.43,1835564.25,18802
2025/01/16,84.5,85.03,81.25,83.26,84.5,-1.25,-1.24,1982746.75,20153
2025/01/15,83.1,87.93,82.13,84.5,83.1,2.78,2.73,1698113.88,16840
2025/01/14,82.92,86.92,80.93,83.1,82.92,0.18,0.18,4295365.0,43382
