«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,5.46,5.5,5.39,5.4,5.46,-1.1,-0.06,3.045773E7,5601990
2026/01/12,5.56,5.6,5.46,5.46,5.56,-1.8,-0.1,3.2254502E7,5817376
2026/01/11,5.6,5.65,5.53,5.56,5.6,-0.71,-0.04,4.8025772E7,8611356
2026/01/08,5.65,5.69,5.6,5.6,5.65,-0.88,-0.05,2.1978236E7,3896272
2026/01/06,5.64,5.72,5.64,5.65,5.64,0.18,0.01,1.4128048E7,2493367
2026/01/05,5.75,5.78,5.62,5.64,5.75,-1.91,-0.11,4.8584768E7,8560903
2026/01/04,5.74,5.78,5.7,5.75,5.74,0.17,0.01,2.3826454E7,4157368
2025/12/31,5.8,5.82,5.74,5.74,5.8,-1.03,-0.06,4.5971304E7,7969793
2025/12/30,5.86,5.89,5.77,5.8,5.86,-1.02,-0.06,6.669462E7,11427207
2025/12/29,5.68,5.86,5.64,5.86,5.68,3.17,0.18,9.154084E7,15873216
2025/12/28,5.7,5.75,5.66,5.68,5.7,-0.35,-0.02,5.3729008E7,9423511
2025/12/25,5.78,5.8,5.7,5.7,5.78,-1.38,-0.08,4.2650728E7,7441050
2025/12/24,5.79,5.89,5.77,5.78,5.79,-0.17,-0.01,5.0086764E7,8626813
2025/12/23,5.88,5.98,5.71,5.79,5.88,-1.53,-0.09,9.5454824E7,16390411
2025/12/22,5.82,5.93,5.83,5.88,5.82,1.03,0.06,4.3568572E7,7422868
2025/12/21,5.88,5.93,5.82,5.82,5.88,-1.02,-0.06,4.4858236E7,7662591
2025/12/18,5.92,5.95,5.88,5.88,5.92,-0.68,-0.04,5.1723136E7,8754177
2025/12/17,5.97,6.0,5.9,5.92,5.97,-0.84,-0.05,5.6127408E7,9464666
2025/12/16,5.94,6.04,5.91,5.97,5.94,0.51,0.03,8.252672E7,13821770
2025/12/15,6.06,6.1,5.9,5.94,6.06,-1.98,-0.12,1.95095504E8,32662202
2025/12/14,6.07,6.14,6.06,6.06,6.07,-0.16,-0.01,5.1999428E7,8542829
2025/12/11,6.16,6.19,6.06,6.07,6.16,-1.46,-0.09,1.343864E8,21902291
2025/12/10,6.13,6.18,6.09,6.16,6.13,0.49,0.03,1.31900184E8,21450641
2025/12/09,5.95,6.14,5.96,6.13,5.95,3.03,0.18,1.8372272E8,30214779
2025/12/08,6.08,6.16,5.95,5.95,6.08,-2.14,-0.13,1.7063512E8,28271504
2025/12/07,6.19,6.24,6.08,6.08,6.19,-1.78,-0.11,1.8420648E8,29989477
2025/12/04,5.9,6.2,5.9,6.19,5.9,4.92,0.29,3.8165888E8,62680268
2025/12/03,5.9,5.99,5.89,5.9,5.9,0.0,0.0,8.6253248E7,14535442
2025/12/02,6.0,6.11,5.9,5.9,6.0,-1.67,-0.1,1.80145216E8,29860527
2025/12/01,5.86,6.07,5.86,6.0,5.86,2.39,0.14,2.35113744E8,39406946
2025/11/30,5.93,5.98,5.82,5.86,5.93,-1.18,-0.07,1.56185952E8,26590641
2025/11/27,5.87,6.05,5.89,5.93,5.87,1.02,0.06,1.76965648E8,29705507
2025/11/26,5.82,6.09,5.82,5.87,5.82,0.86,0.05,4.0151792E8,67026264
2025/11/25,6.05,6.11,5.8,5.82,6.05,-3.8,-0.23,2.88627168E8,48547653
2025/11/24,6.12,6.16,6.04,6.05,6.12,-1.14,-0.07,2.54125888E8,41715720
2025/11/23,6.25,6.26,6.12,6.12,6.25,-2.08,-0.13,3.53332064E8,57115585
2025/11/20,6.25,6.5,6.23,6.25,6.25,0.0,0.0,8.5073952E8,134067448
2025/11/19,6.06,6.34,6.05,6.25,6.06,3.14,0.19,6.497328E8,104460145
2025/11/18,6.16,6.2,5.99,6.06,6.16,-1.62,-0.1,2.7314608E8,44872961
2025/11/17,6.07,6.2,5.99,6.16,6.07,1.48,0.09,3.71720064E8,60692644
2025/11/16,6.03,6.29,6.07,6.07,6.03,0.66,0.04,6.12581568E8,99275812
2025/11/13,5.62,6.12,5.64,6.03,5.62,7.3,0.41,8.06737024E8,136725958
2025/11/12,5.44,5.64,5.46,5.62,5.44,3.31,0.18,2.70319936E8,48665545
2025/11/11,5.41,5.51,5.38,5.44,5.41,0.55,0.03,1.08970264E8,19967635
2025/11/10,5.47,5.49,5.33,5.41,5.47,-1.1,-0.06,1.9513864E8,36084726
2025/11/09,5.48,5.47,5.42,5.47,5.48,-0.18,-0.01,8.8545216E7,16254830
2025/11/06,5.53,5.6,5.4,5.48,5.53,-0.9,-0.05,2.4354072E8,44446264
2025/11/05,5.42,5.57,5.42,5.53,5.42,2.03,0.11,3.52421056E8,63917359
2025/11/04,5.4,5.45,5.4,5.42,5.4,0.37,0.02,1.19817784E8,22114032
2025/11/03,5.38,5.45,5.33,5.4,5.38,0.37,0.02,1.8499376E8,34247066
2025/11/02,5.32,5.49,5.32,5.38,5.32,1.13,0.06,1.02718712E8,19150925
2025/10/30,5.31,5.37,5.3,5.32,5.31,0.19,0.01,1.26342184E8,23744153
2025/10/29,5.3,5.35,5.27,5.31,5.3,0.19,0.01,9.7018928E7,18272513
2025/10/28,5.44,5.45,5.29,5.3,5.44,-2.57,-0.14,1.63241808E8,30633856
2025/10/27,5.47,5.5,5.44,5.44,5.47,-0.55,-0.03,9.6644536E7,17673820
2025/10/26,5.43,5.53,5.45,5.47,5.43,0.74,0.04,1.81407936E8,33073859
2025/10/23,5.31,5.45,5.31,5.43,5.31,2.26,0.12,1.75666816E8,32556904
2025/10/22,5.35,5.38,5.19,5.31,5.35,-0.75,-0.04,1.41377344E8,26719048
2025/10/21,5.42,5.44,5.3,5.35,5.42,-1.29,-0.07,1.26801608E8,23661944
2025/10/20,5.6,5.63,5.42,5.42,5.6,-3.21,-0.18,1.4069696E8,25667563
2025/10/19,5.4,5.65,5.33,5.6,5.4,3.7,0.2,1.70353888E8,30708891
2025/10/16,5.11,5.45,5.1,5.4,5.11,5.68,0.29,3.44048416E8,65003168
2025/10/15,5.11,5.15,5.05,5.11,5.11,0.0,0.0,7.0123112E7,13756501
2025/10/14,5.09,5.18,5.09,5.11,5.09,0.39,0.02,1.94031072E8,37845403
2025/10/13,5.03,5.16,5.04,5.09,5.03,1.19,0.06,2.09377568E8,41016614
2025/10/12,4.96,5.1,4.95,5.03,4.96,1.41,0.07,1.50425488E8,29956026
2025/10/08,4.99,5.02,4.94,4.96,4.99,-0.6,-0.03,8.5311968E7,17134239
2025/10/07,5.0,5.11,4.98,4.99,5.0,-0.2,-0.01,2.13929344E8,42483681
2025/10/06,4.8,5.04,4.81,5.0,4.8,4.17,0.2,3.17099264E8,64253546
2025/10/05,4.74,4.87,4.76,4.8,4.74,1.27,0.06,2.635128E8,54721292
2025/10/02,4.67,4.83,4.65,4.74,4.67,1.5,0.07,2.53342592E8,53254733
2025/10/01,4.54,4.71,4.57,4.67,4.54,2.86,0.13,1.87574048E8,40224384
2025/09/30,4.47,4.63,4.46,4.54,4.47,1.57,0.07,1.70891744E8,37371120
2025/09/29,4.51,4.55,4.45,4.47,4.51,-0.89,-0.04,1.01163728E8,22450565
2025/09/28,4.36,4.58,4.38,4.51,4.36,3.44,0.15,3.1784896E8,70938619
2025/09/25,4.16,4.36,4.18,4.36,4.16,4.81,0.2,2.77441216E8,64701536
2025/09/24,4.15,4.19,4.15,4.16,4.15,0.24,0.01,3.229164E7,7742148
2025/09/23,4.12,4.2,4.13,4.15,4.12,0.73,0.03,6.033004E7,14436077
2025/09/22,4.16,4.18,4.11,4.12,4.16,-0.96,-0.04,4.0646668E7,9809449
2025/09/21,4.1,4.23,4.11,4.16,4.1,1.46,0.06,1.2077944E8,28933295
2025/09/18,4.08,4.13,4.08,4.1,4.08,0.49,0.02,2.0371208E7,4963797
2025/09/17,4.07,4.12,4.04,4.08,4.07,0.25,0.01,2.7371106E7,6701935
2025/09/16,4.16,4.16,4.03,4.07,4.16,-2.16,-0.09,7.8259608E7,19061283
2025/09/15,4.19,4.21,4.14,4.16,4.19,-0.72,-0.03,5.8638336E7,14038688
2025/09/14,4.12,4.2,4.1,4.19,4.12,1.7,0.07,6.7369016E7,16182252
2025/09/11,4.14,4.18,4.1,4.12,4.14,-0.48,-0.02,5.9991188E7,14497474
2025/09/10,4.11,4.18,4.09,4.14,4.11,0.73,0.03,4.5665132E7,11046483
