«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.85,1.84,1.78,1.85,1.85,-3.78,-0.07,58328.49,32559
2026/01/12,1.85,1.84,1.79,1.85,1.85,-2.7,-0.05,106191.26,59045
2026/01/11,1.85,1.86,1.79,1.85,1.85,-1.081,-0.02,207755.156,114942
2026/01/08,1.85,1.88,1.79,1.85,1.85,-3.24,-0.06,213072.98,118175
2026/01/06,1.85,1.86,1.79,1.85,1.85,-2.16,-0.04,72708.63,40266
2026/01/05,1.85,1.88,1.81,1.85,1.85,-2.16,-0.04,126423.37,69390
2026/01/04,1.85,1.88,1.82,1.85,1.85,-1.62,-0.03,62117.58,33513
2025/12/31,1.85,1.88,1.85,1.85,1.85,1.08,0.02,42543.51,22900
2025/12/30,1.85,1.89,1.85,1.85,1.85,0.0,0.0,116279.58,62669
2025/12/29,1.85,1.9,1.84,1.85,1.85,0.0,0.0,236130.19,127487
2025/12/28,1.85,1.93,1.83,1.85,1.85,1.62,0.03,227957.77,122043
2025/12/25,1.9,1.9,1.83,1.85,1.9,-0.53,-0.01,370273.94,200201
2025/12/24,1.9,1.93,1.83,1.9,1.9,0.0,0.0,61138.69,32392
2025/12/23,1.81,1.9,1.76,1.9,1.81,4.97,0.09,538705.63,284700
2025/12/22,1.89,1.93,1.8,1.81,1.89,-1.06,-0.02,397766.88,217579
2025/12/21,1.89,1.93,1.87,1.89,1.89,0.0,0.0,158649.19,83501
2025/12/18,1.89,1.95,1.85,1.89,1.89,2.65,0.05,248671.13,131321
2025/12/17,1.88,1.97,1.84,1.89,1.88,-2.13,-0.04,300534.22,158664
2025/12/16,1.92,1.92,1.85,1.88,1.92,-3.65,-0.07,324429.09,172702
2025/12/15,1.92,1.96,1.87,1.92,1.92,-1.04,-0.02,279036.69,146435
2025/12/14,1.99,1.98,1.9,1.92,1.99,-2.51,-0.05,819894.38,426837
2025/12/11,1.99,2.0,1.93,1.99,1.99,-2.51,-0.05,262416.84,134956
2025/12/10,1.91,2.0,1.91,1.99,1.91,1.57,0.03,760272.25,383100
2025/12/09,2.0,2.02,1.9,1.91,2.0,-4.5,-0.09,626007.81,323135
2025/12/08,2.1,2.09,2.0,2.0,2.1,-4.76,-0.1,509256.16,253189
2025/12/07,2.1,2.11,2.02,2.1,2.1,-0.48,-0.01,255133.77,124591
2025/12/04,2.02,2.12,2.0,2.1,2.02,4.46,0.09,502216.97,238906
2025/12/03,2.12,2.18,2.02,2.02,2.12,-4.72,-0.1,1932683.38,953497
