«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,1.04,1.04,0.8,0.89,1.04,-14.422999,-0.15,196711.906,208101
2026/01/05,1.06,1.09,1.01,1.04,1.06,-1.887,-0.02,168735.703,162963
2025/12/31,1.08,1.1,1.02,1.06,1.08,-1.852,-0.02,93641.578,90128
2025/12/29,1.13,1.1,1.02,1.08,1.13,-4.425,-0.05,308397.188,293043
2025/12/24,1.12,1.2,1.01,1.13,1.12,0.893,0.01,315299.531,295035
2025/12/22,1.21,1.25,1.11,1.12,1.21,-7.438,-0.09,63743.789,56649
2025/12/17,1.2,1.25,1.14,1.21,1.2,0.833,0.01,41903.84,35613
2025/12/15,1.14,1.2,1.06,1.2,1.14,5.263,0.06,1220871.25,1127392
2025/12/10,1.14,1.2,1.12,1.14,1.14,0.0,0.0,133540.438,117542
2025/12/08,1.14,1.2,1.11,1.14,1.14,0.0,0.0,959440.0,802198
2025/12/03,1.27,1.25,1.11,1.14,1.27,-10.236,-0.13,1987641.125,1614295
2025/12/01,1.3,1.31,1.21,1.27,1.3,-2.308,-0.03,432276.969,347300
2025/11/26,1.4,1.4,1.2,1.3,1.4,-7.143,-0.1,489735.781,373656
2025/11/24,1.42,1.45,1.27,1.4,1.42,-1.408,-0.02,427868.469,304569
2025/11/19,1.35,1.42,1.25,1.42,1.35,5.185,0.07,559007.375,411056
2025/11/17,1.24,1.36,1.2,1.35,1.24,8.871,0.11,503597.625,377872
2025/11/12,1.39,1.39,1.24,1.24,1.39,-10.791,-0.15,365252.0,283684
2025/11/10,1.28,1.39,1.26,1.39,1.28,8.594,0.11,1153251.0,889322
2025/11/05,1.16,1.35,1.1,1.28,1.16,10.344999,0.12,1473375.25,1139099
2025/11/03,1.3,1.3,1.02,1.16,1.3,-10.769,-0.14,1580594.625,1371959
2025/10/29,1.7,2.19,0.8,1.3,1.7,-23.528999,-0.4,2871509.5,2832188
2025/10/27,0.4,3.0,0.65,1.7,0.4,325.0,1.3,636434.0,394839
2025/10/16,2.79,2.79,2.66,2.79,2.79,0.0,0.0,138610.453,52109
2025/10/15,2.79,2.79,2.66,2.79,2.79,0.0,0.0,205572.094,77185
2025/10/14,2.93,2.79,2.79,2.79,2.93,-4.778,-0.14,695318.25,249218
2025/10/13,3.08,3.23,2.93,2.93,3.08,-4.87,-0.15,9276616.0,3004431
2025/10/12,2.94,3.08,2.98,3.08,2.94,4.762,0.14,5013653.0,1633771
2025/10/08,2.8,2.94,2.9,2.94,2.8,5.0,0.14,2772229.25,943203
2025/10/07,2.67,2.8,2.8,2.8,2.67,4.869,0.13,413487.188,147674
2025/10/06,2.55,2.67,2.6,2.67,2.55,4.706,0.12,382420.031,143319
2025/10/05,2.43,2.55,2.4,2.55,2.43,4.938,0.12,543639.813,214209
2025/10/02,2.33,2.44,2.22,2.43,2.33,4.292,0.1,1140264.125,476976
2025/10/01,2.33,2.3,2.22,2.33,2.33,-4.721,-0.11,192930.906,86458
2025/09/30,2.38,2.44,2.27,2.33,2.38,-2.101,-0.05,1395660.0,600262
2025/09/29,2.47,2.59,2.35,2.38,2.47,1.215,0.03,916047.75,377011
2025/09/28,2.38,2.49,2.27,2.47,2.38,3.782,0.09,4590557.5,1980039
2025/09/25,2.5,2.38,2.38,2.38,2.5,-4.8,-0.12,485331.969,203921
2025/09/24,2.63,2.5,2.5,2.5,2.63,-4.943,-0.13,6795125.0,2718050
2025/09/23,2.76,2.63,2.63,2.63,2.76,-4.71,-0.13,341376.625,129801
2025/09/22,2.76,2.76,2.63,2.76,2.76,0.0,0.0,14107.71,5117
2025/09/21,2.76,2.63,2.63,2.76,2.76,-4.71,-0.13,23199.231,8821
2025/09/18,2.9,2.76,2.76,2.76,2.9,-4.828,-0.14,4469458.5,1619369
2025/09/17,3.05,2.9,2.9,2.9,3.05,-4.918,-0.15,303589.406,104686
2025/09/16,3.05,2.9,2.9,3.05,3.05,-4.918,-0.15,1499.3,517
2025/09/15,3.05,2.9,2.9,3.05,3.05,-4.918,-0.15,113801.797,39242
2025/09/14,3.21,3.05,3.05,3.05,3.21,-4.984,-0.16,1.2752355E7,4181100
2025/09/11,3.37,3.21,3.21,3.21,3.37,-4.748,-0.16,3898622.0,1214524
2025/09/10,3.37,3.21,3.21,3.37,3.37,-4.748,-0.16,1155.6,360
2025/09/09,3.54,3.37,3.37,3.37,3.54,-4.802,-0.17,2446532.5,725974
2025/09/08,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,10625.61,3153
2025/09/07,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,4148.47,1231
2025/09/03,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,2524.13,749
2025/09/02,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,6.74,2
2025/09/01,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,2203.98,654
2025/08/31,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,1934.38,574
2025/08/28,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,515.61,153
2025/08/27,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,60.66,18
2025/08/26,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,13.48,4
2025/08/25,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,4327.08,1284
2025/08/24,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,16.85,5
2025/08/21,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,4434.92,1316
2025/08/20,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,188.72,56
2025/08/19,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,4060.85,1205
2025/08/18,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,26.96,8
2025/08/17,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,60.66,18
2025/08/14,3.54,3.37,3.37,3.54,3.54,-4.802,-0.17,643.67,191
2025/08/13,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,1823.17,541
2025/08/12,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,401.03,119
2025/08/11,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,33.7,10
2025/08/10,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,3824.95,1135
2025/08/07,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,458.32,136
2025/08/06,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,872.83,259
2025/08/05,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,866.09,257
2025/08/04,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,11744.45,3485
2025/08/03,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,5560.5,1650
2025/07/31,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,1037.96,308
2025/07/30,3.54,3.37,3.37,3.54,3.54,0.0,-0.17,4583.2,1360
2025/07/29,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,316.78,94
2025/07/28,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,1634.45,485
2025/07/27,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,3.37,1
2025/07/23,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,117.95,35
2025/07/22,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,9213.58,2734
2025/07/21,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,4792.14,1422
2025/07/20,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,3373.37,1001
2025/07/17,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,3.37,1
2025/07/16,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,64.03,19
2025/07/15,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,296.56,88
2025/07/14,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,34545.87,10251
2025/07/13,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,17318.43,5139
2025/07/07,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,2702.74,802
2025/07/06,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,303.3,90
2025/07/02,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,2139.95,635
2025/07/01,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,3589.05,1065
2025/06/30,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,5156.1,1530
2025/06/29,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,316.78,94
2025/06/25,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,34940.16,10368
2025/06/24,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,3915.94,1162
2025/06/23,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,15801.93,4689
2025/06/22,3.54,3.37,3.37,3.54,3.54,-4.8,-0.17,2436.51,723
