«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,29.29,29.87,28.4,28.59,29.29,-3.04,-0.89,418939.5,14637
2026/01/12,29.74,31.49,29.01,29.29,29.74,-1.51,-0.45,2400190.0,80475
2026/01/11,30.32,30.99,29.51,29.74,30.32,-1.91,-0.58,461106.31,15468
2026/01/08,30.79,31.88,29.76,30.32,30.79,-1.53,-0.47,3017453.75,99376
2026/01/06,30.05,31.68,29.66,30.79,30.05,2.46,0.74,3660011.0,120357
2026/01/05,30.95,31.35,29.5,30.05,30.95,-2.91,-0.9,1382578.75,45966
2026/01/04,30.09,32.0,30.1,30.95,30.09,0.03,0.01,737125.5,23666
2025/12/31,32.14,32.5,30.01,30.09,32.14,-6.38,-2.05,1486856.13,48935
2025/12/30,30.2,32.95,29.53,32.14,30.2,6.42,1.94,2430197.75,77581
2025/12/29,30.95,31.0,29.4,30.2,30.95,-2.42,-0.75,1245837.5,41734
2025/12/28,30.66,31.39,30.04,30.95,30.66,0.95,0.29,614533.5,19872
2025/12/25,29.68,31.85,29.89,30.66,29.68,5.8,1.72,840768.06,27402
2025/12/24,29.72,30.93,29.3,29.68,29.72,-0.71,-0.21,507655.81,17050
2025/12/23,30.84,31.2,29.3,29.72,30.84,-3.63,-1.12,1134065.63,37844
2025/12/22,31.01,31.98,30.4,30.84,31.01,-0.55,-0.17,1069757.0,34531
2025/12/21,31.02,31.94,30.5,31.01,31.02,1.55,0.48,1355787.25,43689
2025/12/18,31.3,31.99,30.7,31.02,31.3,-0.89,-0.28,1133945.5,36551
2025/12/17,31.1,32.0,30.11,31.3,31.1,2.22,0.69,3826319.0,122265
2025/12/16,31.02,31.7,30.77,31.1,31.02,0.26,0.08,2604703.5,83851
2025/12/15,32.81,33.59,31.0,31.02,32.81,-5.46,-1.79,2241819.25,71061
2025/12/14,32.3,33.95,31.5,32.81,32.3,1.58,0.51,1941474.38,58868
2025/12/11,32.11,33.0,31.3,32.3,32.11,0.12,0.04,2466066.5,76306
2025/12/10,32.25,32.77,31.25,32.11,32.25,-0.43,-0.14,5996899.5,187054
