«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,237.59,241.54,235.0,237.58,237.59,-1.05,-2.49,444766.91,1867
2026/01/12,237.59,243.4,237.6,237.59,237.59,0.72,1.71,160394.59,665
2026/01/11,239.33,241.59,237.19,237.59,239.33,-0.89,-2.14,1002413.94,4210
2026/01/08,239.67,241.2,236.11,239.33,239.67,-0.59,-1.42,543605.25,2275
2026/01/06,239.95,241.9,235.15,239.67,239.95,-0.48,-1.15,321643.09,1342
2026/01/05,241.36,242.86,232.51,239.95,241.36,-0.15,-0.36,658563.13,2747
2026/01/04,238.89,245.0,238.26,241.36,238.89,1.72,4.11,1387692.5,5747
2025/12/31,246.62,248.1,231.0,238.89,246.62,-2.64,-6.51,1804549.38,7397
2025/12/30,248.95,248.89,246.25,246.62,248.95,-0.94,-2.35,765329.38,3100
2025/12/29,246.27,250.0,245.0,248.95,246.27,1.07,2.63,2997987.5,12084
2025/12/28,247.92,251.5,245.4,246.27,247.92,-0.67,-1.65,1442611.88,5843
2025/12/25,246.67,251.5,245.5,247.92,246.67,0.54,1.33,3138842.0,12600
2025/12/24,242.51,256.9,241.65,246.67,242.51,1.44,3.49,1.0914778E7,43606
2025/12/23,240.85,249.69,240.04,242.51,240.85,0.48,1.15,2932744.75,12063
2025/12/22,231.52,250.15,231.0,240.85,231.52,4.03,9.33,1.0560464E7,43529
2025/12/21,233.66,234.99,230.0,231.52,233.66,-0.37,-0.87,1020321.19,4413
2025/12/18,239.98,239.98,230.0,233.66,239.98,-2.66,-6.38,2132917.75,9141
2025/12/17,240.17,241.0,232.02,239.98,240.17,-0.08,-0.19,3168407.75,13368
2025/12/16,246.41,248.5,240.11,240.17,246.41,-2.2,-5.41,4248499.5,17562
2025/12/15,247.51,248.99,245.02,246.41,247.51,-0.55,-1.36,2412012.75,9778
