«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,2.12,2.26,2.12,2.14,2.12,0.94,0.02,711.04,335
2025/12/31,2.15,2.15,2.11,2.12,2.15,-1.4,-0.03,21486.55,10107
2025/12/29,2.13,2.15,2.11,2.15,2.13,0.94,0.02,15569.26,7302
2025/12/24,2.13,2.19,2.13,2.13,2.13,0.0,0.0,29909.72,14004
2025/12/22,2.2,2.2,2.13,2.13,2.2,-3.18,-0.07,31988.69,14824
2025/12/17,2.27,2.27,2.12,2.2,2.27,-3.08,-0.07,780.7,351
2025/12/15,2.2,2.27,2.14,2.27,2.2,3.18,0.07,110972.55,51688
2025/12/10,2.17,2.39,2.18,2.2,2.17,1.38,0.03,23092.39,10501
2025/12/08,2.21,2.21,2.17,2.17,2.21,-1.81,-0.04,18968.74,8625
2025/12/03,2.18,2.43,2.2,2.21,2.18,1.38,0.03,40149.77,17409
2025/12/01,2.19,2.2,2.17,2.18,2.19,-0.46,-0.01,18245.89,8367
2025/11/26,2.21,2.28,2.15,2.19,2.21,-0.9,-0.02,25207.65,11551
2025/11/24,2.17,2.48,2.21,2.21,2.17,1.84,0.04,25163.57,10559
2025/11/19,2.31,2.32,2.17,2.17,2.31,-6.06,-0.14,5402.2,2350
2025/11/17,2.3,2.53,2.15,2.31,2.3,0.43,0.01,7456.11,3404
2025/11/12,2.17,2.31,2.14,2.3,2.17,5.99,0.13,77823.81,35478
2025/11/10,2.16,2.27,2.16,2.17,2.16,0.46,0.01,35424.43,16049
2025/11/05,2.18,2.19,2.16,2.16,2.18,-0.92,-0.02,20290.55,9351
2025/11/03,2.28,2.3,2.18,2.18,2.28,-4.39,-0.1,31020.8,14032
2025/10/29,2.15,2.29,2.16,2.28,2.15,6.05,0.13,20443.12,8966
2025/10/27,2.21,2.21,2.15,2.15,2.21,-2.71,-0.06,74813.83,34300
2025/10/22,2.27,2.32,2.14,2.21,2.27,-2.64,-0.06,60631.56,27333
2025/10/20,2.38,2.27,2.19,2.27,2.38,-4.62,-0.11,325219.97,147492
2025/10/15,2.4,2.46,2.2,2.38,2.4,-0.83,-0.02,92962.9,40889
2025/10/13,2.59,2.6,2.18,2.4,2.59,-7.34,-0.19,560900.75,247815
2025/10/08,2.5,2.97,2.21,2.59,2.5,3.6,0.09,211451.3,90124
2025/10/06,2.58,2.88,2.41,2.5,2.58,-3.1,-0.08,449502.34,179010
2025/10/01,2.44,3.63,2.44,2.58,2.44,5.74,0.14,255179.06,95623
2025/09/29,2.48,2.45,2.3,2.44,2.48,-1.61,-0.04,65126.67,27111
2025/09/24,2.2,2.5,2.25,2.48,2.2,12.73,0.28,166924.98,68000
2025/09/22,2.15,2.2,2.17,2.2,2.15,2.33,0.05,66743.12,30378
2025/09/17,2.11,2.15,2.15,2.15,2.11,1.9,0.04,3225.0,1500
2025/09/15,2.3,2.3,2.11,2.11,2.3,-8.26,-0.19,19084.83,8608
2025/09/10,2.6,2.6,2.0,2.3,2.6,-11.54,-0.3,67452.22,29079
2025/09/08,2.56,2.6,2.11,2.6,2.56,1.56,0.04,4001.31,1584
2025/09/03,2.5,3.0,2.5,2.56,2.5,2.4,0.06,105530.98,40683
2025/09/01,2.4,3.47,2.37,2.5,2.4,4.17,0.1,104134.71,36353
2025/08/27,2.38,2.4,2.37,2.4,2.38,0.84,0.02,33692.93,14149
2025/08/25,2.3,2.38,2.1,2.38,2.3,3.48,0.08,10701.3,4653
2025/08/20,2.3,2.32,2.3,2.3,2.3,0.0,0.0,118328.7,51419
2025/08/18,2.1,2.3,2.06,2.3,2.1,9.52,0.2,204928.61,92448
2025/08/13,1.85,2.1,1.81,2.1,1.85,13.51,0.25,55538.4,27785
2025/08/11,1.9,1.9,1.8,1.85,1.9,-2.63,-0.05,49169.25,25955
2025/08/06,1.8,1.9,1.9,1.9,1.8,5.56,0.1,6841.9,3601
2025/08/04,1.82,1.9,1.8,1.8,1.82,-1.1,-0.02,53772.52,29667
2025/07/30,1.8,1.84,1.8,1.82,1.8,0.0,0.02,97509.2,53323
2025/07/28,1.79,1.84,1.79,1.8,1.79,0.56,0.01,80686.9,44741
2025/07/23,1.8,1.86,1.79,1.79,1.8,-0.56,-0.01,121388.27,67267
2025/07/21,1.78,1.8,1.74,1.8,1.78,1.12,0.02,7891.68,4497
2025/07/16,1.8,1.9,1.75,1.78,1.8,-1.11,-0.02,47107.1,26105
2025/07/14,1.85,1.89,1.8,1.8,1.85,-2.7,-0.05,75148.66,41054
2025/07/07,1.96,2.0,1.81,1.85,1.96,-5.61,-0.11,19655.04,10581
2025/07/02,1.9,1.96,1.86,1.96,1.9,3.16,0.06,23697.7,12437
2025/06/30,1.9,1.99,1.85,1.9,1.9,0.0,0.0,35520.93,18790
2025/06/25,1.7,2.04,1.81,1.9,1.7,11.76,0.2,4398.68,2280
2025/06/23,1.85,2.0,1.7,1.7,1.85,-8.11,-0.15,193654.89,106528
