«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,4.8,4.83,4.7,4.7,4.8,-2.08,-0.1,1862956.75,394327
2026/01/12,4.82,4.89,4.8,4.8,4.82,-0.41,-0.02,3067028.25,636255
2026/01/11,4.86,4.89,4.82,4.82,4.86,-0.82,-0.04,1428770.0,294917
2026/01/08,4.95,4.98,4.84,4.86,4.95,-1.82,-0.09,2419666.0,495783
2026/01/06,5.02,5.12,4.81,4.95,5.02,-1.39,-0.07,3684451.5,746727
2026/01/05,5.14,5.25,5.0,5.02,5.14,-2.33,-0.12,3583869.0,706651
2026/01/04,5.16,5.38,5.1,5.14,5.16,-0.39,-0.02,5284317.0,1011727
2025/12/31,5.13,5.48,4.99,5.16,5.13,0.58,0.03,1.5596736E7,2984211
2025/12/30,4.67,5.13,4.7,5.13,4.67,9.85,0.46,1.2612257E7,2509189
2025/12/29,4.68,4.71,4.67,4.67,4.68,-0.21,-0.01,925592.56,197658
2025/12/28,4.7,4.75,4.68,4.68,4.7,-0.43,-0.02,3313746.25,704209
2025/12/25,4.71,4.75,4.7,4.7,4.71,-0.21,-0.01,2188238.5,464593
2025/12/24,4.77,4.78,4.7,4.71,4.77,-1.26,-0.06,1281290.5,271390
2025/12/23,4.72,4.79,4.69,4.77,4.72,1.06,0.05,2868231.5,606729
2025/12/22,4.74,4.75,4.71,4.72,4.74,-0.42,-0.02,1022485.44,216691
2025/12/21,4.76,4.87,4.7,4.74,4.76,0.21,0.01,2912603.5,613713
2025/12/18,4.76,4.96,4.7,4.76,4.76,0.0,0.0,6934284.0,1436068
2025/12/17,4.68,4.83,4.68,4.76,4.68,1.92,0.09,2478639.75,521231
2025/12/16,4.7,4.73,4.66,4.68,4.7,-0.43,-0.02,1185103.63,252080
2025/12/15,4.71,4.76,4.69,4.7,4.71,-0.21,-0.01,632736.25,134448
2025/12/14,4.8,4.86,4.7,4.71,4.8,-1.88,-0.09,1359940.63,285461
2025/12/11,4.81,4.84,4.78,4.8,4.81,-0.21,-0.01,1217724.63,253351
2025/12/10,4.8,4.93,4.8,4.81,4.8,0.21,0.01,4476793.5,922444
2025/12/09,4.8,4.83,4.79,4.8,4.8,0.0,0.0,607834.69,126599
2025/12/08,4.83,4.86,4.79,4.8,4.83,-0.62,-0.03,1255261.13,260990
2025/12/07,4.83,4.88,4.81,4.83,4.83,0.0,0.0,1831379.38,378111
2025/12/04,4.85,4.87,4.81,4.83,4.85,-0.41,-0.02,1507979.38,311774
2025/12/03,4.85,4.86,4.8,4.85,4.85,0.0,0.0,1052608.5,217570
2025/12/02,4.85,4.9,4.84,4.85,4.85,0.0,0.0,672628.13,138441
2025/12/01,4.91,5.0,4.85,4.85,4.91,-1.22,-0.06,2035057.75,418068
2025/11/30,4.86,5.01,4.88,4.91,4.86,1.03,0.05,758919.88,153589
2025/11/27,4.85,4.97,4.85,4.86,4.85,0.21,0.01,676995.0,138781
2025/11/26,4.89,4.99,4.83,4.85,4.89,1.23,0.06,1044079.88,212624
2025/11/25,4.86,5.14,4.83,4.89,4.86,0.62,0.03,2653096.0,536893
2025/11/24,4.92,5.0,4.84,4.86,4.92,-1.42,-0.07,851377.69,174238
2025/11/23,4.93,4.95,4.88,4.92,4.93,0.2,0.01,625985.69,127494
2025/11/20,5.02,5.09,4.9,4.93,5.02,-1.39,-0.07,2549552.0,513597
2025/11/19,5.23,5.21,5.0,5.02,5.23,-4.02,-0.21,4153231.75,821975
2025/11/18,5.06,5.43,5.03,5.23,5.06,3.36,0.17,5232487.0,1003231
2025/11/17,5.0,5.14,5.0,5.06,5.0,1.2,0.06,2769313.25,545865
2025/11/16,5.0,5.05,4.94,5.0,5.0,0.0,0.0,106142.75,21344
2025/11/13,4.99,5.13,4.93,5.0,4.99,0.6,0.03,438855.63,88027
2025/11/12,4.96,5.2,4.93,4.99,4.96,1.21,0.06,2763099.5,546595
2025/11/11,4.94,4.96,4.89,4.96,4.94,0.4,0.02,384415.38,77784
2025/11/10,4.94,4.96,4.89,4.94,4.94,0.0,0.0,501593.09,101978
2025/11/09,4.93,4.99,4.87,4.94,4.93,0.41,0.02,588117.63,119284
2025/11/06,4.87,4.98,4.86,4.93,4.87,1.23,0.06,607803.25,123119
2025/11/05,4.99,5.01,4.85,4.87,4.99,-2.81,-0.14,842181.88,171521
2025/11/04,4.96,5.07,4.89,4.99,4.96,1.81,0.09,642567.44,129784
2025/11/03,5.01,5.01,4.95,4.96,5.01,-0.4,-0.02,801745.69,161247
2025/11/02,4.84,5.05,4.84,5.01,4.84,3.51,0.17,2609124.25,529866
2025/10/30,4.86,4.92,4.82,4.84,4.86,0.62,0.03,1065547.75,218903
