«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,3.55,3.8,3.5,3.51,3.55,-1.13,-0.04,2911934.0,811306
2026/01/05,3.86,3.8,3.45,3.55,3.86,-8.03,-0.31,1995362.75,558311
2025/12/31,3.4,3.9,3.41,3.86,3.4,13.53,0.46,3621139.25,949386
2025/12/29,3.27,3.4,3.26,3.4,3.27,3.98,0.13,1167869.13,345959
2025/12/24,3.18,3.29,3.2,3.27,3.18,2.83,0.09,1089629.25,336187
2025/12/22,3.12,3.25,3.08,3.18,3.12,1.92,0.06,1249354.25,390070
2025/12/17,3.1,3.19,3.08,3.12,3.1,0.65,0.02,1024222.38,326414
2025/12/15,3.02,3.15,3.02,3.1,3.02,2.65,0.08,1770541.75,571240
2025/12/10,3.04,3.08,2.96,3.02,3.04,-0.66,-0.02,679938.06,223338
2025/12/08,3.04,3.06,2.96,3.04,3.04,0.0,0.0,1464641.13,484973
2025/12/03,3.05,3.05,2.97,3.04,3.05,-0.33,-0.01,982801.13,326416
2025/12/01,3.05,3.11,2.93,3.05,3.05,0.0,0.0,1417537.25,474291
2025/11/26,3.07,3.1,3.01,3.05,3.07,-0.65,-0.02,922738.13,299490
2025/11/24,3.04,3.1,2.99,3.07,3.04,0.99,0.03,561239.38,184513
2025/11/19,3.08,3.1,2.98,3.04,3.08,-1.3,-0.04,857253.63,280789
2025/11/17,3.0,3.1,2.97,3.08,3.0,2.67,0.08,388158.22,129296
2025/11/12,3.15,3.18,3.0,3.0,3.15,-4.76,-0.15,796815.0,260776
2025/11/10,3.01,3.18,3.01,3.15,3.01,4.65,0.14,1259553.38,407545
2025/11/05,3.1,3.19,3.0,3.01,3.1,-2.9,-0.09,695635.69,230118
2025/11/03,3.2,3.19,3.0,3.1,3.2,-3.13,-0.1,837570.06,272440
2025/10/29,3.2,3.2,3.1,3.2,3.2,0.0,0.0,815763.63,259092
2025/10/27,3.23,3.27,3.17,3.2,3.23,-0.93,-0.03,599286.25,187099
2025/10/22,3.26,3.3,3.21,3.23,3.26,-0.92,-0.03,646612.56,199377
2025/10/20,3.24,3.32,3.2,3.26,3.24,0.62,0.02,487817.91,150692
2025/10/15,3.13,3.24,3.12,3.24,3.13,3.51,0.11,1535286.38,480637
2025/10/13,3.19,3.2,3.1,3.13,3.19,-1.88,-0.06,564518.56,179486
2025/10/08,3.1,3.2,3.1,3.19,3.1,2.9,0.09,2327694.75,732688
2025/10/06,3.12,3.2,3.08,3.1,3.12,-0.64,-0.02,998421.25,317625
2025/10/01,2.85,3.15,2.8,3.12,2.85,9.47,0.27,1795671.38,601592
2025/09/29,2.94,2.95,2.83,2.85,2.94,-3.06,-0.09,1344500.0,468697
2025/09/24,2.9,3.04,2.9,2.94,2.9,1.38,0.04,834632.25,284079
2025/09/22,3.04,3.16,2.9,2.9,3.04,-4.61,-0.14,881168.31,293133
2025/09/17,3.17,3.27,3.03,3.04,3.17,-4.1,-0.13,1612378.63,516119
2025/09/15,3.32,3.4,3.1,3.17,3.32,-4.52,-0.15,2590197.75,783190
2025/09/10,3.16,3.32,3.1,3.32,3.16,5.06,0.16,1670414.63,517204
2025/09/08,3.11,3.3,3.1,3.16,3.11,1.61,0.05,1672964.63,531267
2025/09/03,3.01,3.2,2.94,3.11,3.01,3.32,0.1,3691457.75,1233620
2025/09/01,3.2,3.2,2.92,3.01,3.2,-5.94,-0.19,3199810.25,1057644
2025/08/27,3.45,3.4,3.0,3.2,3.45,-7.25,-0.25,3634731.5,1162949
2025/08/25,3.55,3.63,3.35,3.45,3.55,-2.82,-0.1,2829880.75,801623
2025/08/20,3.68,3.69,3.38,3.55,3.68,-3.53,-0.13,3702461.0,1056640
2025/08/18,3.8,3.86,3.61,3.68,3.8,-3.16,-0.12,2534247.5,683755
2025/08/13,3.77,3.88,3.65,3.8,3.77,0.8,0.03,3222734.0,852545
2025/08/11,3.88,3.94,3.65,3.77,3.88,-2.84,-0.11,1726234.0,457235
2025/08/06,3.71,3.89,3.71,3.88,3.71,4.58,0.17,1646235.63,429998
2025/08/04,3.88,3.88,3.52,3.71,3.88,-4.38,-0.17,4445919.0,1210431
2025/07/30,3.99,4.09,3.75,3.88,3.99,0.0,-0.11,2893020.25,755531
2025/07/28,4.47,4.47,3.77,3.99,4.47,-10.74,-0.48,3847273.5,961466
2025/07/23,4.61,4.75,4.25,4.47,4.61,-3.04,-0.14,4032405.0,905497
2025/07/21,4.36,5.0,4.45,4.61,4.36,5.73,0.25,3853155.75,823296
2025/07/16,4.56,4.7,4.3,4.36,4.56,-4.39,-0.2,6351977.5,1398387
2025/07/14,4.37,4.75,4.38,4.56,4.37,4.35,0.19,7028529.0,1539742
2025/07/07,3.65,3.71,3.61,3.67,3.65,0.55,0.02,1094733.63,296846
2025/07/02,3.68,3.79,3.62,3.65,3.68,-0.82,-0.03,1380656.75,375043
2025/06/30,3.78,3.87,3.67,3.68,3.78,-2.65,-0.1,1929898.63,516647
2025/06/25,3.63,3.88,3.74,3.78,3.63,4.13,0.15,1996334.5,525341
2025/06/23,3.54,3.8,3.55,3.63,3.54,2.54,0.09,1482918.38,406609
2025/06/18,3.73,3.73,3.51,3.54,3.73,-5.09,-0.19,3622546.5,1003018
2025/06/16,4.05,3.99,3.71,3.73,4.05,-7.9,-0.32,1597576.38,422068
2025/06/11,4.03,4.14,3.99,4.05,4.03,0.5,0.02,2593558.0,636669
2025/06/04,4.1,4.29,4.03,4.03,4.1,-1.71,-0.07,1183072.38,289425
2025/06/02,4.03,4.3,4.09,4.1,4.03,1.74,0.07,2916056.75,705090
2025/05/28,3.65,4.2,3.84,4.03,3.65,10.41,0.38,3097104.0,772028
2025/05/26,3.9,3.95,3.65,3.65,3.9,-6.41,-0.25,3190092.0,836218
2025/05/21,3.93,4.0,3.85,3.9,3.93,-0.76,-0.03,2801061.0,713898
2025/05/19,4.3,4.4,3.91,3.93,4.3,-8.6,-0.37,2464559.75,617526
2025/05/14,4.4,4.4,4.1,4.3,4.4,-2.27,-0.1,2950696.25,689677
2025/05/07,4.37,4.65,4.37,4.54,4.37,3.89,0.17,5036028.5,1103459
2025/05/05,4.0,4.37,4.0,4.37,4.0,9.25,0.37,4014127.0,937589
2025/04/30,4.0,4.0,3.86,4.0,4.0,0.0,0.0,3334361.25,842358
2025/04/28,4.16,4.2,3.93,4.0,4.16,-3.85,-0.16,1836690.0,458468
2025/04/23,4.01,4.3,4.0,4.16,4.01,3.74,0.15,3400837.0,831227
2025/04/16,4.33,4.4,4.01,4.01,4.33,-7.39,-0.32,4202960.5,985064
2025/04/14,4.3,4.46,4.28,4.33,4.3,0.7,0.03,4693105.5,1071931
2025/04/09,4.0,4.33,4.0,4.3,4.0,7.5,0.3,4198689.0,994464
2025/04/07,4.0,4.0,3.56,4.0,4.0,0.0,0.0,3284759.5,844602
2025/03/26,4.19,4.39,3.91,4.0,4.19,-4.53,-0.19,4753659.0,1148554
2025/03/24,3.67,4.6,3.9,4.19,3.67,14.17,0.52,7378375.5,1728904
2025/03/19,3.88,4.0,3.65,3.67,3.88,-5.41,-0.21,2070565.25,550684
2025/03/17,3.5,4.04,3.51,3.88,3.5,10.86,0.38,3258356.75,848668
2025/03/12,3.67,3.75,3.35,3.5,3.67,-4.63,-0.17,3030925.75,868477
2025/03/10,4.18,4.2,3.0,3.67,4.18,-12.2,-0.51,6509776.5,1702331
2025/03/05,4.15,4.9,4.1,4.18,4.15,0.72,0.03,1.0119377E7,2239407
2025/03/03,3.2,4.25,3.2,4.15,3.2,29.690001,0.95,1.0835129E7,2781150
2025/02/26,2.67,3.23,2.67,3.2,2.67,19.85,0.53,5601071.0,1812292
2025/02/24,2.53,2.68,2.52,2.67,2.53,5.53,0.14,1872902.88,717787
2025/02/19,2.4,2.54,2.42,2.53,2.4,5.42,0.13,1367199.0,547118
2025/02/17,2.19,2.48,2.19,2.4,2.19,9.59,0.21,1805290.75,754115
2025/02/12,2.19,2.3,2.0,2.19,2.19,0.0,0.0,1583476.13,734297
2025/02/10,2.34,2.46,2.14,2.19,2.34,-6.41,-0.15,1057394.0,473542
2025/02/05,2.23,2.37,2.24,2.34,2.23,4.93,0.11,914256.75,395741
2025/02/03,2.41,2.41,0.01,2.23,2.41,-7.47,-0.18,1832862.25,1351132
2025/01/29,2.5,2.58,2.41,2.41,2.5,-3.6,-0.09,1479686.63,593449
2025/01/27,2.55,2.59,2.43,2.5,2.55,-1.96,-0.05,778817.5,310390
2025/01/22,2.41,2.6,2.41,2.55,2.41,5.81,0.14,1984678.13,784703
2025/01/20,2.44,2.49,2.37,2.41,2.44,-1.23,-0.03,1986532.38,824295
2025/01/15,2.52,2.58,2.42,2.44,2.52,-3.17,-0.08,1230151.75,496879
2025/01/13,2.58,2.59,2.52,2.52,2.58,-2.33,-0.06,911798.56,358513
2025/01/08,2.6,2.68,2.55,2.58,2.6,-0.77,-0.02,680332.13,257704
2025/01/06,2.5,2.62,2.5,2.6,2.5,4.0,0.1,707133.88,273130
2024/12/30,2.64,2.6,2.48,2.5,2.64,-5.3,-0.14,949430.56,376898
2024/12/25,2.56,2.65,2.48,2.64,2.56,3.13,0.08,683563.88,262595
2024/12/23,2.7,2.65,2.5,2.56,2.7,-5.19,-0.14,1235150.88,481102
2024/12/18,2.77,2.78,2.61,2.7,2.77,-2.53,-0.07,1290487.0,481409
2024/12/16,2.94,3.0,2.77,2.77,2.94,-5.78,-0.17,1608212.13,565993
2024/12/11,2.96,3.03,2.92,2.94,2.96,-0.68,-0.02,538734.38,181092
2024/12/09,3.12,3.15,2.95,2.96,3.12,-5.13,-0.16,1362156.75,448105
2024/12/04,2.98,3.19,2.95,3.12,2.98,4.7,0.14,2587937.0,837285
2024/12/02,2.72,3.0,2.73,2.98,2.72,9.56,0.26,4579244.0,1575316
2024/11/27,2.65,2.76,2.6,2.72,2.65,2.64,0.07,996070.75,372577
2024/11/25,2.67,2.85,2.56,2.65,2.67,-0.75,-0.02,1581300.88,599203
2024/11/20,2.73,2.8,2.66,2.67,2.73,-2.2,-0.06,1413768.13,525275
2024/11/18,2.77,3.0,2.72,2.73,2.77,-1.44,-0.04,2086852.88,734781
2024/11/13,2.86,2.96,2.77,2.77,2.86,-3.15,-0.09,1808824.5,645490
2024/11/11,3.0,3.0,2.86,2.86,3.0,-4.67,-0.14,2264032.25,776777
2024/11/06,2.86,3.07,2.81,3.0,2.86,4.9,0.14,2190043.0,728613
2024/11/04,2.85,3.05,2.85,2.86,2.85,0.35,0.01,1747494.75,601264
2024/10/30,3.0,3.05,2.85,2.85,3.0,-5.0,-0.15,896477.88,304100
2024/10/28,3.0,3.05,2.91,3.0,3.0,0.0,0.0,1380949.5,461740
2024/10/23,3.13,3.2,2.96,3.0,3.13,-4.15,-0.13,1601839.38,525324
2024/10/21,3.28,3.33,3.06,3.13,3.28,-4.57,-0.15,1646990.0,516038
2024/10/16,2.87,3.4,2.87,3.28,2.87,14.29,0.41,3892726.25,1211554
2024/10/14,3.1,3.1,2.8,2.87,3.1,-7.42,-0.23,1798092.38,616878
2024/10/09,3.19,3.19,3.0,3.1,3.19,-2.82,-0.09,1970277.5,643552
2024/10/07,3.15,3.29,3.1,3.19,3.15,1.27,0.04,1440689.38,447045
2024/10/02,3.33,3.31,3.08,3.15,3.33,-5.41,-0.18,1653878.75,523666
2024/09/30,3.35,3.52,3.22,3.33,3.35,-0.6,-0.02,3010683.5,897584
2024/09/25,3.55,3.59,3.3,3.35,3.55,-5.63,-0.2,2138419.25,628210
2024/09/23,3.65,3.72,3.5,3.55,3.65,-2.74,-0.1,1577083.88,444948
2024/09/18,3.6,3.74,3.5,3.65,3.6,1.39,0.05,2173123.75,606560
2024/09/16,3.76,3.85,3.2,3.6,3.76,-4.26,-0.16,1923456.38,535594
2024/09/11,3.73,3.9,3.72,3.76,3.73,0.8,0.03,1980249.13,521613
2024/09/09,3.73,3.89,3.73,3.73,3.73,0.0,0.0,1632514.75,431787
2024/09/04,3.83,3.9,3.73,3.73,3.83,-2.61,-0.1,1914943.25,506923
2024/09/02,4.05,4.12,3.77,3.83,4.05,-5.43,-0.22,3088488.25,798541
2024/08/28,3.83,4.1,3.83,4.05,3.83,5.74,0.22,3980276.0,993442
2024/08/26,4.02,4.03,3.79,3.83,4.02,-4.73,-0.19,4761521.0,1230808
2024/08/21,4.14,4.27,4.02,4.02,4.14,-2.9,-0.12,2992982.0,735260
2024/08/19,4.35,4.41,4.02,4.14,4.35,-4.83,-0.21,3696787.5,875121
2024/08/14,4.27,4.43,4.27,4.35,4.27,1.87,0.08,4167304.75,956430
2024/08/12,4.02,4.46,4.05,4.27,4.02,6.22,0.25,5685254.5,1306713
2024/08/07,3.87,4.19,3.87,4.02,3.87,3.88,0.15,4136190.5,1028115
2024/08/05,4.54,4.53,2.55,3.87,4.54,-14.76,-0.67,4983181.5,1298294
2024/07/31,4.39,4.6,4.4,4.54,4.39,3.42,0.15,5135221.0,1135309
2024/07/29,4.3,4.6,4.3,4.39,4.3,2.09,0.09,9658265.0,2166227
2024/07/24,3.65,4.3,3.65,4.3,3.65,17.809999,0.65,7810205.5,1888885
2024/07/22,3.73,3.8,3.55,3.65,3.73,-2.14,-0.08,3517481.75,952290
2024/07/17,3.73,3.95,3.7,3.73,3.73,0.0,0.0,2745524.5,723791
2024/07/15,3.85,3.92,3.71,3.73,3.85,-3.12,-0.12,1488887.63,393511
2024/07/10,3.71,3.92,3.7,3.85,3.71,3.77,0.14,2932804.5,764199
2024/07/08,4.0,4.1,3.67,3.71,4.0,-7.25,-0.29,8378204.0,2209206
2024/07/03,4.3,4.3,3.85,4.0,4.3,-6.98,-0.3,5320298.0,1307595
2024/07/01,4.48,4.6,4.28,4.3,4.48,-4.02,-0.18,3453975.25,779373
2024/06/26,4.47,4.67,4.45,4.48,4.47,0.22,0.01,4467094.5,986927
2024/06/24,4.27,4.47,4.27,4.47,4.27,4.68,0.2,4225880.0,970302
2024/06/12,3.83,4.3,3.86,4.27,3.83,11.49,0.44,4948226.5,1179562
2024/06/10,3.86,3.9,3.7,3.83,3.86,-0.78,-0.03,3450522.5,907110
2024/06/05,4.15,4.25,3.81,3.86,4.15,-6.99,-0.29,5504622.0,1383677
2024/06/03,4.43,4.44,4.06,4.15,4.43,-6.32,-0.28,4252802.5,1005836
2024/05/29,4.24,4.44,3.8,4.43,4.24,4.48,0.19,9463348.0,2326620
2024/05/27,4.4,4.75,4.11,4.24,4.4,-3.64,-0.16,5639700.5,1291093
2024/05/22,4.7,4.85,4.4,4.4,4.7,-6.38,-0.3,5820506.0,1273651
2024/05/20,4.65,5.2,4.52,4.7,4.65,1.08,0.05,9369868.0,1944525
2024/05/15,4.86,5.25,4.44,4.65,4.86,-4.32,-0.21,1.4478571E7,3031878
2024/05/13,4.3,5.24,4.35,4.86,4.3,13.02,0.56,3.1013654E7,6328002
2024/05/08,3.75,4.46,3.75,4.3,3.75,14.67,0.55,1.1732759E7,2737675
2024/05/01,3.03,3.75,2.9,3.75,3.03,23.76,0.72,5109925.5,1504869
2024/04/29,3.22,3.45,2.95,3.03,3.22,-5.9,-0.19,3062298.75,1006652
2024/04/24,3.95,3.92,2.51,3.22,3.95,-18.48,-0.73,3441768.0,1036458
2024/04/22,3.7,4.49,3.75,3.95,3.7,6.76,0.25,9247613.0,2294762
2024/04/17,3.95,4.05,3.52,3.7,3.95,-6.33,-0.25,4296570.0,1146237
2024/04/15,4.0,4.37,3.62,3.95,4.0,-1.25,-0.05,5360899.5,1351441
2024/04/08,3.46,4.1,3.5,4.0,3.46,15.61,0.54,7406516.0,1878496
