«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,26.07,26.52,25.71,25.71,26.07,-1.38,-0.36,8.253852E7,3155640
2026/01/12,26.8,26.97,26.03,26.07,26.8,-2.72,-0.73,9.6874064E7,3660854
2026/01/11,25.61,27.0,25.91,26.8,25.61,4.65,1.19,4.28416256E8,16066190
2026/01/08,24.73,25.9,24.42,25.61,24.73,3.56,0.88,1.88544624E8,7508541
2026/01/06,24.45,24.88,24.29,24.73,24.45,1.15,0.28,8.0903008E7,3298583
2026/01/05,24.8,24.9,24.18,24.45,24.8,-1.41,-0.35,9.5868576E7,3903620
2026/01/04,24.92,25.1,24.61,24.8,24.92,-0.48,-0.12,4.2335884E7,1705706
2025/12/31,24.97,25.17,24.9,24.92,24.97,-0.2,-0.05,4.9913468E7,1994823
2025/12/30,25.2,25.39,24.97,24.97,25.2,-0.91,-0.23,5.0884664E7,2020868
2025/12/29,25.0,25.25,24.96,25.2,25.0,0.8,0.2,6.3156616E7,2520152
2025/12/28,24.85,25.1,24.87,25.0,24.85,0.6,0.15,2.326263E7,931500
2025/12/25,25.04,25.21,24.76,24.85,25.04,-0.76,-0.19,5.141306E7,2060017
2025/12/24,25.2,25.31,25.04,25.04,25.2,-0.63,-0.16,2.655234E7,1056121
2025/12/23,25.06,25.25,24.9,25.2,25.06,0.56,0.14,7.6739136E7,3059169
2025/12/22,25.01,25.31,24.98,25.06,25.01,0.2,0.05,7.7979104E7,3105911
2025/12/21,24.8,25.16,24.84,25.01,24.8,0.85,0.21,6.511524E7,2602384
2025/12/18,25.06,25.37,24.8,24.8,25.06,-1.04,-0.26,1.56112864E8,6264233
2025/12/17,25.22,25.37,25.0,25.06,25.22,-0.63,-0.16,7.4816632E7,2978446
2025/12/16,25.4,25.55,25.2,25.22,25.4,-0.71,-0.18,7.2311448E7,2856869
