«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,4.3,4.3,4.16,4.17,4.3,-3.02,-0.13,2865742.75,681506
2026/01/12,4.33,4.41,4.3,4.3,4.33,-0.69,-0.03,2680388.0,617451
2026/01/11,4.35,4.41,4.3,4.33,4.35,-0.46,-0.02,1400813.13,322206
2026/01/08,4.43,4.51,4.34,4.35,4.43,-1.81,-0.08,4867943.5,1102385
2026/01/06,4.42,4.5,4.38,4.43,4.42,0.23,0.01,4866003.0,1099850
2026/01/05,4.52,4.54,4.4,4.42,4.52,-2.21,-0.1,3890202.25,874213
2026/01/04,4.68,4.68,4.5,4.52,4.68,-3.42,-0.16,5874358.5,1289594
2025/12/31,4.72,4.76,4.52,4.68,4.72,-0.85,-0.04,3.446894E7,7417332
2025/12/30,4.36,4.99,4.43,4.72,4.36,8.26,0.36,7.1672336E7,15285975
2025/12/29,4.38,4.42,4.35,4.36,4.38,-0.46,-0.02,2114751.75,483894
2025/12/28,4.4,4.45,4.38,4.38,4.4,-0.45,-0.02,1649265.63,374150
2025/12/25,4.39,4.42,4.34,4.4,4.39,0.23,0.01,4096774.25,936038
2025/12/24,4.42,4.47,4.37,4.39,4.42,-0.68,-0.03,2129433.0,484329
2025/12/23,4.33,4.47,4.34,4.42,4.33,1.39,0.06,1.0262206E7,2322561
2025/12/22,4.31,4.42,4.28,4.33,4.31,0.46,0.02,5553067.5,1280129
2025/12/21,4.2,4.49,4.15,4.31,4.2,2.62,0.11,9083174.0,2094506
2025/12/18,4.22,4.25,4.17,4.2,4.22,-0.47,-0.02,4342619.0,1034762
2025/12/17,4.26,4.3,4.2,4.22,4.26,-0.94,-0.04,5910403.5,1395431
2025/12/16,4.37,4.4,4.25,4.26,4.37,-2.52,-0.11,1.263086E7,2922397
2025/12/15,4.41,4.59,4.34,4.37,4.41,-0.91,-0.04,1.7504288E7,3920700
2025/12/14,4.4,4.55,4.33,4.41,4.4,0.23,0.01,1.8662452E7,4212607
2025/12/11,4.49,4.59,4.37,4.4,4.49,-2.0,-0.09,2.5302138E7,5667828
2025/12/10,4.03,4.8,4.05,4.49,4.03,11.41,0.46,9.5660544E7,21340820
2025/12/09,3.92,4.07,3.92,4.03,3.92,2.81,0.11,6474717.5,1615346
2025/12/08,3.93,3.96,3.91,3.92,3.93,-0.25,-0.01,1754701.5,446612
2025/12/07,3.96,4.0,3.92,3.93,3.96,-0.76,-0.03,1733722.75,438116
2025/12/04,3.9,4.06,3.91,3.96,3.9,1.54,0.06,6260736.0,1568090
2025/12/03,3.9,3.92,3.86,3.9,3.9,0.0,0.0,1470449.5,377971
2025/12/02,3.91,3.97,3.89,3.9,3.91,-0.26,-0.01,2710829.75,692425
2025/12/01,3.96,4.0,3.9,3.91,3.96,-1.26,-0.05,2125561.75,537447
2025/11/30,3.9,4.04,3.91,3.96,3.9,1.54,0.06,4139752.0,1041624
2025/11/27,3.87,3.92,3.85,3.9,3.87,0.78,0.03,1469975.0,378424
2025/11/26,3.84,3.89,3.81,3.87,3.84,0.78,0.03,626139.75,162456
2025/11/25,3.89,3.96,3.83,3.84,3.89,-1.29,-0.05,1489526.88,385017
2025/11/24,3.98,4.07,3.87,3.89,3.98,-2.26,-0.09,5629453.5,1413590
2025/11/23,3.82,3.98,3.8,3.98,3.82,4.19,0.16,3136808.25,798149
2025/11/20,3.8,3.9,3.79,3.82,3.8,0.53,0.02,1843768.38,479112
2025/11/19,3.84,3.88,3.77,3.8,3.84,-1.04,-0.04,1817897.75,477439
2025/11/18,3.85,3.89,3.83,3.84,3.85,-0.52,-0.02,662793.56,172301
2025/11/17,3.85,3.89,3.82,3.85,3.85,0.52,0.02,1051344.63,273428
2025/11/16,3.84,3.9,3.82,3.85,3.84,0.26,0.01,876531.13,227266
2025/11/13,3.84,3.88,3.82,3.84,3.84,0.0,0.0,730315.0,189992
2025/11/12,3.87,3.89,3.82,3.84,3.87,-0.78,-0.03,827617.25,215221
2025/11/11,3.84,3.99,3.83,3.87,3.84,0.78,0.03,2710425.5,689416
2025/11/10,3.87,3.9,3.81,3.84,3.87,-1.03,-0.04,1275708.75,331359
2025/11/09,3.87,3.92,3.86,3.87,3.87,0.78,0.03,1573337.0,404906
2025/11/06,3.9,3.97,3.86,3.87,3.9,-0.77,-0.03,1316148.25,337075
2025/11/05,3.84,4.08,3.85,3.9,3.84,1.56,0.06,5876919.0,1476161
2025/11/04,3.82,3.88,3.77,3.84,3.82,0.79,0.03,750434.94,195208
2025/11/03,3.86,3.88,3.73,3.82,3.86,-1.04,-0.04,1812992.5,474706
2025/11/02,3.93,3.99,3.84,3.86,3.93,-1.78,-0.07,3265783.25,839166
2025/10/30,3.91,3.96,3.89,3.93,3.91,1.02,0.04,960714.13,244759
2025/10/29,3.91,3.95,3.88,3.91,3.91,-0.51,-0.02,1334362.63,340712
2025/10/28,4.0,4.02,3.89,3.91,4.0,-2.25,-0.09,2155874.0,548532
2025/10/27,4.04,4.06,3.98,4.0,4.04,-0.99,-0.04,2035631.25,506801
2025/10/26,4.02,4.18,4.01,4.04,4.02,0.5,0.02,3676813.25,896976
2025/10/23,3.99,4.07,3.99,4.02,3.99,0.25,0.01,1843926.5,458630
2025/10/22,3.98,4.03,3.93,3.99,3.98,0.25,0.01,2781755.75,695290
2025/10/21,4.02,4.07,3.95,3.98,4.02,-1.0,-0.04,3121018.0,778032
