«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,8.01,8.1,7.8,7.9,8.01,-1.37,-0.11,713376.06,90429
2026/01/12,8.12,8.33,8.0,8.01,8.12,-1.48,-0.12,1554148.88,193729
2026/01/11,8.14,8.3,8.09,8.12,8.14,-0.25,-0.02,746908.69,91470
2026/01/08,8.14,8.39,8.0,8.14,8.14,0.0,0.0,647218.0,79897
2026/01/06,8.21,8.67,8.1,8.14,8.21,-0.85,-0.07,720509.75,86961
2026/01/05,8.4,8.55,8.2,8.21,8.4,-2.26,-0.19,572600.94,69389
2026/01/04,8.76,8.75,8.25,8.4,8.76,-4.11,-0.36,841851.88,99321
2025/12/31,8.05,8.77,8.02,8.76,8.05,8.94,0.72,4295216.5,507002
2025/12/30,8.14,8.4,8.01,8.05,8.14,-1.11,-0.09,2274469.25,278207
2025/12/29,8.39,8.34,8.01,8.14,8.39,-1.67,-0.14,628644.56,77139
2025/12/28,8.1,8.4,7.81,8.39,8.1,3.7,0.3,1927836.25,238181
2025/12/25,8.29,8.3,7.8,8.1,8.29,-2.29,-0.19,1128156.38,142148
2025/12/24,8.07,8.3,7.76,8.29,8.07,2.85,0.23,1492751.75,183932
2025/12/23,8.14,8.35,7.73,8.07,8.14,-0.86,-0.07,1390005.25,170143
2025/12/22,7.67,8.15,7.55,8.14,7.67,6.128,0.47,3359137.75,427828
2025/12/21,7.71,7.85,7.6,7.67,7.71,-0.519,-0.04,1173523.0,153281
2025/12/18,7.99,7.98,7.52,7.71,7.99,-4.13,-0.33,764243.563,99627
2025/12/17,7.66,8.0,7.4,7.99,7.66,4.439,0.34,1387164.875,177642
2025/12/16,7.8,8.0,7.57,7.66,7.8,-1.795,-0.14,480387.156,62274
2025/12/15,7.82,8.0,7.55,7.8,7.82,0.639,0.05,638588.313,81726
2025/12/14,7.95,8.3,7.8,7.82,7.95,0.377,0.03,1685036.125,209386
2025/12/11,7.27,7.99,7.25,7.95,7.27,9.216001,0.67,4274406.5,552447
2025/12/10,7.38,7.48,7.21,7.27,7.38,-1.762,-0.13,1069012.375,146584
2025/12/09,7.37,7.49,7.2,7.38,7.37,0.136,0.01,813795.0,111584
2025/12/08,7.44,7.59,7.3,7.37,7.44,-0.941,-0.07,934661.375,124900
2025/12/07,7.59,7.64,7.21,7.44,7.59,-1.186,-0.09,782239.188,104266
2025/12/04,7.21,7.6,6.6,7.59,7.21,5.27,0.38,2703669.5,375103
2025/12/03,7.09,7.3,7.05,7.21,7.09,1.693,0.12,1984995.125,275854
2025/12/02,7.01,7.34,6.95,7.09,7.01,1.141,0.08,378464.625,53108
2025/12/01,7.31,7.79,7.0,7.01,7.31,-2.873,-0.21,1683980.125,235996
2025/11/30,6.65,7.31,6.87,7.31,6.65,9.925,0.66,2074748.75,290808
2025/11/27,7.29,7.39,6.6,6.65,7.29,-8.779,-0.64,2249218.75,320454
2025/11/26,7.6,7.75,7.2,7.29,7.6,-3.289,-0.25,1737255.5,234751
2025/11/25,7.44,8.1,7.1,7.6,7.44,2.151,0.16,8540456.0,1156306
2025/11/24,6.77,7.44,6.71,7.44,6.77,9.897,0.67,8223318.0,1137764
2025/11/23,6.32,6.85,6.25,6.77,6.32,6.013,0.38,3175438.25,479225
2025/11/20,6.0,6.42,6.0,6.32,6.0,5.333,0.32,2148951.25,342958
