«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.466,0.477,0.465,0.467,0.466,0.215,0.001,1.1895948E7,25322650
2026/01/12,0.483,0.485,0.464,0.466,0.483,-3.52,-0.017,1.4861375E7,31343722
2026/01/11,0.462,0.484,0.464,0.483,0.462,4.545,0.021,1.8424608E7,38430796
2026/01/08,0.465,0.48,0.461,0.462,0.465,-0.645,-0.003,1.0244732E7,21944632
2026/01/06,0.463,0.474,0.463,0.465,0.463,0.432,0.002,5831116.5,12452980
2026/01/05,0.478,0.485,0.453,0.463,0.478,-3.138,-0.015,1.2481706E7,26695829
2026/01/04,0.484,0.49,0.476,0.478,0.484,-1.24,-0.006,1.0876793E7,22593190
2025/12/31,0.474,0.494,0.474,0.484,0.474,2.11,0.01,3.117993E7,64149419
2025/12/30,0.473,0.48,0.471,0.474,0.473,0.211,0.001,9153131.0,19279289
2025/12/29,0.476,0.483,0.473,0.473,0.476,-0.63,-0.003,1.283617E7,26957097
2025/12/28,0.486,0.491,0.476,0.476,0.486,-2.058,-0.01,1.666002E7,34607183
2025/12/25,0.483,0.494,0.484,0.486,0.483,0.621,0.003,3.6545496E7,74836206
2025/12/24,0.464,0.485,0.462,0.483,0.464,4.095,0.019,4.1816436E7,87689383
2025/12/23,0.456,0.469,0.453,0.464,0.456,1.754,0.008,2.0235548E7,43719640
2025/12/22,0.464,0.469,0.456,0.456,0.464,-1.724,-0.008,1.6384512E7,35548112
2025/12/21,0.437,0.476,0.438,0.464,0.437,6.178,0.027,7.461808E7,161795575
2025/12/18,0.437,0.446,0.435,0.437,0.437,0.0,0.0,2.0168796E7,45786498
2025/12/17,0.449,0.45,0.437,0.437,0.449,-2.673,-0.012,1.6286635E7,36942347
2025/12/16,0.449,0.456,0.445,0.449,0.449,0.0,0.0,1.2685719E7,28317173
2025/12/15,0.455,0.457,0.446,0.449,0.455,-1.319,-0.006,1.9704982E7,43736158
2025/12/14,0.446,0.458,0.446,0.455,0.446,2.018,0.009,3.0026374E7,66299235
2025/12/11,0.436,0.458,0.444,0.446,0.436,2.294,0.01,4.445388E7,98910048
2025/12/10,0.434,0.44,0.432,0.436,0.434,0.461,0.002,1.8245176E7,41857760
2025/12/09,0.439,0.453,0.432,0.434,0.439,-1.139,-0.005,6.6855988E7,150995224
2025/12/08,0.416,0.445,0.417,0.439,0.416,5.529,0.023,8.4469272E7,195140654
2025/12/07,0.412,0.423,0.413,0.416,0.412,0.971,0.004,1.6000555E7,38396697
