«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,18.74,19.12,18.51,18.85,18.74,0.0,0.0,7246418.5,383853
2026/01/12,18.82,19.06,18.5,18.74,18.82,-0.43,-0.08,7310322.0,390632
2026/01/11,19.06,19.12,18.77,18.82,19.06,-1.26,-0.24,3640968.5,192960
2026/01/08,19.06,19.14,19.0,19.06,19.06,0.0,0.0,5114767.5,268340
2026/01/06,19.0,19.17,18.9,19.06,19.0,0.32,0.06,9233036.0,485914
2026/01/05,18.86,19.22,18.31,19.0,18.86,0.74,0.14,8969023.0,476006
2026/01/04,18.85,19.03,18.75,18.86,18.85,0.05,0.01,7350100.0,388635
2025/12/31,18.61,18.85,18.32,18.85,18.61,1.29,0.24,1.1728377E7,629371
2025/12/30,18.16,18.7,18.05,18.61,18.16,2.48,0.45,9852291.0,536103
2025/12/29,18.16,18.2,18.05,18.16,18.16,0.11,0.02,5369077.0,296389
2025/12/28,18.17,18.31,18.1,18.16,18.17,-0.06,-0.01,2548365.75,139986
2025/12/25,18.17,18.36,18.03,18.17,18.17,0.0,0.0,3626469.5,199696
2025/12/24,18.36,18.39,18.15,18.17,18.36,-1.03,-0.19,3893948.25,213253
2025/12/23,18.04,18.39,17.95,18.36,18.04,1.77,0.32,1.1921588E7,655450
2025/12/22,17.83,18.14,17.7,18.04,17.83,1.18,0.21,8016933.0,445500
2025/12/21,17.93,18.0,17.7,17.83,17.93,-0.67,-0.12,9990533.0,560621
2025/12/18,18.08,18.25,16.35,17.93,18.08,-0.83,-0.15,8947772.0,497304
2025/12/17,18.25,18.45,18.0,18.08,18.25,-0.93,-0.17,1.2385942E7,682681
2025/12/16,18.15,18.7,18.1,18.25,18.15,0.55,0.1,2.061119E7,1120093
2025/12/15,18.26,18.33,18.05,18.15,18.26,-0.6,-0.11,6993721.0,385201
2025/12/14,18.25,18.6,18.0,18.26,18.25,0.05,0.01,1.8811346E7,1027258
2025/12/11,18.23,18.39,18.13,18.25,18.23,0.11,0.02,5695735.5,312702
2025/12/10,18.38,18.44,18.2,18.23,18.38,-0.82,-0.15,4386347.0,240126
2025/12/09,18.52,18.59,18.2,18.38,18.52,-0.49,-0.09,5221013.5,283939
2025/12/08,18.5,18.77,18.5,18.52,18.5,0.11,0.02,3985012.75,214506
2025/12/07,18.32,18.6,18.2,18.5,18.32,0.98,0.18,5693508.5,308287
2025/12/04,18.25,18.45,18.25,18.32,18.25,0.38,0.07,4587443.0,250606
2025/12/03,18.51,18.74,18.2,18.25,18.51,-1.4,-0.26,5612460.0,304135
2025/12/02,18.55,18.8,18.4,18.51,18.55,-0.22,-0.04,3492160.25,187822
2025/12/01,18.91,19.0,18.5,18.55,18.91,-1.9,-0.36,5463968.5,293376
2025/11/30,19.18,19.28,18.8,18.91,19.18,-1.51,-0.29,6446995.0,339163
2025/11/27,19.13,19.4,18.95,19.18,19.13,0.26,0.05,4548607.5,238024
2025/11/26,19.02,19.65,19.11,19.13,19.02,0.58,0.11,3659850.0,189731
2025/11/25,19.58,20.1,19.02,19.02,19.58,-2.86,-0.56,2.2957862E7,1155573
2025/11/24,18.69,19.85,18.5,19.58,18.69,4.87,0.91,3.6089924E7,1857168
2025/11/23,18.68,18.74,18.45,18.69,18.68,0.05,0.01,7507409.5,404807
2025/11/20,18.26,18.68,18.01,18.68,18.26,2.3,0.42,6334263.0,345718
2025/11/19,18.15,18.54,18.1,18.26,18.15,0.61,0.11,4134054.5,225387
2025/11/18,18.1,18.25,17.95,18.15,18.1,0.28,0.05,8821085.0,489823
2025/11/17,18.49,18.5,18.06,18.1,18.49,-2.11,-0.39,2.1730756E7,1195149
2025/11/16,18.95,19.1,18.47,18.49,18.95,-2.43,-0.46,1.3220811E7,707739
2025/11/13,18.92,19.1,18.9,18.95,18.92,0.16,0.03,1.1924076E7,628710
2025/11/12,19.12,19.18,18.91,18.92,19.12,-1.05,-0.2,1.7668438E7,929865
2025/11/11,19.1,19.19,18.95,19.12,19.1,0.1,0.02,1.3898837E7,729252
2025/11/10,19.26,19.5,18.91,19.1,19.26,-0.83,-0.16,2.0399292E7,1070165
2025/11/09,19.21,19.39,19.06,19.26,19.21,0.26,0.05,2.9474536E7,1537546
2025/11/06,19.81,19.88,19.01,19.21,19.81,-3.03,-0.6,2.871559E7,1487401
2025/11/05,19.97,20.1,19.7,19.81,19.97,-0.8,-0.16,8934454.0,450136
2025/11/04,20.3,20.4,19.95,19.97,20.3,-1.63,-0.33,4.1794468E7,2078521
2025/11/03,20.1,20.43,19.91,20.3,20.1,1.0,0.2,1.699693E7,841934
2025/11/02,20.37,20.6,19.86,20.1,20.37,-1.33,-0.27,1.780278E7,885250
2025/10/30,20.21,20.6,20.22,20.37,20.21,0.79,0.16,1.6340755E7,802536
2025/10/29,20.2,20.4,20.1,20.21,20.2,0.1,0.02,5253344.5,260158
2025/10/28,20.37,20.45,20.07,20.2,20.37,-0.83,-0.17,1.783955E7,882297
2025/10/27,20.41,20.49,20.3,20.37,20.41,-0.2,-0.04,1.8838642E7,925388
2025/10/26,20.5,20.59,20.3,20.41,20.5,-0.44,-0.09,9892082.0,484881
2025/10/23,20.51,20.57,20.35,20.5,20.51,-0.05,-0.01,7053928.0,345282
2025/10/22,20.65,20.84,20.32,20.51,20.65,-0.68,-0.14,1.036319E7,504988
2025/10/21,20.35,20.95,20.38,20.65,20.35,1.47,0.3,1.9054776E7,926383
2025/10/20,20.31,20.65,20.21,20.35,20.31,0.2,0.04,7106784.0,348208
2025/10/19,20.25,20.65,20.3,20.31,20.25,0.3,0.06,7575766.0,370129
2025/10/16,20.34,20.5,20.01,20.25,20.34,-0.44,-0.09,7885158.5,389174
2025/10/15,20.51,20.7,20.15,20.34,20.51,-0.83,-0.17,1.9324198E7,943784
2025/10/14,20.61,21.0,20.5,20.51,20.61,-0.49,-0.1,9883231.0,478325
2025/10/13,19.86,21.5,19.85,20.61,19.86,3.78,0.75,6.5194516E7,3122637
2025/10/12,19.97,19.99,19.52,19.86,19.97,-0.55,-0.11,9386049.0,474901
2025/10/08,20.14,20.41,19.92,19.97,20.14,-0.84,-0.17,2.124722E7,1057175
2025/10/07,19.44,20.3,19.44,20.14,19.44,3.6,0.7,3.658632E7,1832392
2025/10/06,19.68,19.75,19.43,19.44,19.68,-1.22,-0.24,1.0089501E7,515872
2025/10/05,19.81,19.89,19.11,19.68,19.81,-0.66,-0.13,2.2360202E7,1137366
2025/10/02,21.35,21.35,19.81,19.81,21.35,-7.21,-1.54,5.1066424E7,2533033
2025/10/01,21.72,22.0,21.12,21.35,21.72,-1.7,-0.37,1.97634E7,916738
2025/09/30,21.0,21.72,20.92,21.72,21.0,3.43,0.72,5.0508504E7,2366983
2025/09/29,20.0,21.0,19.91,21.0,20.0,5.0,1.0,3.2138264E7,1562201
2025/09/28,20.1,20.15,19.85,20.0,20.1,-0.5,-0.1,1.2479335E7,625090
2025/09/25,19.85,20.2,19.97,20.1,19.85,1.26,0.25,2.55354E7,1273703
2025/09/24,19.88,20.11,19.8,19.85,19.88,-0.15,-0.03,1.6672692E7,835870
2025/09/23,19.8,20.42,19.72,19.88,19.8,0.4,0.08,4.4174532E7,2213420
2025/09/22,20.39,20.65,19.67,19.8,20.39,-2.89,-0.59,3.3148056E7,1661068
2025/09/21,20.5,20.71,20.19,20.39,20.5,-0.54,-0.11,1.9312542E7,944039
2025/09/18,20.75,20.95,20.26,20.5,20.75,-1.2,-0.25,3.7966204E7,1847454
2025/09/17,21.3,21.75,20.57,20.75,21.3,-2.58,-0.55,4.2048652E7,2009220
2025/09/16,22.7,23.25,21.21,21.3,22.7,-6.17,-1.4,6.8716168E7,3090155
2025/09/15,23.22,23.99,22.7,22.7,23.22,-2.24,-0.52,7.5059944E7,3228514
2025/09/14,25.05,25.19,23.0,23.22,25.05,-7.31,-1.83,8.7128296E7,3637422
2025/09/11,23.35,25.3,23.38,25.05,23.35,7.28,1.7,1.94449104E8,7892008
2025/09/10,22.7,24.6,23.11,23.35,22.7,2.86,0.65,6.7295768E7,2853222
2025/09/09,21.12,22.79,21.6,22.7,21.12,7.48,1.58,8.2427528E7,3685553
2025/09/08,20.43,21.65,20.4,21.12,20.43,3.38,0.69,2.9142488E7,1373871
2025/09/07,20.74,21.0,20.35,20.43,20.74,-1.49,-0.31,5378828.5,260568
2025/09/03,20.72,20.9,20.25,20.74,20.72,0.1,0.02,1.2235705E7,590424
2025/09/02,20.9,21.0,20.65,20.72,20.9,-0.96,-0.2,9699192.0,466090
2025/09/01,20.8,20.9,20.7,20.9,20.8,0.48,0.1,1.9711166E7,948017
2025/08/31,21.05,21.3,20.66,20.8,21.05,-1.19,-0.25,6571969.5,314112
2025/08/28,20.54,21.09,20.45,21.05,20.54,2.48,0.51,1.102742E7,530657
2025/08/27,20.47,20.59,20.1,20.54,20.47,0.34,0.07,4922403.5,242138
2025/08/26,20.74,20.88,20.06,20.47,20.74,-1.3,-0.27,1.5176357E7,744477
2025/08/25,20.76,20.95,20.7,20.74,20.76,0.53,0.11,1.6750882E7,804686
2025/08/24,21.0,21.28,20.7,20.76,21.0,-0.57,-0.12,6812286.5,326212
2025/08/21,21.3,21.32,20.8,21.0,21.3,-1.41,-0.3,5999525.0,285127
2025/08/20,21.29,21.88,21.3,21.3,21.29,0.05,0.01,2.8826722E7,1339472
2025/08/19,20.61,21.3,20.63,21.29,20.61,3.3,0.68,2.2491094E7,1064928
2025/08/18,20.48,20.9,20.26,20.61,20.48,0.63,0.13,3.1533932E7,1533876
2025/08/17,19.58,20.75,19.64,20.48,19.58,4.6,0.9,4.35114E7,2144790
2025/08/14,19.15,19.83,19.12,19.58,19.15,2.25,0.43,1.2182989E7,623677
2025/08/13,19.11,19.49,19.11,19.15,19.11,0.21,0.04,3517447.5,183480
2025/08/12,19.01,19.5,18.93,19.11,19.01,0.53,0.1,1.0253706E7,535964
2025/08/11,19.01,19.2,18.8,19.01,19.01,0.0,0.0,3.0100552E7,1585713
2025/08/10,19.4,19.4,18.9,19.01,19.4,-2.01,-0.39,7584013.5,397051
2025/08/07,19.26,19.5,19.19,19.4,19.26,0.73,0.14,6652895.5,344429
2025/08/06,19.4,19.6,19.2,19.26,19.4,-0.72,-0.14,5244649.5,272107
2025/08/05,19.5,20.0,19.34,19.4,19.5,-0.51,-0.1,3.9553292E7,2009113
2025/08/04,18.96,19.5,18.97,19.5,18.96,2.85,0.54,2.8101028E7,1462222
2025/08/03,18.21,19.7,18.12,18.96,18.21,4.12,0.75,2.0595722E7,1083193
2025/07/31,18.0,18.39,18.0,18.21,18.0,1.17,0.21,1.9469774E7,1072825
2025/07/30,17.81,18.04,17.46,18.0,17.81,0.0,0.19,1.5929289E7,890672
2025/07/29,17.28,18.0,16.71,17.81,17.28,3.07,0.53,2.570303E7,1457525
2025/07/28,18.0,18.0,17.2,17.28,18.0,-4.0,-0.72,8760429.0,500674
2025/07/27,18.85,19.15,17.96,18.0,18.85,-4.51,-0.85,1.72904E7,941439
2025/07/23,19.44,19.59,18.61,18.85,19.44,-3.03,-0.59,4.2230116E7,2224956
2025/07/22,20.15,20.47,19.4,19.44,20.15,-3.52,-0.71,1.86873E7,939582
2025/07/21,18.49,20.99,18.6,20.15,18.49,8.98,1.66,3.5909856E7,1800714
2025/07/20,23.35,23.74,22.95,23.7,23.35,1.5,0.35,3.7880968E7,1614278
2025/07/17,24.04,24.1,22.8,23.35,24.04,-2.87,-0.69,3.8822576E7,1672911
2025/07/16,25.52,25.7,23.86,24.04,25.52,-5.8,-1.48,2.1520696E7,872728
2025/07/15,25.65,26.38,25.41,25.52,25.65,-0.51,-0.13,3.9161484E7,1519870
2025/07/14,26.11,26.17,25.1,25.65,26.11,-1.76,-0.46,3.3664564E7,1322094
2025/07/13,24.25,26.5,24.51,26.11,24.25,7.67,1.86,7.7682216E7,3010455
2025/07/07,21.15,22.8,21.16,22.55,21.15,6.62,1.4,2.0928696E7,959979
2025/07/06,20.76,21.49,20.98,21.15,20.76,1.88,0.39,1.361909E7,641648
2025/07/02,20.76,21.0,20.75,20.76,20.76,0.0,0.0,2.5999802E7,1246002
2025/07/01,20.68,21.22,20.7,20.76,20.68,0.39,0.08,1.2087692E7,578381
2025/06/30,20.61,21.44,20.53,20.68,20.61,0.34,0.07,9217673.0,441199
2025/06/29,21.15,21.5,20.5,20.61,21.15,-2.17,-0.46,2.075192E7,990547
2025/06/25,21.13,21.8,19.11,21.15,21.13,0.09,0.02,1.9123054E7,902622
2025/06/24,20.97,22.0,20.95,21.13,20.97,0.76,0.16,2.984414E7,1403087
2025/06/23,20.59,21.18,20.58,20.97,20.59,1.75,0.36,3.664132E7,1752154
2025/06/22,19.08,20.76,18.57,20.59,19.08,7.91,1.51,2.6200328E7,1290886
2025/06/19,19.64,19.8,18.73,19.08,19.64,-2.85,-0.56,1.3261958E7,695400
2025/06/18,19.06,20.45,18.53,19.64,19.06,3.04,0.58,1.7720254E7,896422
2025/06/17,20.06,21.8,19.04,19.06,20.06,-4.99,-1.0,5.2161712E7,2552659
2025/06/16,18.18,20.19,18.01,20.06,18.18,10.34,1.88,1.3371649E7,694248
2025/06/15,18.7,18.25,17.01,18.18,18.7,-3.21,-0.6,9665016.0,546607
2025/06/12,18.89,19.25,18.04,18.7,18.89,-1.01,-0.19,2.7537764E7,1457868
2025/06/11,19.0,19.2,18.75,18.89,19.0,-0.58,-0.11,4028362.25,212120
2025/06/10,18.74,19.18,18.7,19.0,18.74,1.39,0.26,4071315.75,214247
2025/06/04,19.0,19.19,18.45,18.74,19.0,-1.37,-0.26,1.1801243E7,631143
2025/06/03,20.0,19.99,18.95,19.0,20.0,-5.0,-1.0,1.8685714E7,979735
2025/06/02,19.98,20.5,18.93,20.0,19.98,0.1,0.02,2.9403316E7,1501921
2025/06/01,18.6,20.0,18.6,19.98,18.6,7.42,1.38,5.3229792E7,2747866
2025/05/29,17.09,18.6,16.81,18.6,17.09,8.84,1.51,3.9586184E7,2241345
2025/05/28,16.2,17.37,16.25,17.09,16.2,5.49,0.89,1.3927644E7,835805
2025/05/27,15.69,16.2,15.7,16.2,15.69,3.25,0.51,2.0252974E7,1264200
2025/05/26,15.12,15.85,15.0,15.69,15.12,3.77,0.57,1.1471512E7,741442
2025/05/25,15.1,15.3,14.85,15.12,15.1,0.33,0.05,1.1415022E7,756835
2025/05/22,15.3,15.6,15.07,15.1,15.3,-1.31,-0.2,1.5083435E7,983296
2025/05/21,14.72,15.33,14.71,15.3,14.72,3.94,0.58,1.1730483E7,773192
2025/05/20,14.77,15.0,14.7,14.72,14.77,-0.34,-0.05,8280810.5,560172
2025/05/19,15.0,15.0,14.72,14.77,15.0,-1.53,-0.23,1105803.75,74735
2025/05/18,15.0,15.15,14.73,15.0,15.0,0.0,0.0,4864360.5,325859
2025/05/15,14.89,15.14,14.75,15.0,14.89,0.74,0.11,1.1294631E7,757213
2025/05/14,14.59,15.0,14.5,14.89,14.59,2.06,0.3,3616897.0,243908
2025/05/08,14.64,14.75,14.5,14.67,14.64,0.2,0.03,1.6213138E7,1110976
2025/05/07,15.0,15.1,14.6,14.64,15.0,-2.4,-0.36,2966349.25,198732
2025/05/06,15.05,15.12,14.95,15.0,15.05,-0.33,-0.05,5321865.5,354292
2025/05/05,15.05,15.23,14.88,15.05,15.05,0.0,0.0,4511318.5,299274
2025/05/04,15.12,15.23,15.02,15.05,15.12,-0.46,-0.07,1.1716102E7,775471
2025/04/30,15.2,15.25,15.0,15.12,15.2,-0.53,-0.08,1.3642594E7,898609
2025/04/29,15.19,15.24,15.0,15.2,15.19,0.07,0.01,6051369.0,400394
2025/04/28,15.2,15.37,15.15,15.19,15.2,-0.07,-0.01,6209692.0,406933
2025/04/27,15.0,15.35,15.04,15.2,15.0,1.33,0.2,1.8463858E7,1215361
2025/04/23,14.52,15.05,14.5,15.0,14.52,3.31,0.48,1.2826387E7,861403
2025/04/22,14.7,14.9,14.35,14.52,14.7,-1.22,-0.18,5336064.0,367120
2025/04/17,14.5,15.15,14.54,14.7,14.5,1.38,0.2,1.9755292E7,1334246
2025/04/16,13.9,14.7,13.91,14.5,13.9,4.32,0.6,2.3020752E7,1610983
2025/04/15,13.84,14.15,13.87,13.9,13.84,0.43,0.06,3720896.25,266768
2025/04/14,14.02,14.25,13.82,13.84,14.02,-1.28,-0.18,1.0638542E7,761485
2025/04/13,13.96,14.34,13.81,14.02,13.96,0.64,0.09,5739535.0,406757
2025/04/10,13.5,14.4,13.93,13.96,13.5,3.41,0.46,1.0871876E7,775632
2025/04/09,13.44,14.19,13.46,13.5,13.44,0.45,0.06,3.0470812E7,2211804
2025/04/08,14.25,14.69,13.36,13.44,14.25,-5.68,-0.81,4.1489748E7,2974128
2025/04/07,14.2,14.49,14.02,14.25,14.2,0.35,0.05,1.4647962E7,1028491
2025/04/06,14.98,14.9,14.08,14.2,14.98,-5.21,-0.78,1.929621E7,1332318
2025/04/03,15.01,15.25,14.5,14.98,15.01,-0.2,-0.03,1.3220999E7,884752
2025/03/27,15.3,15.92,14.61,15.01,15.3,-1.9,-0.29,7.227832E7,4789006
2025/03/26,13.68,15.99,13.67,15.3,13.68,11.84,1.62,6.461694E7,4393047
2025/03/25,13.73,14.1,13.65,13.68,13.73,-0.36,-0.05,1.4494549E7,1049280
2025/03/24,13.52,14.14,13.2,13.73,13.52,1.55,0.21,5.3674512E7,3890662
2025/03/23,12.8,14.22,12.81,13.52,12.8,5.63,0.72,8.8603448E7,6493345
2025/03/20,11.81,13.0,11.51,12.8,11.81,8.38,0.99,2.8703832E7,2295842
2025/03/19,12.12,12.3,11.8,11.81,12.12,-2.56,-0.31,5182962.5,431340
2025/03/18,12.33,12.35,11.18,12.12,12.33,-1.7,-0.21,4.7332892E7,4066868
2025/03/17,12.64,12.8,12.31,12.33,12.64,-2.45,-0.31,1.30073E7,1034504
2025/03/16,12.45,13.13,12.4,12.64,12.45,1.53,0.19,2.2178674E7,1724722
2025/03/13,12.59,12.8,12.05,12.45,12.59,-1.11,-0.14,2.0716446E7,1660645
2025/03/12,13.0,13.5,12.56,12.59,13.0,-3.15,-0.41,3.4185256E7,2625762
2025/03/11,11.45,13.07,11.13,13.0,11.45,13.54,1.55,7.8120784E7,6428002
2025/03/10,11.04,13.1,11.15,11.45,11.04,3.71,0.41,6.011684E7,5030709
2025/03/09,9.2,11.04,9.13,11.04,9.2,20.0,1.84,9.7857808E7,9171499
2025/03/06,8.7,9.2,8.7,9.2,8.7,5.75,0.5,2.0075426E7,2236648
2025/03/05,8.89,8.9,8.65,8.7,8.89,-2.14,-0.19,5679209.5,651300
2025/03/04,8.66,8.9,8.6,8.89,8.66,2.66,0.23,5797666.5,657696
2025/03/03,8.74,8.82,8.66,8.66,8.74,-0.92,-0.08,4207555.5,480656
2025/03/02,8.85,8.95,8.72,8.74,8.85,-1.24,-0.11,3718524.25,422722
2025/02/27,8.83,9.04,8.55,8.85,8.83,0.23,0.02,7610852.0,864039
2025/02/26,20.57,21.09,20.5,20.98,20.57,1.99,0.41,3.8212E7,1826323
2025/02/25,20.41,20.8,20.2,20.57,20.41,0.78,0.16,9695706.0,472683
2025/02/24,20.73,20.74,20.35,20.41,20.73,-1.59,-0.33,6326533.0,308438
2025/02/23,20.57,20.75,20.31,20.73,20.57,0.78,0.16,5313264.5,258739
2025/02/20,20.0,20.6,19.82,20.57,20.0,2.85,0.57,1.2554724E7,615668
2025/02/19,20.12,20.2,19.7,20.0,20.12,-0.6,-0.12,3320489.25,166348
2025/02/18,19.92,20.37,19.92,20.12,19.92,1.0,0.2,4161005.25,207543
2025/02/17,20.09,20.45,19.31,19.92,20.09,-0.85,-0.17,1.141561E7,572460
2025/02/16,20.59,20.99,20.0,20.09,20.59,-2.43,-0.5,7275778.0,359108
2025/02/13,20.25,20.79,20.38,20.59,20.25,1.68,0.34,3470299.75,168736
2025/02/12,19.86,20.45,19.8,20.25,19.86,1.96,0.39,7190818.5,358595
2025/02/11,21.21,21.4,20.04,20.14,21.21,-5.23,-1.11,7844777.5,375574
2025/02/10,21.28,21.34,21.17,21.21,21.28,-0.33,-0.07,1553923.5,73179
2025/02/09,21.31,21.65,21.22,21.28,21.31,-0.14,-0.03,2643966.25,123938
2025/02/06,21.33,21.8,20.7,21.31,21.33,-0.09,-0.02,1.0098818E7,471057
2025/02/05,20.84,21.34,20.66,21.33,20.84,2.35,0.49,5434820.5,257472
2025/02/04,20.75,21.18,20.6,20.84,20.75,0.24,0.05,3004538.5,144120
2025/02/03,21.06,21.2,20.7,20.75,21.06,-1.47,-0.31,4492202.0,215025
2025/02/02,21.05,21.5,20.92,21.06,21.05,0.05,0.01,5454522.0,257611
2025/01/30,21.35,21.44,21.0,21.05,21.35,-1.41,-0.3,3394098.0,160821
2025/01/29,21.0,21.44,21.0,21.35,21.0,1.67,0.35,4042303.0,189537
2025/01/28,21.0,21.4,20.9,21.0,21.0,0.0,0.0,3592574.5,170508
2025/01/27,21.14,22.0,20.93,21.0,21.14,-0.66,-0.14,7713914.5,362796
2025/01/26,21.24,21.75,21.0,21.14,21.24,-0.56,-0.12,6002855.5,279856
2025/01/23,20.7,21.6,20.66,21.24,20.7,2.61,0.54,1.5088623E7,712249
2025/01/22,20.64,21.0,20.61,20.7,20.64,0.29,0.06,6026922.0,290441
